Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Brescia,REG (Non-Conf),W,91.0,41.0,,30.0,58.0,0.517,6.0,20.0,0.3,24.0,38.0,0.632,0.569,25.0,29.0,0.862,9.0,32.0,41.0,15.0,7.0,7.0,13.0,15.0,17.0,56.0,0.304,1.0,9.0,0.111,16.0,47.0,0.34,0.313,6.0,13.0,0.462,7.0,18.0,25.0,6.0,7.0,2.0,17.0,24.0,123.0,55.4,74.0,0.5,0.345,0.634,62.1,50.0,9.5,14.9,0.569,15.3,33.3,0.431,0.313,21.5,17.9,0.107
2.0,2.0,2023-11-11,,Utah Tech,REG (Non-Conf),L,79.0,81.0,OT,23.0,56.0,0.411,5.0,15.0,0.333,18.0,41.0,0.439,0.455,28.0,32.0,0.875,13.0,18.0,31.0,8.0,6.0,3.0,17.0,14.0,31.0,68.0,0.456,9.0,18.0,0.5,22.0,50.0,0.44,0.522,10.0,15.0,0.667,14.0,18.0,32.0,14.0,9.0,5.0,16.0,20.0,103.7,106.4,67.7,0.571,0.268,0.555,49.2,34.8,7.9,6.0,0.455,19.3,41.9,0.5,0.522,17.6,43.8,0.147
3.0,3.0,2023-11-14,@,West Virginia,REG (Non-Conf),L,57.0,70.0,,21.0,61.0,0.344,10.0,26.0,0.385,11.0,35.0,0.314,0.426,5.0,10.0,0.5,10.0,22.0,32.0,9.0,6.0,0.0,10.0,20.0,23.0,45.0,0.511,8.0,19.0,0.421,15.0,26.0,0.577,0.6,16.0,25.0,0.64,4.0,29.0,33.0,16.0,5.0,4.0,12.0,11.0,87.3,107.2,65.3,0.164,0.426,0.433,49.2,42.9,9.2,0.0,0.426,13.2,25.6,0.082,0.6,17.4,15.4,0.356
4.0,4.0,2023-11-18,@,North Alabama,REG (Non-Conf),L,59.0,61.0,,22.0,49.0,0.449,3.0,12.0,0.25,19.0,37.0,0.514,0.48,12.0,21.0,0.571,4.0,23.0,27.0,11.0,8.0,3.0,19.0,23.0,17.0,41.0,0.415,2.0,9.0,0.222,15.0,32.0,0.469,0.439,25.0,31.0,0.806,2.0,24.0,26.0,8.0,6.0,0.0,20.0,22.0,79.9,82.6,73.9,0.429,0.245,0.5,50.9,50.0,10.8,9.4,0.48,24.4,14.3,0.245,0.439,26.4,8.0,0.61
5.0,5.0,2023-11-22,@,Incarnate Word,REG (Non-Conf),L,66.0,67.0,,23.0,57.0,0.404,4.0,15.0,0.267,19.0,42.0,0.452,0.439,16.0,24.0,0.667,13.0,20.0,33.0,8.0,7.0,3.0,18.0,15.0,24.0,50.0,0.48,9.0,22.0,0.409,15.0,28.0,0.536,0.57,10.0,14.0,0.714,4.0,18.0,22.0,11.0,9.0,8.0,13.0,22.0,94.9,96.4,69.5,0.421,0.263,0.482,60.0,34.8,10.1,10.7,0.439,20.8,41.9,0.281,0.57,18.7,16.7,0.2
6.0,6.0,2023-11-24,@,UTSA,REG (Non-Conf),W,77.0,62.0,,31.0,68.0,0.456,5.0,18.0,0.278,26.0,50.0,0.52,0.493,10.0,15.0,0.667,8.0,21.0,29.0,14.0,7.0,3.0,5.0,14.0,24.0,56.0,0.429,5.0,18.0,0.278,19.0,38.0,0.5,0.473,9.0,12.0,0.75,7.0,26.0,33.0,8.0,3.0,7.0,14.0,15.0,109.4,88.1,70.4,0.221,0.265,0.512,46.8,45.2,9.9,7.9,0.493,6.2,23.5,0.147,0.473,18.5,25.0,0.161
7.0,7.0,2023-11-26,N,Incarnate Word,REG (Non-Conf),W,67.0,65.0,,28.0,61.0,0.459,5.0,18.0,0.278,23.0,43.0,0.535,0.5,6.0,8.0,0.75,10.0,20.0,30.0,15.0,11.0,5.0,9.0,13.0,23.0,51.0,0.451,6.0,18.0,0.333,17.0,33.0,0.515,0.51,13.0,16.0,0.813,9.0,22.0,31.0,8.0,5.0,5.0,16.0,13.0,103.6,100.5,64.7,0.131,0.295,0.517,49.2,53.6,17.0,15.2,0.5,12.2,31.3,0.098,0.51,21.4,31.0,0.255
8.0,8.0,2023-11-30,,South Alabama,REG (Non-Conf),W,70.0,52.0,,23.0,47.0,0.489,9.0,24.0,0.375,14.0,23.0,0.609,0.585,15.0,22.0,0.682,13.0,23.0,36.0,13.0,4.0,4.0,11.0,15.0,18.0,51.0,0.353,3.0,17.0,0.176,15.0,34.0,0.441,0.382,13.0,19.0,0.684,7.0,17.0,24.0,4.0,5.0,0.0,6.0,18.0,122.3,90.8,57.2,0.468,0.511,0.609,60.0,56.5,7.0,11.8,0.585,16.1,43.3,0.319,0.382,9.1,23.3,0.255
9.0,9.0,2023-12-03,,East Tennessee State,REG (Non-Conf),L,59.0,61.0,,23.0,51.0,0.451,4.0,18.0,0.222,19.0,33.0,0.576,0.49,9.0,17.0,0.529,12.0,21.0,33.0,10.0,7.0,4.0,12.0,15.0,22.0,54.0,0.407,8.0,22.0,0.364,14.0,32.0,0.438,0.481,9.0,17.0,0.529,11.0,19.0,30.0,8.0,5.0,0.0,9.0,19.0,99.0,102.4,59.6,0.333,0.353,0.499,52.4,43.5,11.7,12.5,0.49,16.9,38.7,0.176,0.481,12.7,34.4,0.167
10.0,10.0,2023-12-08,,Illinois–Chicago,REG (Non-Conf),L,49.0,55.0,,20.0,56.0,0.357,1.0,12.0,0.083,19.0,44.0,0.432,0.366,8.0,12.0,0.667,8.0,20.0,28.0,9.0,9.0,4.0,12.0,16.0,20.0,49.0,0.408,2.0,17.0,0.118,18.0,32.0,0.563,0.429,13.0,19.0,0.684,5.0,24.0,29.0,9.0,5.0,8.0,14.0,10.0,73.8,82.9,66.4,0.214,0.214,0.397,49.1,45.0,13.6,12.5,0.366,16.3,25.0,0.143,0.429,19.4,20.0,0.265
