Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Avila,REG (Non-Conf),W,79.0,48.0,,27.0,68.0,0.397,8.0,28.0,0.286,19.0,40.0,0.475,0.456,17.0,32.0,0.531,19.0,24.0,43.0,12.0,10.0,7.0,7.0,19.0,15.0,49.0,0.306,2.0,8.0,0.25,13.0,41.0,0.317,0.327,16.0,22.0,0.727,10.0,23.0,33.0,7.0,5.0,1.0,21.0,24.0,111.5,67.8,70.8,0.471,0.412,0.475,56.6,44.4,14.1,17.1,0.456,7.8,45.2,0.25,0.327,26.1,29.4,0.327
2.0,2.0,2023-11-11,,Saint Mary (KS),REG (Non-Conf),W,95.0,42.0,,38.0,67.0,0.567,8.0,19.0,0.421,30.0,48.0,0.625,0.627,11.0,18.0,0.611,14.0,25.0,39.0,17.0,14.0,3.0,12.0,12.0,16.0,54.0,0.296,6.0,25.0,0.24,10.0,29.0,0.345,0.352,4.0,8.0,0.5,13.0,15.0,28.0,12.0,6.0,1.0,24.0,20.0,133.5,59.0,71.2,0.269,0.284,0.629,58.2,44.7,19.7,10.3,0.627,13.7,48.3,0.164,0.352,29.3,34.2,0.074
3.0,3.0,2023-11-14,@,Baylor,REG (Non-Conf),L,61.0,99.0,,25.0,61.0,0.41,4.0,23.0,0.174,21.0,38.0,0.553,0.443,7.0,10.0,0.7,10.0,11.0,21.0,10.0,8.0,4.0,13.0,25.0,31.0,54.0,0.574,13.0,23.0,0.565,18.0,31.0,0.581,0.694,24.0,31.0,0.774,13.0,23.0,36.0,17.0,3.0,4.0,13.0,15.0,88.7,144.0,68.7,0.164,0.377,0.464,36.8,40.0,11.6,12.9,0.443,16.5,30.3,0.115,0.694,15.9,54.2,0.444
4.0,4.0,2023-11-17,@,Colorado State,REG (Non-Conf),L,61.0,84.0,,21.0,52.0,0.404,4.0,15.0,0.267,17.0,37.0,0.459,0.442,15.0,19.0,0.789,7.0,21.0,28.0,10.0,2.0,1.0,17.0,26.0,26.0,45.0,0.578,10.0,22.0,0.455,16.0,23.0,0.696,0.689,22.0,31.0,0.71,1.0,24.0,25.0,21.0,8.0,2.0,11.0,22.0,86.7,119.4,70.4,0.365,0.288,0.5,52.8,47.6,2.8,4.3,0.442,21.8,22.6,0.288,0.689,15.6,4.5,0.489
5.0,5.0,2023-11-24,N,UNC Greensboro,REG (Non-Conf),L,64.0,76.0,,19.0,53.0,0.358,12.0,34.0,0.353,7.0,19.0,0.368,0.472,14.0,21.0,0.667,8.0,19.0,27.0,14.0,3.0,2.0,11.0,21.0,25.0,50.0,0.5,12.0,27.0,0.444,13.0,23.0,0.565,0.62,14.0,23.0,0.609,7.0,19.0,26.0,14.0,7.0,1.0,10.0,20.0,98.5,117.0,65.0,0.396,0.642,0.508,50.9,73.7,4.6,8.7,0.472,14.9,29.6,0.264,0.62,14.1,26.9,0.28
6.0,6.0,2023-11-25,N,Brown,REG (Non-Conf),L,83.0,93.0,OT,31.0,70.0,0.443,14.0,37.0,0.378,17.0,33.0,0.515,0.543,7.0,14.0,0.5,15.0,14.0,29.0,17.0,6.0,3.0,17.0,27.0,31.0,53.0,0.585,7.0,15.0,0.467,24.0,38.0,0.632,0.651,24.0,34.0,0.706,7.0,20.0,27.0,16.0,8.0,4.0,14.0,15.0,107.2,120.2,68.8,0.2,0.529,0.541,51.8,54.8,7.8,7.9,0.543,18.2,42.9,0.1,0.651,16.8,33.3,0.453
7.0,7.0,2023-11-26,N,Middle Tennessee,REG (Non-Conf),L,59.0,63.0,,23.0,52.0,0.442,7.0,19.0,0.368,16.0,33.0,0.485,0.51,6.0,11.0,0.545,7.0,21.0,28.0,12.0,6.0,5.0,12.0,22.0,20.0,46.0,0.435,6.0,20.0,0.3,14.0,26.0,0.538,0.5,17.0,24.0,0.708,6.0,17.0,23.0,9.0,7.0,6.0,13.0,12.0,93.2,99.5,63.3,0.212,0.365,0.516,54.9,52.2,9.5,19.2,0.51,17.3,29.2,0.115,0.5,18.5,22.2,0.37
8.0,8.0,2023-11-30,,Southeast Missouri State,REG (Non-Conf),W,74.0,44.0,,27.0,58.0,0.466,5.0,14.0,0.357,22.0,44.0,0.5,0.509,15.0,29.0,0.517,13.0,36.0,49.0,12.0,4.0,4.0,11.0,20.0,17.0,59.0,0.288,1.0,19.0,0.053,16.0,40.0,0.4,0.297,9.0,16.0,0.563,6.0,19.0,25.0,4.0,4.0,6.0,10.0,28.0,105.4,62.7,70.2,0.5,0.241,0.515,66.2,44.4,5.7,10.0,0.509,13.3,40.6,0.259,0.297,13.1,14.3,0.153
9.0,9.0,2023-12-05,@,Kansas,REG (Non-Conf),L,69.0,88.0,,26.0,65.0,0.4,8.0,27.0,0.296,18.0,38.0,0.474,0.462,9.0,13.0,0.692,9.0,25.0,34.0,12.0,3.0,1.0,12.0,17.0,33.0,61.0,0.541,8.0,20.0,0.4,25.0,41.0,0.61,0.607,14.0,19.0,0.737,5.0,30.0,35.0,23.0,11.0,3.0,7.0,15.0,94.4,120.4,73.1,0.2,0.415,0.485,49.3,46.2,4.1,2.4,0.462,14.4,23.1,0.138,0.607,9.1,16.7,0.23
10.0,10.0,2023-12-09,@,Lindenwood,REG (Non-Conf),W,72.0,67.0,,21.0,49.0,0.429,14.0,28.0,0.5,7.0,21.0,0.333,0.571,16.0,25.0,0.64,10.0,24.0,34.0,15.0,3.0,3.0,14.0,24.0,20.0,51.0,0.392,5.0,16.0,0.313,15.0,35.0,0.429,0.441,22.0,29.0,0.759,9.0,17.0,26.0,8.0,8.0,2.0,12.0,22.0,108.6,101.0,66.3,0.51,0.571,0.591,56.7,71.4,4.5,8.6,0.571,18.7,37.0,0.327,0.441,15.6,27.3,0.431
11.0,11.0,2023-12-12,,Tabor College,REG (Non-Conf),W,80.0,57.0,,30.0,64.0,0.469,6.0,24.0,0.25,24.0,40.0,0.6,0.516,14.0,18.0,0.778,13.0,30.0,43.0,18.0,6.0,6.0,6.0,6.0,20.0,60.0,0.333,9.0,26.0,0.346,11.0,34.0,0.324,0.408,8.0,9.0,0.889,6.0,20.0,26.0,13.0,4.0,1.0,10.0,13.0,119.6,85.2,66.9,0.281,0.375,0.551,62.3,60.0,9.0,17.6,0.516,7.6,39.4,0.219,0.408,13.5,16.7,0.133
12.0,12.0,2023-12-16,@,Bowling Green,REG (Non-Conf),L,69.0,79.0,,28.0,71.0,0.394,8.0,28.0,0.286,20.0,43.0,0.465,0.451,5.0,7.0,0.714,12.0,24.0,36.0,13.0,2.0,6.0,9.0,18.0,27.0,62.0,0.435,7.0,26.0,0.269,20.0,36.0,0.556,0.492,18.0,21.0,0.857,7.0,28.0,35.0,11.0,8.0,1.0,6.0,14.0,97.0,111.0,71.2,0.099,0.394,0.464,50.7,46.4,2.8,16.7,0.451,10.8,30.0,0.07,0.492,7.7,22.6,0.29
13.0,13.0,2023-12-20,@,East Tennessee State,REG (Non-Conf),L,57.0,70.0,,16.0,56.0,0.286,8.0,24.0,0.333,8.0,32.0,0.25,0.357,17.0,21.0,0.81,13.0,31.0,44.0,6.0,3.0,4.0,17.0,19.0,22.0,65.0,0.338,6.0,26.0,0.231,16.0,39.0,0.41,0.385,20.0,26.0,0.769,12.0,26.0,38.0,11.0,9.0,9.0,6.0,17.0,80.7,99.1,70.7,0.375,0.429,0.432,53.7,37.5,4.2,10.3,0.357,20.5,33.3,0.304,0.385,7.2,27.9,0.308
14.0,14.0,2023-12-29,,Oral Roberts,REG (Conf),W,77.0,60.0,,31.0,70.0,0.443,10.0,27.0,0.37,21.0,43.0,0.488,0.514,5.0,11.0,0.455,15.0,30.0,45.0,19.0,8.0,6.0,7.0,12.0,23.0,56.0,0.411,6.0,17.0,0.353,17.0,39.0,0.436,0.464,8.0,10.0,0.8,2.0,23.0,25.0,12.0,4.0,4.0,14.0,14.0,110.0,85.7,70.0,0.157,0.386,0.512,64.3,61.3,11.4,15.4,0.514,8.5,39.5,0.071,0.464,18.7,6.3,0.143
15.0,15.0,2023-12-31,@,St. Thomas,REG (Conf),L,56.0,77.0,,19.0,56.0,0.339,6.0,27.0,0.222,13.0,29.0,0.448,0.393,12.0,15.0,0.8,17.0,24.0,41.0,15.0,2.0,4.0,16.0,19.0,26.0,52.0,0.5,6.0,17.0,0.353,20.0,35.0,0.571,0.558,19.0,25.0,0.76,3.0,18.0,21.0,12.0,8.0,1.0,4.0,20.0,88.2,121.3,63.5,0.268,0.482,0.444,66.1,78.9,3.1,11.4,0.393,20.2,48.6,0.214,0.558,5.9,11.1,0.365
16.0,16.0,2024-01-03,@,Sacramento State,REG (Non-Conf),L,64.0,67.0,,21.0,59.0,0.356,5.0,26.0,0.192,16.0,33.0,0.485,0.398,17.0,23.0,0.739,14.0,20.0,34.0,7.0,5.0,2.0,10.0,18.0,27.0,47.0,0.574,3.0,12.0,0.25,24.0,35.0,0.686,0.606,10.0,17.0,0.588,5.0,24.0,29.0,13.0,2.0,3.0,16.0,19.0,97.0,101.5,66.0,0.39,0.441,0.458,54.0,33.3,7.6,5.7,0.398,12.5,36.8,0.288,0.606,22.5,20.0,0.213
17.0,17.0,2024-01-06,,Portland State,REG (Non-Conf),W,83.0,67.0,,31.0,65.0,0.477,9.0,22.0,0.409,22.0,43.0,0.512,0.546,12.0,15.0,0.8,10.0,28.0,38.0,17.0,5.0,8.0,8.0,18.0,21.0,59.0,0.356,6.0,21.0,0.286,15.0,38.0,0.395,0.407,19.0,28.0,0.679,8.0,21.0,29.0,9.0,3.0,0.0,12.0,16.0,113.4,91.5,73.2,0.231,0.338,0.575,56.7,54.8,6.8,21.1,0.546,10.0,32.3,0.185,0.407,14.2,22.2,0.322
18.0,18.0,2024-01-11,,North Dakota State,REG (Conf),L,91.0,92.0,2OT,29.0,68.0,0.426,8.0,29.0,0.276,21.0,39.0,0.538,0.485,25.0,31.0,0.806,7.0,28.0,35.0,16.0,9.0,5.0,9.0,25.0,34.0,64.0,0.531,8.0,17.0,0.471,26.0,47.0,0.553,0.594,16.0,30.0,0.533,9.0,24.0,33.0,14.0,1.0,1.0,13.0,22.0,109.0,110.2,66.8,0.456,0.426,0.55,51.5,55.2,10.8,10.6,0.485,9.8,22.6,0.368,0.594,14.2,24.3,0.25
19.0,19.0,2024-01-13,,North Dakota,REG (Conf),L,69.0,82.0,,29.0,65.0,0.446,7.0,26.0,0.269,22.0,39.0,0.564,0.5,4.0,5.0,0.8,9.0,20.0,29.0,12.0,6.0,4.0,13.0,17.0,29.0,59.0,0.492,7.0,16.0,0.438,22.0,43.0,0.512,0.551,17.0,21.0,0.81,9.0,21.0,30.0,10.0,11.0,0.0,7.0,10.0,99.7,118.5,69.2,0.077,0.4,0.512,49.2,41.4,8.7,9.3,0.5,16.2,30.0,0.062,0.551,9.2,31.0,0.288
