Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,N,Southern California,REG (Non-Conf),L,69.0,82.0,,22.0,71.0,0.31,8.0,33.0,0.242,14.0,38.0,0.368,0.366,17.0,24.0,0.708,19.0,20.0,39.0,14.0,9.0,2.0,17.0,23.0,31.0,60.0,0.517,5.0,20.0,0.25,26.0,40.0,0.65,0.558,15.0,19.0,0.789,8.0,27.0,35.0,17.0,8.0,8.0,18.0,19.0,86.6,102.9,79.7,0.338,0.465,0.419,52.7,63.6,11.3,5.0,0.366,17.1,41.3,0.239,0.558,20.7,28.6,0.25
2.0,2.0,2023-11-10,,Bellarmine,REG (Non-Conf),W,83.0,75.0,,28.0,63.0,0.444,12.0,31.0,0.387,16.0,32.0,0.5,0.54,15.0,22.0,0.682,13.0,20.0,33.0,18.0,10.0,1.0,13.0,11.0,30.0,62.0,0.484,8.0,19.0,0.421,22.0,43.0,0.512,0.548,7.0,8.0,0.875,8.0,21.0,29.0,18.0,9.0,2.0,14.0,18.0,114.3,103.3,72.6,0.349,0.492,0.565,53.2,64.3,13.8,2.3,0.54,15.0,38.2,0.238,0.548,17.5,28.6,0.113
3.0,3.0,2023-11-13,,South Dakota State,REG (Non-Conf),W,91.0,68.0,,35.0,61.0,0.574,14.0,25.0,0.56,21.0,36.0,0.583,0.689,7.0,9.0,0.778,6.0,29.0,35.0,24.0,9.0,6.0,17.0,17.0,27.0,65.0,0.415,7.0,21.0,0.333,20.0,44.0,0.455,0.469,7.0,15.0,0.467,11.0,16.0,27.0,13.0,12.0,5.0,13.0,13.0,121.0,90.4,75.2,0.148,0.41,0.697,56.5,68.6,12.0,13.6,0.689,20.7,27.3,0.115,0.469,15.3,27.5,0.108
4.0,4.0,2023-11-17,N,Providence,REG (Non-Conf),W,73.0,70.0,OT,21.0,57.0,0.368,8.0,22.0,0.364,13.0,35.0,0.371,0.439,23.0,27.0,0.852,8.0,24.0,32.0,11.0,7.0,4.0,19.0,22.0,24.0,68.0,0.353,5.0,22.0,0.227,19.0,46.0,0.413,0.39,17.0,24.0,0.708,15.0,23.0,38.0,8.0,5.0,8.0,15.0,23.0,91.1,87.4,71.2,0.474,0.386,0.523,45.7,52.4,8.7,8.7,0.439,21.4,25.8,0.404,0.39,15.9,38.5,0.25
5.0,5.0,2023-11-19,N,Miami (FL),REG (Non-Conf),L,83.0,91.0,,33.0,67.0,0.493,4.0,28.0,0.143,29.0,39.0,0.744,0.522,13.0,17.0,0.765,12.0,21.0,33.0,13.0,3.0,5.0,12.0,18.0,32.0,60.0,0.533,12.0,24.0,0.5,20.0,36.0,0.556,0.633,15.0,18.0,0.833,2.0,23.0,25.0,13.0,6.0,2.0,8.0,19.0,110.9,121.6,74.8,0.254,0.418,0.553,56.9,39.4,4.0,13.9,0.522,13.8,34.3,0.194,0.633,10.5,8.7,0.25
6.0,6.0,2023-11-22,,Central Arkansas,REG (Non-Conf),W,100.0,56.0,,38.0,75.0,0.507,10.0,29.0,0.345,28.0,46.0,0.609,0.573,14.0,23.0,0.609,21.0,31.0,52.0,21.0,5.0,4.0,10.0,10.0,19.0,68.0,0.279,8.0,33.0,0.242,11.0,35.0,0.314,0.338,10.0,13.0,0.769,11.0,12.0,23.0,9.0,9.0,6.0,9.0,20.0,136.0,76.1,73.6,0.307,0.387,0.582,69.3,55.3,6.8,11.4,0.573,10.4,63.6,0.187,0.338,10.8,26.2,0.147
7.0,7.0,2023-11-28,,Oral Roberts,REG (Non-Conf),W,88.0,78.0,OT,30.0,67.0,0.448,9.0,29.0,0.31,21.0,38.0,0.553,0.515,19.0,23.0,0.826,16.0,23.0,39.0,18.0,5.0,4.0,12.0,9.0,30.0,58.0,0.517,10.0,21.0,0.476,20.0,37.0,0.541,0.603,8.0,11.0,0.727,4.0,21.0,25.0,15.0,7.0,3.0,10.0,19.0,122.9,109.0,63.6,0.343,0.433,0.565,60.9,60.0,7.0,10.8,0.515,13.3,43.2,0.284,0.603,13.7,14.8,0.138
8.0,8.0,2023-12-02,,North Alabama,REG (Non-Conf),W,75.0,74.0,OT,19.0,54.0,0.352,3.0,18.0,0.167,16.0,36.0,0.444,0.38,34.0,48.0,0.708,10.0,23.0,33.0,13.0,7.0,3.0,9.0,22.0,21.0,60.0,0.35,10.0,28.0,0.357,11.0,32.0,0.344,0.433,22.0,28.0,0.786,15.0,28.0,43.0,13.0,7.0,2.0,17.0,28.0,99.3,97.9,67.2,0.889,0.333,0.488,43.4,68.4,9.3,9.4,0.38,10.5,26.3,0.63,0.433,18.8,39.5,0.367
9.0,9.0,2023-12-05,,Villanova,REG (Non-Conf),W,72.0,71.0,OT,29.0,59.0,0.492,8.0,22.0,0.364,21.0,37.0,0.568,0.559,6.0,6.0,1.0,4.0,29.0,33.0,15.0,6.0,4.0,15.0,13.0,23.0,66.0,0.348,11.0,31.0,0.355,12.0,35.0,0.343,0.432,14.0,17.0,0.824,13.0,24.0,37.0,13.0,8.0,2.0,11.0,10.0,99.4,98.0,64.4,0.102,0.373,0.582,47.1,51.7,8.3,11.4,0.559,19.5,14.3,0.102,0.432,12.9,31.0,0.212
10.0,10.0,2023-12-09,@,Louisiana State,REG (Non-Conf),W,75.0,60.0,,26.0,55.0,0.473,8.0,24.0,0.333,18.0,31.0,0.581,0.545,15.0,22.0,0.682,12.0,22.0,34.0,15.0,8.0,5.0,17.0,15.0,22.0,53.0,0.415,6.0,20.0,0.3,16.0,33.0,0.485,0.472,10.0,15.0,0.667,5.0,18.0,23.0,10.0,10.0,3.0,15.0,17.0,106.7,85.4,70.3,0.4,0.436,0.573,59.6,57.7,11.4,15.2,0.545,20.6,40.0,0.273,0.472,20.0,18.5,0.189
