Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,North Carolina Central,REG (Non-Conf),W,99.0,56.0,,39.0,56.0,0.696,13.0,23.0,0.565,26.0,33.0,0.788,0.813,8.0,10.0,0.8,3.0,33.0,36.0,34.0,4.0,3.0,10.0,13.0,20.0,57.0,0.351,6.0,23.0,0.261,14.0,34.0,0.412,0.404,10.0,18.0,0.556,9.0,12.0,21.0,7.0,7.0,1.0,8.0,13.0,149.7,84.7,66.2,0.179,0.411,0.815,63.2,87.2,6.0,8.8,0.813,14.1,20.0,0.143,0.404,10.9,21.4,0.175
2.0,2.0,2023-11-10,,Manhattan,REG (Non-Conf),W,99.0,61.0,,38.0,67.0,0.567,10.0,26.0,0.385,28.0,41.0,0.683,0.642,13.0,16.0,0.813,11.0,32.0,43.0,25.0,7.0,9.0,14.0,15.0,23.0,68.0,0.338,8.0,26.0,0.308,15.0,42.0,0.357,0.397,7.0,11.0,0.636,9.0,20.0,29.0,10.0,5.0,1.0,16.0,16.0,125.5,77.3,78.9,0.239,0.388,0.664,59.7,65.8,8.9,21.4,0.642,15.8,35.5,0.194,0.397,17.9,22.0,0.103
3.0,3.0,2023-11-14,N,Kentucky,REG (Non-Conf),W,89.0,84.0,,28.0,59.0,0.475,6.0,18.0,0.333,22.0,41.0,0.537,0.525,27.0,36.0,0.75,7.0,37.0,44.0,22.0,7.0,4.0,13.0,23.0,25.0,76.0,0.329,12.0,38.0,0.316,13.0,38.0,0.342,0.408,22.0,30.0,0.733,13.0,26.0,39.0,14.0,9.0,3.0,8.0,22.0,106.4,100.4,83.7,0.61,0.305,0.585,53.0,78.6,8.4,10.5,0.525,14.6,21.2,0.458,0.408,8.1,26.0,0.289
4.0,4.0,2023-11-20,N,Chaminade,REG (Non-Conf),W,83.0,56.0,,36.0,60.0,0.6,4.0,19.0,0.211,32.0,41.0,0.78,0.633,7.0,11.0,0.636,6.0,30.0,36.0,29.0,9.0,2.0,14.0,12.0,21.0,62.0,0.339,6.0,31.0,0.194,15.0,31.0,0.484,0.387,8.0,10.0,0.8,8.0,18.0,26.0,10.0,10.0,1.0,13.0,16.0,114.5,77.3,72.5,0.183,0.317,0.636,58.1,80.6,12.4,6.5,0.633,17.7,25.0,0.117,0.387,16.3,21.1,0.129
5.0,5.0,2023-11-21,N,Marquette,REG (Non-Conf),L,59.0,73.0,,22.0,54.0,0.407,6.0,17.0,0.353,16.0,37.0,0.432,0.463,9.0,16.0,0.563,7.0,22.0,29.0,17.0,7.0,2.0,18.0,12.0,29.0,64.0,0.453,6.0,25.0,0.24,23.0,39.0,0.59,0.5,9.0,12.0,0.75,10.0,21.0,31.0,13.0,11.0,4.0,12.0,14.0,81.8,101.2,72.2,0.296,0.315,0.479,48.3,77.3,9.7,5.1,0.463,22.6,25.0,0.167,0.5,14.7,31.3,0.141
6.0,6.0,2023-11-22,N,Tennessee,REG (Non-Conf),W,69.0,60.0,,27.0,52.0,0.519,4.0,12.0,0.333,23.0,40.0,0.575,0.558,11.0,22.0,0.5,5.0,35.0,40.0,18.0,5.0,3.0,15.0,9.0,22.0,71.0,0.31,9.0,33.0,0.273,13.0,38.0,0.342,0.373,7.0,8.0,0.875,8.0,24.0,32.0,12.0,11.0,3.0,5.0,18.0,95.7,83.2,72.1,0.423,0.231,0.552,55.6,66.7,6.9,7.9,0.558,19.4,17.2,0.212,0.373,6.3,18.6,0.099
7.0,7.0,2023-11-28,,Eastern Illinois,REG (Non-Conf),W,71.0,63.0,,28.0,56.0,0.5,3.0,14.0,0.214,25.0,42.0,0.595,0.527,12.0,18.0,0.667,9.0,22.0,31.0,24.0,11.0,11.0,10.0,11.0,23.0,59.0,0.39,9.0,22.0,0.409,14.0,37.0,0.378,0.466,8.0,10.0,0.8,10.0,21.0,31.0,12.0,5.0,4.0,14.0,20.0,106.5,94.5,66.7,0.321,0.25,0.55,50.0,85.7,16.5,29.7,0.527,13.4,30.0,0.214,0.466,18.0,31.3,0.136
8.0,8.0,2023-12-01,,Connecticut,REG (Non-Conf),W,69.0,65.0,,23.0,46.0,0.5,9.0,14.0,0.643,14.0,32.0,0.438,0.598,14.0,20.0,0.7,4.0,22.0,26.0,13.0,4.0,7.0,8.0,14.0,23.0,56.0,0.411,11.0,28.0,0.393,12.0,28.0,0.429,0.509,8.0,15.0,0.533,7.0,22.0,29.0,9.0,3.0,4.0,7.0,18.0,112.5,106.0,61.3,0.435,0.304,0.622,47.3,56.5,6.5,25.0,0.598,12.6,15.4,0.304,0.509,10.0,24.1,0.143
9.0,9.0,2023-12-05,,Kansas City,REG (Non-Conf),W,88.0,69.0,,33.0,61.0,0.541,8.0,20.0,0.4,25.0,41.0,0.61,0.607,14.0,19.0,0.737,5.0,30.0,35.0,23.0,11.0,3.0,7.0,15.0,26.0,65.0,0.4,8.0,27.0,0.296,18.0,38.0,0.474,0.462,9.0,13.0,0.692,9.0,25.0,34.0,12.0,3.0,1.0,12.0,17.0,120.4,94.4,73.1,0.311,0.328,0.628,50.7,69.7,15.0,7.9,0.607,9.1,16.7,0.23,0.462,14.4,23.1,0.138
10.0,10.0,2023-12-09,,Missouri,REG (Non-Conf),W,73.0,64.0,,25.0,56.0,0.446,3.0,10.0,0.3,22.0,46.0,0.478,0.473,20.0,23.0,0.87,11.0,24.0,35.0,16.0,6.0,4.0,16.0,16.0,24.0,58.0,0.414,7.0,21.0,0.333,17.0,37.0,0.459,0.474,9.0,13.0,0.692,5.0,18.0,23.0,11.0,8.0,5.0,12.0,19.0,102.0,89.4,71.6,0.411,0.179,0.545,60.3,64.0,8.4,10.8,0.473,19.3,37.9,0.357,0.474,15.8,17.2,0.155
11.0,11.0,2023-12-16,@,Indiana,REG (Non-Conf),W,75.0,71.0,,26.0,61.0,0.426,6.0,18.0,0.333,20.0,43.0,0.465,0.475,17.0,24.0,0.708,7.0,24.0,31.0,18.0,9.0,4.0,11.0,15.0,25.0,59.0,0.424,6.0,16.0,0.375,19.0,43.0,0.442,0.475,15.0,22.0,0.682,6.0,27.0,33.0,10.0,6.0,2.0,14.0,21.0,97.5,92.3,76.9,0.393,0.295,0.518,48.4,69.2,11.7,9.3,0.475,13.2,20.6,0.279,0.475,16.8,20.0,0.254
12.0,12.0,2023-12-22,,Yale,REG (Non-Conf),W,75.0,60.0,,27.0,57.0,0.474,9.0,20.0,0.45,18.0,37.0,0.486,0.553,12.0,12.0,1.0,6.0,21.0,27.0,18.0,10.0,6.0,11.0,12.0,23.0,54.0,0.426,8.0,21.0,0.381,15.0,33.0,0.455,0.5,6.0,8.0,0.75,7.0,16.0,23.0,13.0,7.0,6.0,13.0,10.0,114.1,91.3,65.8,0.211,0.351,0.598,54.0,66.7,15.2,18.2,0.553,14.9,27.3,0.211,0.5,18.4,25.0,0.111
13.0,13.0,2023-12-30,N,Wichita State,REG (Non-Conf),W,86.0,67.0,,31.0,74.0,0.419,7.0,27.0,0.259,24.0,47.0,0.511,0.466,17.0,19.0,0.895,14.0,29.0,43.0,23.0,10.0,2.0,8.0,15.0,28.0,66.0,0.424,4.0,20.0,0.2,24.0,46.0,0.522,0.455,7.0,14.0,0.5,4.0,28.0,32.0,13.0,7.0,2.0,14.0,14.0,107.7,83.9,79.8,0.257,0.365,0.518,57.3,74.2,12.5,4.3,0.466,8.8,33.3,0.23,0.455,16.2,12.1,0.106
