Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Oakwood,REG (Non-Conf),W,93.0,46.0,,36.0,77.0,0.468,12.0,33.0,0.364,24.0,44.0,0.545,0.545,9.0,17.0,0.529,12.0,45.0,57.0,23.0,7.0,4.0,13.0,12.0,19.0,78.0,0.244,2.0,24.0,0.083,17.0,54.0,0.315,0.256,6.0,8.0,0.75,11.0,25.0,36.0,11.0,8.0,8.0,12.0,16.0,110.1,54.5,84.4,0.221,0.429,0.547,61.3,63.9,8.3,7.4,0.545,13.3,32.4,0.117,0.256,12.8,19.6,0.077
2.0,2.0,2023-11-10,@,Florida State,REG (Non-Conf),L,67.0,94.0,,22.0,69.0,0.319,4.0,25.0,0.16,18.0,44.0,0.409,0.348,19.0,26.0,0.731,13.0,29.0,42.0,7.0,9.0,3.0,17.0,19.0,34.0,73.0,0.466,11.0,33.0,0.333,23.0,40.0,0.575,0.541,15.0,25.0,0.6,11.0,34.0,45.0,23.0,9.0,9.0,15.0,21.0,76.9,107.9,87.1,0.377,0.362,0.412,48.3,31.8,10.3,7.5,0.348,17.3,27.7,0.275,0.541,15.0,27.5,0.205
3.0,3.0,2023-11-15,,Keiser,REG (Non-Conf),W,101.0,55.0,,38.0,87.0,0.437,14.0,52.0,0.269,24.0,35.0,0.686,0.517,11.0,14.0,0.786,18.0,37.0,55.0,27.0,11.0,4.0,10.0,15.0,20.0,73.0,0.274,5.0,31.0,0.161,15.0,42.0,0.357,0.308,10.0,15.0,0.667,10.0,26.0,36.0,6.0,7.0,2.0,14.0,14.0,119.0,64.8,84.9,0.161,0.598,0.539,60.4,71.1,13.0,9.5,0.517,9.6,40.9,0.126,0.308,14.9,21.3,0.137
4.0,4.0,2023-11-19,N,Georgia Southern,REG (Non-Conf),W,96.0,92.0,,28.0,69.0,0.406,8.0,23.0,0.348,20.0,46.0,0.435,0.464,32.0,41.0,0.78,15.0,21.0,36.0,14.0,11.0,9.0,11.0,20.0,28.0,65.0,0.431,13.0,31.0,0.419,15.0,34.0,0.441,0.531,23.0,25.0,0.92,14.0,27.0,41.0,11.0,4.0,8.0,19.0,33.0,115.4,110.6,83.2,0.594,0.333,0.543,46.8,50.0,13.2,26.5,0.464,11.1,35.7,0.464,0.531,19.8,40.0,0.354
5.0,5.0,2023-11-20,N,Northeastern,REG (Non-Conf),W,79.0,77.0,,30.0,67.0,0.448,5.0,23.0,0.217,25.0,44.0,0.568,0.485,14.0,17.0,0.824,11.0,19.0,30.0,13.0,9.0,6.0,15.0,24.0,24.0,48.0,0.5,2.0,11.0,0.182,22.0,37.0,0.595,0.521,27.0,34.0,0.794,8.0,24.0,32.0,11.0,10.0,3.0,21.0,17.0,101.1,98.6,78.1,0.254,0.343,0.526,48.4,43.3,11.5,16.2,0.485,16.7,31.4,0.209,0.521,24.7,29.6,0.563
6.0,6.0,2023-11-21,@,East Carolina,REG (Non-Conf),L,84.0,85.0,,31.0,69.0,0.449,14.0,38.0,0.368,17.0,31.0,0.548,0.551,8.0,16.0,0.5,9.0,21.0,30.0,18.0,8.0,2.0,11.0,29.0,26.0,63.0,0.413,5.0,18.0,0.278,21.0,45.0,0.467,0.452,28.0,40.0,0.7,14.0,28.0,42.0,12.0,8.0,8.0,11.0,17.0,106.6,107.9,78.8,0.232,0.551,0.548,41.7,58.1,10.2,4.4,0.551,12.6,24.3,0.116,0.452,11.8,40.0,0.444
7.0,7.0,2023-11-26,@,Florida International,REG (Non-Conf),L,84.0,91.0,,28.0,71.0,0.394,10.0,35.0,0.286,18.0,36.0,0.5,0.465,18.0,28.0,0.643,15.0,21.0,36.0,14.0,12.0,5.0,11.0,20.0,32.0,57.0,0.561,7.0,19.0,0.368,25.0,38.0,0.658,0.623,20.0,28.0,0.714,7.0,26.0,33.0,15.0,8.0,6.0,18.0,22.0,104.0,112.6,80.8,0.394,0.493,0.498,52.2,50.0,14.9,13.2,0.465,11.5,36.6,0.254,0.623,20.4,25.0,0.351
8.0,8.0,2023-12-02,,Georgia State,REG (Non-Conf),W,88.0,77.0,,31.0,60.0,0.517,6.0,22.0,0.273,25.0,38.0,0.658,0.567,20.0,31.0,0.645,10.0,26.0,36.0,16.0,9.0,3.0,7.0,16.0,27.0,67.0,0.403,10.0,31.0,0.323,17.0,36.0,0.472,0.478,13.0,18.0,0.722,10.0,20.0,30.0,11.0,5.0,2.0,12.0,20.0,117.9,103.2,74.6,0.517,0.367,0.589,54.5,51.6,12.1,8.3,0.567,8.6,33.3,0.333,0.478,13.7,27.8,0.194
9.0,9.0,2023-12-05,,UNC Asheville,REG (Non-Conf),W,79.0,76.0,OT,31.0,75.0,0.413,10.0,31.0,0.323,21.0,44.0,0.477,0.48,7.0,18.0,0.389,14.0,22.0,36.0,19.0,8.0,11.0,10.0,21.0,25.0,63.0,0.397,6.0,20.0,0.3,19.0,43.0,0.442,0.444,20.0,30.0,0.667,16.0,32.0,48.0,13.0,8.0,6.0,20.0,19.0,98.3,94.5,71.5,0.24,0.413,0.473,42.9,61.3,10.0,25.6,0.48,10.7,30.4,0.093,0.444,20.6,42.1,0.317
10.0,10.0,2023-12-09,@,USC Upstate,REG (Non-Conf),W,84.0,77.0,,29.0,56.0,0.518,9.0,21.0,0.429,20.0,35.0,0.571,0.598,17.0,23.0,0.739,4.0,32.0,36.0,12.0,6.0,6.0,15.0,22.0,23.0,67.0,0.343,8.0,26.0,0.308,15.0,41.0,0.366,0.403,23.0,33.0,0.697,12.0,25.0,37.0,11.0,8.0,1.0,12.0,22.0,104.6,95.9,80.3,0.411,0.375,0.628,49.3,41.4,7.5,14.6,0.598,18.3,13.8,0.304,0.403,12.7,27.3,0.343
11.0,11.0,2023-12-16,@,Presbyterian,REG (Non-Conf),W,94.0,84.0,,28.0,49.0,0.571,11.0,26.0,0.423,17.0,23.0,0.739,0.684,27.0,38.0,0.711,4.0,25.0,29.0,16.0,4.0,1.0,15.0,18.0,33.0,60.0,0.55,6.0,21.0,0.286,27.0,39.0,0.692,0.6,12.0,21.0,0.571,3.0,21.0,24.0,14.0,6.0,2.0,11.0,29.0,120.5,107.7,78.0,0.776,0.531,0.701,54.7,57.1,5.1,2.6,0.684,18.3,16.0,0.551,0.6,13.6,10.7,0.2
