Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Malone,REG (Non-Conf),W,79.0,58.0,,27.0,59.0,0.458,5.0,23.0,0.217,22.0,36.0,0.611,0.5,20.0,24.0,0.833,16.0,24.0,40.0,7.0,7.0,3.0,12.0,9.0,22.0,57.0,0.386,10.0,30.0,0.333,12.0,27.0,0.444,0.474,4.0,6.0,0.667,8.0,13.0,21.0,14.0,4.0,1.0,16.0,22.0,117.7,86.4,67.1,0.407,0.39,0.561,65.6,25.9,10.4,11.1,0.5,14.6,55.2,0.339,0.474,21.1,25.0,0.07
2.0,2.0,2023-11-09,,James Madison,REG (Non-Conf),L,108.0,113.0,2OT,31.0,75.0,0.413,11.0,28.0,0.393,20.0,47.0,0.426,0.487,35.0,48.0,0.729,10.0,33.0,43.0,22.0,4.0,4.0,16.0,29.0,36.0,77.0,0.468,17.0,35.0,0.486,19.0,42.0,0.452,0.578,24.0,36.0,0.667,6.0,33.0,39.0,24.0,10.0,3.0,11.0,32.0,106.5,111.4,81.2,0.64,0.373,0.552,52.4,71.0,3.9,9.5,0.487,14.1,23.3,0.467,0.578,10.5,15.4,0.312
3.0,3.0,2023-11-11,,Fresno State,REG (Non-Conf),W,79.0,69.0,,28.0,58.0,0.483,11.0,27.0,0.407,17.0,31.0,0.548,0.578,12.0,16.0,0.75,7.0,12.0,19.0,13.0,10.0,2.0,12.0,15.0,27.0,45.0,0.6,7.0,16.0,0.438,20.0,29.0,0.69,0.678,8.0,13.0,0.615,5.0,22.0,27.0,15.0,10.0,2.0,19.0,17.0,116.4,101.6,67.9,0.276,0.466,0.602,41.3,46.4,14.7,6.9,0.578,15.5,24.1,0.207,0.678,27.1,29.4,0.178
4.0,4.0,2023-11-17,N,Hampton,REG (Non-Conf),W,100.0,62.0,,35.0,65.0,0.538,12.0,26.0,0.462,23.0,39.0,0.59,0.631,18.0,23.0,0.783,12.0,26.0,38.0,19.0,8.0,1.0,9.0,17.0,19.0,52.0,0.365,9.0,25.0,0.36,10.0,27.0,0.37,0.452,15.0,20.0,0.75,7.0,15.0,22.0,14.0,6.0,0.0,15.0,18.0,140.4,87.1,71.2,0.354,0.4,0.659,63.3,54.3,11.2,3.7,0.631,10.6,44.4,0.277,0.452,19.6,21.2,0.288
5.0,5.0,2023-11-19,N,Missouri State,REG (Non-Conf),L,52.0,56.0,,22.0,67.0,0.328,3.0,22.0,0.136,19.0,45.0,0.422,0.351,5.0,12.0,0.417,10.0,19.0,29.0,8.0,8.0,4.0,9.0,23.0,18.0,54.0,0.333,7.0,22.0,0.318,11.0,32.0,0.344,0.398,13.0,23.0,0.565,14.0,34.0,48.0,13.0,5.0,5.0,19.0,18.0,73.4,79.1,70.8,0.179,0.328,0.358,37.7,36.4,11.3,12.5,0.351,11.0,22.7,0.075,0.398,22.6,42.4,0.241
6.0,6.0,2023-11-20,N,Fordham,REG (Non-Conf),W,79.0,72.0,,22.0,51.0,0.431,6.0,18.0,0.333,16.0,33.0,0.485,0.49,29.0,35.0,0.829,9.0,23.0,32.0,12.0,12.0,3.0,20.0,27.0,21.0,58.0,0.362,9.0,27.0,0.333,12.0,31.0,0.387,0.44,21.0,35.0,0.6,15.0,16.0,31.0,9.0,10.0,2.0,19.0,25.0,100.5,91.6,78.6,0.686,0.353,0.584,50.8,54.5,15.3,9.7,0.49,22.8,36.0,0.569,0.44,20.3,39.5,0.362
7.0,7.0,2023-11-26,,College of Charleston,REG (Non-Conf),L,78.0,84.0,,28.0,56.0,0.5,6.0,21.0,0.286,22.0,35.0,0.629,0.554,16.0,20.0,0.8,8.0,23.0,31.0,10.0,7.0,3.0,12.0,15.0,29.0,65.0,0.446,13.0,32.0,0.406,16.0,33.0,0.485,0.546,13.0,15.0,0.867,12.0,17.0,29.0,17.0,7.0,2.0,11.0,15.0,110.9,119.5,70.3,0.357,0.375,0.595,51.7,35.7,10.0,9.1,0.554,15.5,32.0,0.286,0.546,13.2,34.3,0.2
8.0,8.0,2023-11-30,,Shawnee St,REG (Non-Conf),W,103.0,61.0,,38.0,66.0,0.576,10.0,25.0,0.4,28.0,41.0,0.683,0.652,17.0,19.0,0.895,10.0,24.0,34.0,23.0,18.0,3.0,11.0,20.0,23.0,47.0,0.489,2.0,14.0,0.143,21.0,33.0,0.636,0.511,13.0,23.0,0.565,6.0,17.0,23.0,9.0,9.0,1.0,25.0,17.0,134.7,79.8,76.5,0.288,0.379,0.686,59.6,60.5,23.5,9.1,0.652,12.8,37.0,0.258,0.511,30.1,20.0,0.277
9.0,9.0,2023-12-05,@,South Dakota State,REG (Non-Conf),W,82.0,73.0,,25.0,58.0,0.431,10.0,27.0,0.37,15.0,31.0,0.484,0.517,22.0,24.0,0.917,11.0,26.0,37.0,12.0,8.0,2.0,15.0,16.0,26.0,62.0,0.419,8.0,28.0,0.286,18.0,34.0,0.529,0.484,13.0,19.0,0.684,10.0,20.0,30.0,12.0,6.0,3.0,12.0,19.0,112.0,99.7,73.2,0.414,0.466,0.591,55.2,48.0,10.9,5.9,0.517,17.8,35.5,0.379,0.484,14.5,27.8,0.21
10.0,10.0,2023-12-09,,Cleveland State,REG (Non-Conf),W,83.0,77.0,,31.0,56.0,0.554,5.0,14.0,0.357,26.0,42.0,0.619,0.598,16.0,27.0,0.593,15.0,27.0,42.0,16.0,6.0,2.0,19.0,18.0,31.0,66.0,0.47,8.0,23.0,0.348,23.0,43.0,0.535,0.53,7.0,18.0,0.389,11.0,14.0,25.0,10.0,12.0,2.0,10.0,24.0,113.4,105.2,73.2,0.482,0.25,0.603,62.7,51.6,8.2,4.7,0.598,21.6,51.7,0.286,0.53,11.8,28.9,0.106
