Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,New Mexico State,REG (Non-Conf),W,86.0,46.0,,32.0,65.0,0.492,9.0,29.0,0.31,23.0,36.0,0.639,0.562,13.0,19.0,0.684,8.0,31.0,39.0,17.0,13.0,3.0,6.0,11.0,18.0,56.0,0.321,5.0,23.0,0.217,13.0,33.0,0.394,0.366,5.0,5.0,1.0,6.0,25.0,31.0,10.0,2.0,2.0,18.0,16.0,120.8,64.6,71.2,0.292,0.446,0.581,55.7,53.1,18.3,9.1,0.562,7.5,24.2,0.2,0.366,23.6,16.2,0.089
2.0,2.0,2023-11-10,,Texas A&M–Commerce,REG (Non-Conf),W,81.0,61.0,,32.0,67.0,0.478,8.0,23.0,0.348,24.0,44.0,0.545,0.537,9.0,10.0,0.9,8.0,26.0,34.0,12.0,8.0,3.0,3.0,10.0,23.0,56.0,0.411,10.0,27.0,0.37,13.0,29.0,0.448,0.5,5.0,11.0,0.455,6.0,23.0,29.0,12.0,1.0,2.0,14.0,12.0,119.1,89.7,68.0,0.149,0.343,0.564,54.0,37.5,11.8,10.3,0.537,4.0,25.8,0.134,0.5,18.6,18.8,0.089
3.0,3.0,2023-11-14,N,Kansas,REG (Non-Conf),L,84.0,89.0,,25.0,76.0,0.329,12.0,38.0,0.316,13.0,38.0,0.342,0.408,22.0,30.0,0.733,13.0,26.0,39.0,14.0,9.0,3.0,8.0,22.0,28.0,59.0,0.475,6.0,18.0,0.333,22.0,41.0,0.537,0.525,27.0,36.0,0.75,7.0,37.0,44.0,22.0,7.0,4.0,13.0,23.0,100.4,106.4,83.7,0.395,0.5,0.465,47.0,56.0,10.8,7.3,0.408,8.1,26.0,0.289,0.525,14.6,21.2,0.458
4.0,4.0,2023-11-17,,Stonehill,REG (Non-Conf),W,101.0,67.0,,39.0,61.0,0.639,17.0,32.0,0.531,22.0,29.0,0.759,0.779,6.0,8.0,0.75,4.0,31.0,35.0,26.0,8.0,6.0,14.0,8.0,24.0,64.0,0.375,11.0,39.0,0.282,13.0,25.0,0.52,0.461,8.0,12.0,0.667,7.0,16.0,23.0,14.0,9.0,3.0,13.0,8.0,134.2,89.0,75.3,0.131,0.525,0.779,60.3,66.7,10.6,24.0,0.779,17.8,20.0,0.098,0.461,15.7,18.4,0.125
5.0,5.0,2023-11-20,,Saint Joseph's,REG (Non-Conf),W,96.0,88.0,OT,33.0,64.0,0.516,12.0,25.0,0.48,21.0,39.0,0.538,0.609,18.0,27.0,0.667,5.0,27.0,32.0,24.0,12.0,8.0,9.0,10.0,32.0,75.0,0.427,15.0,37.0,0.405,17.0,38.0,0.447,0.527,9.0,12.0,0.75,12.0,27.0,39.0,20.0,5.0,3.0,14.0,21.0,117.4,107.6,72.7,0.422,0.391,0.625,45.1,72.7,14.7,21.1,0.609,10.5,15.6,0.281,0.527,14.8,30.8,0.12
6.0,6.0,2023-11-24,,Marshall,REG (Non-Conf),W,118.0,82.0,,45.0,74.0,0.608,16.0,27.0,0.593,29.0,47.0,0.617,0.716,12.0,15.0,0.8,9.0,26.0,35.0,27.0,11.0,6.0,9.0,16.0,29.0,69.0,0.42,9.0,26.0,0.346,20.0,43.0,0.465,0.486,15.0,23.0,0.652,13.0,20.0,33.0,18.0,6.0,5.0,16.0,13.0,143.9,100.0,82.0,0.203,0.365,0.727,51.5,60.0,13.4,14.0,0.716,10.0,31.0,0.162,0.486,16.7,33.3,0.217
7.0,7.0,2023-11-28,,Miami (FL),REG (Non-Conf),W,95.0,73.0,,37.0,62.0,0.597,9.0,21.0,0.429,28.0,41.0,0.683,0.669,12.0,17.0,0.706,6.0,23.0,29.0,26.0,9.0,5.0,7.0,18.0,26.0,59.0,0.441,5.0,19.0,0.263,21.0,40.0,0.525,0.483,16.0,21.0,0.762,10.0,22.0,32.0,8.0,5.0,1.0,15.0,15.0,131.0,100.7,72.5,0.274,0.339,0.678,47.5,70.3,12.4,12.5,0.669,9.1,21.4,0.194,0.483,17.9,30.3,0.271
8.0,8.0,2023-12-02,,UNC Wilmington,REG (Non-Conf),L,73.0,80.0,,24.0,59.0,0.407,5.0,17.0,0.294,19.0,42.0,0.452,0.449,20.0,25.0,0.8,7.0,29.0,36.0,14.0,6.0,4.0,13.0,19.0,28.0,65.0,0.431,11.0,31.0,0.355,17.0,34.0,0.5,0.515,13.0,20.0,0.65,8.0,29.0,37.0,9.0,6.0,0.0,11.0,21.0,94.6,103.6,77.2,0.424,0.288,0.515,49.3,58.3,7.8,11.8,0.449,15.5,19.4,0.339,0.515,12.9,21.6,0.2
9.0,9.0,2023-12-09,N,Pennsylvania,REG (Non-Conf),W,81.0,66.0,,34.0,69.0,0.493,8.0,20.0,0.4,26.0,49.0,0.531,0.551,5.0,10.0,0.5,11.0,26.0,37.0,16.0,9.0,5.0,10.0,13.0,26.0,57.0,0.456,9.0,28.0,0.321,17.0,29.0,0.586,0.535,5.0,9.0,0.556,5.0,24.0,29.0,18.0,8.0,4.0,15.0,15.0,112.5,91.7,72.0,0.145,0.29,0.549,56.1,47.1,12.5,17.2,0.551,11.9,31.4,0.072,0.535,19.7,16.1,0.088
10.0,10.0,2023-12-16,N,North Carolina,REG (Non-Conf),W,87.0,83.0,,30.0,72.0,0.417,8.0,23.0,0.348,22.0,49.0,0.449,0.472,19.0,26.0,0.731,13.0,22.0,35.0,15.0,7.0,9.0,13.0,19.0,27.0,57.0,0.474,8.0,24.0,0.333,19.0,33.0,0.576,0.544,21.0,27.0,0.778,5.0,25.0,30.0,12.0,7.0,5.0,17.0,22.0,104.7,99.9,83.1,0.361,0.319,0.516,53.8,50.0,8.4,27.3,0.472,13.4,34.2,0.264,0.544,19.6,18.5,0.368
