Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Portland,REG (Non-Conf),L,73.0,78.0,,25.0,69.0,0.362,8.0,29.0,0.276,17.0,40.0,0.425,0.42,15.0,23.0,0.652,13.0,21.0,34.0,14.0,8.0,3.0,14.0,26.0,23.0,53.0,0.434,7.0,30.0,0.233,16.0,23.0,0.696,0.5,25.0,31.0,0.806,6.0,29.0,35.0,13.0,5.0,4.0,16.0,20.0,92.0,98.3,79.3,0.333,0.42,0.457,49.3,56.0,10.1,13.0,0.42,14.9,31.0,0.217,0.5,19.1,22.2,0.472
2.0,2.0,2023-11-11,@,DePaul,REG (Non-Conf),W,77.0,73.0,,28.0,61.0,0.459,4.0,14.0,0.286,24.0,47.0,0.511,0.492,17.0,26.0,0.654,12.0,27.0,39.0,11.0,4.0,3.0,14.0,18.0,26.0,59.0,0.441,7.0,21.0,0.333,19.0,38.0,0.5,0.5,14.0,20.0,0.7,5.0,20.0,25.0,16.0,6.0,8.0,11.0,21.0,102.8,97.4,74.9,0.426,0.23,0.525,60.9,39.3,5.3,7.9,0.492,16.0,37.5,0.279,0.5,13.8,15.6,0.237
3.0,3.0,2023-11-14,@,San Diego State,REG (Non-Conf),L,76.0,88.0,,27.0,54.0,0.5,7.0,17.0,0.412,20.0,37.0,0.541,0.565,15.0,20.0,0.75,3.0,19.0,22.0,10.0,12.0,4.0,18.0,25.0,28.0,58.0,0.483,9.0,24.0,0.375,19.0,34.0,0.559,0.56,23.0,30.0,0.767,10.0,22.0,32.0,20.0,11.0,3.0,15.0,19.0,97.6,113.0,77.9,0.37,0.315,0.598,40.7,37.0,15.4,11.8,0.565,22.1,12.0,0.278,0.56,17.2,34.5,0.397
4.0,4.0,2023-11-17,@,Michigan,REG (Non-Conf),W,94.0,86.0,,37.0,66.0,0.561,8.0,17.0,0.471,29.0,49.0,0.592,0.621,12.0,17.0,0.706,11.0,17.0,28.0,12.0,10.0,7.0,12.0,17.0,31.0,66.0,0.47,9.0,28.0,0.321,22.0,38.0,0.579,0.538,15.0,25.0,0.6,13.0,21.0,34.0,17.0,4.0,1.0,15.0,18.0,121.3,111.0,77.5,0.258,0.258,0.634,45.2,32.4,12.9,18.4,0.621,13.9,34.4,0.182,0.538,16.2,43.3,0.227
5.0,5.0,2023-11-20,N,Illinois State,REG (Non-Conf),L,52.0,61.0,,23.0,65.0,0.354,4.0,20.0,0.2,19.0,45.0,0.422,0.385,2.0,5.0,0.4,15.0,24.0,39.0,10.0,8.0,4.0,21.0,23.0,20.0,57.0,0.351,8.0,27.0,0.296,12.0,30.0,0.4,0.421,13.0,27.0,0.481,12.0,23.0,35.0,12.0,11.0,2.0,18.0,13.0,69.7,81.8,74.6,0.077,0.308,0.386,52.7,43.5,10.7,13.3,0.385,23.8,39.5,0.031,0.421,20.5,33.3,0.228
6.0,6.0,2023-11-21,N,Iona,REG (Non-Conf),W,80.0,76.0,,27.0,57.0,0.474,7.0,18.0,0.389,20.0,39.0,0.513,0.535,19.0,30.0,0.633,6.0,27.0,33.0,15.0,14.0,5.0,15.0,19.0,28.0,65.0,0.431,7.0,29.0,0.241,21.0,36.0,0.583,0.485,13.0,18.0,0.722,11.0,24.0,35.0,15.0,9.0,1.0,17.0,23.0,100.1,95.1,79.9,0.526,0.316,0.561,48.5,55.6,17.5,13.9,0.535,17.4,20.0,0.333,0.485,18.8,28.9,0.2
7.0,7.0,2023-11-22,N,Louisiana,REG (Non-Conf),L,82.0,92.0,,33.0,61.0,0.541,5.0,11.0,0.455,28.0,50.0,0.56,0.582,11.0,17.0,0.647,9.0,21.0,30.0,18.0,5.0,4.0,10.0,12.0,34.0,68.0,0.5,18.0,37.0,0.486,16.0,31.0,0.516,0.632,6.0,8.0,0.75,12.0,18.0,30.0,20.0,5.0,3.0,8.0,19.0,118.9,133.5,68.9,0.279,0.18,0.594,50.0,54.5,7.3,12.9,0.582,12.6,33.3,0.18,0.632,10.0,36.4,0.088
8.0,8.0,2023-11-26,@,Montana State,REG (Non-Conf),W,75.0,69.0,,29.0,61.0,0.475,2.0,13.0,0.154,27.0,48.0,0.563,0.492,15.0,20.0,0.75,6.0,22.0,28.0,13.0,10.0,2.0,4.0,12.0,27.0,53.0,0.509,13.0,30.0,0.433,14.0,23.0,0.609,0.632,2.0,4.0,0.5,2.0,28.0,30.0,15.0,3.0,3.0,15.0,19.0,110.0,101.2,68.2,0.328,0.213,0.532,48.3,44.8,14.7,8.7,0.492,5.4,17.6,0.246,0.632,21.5,8.3,0.038
9.0,9.0,2023-12-02,,Sacramento State,REG (Non-Conf),W,83.0,73.0,,33.0,68.0,0.485,6.0,23.0,0.261,27.0,45.0,0.6,0.529,11.0,19.0,0.579,11.0,26.0,37.0,23.0,6.0,2.0,8.0,20.0,24.0,58.0,0.414,8.0,28.0,0.286,16.0,30.0,0.533,0.483,17.0,26.0,0.654,12.0,25.0,37.0,15.0,4.0,4.0,15.0,22.0,112.6,99.1,73.7,0.279,0.338,0.539,50.0,69.7,8.1,6.7,0.529,9.4,30.6,0.162,0.483,17.6,31.6,0.293
10.0,10.0,2023-12-06,,Life Pacific,REG (Non-Conf),W,88.0,66.0,,35.0,76.0,0.461,5.0,26.0,0.192,30.0,50.0,0.6,0.493,13.0,25.0,0.52,14.0,35.0,49.0,21.0,14.0,3.0,17.0,10.0,28.0,71.0,0.394,9.0,30.0,0.3,19.0,41.0,0.463,0.458,1.0,2.0,0.5,6.0,27.0,33.0,15.0,14.0,3.0,22.0,17.0,98.4,73.8,89.4,0.329,0.342,0.501,59.8,60.0,15.7,7.3,0.493,16.2,34.1,0.171,0.458,23.4,14.6,0.014
