Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
2.0,2.0,2023-11-10,,Air Force,REG (Non-Conf),L,67.0,82.0,,23.0,61.0,0.377,6.0,17.0,0.353,17.0,44.0,0.386,0.426,15.0,24.0,0.625,11.0,21.0,32.0,19.0,7.0,3.0,10.0,19.0,28.0,55.0,0.509,10.0,23.0,0.435,18.0,32.0,0.563,0.6,16.0,23.0,0.696,8.0,29.0,37.0,22.0,4.0,7.0,12.0,20.0,94.8,116.0,70.7,0.393,0.279,0.463,46.4,82.6,9.9,9.4,0.426,12.1,27.5,0.246,0.6,15.4,27.6,0.291
3.0,3.0,2023-11-13,@,Pepperdine,REG (Non-Conf),L,53.0,88.0,,15.0,53.0,0.283,4.0,15.0,0.267,11.0,38.0,0.289,0.321,19.0,25.0,0.76,2.0,27.0,29.0,5.0,9.0,0.0,15.0,22.0,27.0,67.0,0.403,9.0,19.0,0.474,18.0,48.0,0.375,0.47,25.0,28.0,0.893,13.0,36.0,49.0,14.0,6.0,3.0,13.0,17.0,67.0,111.3,79.1,0.472,0.283,0.408,37.2,33.3,11.4,0.0,0.321,18.8,5.3,0.358,0.47,13.9,32.5,0.373
4.0,4.0,2023-11-15,@,UCLA,REG (Non-Conf),L,58.0,78.0,,18.0,51.0,0.353,6.0,19.0,0.316,12.0,32.0,0.375,0.412,16.0,21.0,0.762,2.0,13.0,15.0,7.0,8.0,1.0,12.0,23.0,30.0,54.0,0.556,0.0,6.0,0.0,30.0,48.0,0.625,0.556,18.0,25.0,0.72,10.0,29.0,39.0,15.0,9.0,7.0,14.0,18.0,82.4,110.8,70.4,0.412,0.373,0.476,27.8,38.9,11.4,2.1,0.412,16.4,6.5,0.314,0.556,17.5,43.5,0.333
5.0,5.0,2023-11-21,@,Columbia,REG (Non-Conf),L,67.0,77.0,,26.0,63.0,0.413,6.0,23.0,0.261,20.0,40.0,0.5,0.46,9.0,13.0,0.692,6.0,23.0,29.0,11.0,3.0,4.0,16.0,27.0,22.0,50.0,0.44,5.0,17.0,0.294,17.0,33.0,0.515,0.49,28.0,39.0,0.718,8.0,29.0,37.0,14.0,7.0,3.0,14.0,15.0,87.2,100.2,76.9,0.206,0.365,0.484,43.9,42.3,3.9,12.1,0.46,18.8,17.1,0.143,0.49,17.0,25.8,0.56
6.0,6.0,2023-11-24,N,Texas A&M–Corpus Christi,REG (Non-Conf),W,83.0,68.0,,25.0,55.0,0.455,12.0,29.0,0.414,13.0,26.0,0.5,0.564,21.0,25.0,0.84,6.0,24.0,30.0,13.0,6.0,3.0,14.0,21.0,23.0,64.0,0.359,1.0,15.0,0.067,22.0,49.0,0.449,0.367,21.0,30.0,0.7,13.0,22.0,35.0,5.0,7.0,0.0,11.0,23.0,109.8,90.0,75.6,0.455,0.527,0.621,46.2,52.0,7.9,6.1,0.564,17.3,21.4,0.382,0.367,12.3,35.1,0.328
7.0,7.0,2023-11-25,@,Northern Kentucky,REG (Non-Conf),L,64.0,72.0,,27.0,54.0,0.5,6.0,17.0,0.353,21.0,37.0,0.568,0.556,4.0,7.0,0.571,2.0,26.0,28.0,10.0,7.0,0.0,18.0,19.0,25.0,58.0,0.431,3.0,17.0,0.176,22.0,41.0,0.537,0.457,19.0,26.0,0.731,8.0,21.0,29.0,14.0,13.0,5.0,9.0,10.0,88.5,99.5,72.3,0.13,0.315,0.558,49.1,37.0,9.7,0.0,0.556,23.9,8.7,0.074,0.457,11.3,23.5,0.328
8.0,8.0,2023-12-02,@,Florida International,REG (Non-Conf),L,59.0,74.0,,22.0,49.0,0.449,4.0,15.0,0.267,18.0,34.0,0.529,0.49,11.0,19.0,0.579,6.0,30.0,36.0,4.0,4.0,3.0,27.0,16.0,28.0,65.0,0.431,4.0,20.0,0.2,24.0,45.0,0.533,0.462,14.0,22.0,0.636,9.0,20.0,29.0,15.0,19.0,5.0,9.0,16.0,76.4,95.8,77.2,0.388,0.306,0.508,55.4,18.2,5.2,6.7,0.49,31.8,23.1,0.224,0.462,10.7,23.1,0.215
9.0,9.0,2023-12-06,@,Miami (FL),REG (Non-Conf),L,49.0,97.0,,19.0,62.0,0.306,3.0,23.0,0.13,16.0,39.0,0.41,0.331,8.0,11.0,0.727,10.0,22.0,32.0,12.0,10.0,3.0,16.0,15.0,37.0,65.0,0.569,11.0,26.0,0.423,26.0,39.0,0.667,0.654,12.0,19.0,0.632,10.0,33.0,43.0,19.0,8.0,4.0,12.0,10.0,65.7,130.0,74.6,0.177,0.371,0.364,42.7,63.2,13.4,7.7,0.331,19.2,23.3,0.129,0.654,13.9,31.3,0.185
10.0,10.0,2023-12-12,@,UMass Lowell,REG (Non-Conf),L,65.0,78.0,,27.0,66.0,0.409,6.0,21.0,0.286,21.0,45.0,0.467,0.455,5.0,9.0,0.556,7.0,20.0,27.0,11.0,6.0,2.0,4.0,22.0,30.0,61.0,0.492,2.0,14.0,0.143,28.0,47.0,0.596,0.508,16.0,24.0,0.667,16.0,32.0,48.0,9.0,3.0,0.0,13.0,10.0,95.1,114.1,68.3,0.136,0.318,0.462,36.0,40.7,8.8,4.3,0.455,5.4,17.9,0.076,0.508,15.2,44.4,0.262
11.0,11.0,2023-12-16,@,Rutgers,REG (Non-Conf),L,61.0,83.0,,25.0,60.0,0.417,6.0,20.0,0.3,19.0,40.0,0.475,0.467,5.0,8.0,0.625,5.0,25.0,30.0,13.0,7.0,3.0,17.0,20.0,33.0,67.0,0.493,4.0,20.0,0.2,29.0,47.0,0.617,0.522,13.0,26.0,0.5,12.0,29.0,41.0,18.0,9.0,8.0,9.0,8.0,80.2,109.1,76.1,0.133,0.333,0.478,42.3,52.0,9.2,6.4,0.467,21.0,14.7,0.083,0.522,10.2,32.4,0.194
