Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Westcliff,REG (Non-Conf),W,109.0,68.0,,42.0,73.0,0.575,9.0,25.0,0.36,33.0,48.0,0.688,0.637,16.0,25.0,0.64,11.0,30.0,41.0,15.0,10.0,3.0,10.0,26.0,21.0,52.0,0.404,5.0,19.0,0.263,16.0,33.0,0.485,0.452,21.0,33.0,0.636,4.0,20.0,24.0,3.0,6.0,3.0,19.0,22.0,130.9,81.7,83.3,0.342,0.342,0.642,63.1,35.7,12.0,9.1,0.637,10.5,35.5,0.219,0.452,21.9,11.8,0.404
2.0,2.0,2023-11-12,,Yale,REG (Non-Conf),L,80.0,83.0,,29.0,59.0,0.492,9.0,25.0,0.36,20.0,34.0,0.588,0.568,13.0,18.0,0.722,5.0,20.0,25.0,11.0,3.0,4.0,9.0,24.0,27.0,55.0,0.491,5.0,8.0,0.625,22.0,47.0,0.468,0.536,24.0,30.0,0.8,4.0,25.0,29.0,8.0,4.0,3.0,7.0,16.0,111.3,115.4,71.9,0.305,0.424,0.592,46.3,37.9,4.2,8.5,0.568,11.8,16.7,0.22,0.536,9.2,16.7,0.436
3.0,3.0,2023-11-14,,Jackson State,REG (Non-Conf),W,88.0,66.0,,29.0,59.0,0.492,15.0,33.0,0.455,14.0,26.0,0.538,0.619,15.0,24.0,0.625,12.0,34.0,46.0,21.0,9.0,3.0,13.0,19.0,23.0,60.0,0.383,5.0,18.0,0.278,18.0,42.0,0.429,0.425,15.0,20.0,0.75,6.0,22.0,28.0,13.0,7.0,2.0,12.0,20.0,119.8,89.9,73.5,0.407,0.559,0.625,62.2,72.4,12.3,7.1,0.619,15.6,35.3,0.254,0.425,14.7,15.0,0.25
4.0,4.0,2023-11-19,N,Stephen F. Austin,REG (Non-Conf),L,76.0,86.0,,25.0,54.0,0.463,10.0,22.0,0.455,15.0,32.0,0.469,0.556,16.0,20.0,0.8,8.0,18.0,26.0,11.0,6.0,1.0,13.0,21.0,28.0,59.0,0.475,8.0,19.0,0.421,20.0,40.0,0.5,0.542,22.0,29.0,0.759,11.0,19.0,30.0,14.0,8.0,4.0,10.0,19.0,108.4,122.6,70.1,0.37,0.407,0.598,46.4,44.0,8.6,2.5,0.556,17.0,29.6,0.296,0.542,12.1,37.9,0.373
5.0,5.0,2023-11-20,N,Oakland,REG (Non-Conf),L,69.0,74.0,,21.0,53.0,0.396,9.0,29.0,0.31,12.0,24.0,0.5,0.481,18.0,23.0,0.783,8.0,23.0,31.0,10.0,0.0,0.0,8.0,16.0,25.0,59.0,0.424,10.0,22.0,0.455,15.0,37.0,0.405,0.508,14.0,15.0,0.933,7.0,25.0,32.0,13.0,5.0,2.0,8.0,20.0,105.3,112.9,65.5,0.434,0.547,0.54,49.2,47.6,0.0,0.0,0.481,11.1,24.2,0.34,0.508,10.8,23.3,0.237
6.0,6.0,2023-11-21,N,Florida International,REG (Non-Conf),W,61.0,60.0,,19.0,48.0,0.396,4.0,19.0,0.211,15.0,29.0,0.517,0.438,19.0,22.0,0.864,10.0,22.0,32.0,7.0,5.0,4.0,19.0,12.0,27.0,64.0,0.422,3.0,16.0,0.188,24.0,48.0,0.5,0.445,3.0,6.0,0.5,9.0,15.0,24.0,12.0,11.0,2.0,11.0,18.0,89.5,88.0,68.2,0.458,0.396,0.522,57.1,36.8,7.3,8.3,0.438,24.5,40.0,0.396,0.445,14.1,29.0,0.047
7.0,7.0,2023-11-25,,UTEP,REG (Non-Conf),W,67.0,47.0,,21.0,55.0,0.382,7.0,26.0,0.269,14.0,29.0,0.483,0.445,18.0,25.0,0.72,8.0,30.0,38.0,10.0,4.0,4.0,12.0,18.0,16.0,53.0,0.302,2.0,17.0,0.118,14.0,36.0,0.389,0.321,13.0,19.0,0.684,6.0,24.0,30.0,8.0,8.0,4.0,13.0,19.0,95.8,67.2,70.0,0.455,0.473,0.501,55.9,47.6,5.7,11.1,0.445,15.2,25.0,0.327,0.321,17.3,16.7,0.245
8.0,8.0,2023-11-29,,Central Arkansas,REG (Non-Conf),W,90.0,63.0,,29.0,65.0,0.446,13.0,26.0,0.5,16.0,39.0,0.41,0.546,19.0,22.0,0.864,14.0,27.0,41.0,19.0,8.0,2.0,11.0,12.0,24.0,70.0,0.343,7.0,27.0,0.259,17.0,43.0,0.395,0.393,8.0,9.0,0.889,13.0,19.0,32.0,11.0,9.0,2.0,13.0,17.0,122.7,85.9,73.4,0.338,0.4,0.596,56.2,65.5,10.9,4.7,0.546,12.7,42.4,0.292,0.393,14.9,32.5,0.114
9.0,9.0,2023-12-02,@,Nevada,REG (Non-Conf),L,59.0,73.0,,20.0,59.0,0.339,9.0,30.0,0.3,11.0,29.0,0.379,0.415,10.0,14.0,0.714,8.0,25.0,33.0,11.0,2.0,5.0,12.0,27.0,25.0,56.0,0.446,2.0,8.0,0.25,23.0,48.0,0.479,0.464,21.0,27.0,0.778,7.0,23.0,30.0,17.0,6.0,7.0,4.0,15.0,87.1,107.8,67.7,0.237,0.508,0.449,52.4,55.0,3.0,10.4,0.415,15.5,25.8,0.169,0.464,5.5,21.9,0.375
10.0,10.0,2023-12-09,@,UNLV,REG (Non-Conf),W,78.0,75.0,,27.0,61.0,0.443,7.0,17.0,0.412,20.0,44.0,0.455,0.5,17.0,24.0,0.708,11.0,26.0,37.0,12.0,3.0,5.0,9.0,15.0,30.0,63.0,0.476,7.0,18.0,0.389,23.0,45.0,0.511,0.532,8.0,12.0,0.667,5.0,22.0,27.0,15.0,6.0,7.0,9.0,18.0,109.0,104.8,71.6,0.393,0.279,0.539,57.8,44.4,4.2,11.1,0.5,11.1,33.3,0.279,0.532,11.6,16.1,0.127
11.0,11.0,2023-12-16,N,UC Santa Barbara,REG (Non-Conf),L,59.0,68.0,,24.0,59.0,0.407,6.0,20.0,0.3,18.0,39.0,0.462,0.458,5.0,14.0,0.357,5.0,24.0,29.0,12.0,3.0,2.0,8.0,13.0,28.0,63.0,0.444,4.0,11.0,0.364,24.0,52.0,0.462,0.476,8.0,12.0,0.667,12.0,32.0,44.0,9.0,6.0,4.0,8.0,15.0,88.5,102.0,66.7,0.237,0.339,0.449,39.7,50.0,4.5,3.8,0.458,10.9,13.5,0.085,0.476,10.4,33.3,0.127
12.0,12.0,2023-12-18,,Detroit Mercy,REG (Non-Conf),W,76.0,56.0,,29.0,58.0,0.5,7.0,17.0,0.412,22.0,41.0,0.537,0.56,11.0,13.0,0.846,13.0,33.0,46.0,11.0,4.0,4.0,16.0,18.0,17.0,60.0,0.283,5.0,19.0,0.263,12.0,41.0,0.293,0.325,17.0,22.0,0.773,10.0,15.0,25.0,6.0,10.0,3.0,11.0,17.0,109.6,80.8,69.3,0.224,0.293,0.592,64.8,37.9,5.8,9.8,0.56,20.0,46.4,0.19,0.325,13.5,23.3,0.283
13.0,13.0,2023-12-22,,Colorado State,REG (Non-Conf),L,67.0,76.0,,23.0,53.0,0.434,12.0,26.0,0.462,11.0,27.0,0.407,0.547,9.0,15.0,0.6,8.0,18.0,26.0,10.0,3.0,4.0,9.0,17.0,30.0,53.0,0.566,6.0,18.0,0.333,24.0,35.0,0.686,0.623,10.0,13.0,0.769,4.0,20.0,24.0,21.0,3.0,3.0,8.0,17.0,107.8,122.3,62.2,0.283,0.491,0.557,52.0,43.5,4.8,11.4,0.547,13.0,28.6,0.17,0.623,11.9,18.2,0.189
14.0,14.0,2023-12-29,,Tarleton State,REG (Non-Conf),L,66.0,79.0,,26.0,63.0,0.413,4.0,23.0,0.174,22.0,40.0,0.55,0.444,10.0,14.0,0.714,14.0,13.0,27.0,11.0,4.0,2.0,6.0,15.0,32.0,55.0,0.582,4.0,12.0,0.333,28.0,43.0,0.651,0.618,11.0,15.0,0.733,9.0,19.0,28.0,18.0,1.0,4.0,6.0,16.0,109.3,130.8,60.4,0.222,0.365,0.474,49.1,42.3,6.6,4.7,0.444,7.9,42.4,0.159,0.618,8.8,40.9,0.2
15.0,15.0,2024-01-04,,Santa Clara,REG (Conf),L,57.0,68.0,,17.0,57.0,0.298,4.0,22.0,0.182,13.0,35.0,0.371,0.333,19.0,25.0,0.76,10.0,24.0,34.0,8.0,6.0,1.0,7.0,13.0,25.0,58.0,0.431,7.0,21.0,0.333,18.0,37.0,0.486,0.491,11.0,14.0,0.786,8.0,32.0,40.0,11.0,4.0,4.0,9.0,17.0,86.7,103.4,65.8,0.439,0.386,0.414,45.9,47.1,9.1,2.7,0.333,9.2,23.8,0.333,0.491,12.2,25.0,0.19
