Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Mississippi Valley State,REG (Non-Conf),W,106.0,60.0,,34.0,59.0,0.576,14.0,26.0,0.538,20.0,33.0,0.606,0.695,24.0,34.0,0.706,12.0,26.0,38.0,19.0,12.0,5.0,12.0,21.0,21.0,55.0,0.382,6.0,15.0,0.4,15.0,40.0,0.375,0.436,12.0,23.0,0.522,12.0,17.0,29.0,5.0,7.0,2.0,18.0,22.0,144.1,81.6,73.5,0.576,0.441,0.705,56.7,55.9,16.3,12.5,0.695,13.8,41.4,0.407,0.436,21.4,31.6,0.218
2.0,2.0,2023-11-10,,Nicholls State,REG (Non-Conf),L,66.0,68.0,,22.0,56.0,0.393,3.0,19.0,0.158,19.0,37.0,0.514,0.42,19.0,26.0,0.731,11.0,19.0,30.0,5.0,11.0,2.0,13.0,12.0,21.0,49.0,0.429,12.0,30.0,0.4,9.0,19.0,0.474,0.551,14.0,15.0,0.933,6.0,15.0,21.0,11.0,9.0,2.0,19.0,22.0,94.6,97.5,69.7,0.464,0.339,0.483,58.8,22.7,15.8,10.5,0.42,16.0,42.3,0.339,0.551,25.3,24.0,0.286
3.0,3.0,2023-11-16,N,Dayton,REG (Non-Conf),L,67.0,70.0,,26.0,49.0,0.531,7.0,16.0,0.438,19.0,33.0,0.576,0.602,8.0,12.0,0.667,4.0,23.0,27.0,13.0,8.0,4.0,14.0,18.0,22.0,56.0,0.393,11.0,34.0,0.324,11.0,22.0,0.5,0.491,15.0,22.0,0.682,11.0,19.0,30.0,12.0,9.0,2.0,10.0,11.0,103.0,107.6,65.1,0.245,0.327,0.612,47.4,50.0,12.3,18.2,0.602,20.4,17.4,0.163,0.491,13.1,32.4,0.268
4.0,4.0,2023-11-17,N,North Texas,REG (Non-Conf),W,66.0,62.0,,24.0,48.0,0.5,4.0,13.0,0.308,20.0,35.0,0.571,0.542,14.0,18.0,0.778,6.0,25.0,31.0,10.0,8.0,1.0,13.0,12.0,19.0,60.0,0.317,12.0,32.0,0.375,7.0,28.0,0.25,0.417,12.0,12.0,1.0,11.0,19.0,30.0,9.0,4.0,3.0,10.0,17.0,102.9,96.7,64.1,0.375,0.271,0.584,50.8,41.7,12.5,3.6,0.542,18.7,24.0,0.292,0.417,13.2,30.6,0.2
5.0,5.0,2023-11-19,N,Wake Forest,REG (Non-Conf),W,86.0,80.0,OT,29.0,71.0,0.408,7.0,18.0,0.389,22.0,53.0,0.415,0.458,21.0,31.0,0.677,16.0,24.0,40.0,7.0,13.0,7.0,11.0,22.0,28.0,60.0,0.467,8.0,23.0,0.348,20.0,37.0,0.541,0.533,16.0,20.0,0.8,7.0,27.0,34.0,15.0,6.0,8.0,18.0,19.0,106.7,99.2,71.7,0.437,0.254,0.502,54.1,24.1,16.1,18.9,0.458,11.4,37.2,0.296,0.533,20.6,22.6,0.267
6.0,6.0,2023-11-24,,North Florida,REG (Non-Conf),W,75.0,63.0,,23.0,50.0,0.46,4.0,14.0,0.286,19.0,36.0,0.528,0.5,25.0,32.0,0.781,10.0,32.0,42.0,11.0,10.0,9.0,15.0,15.0,23.0,65.0,0.354,11.0,35.0,0.314,12.0,30.0,0.4,0.438,6.0,10.0,0.6,13.0,21.0,34.0,8.0,11.0,2.0,13.0,21.0,107.2,90.0,70.0,0.64,0.28,0.575,55.3,47.8,14.3,30.0,0.5,18.7,32.3,0.5,0.438,15.7,28.9,0.092
7.0,7.0,2023-11-28,@,Syracuse,REG (Non-Conf),L,57.0,80.0,,24.0,61.0,0.393,2.0,22.0,0.091,22.0,39.0,0.564,0.41,7.0,10.0,0.7,11.0,22.0,33.0,8.0,9.0,2.0,18.0,19.0,25.0,63.0,0.397,11.0,21.0,0.524,14.0,42.0,0.333,0.484,19.0,23.0,0.826,15.0,25.0,40.0,16.0,9.0,8.0,14.0,13.0,78.3,109.8,72.8,0.164,0.361,0.433,45.2,33.3,12.4,4.8,0.41,21.5,30.6,0.115,0.484,15.9,40.5,0.302
8.0,8.0,2023-12-01,,Southeastern Louisiana,REG (Non-Conf),W,73.0,66.0,,22.0,45.0,0.489,8.0,23.0,0.348,14.0,22.0,0.636,0.578,21.0,29.0,0.724,9.0,26.0,35.0,10.0,7.0,6.0,17.0,19.0,22.0,61.0,0.361,8.0,31.0,0.258,14.0,30.0,0.467,0.426,14.0,16.0,0.875,11.0,17.0,28.0,14.0,9.0,1.0,10.0,23.0,108.7,98.2,67.2,0.644,0.511,0.621,55.6,45.5,10.4,20.0,0.578,22.4,34.6,0.467,0.426,12.7,29.7,0.23
9.0,9.0,2023-12-09,,Kansas State,REG (Non-Conf),L,60.0,75.0,,22.0,53.0,0.415,6.0,20.0,0.3,16.0,33.0,0.485,0.472,10.0,15.0,0.667,5.0,18.0,23.0,10.0,10.0,3.0,15.0,17.0,26.0,55.0,0.473,8.0,24.0,0.333,18.0,31.0,0.581,0.545,15.0,22.0,0.682,12.0,22.0,34.0,15.0,8.0,5.0,17.0,15.0,85.4,106.7,70.3,0.283,0.377,0.499,40.4,45.5,14.2,9.7,0.472,20.0,18.5,0.189,0.545,20.6,40.0,0.273
10.0,10.0,2023-12-13,,Alabama State,REG (Non-Conf),W,74.0,56.0,,25.0,48.0,0.521,9.0,23.0,0.391,16.0,25.0,0.64,0.615,15.0,23.0,0.652,6.0,28.0,34.0,11.0,9.0,3.0,14.0,16.0,22.0,61.0,0.361,9.0,26.0,0.346,13.0,35.0,0.371,0.434,3.0,8.0,0.375,11.0,18.0,29.0,10.0,5.0,1.0,13.0,18.0,110.7,83.8,66.9,0.479,0.479,0.628,54.0,44.0,13.5,8.6,0.615,19.2,25.0,0.313,0.434,16.7,28.2,0.049
