Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Drexel,REG (Non-Conf),W,67.0,61.0,,25.0,57.0,0.439,6.0,15.0,0.4,19.0,42.0,0.452,0.491,11.0,18.0,0.611,8.0,20.0,28.0,11.0,6.0,4.0,11.0,13.0,24.0,58.0,0.414,4.0,17.0,0.235,20.0,41.0,0.488,0.448,9.0,16.0,0.563,11.0,25.0,36.0,16.0,6.0,2.0,12.0,16.0,99.1,90.3,67.6,0.316,0.263,0.511,43.8,44.0,8.9,9.8,0.491,14.4,24.2,0.193,0.448,15.5,35.5,0.155
2.0,2.0,2023-11-11,,Northeastern,REG (Non-Conf),W,79.0,74.0,,29.0,60.0,0.483,9.0,24.0,0.375,20.0,36.0,0.556,0.558,12.0,12.0,1.0,6.0,14.0,20.0,19.0,6.0,6.0,4.0,17.0,27.0,62.0,0.435,8.0,21.0,0.381,19.0,41.0,0.463,0.5,12.0,20.0,0.6,16.0,23.0,39.0,11.0,3.0,5.0,11.0,14.0,121.4,113.7,65.1,0.2,0.4,0.601,33.9,65.5,9.2,14.6,0.558,5.7,20.7,0.2,0.5,13.3,53.3,0.194
3.0,3.0,2023-11-14,,Bucknell,REG (Non-Conf),W,69.0,57.0,,23.0,54.0,0.426,8.0,26.0,0.308,15.0,28.0,0.536,0.5,15.0,26.0,0.577,6.0,25.0,31.0,17.0,8.0,1.0,11.0,25.0,18.0,48.0,0.375,6.0,21.0,0.286,12.0,27.0,0.444,0.438,15.0,24.0,0.625,6.0,23.0,29.0,10.0,3.0,1.0,16.0,25.0,98.0,81.0,70.4,0.481,0.481,0.52,51.7,73.9,11.4,3.7,0.5,14.2,20.7,0.278,0.438,21.2,19.4,0.313
4.0,4.0,2023-11-18,,Southern Indiana,REG (Non-Conf),W,79.0,78.0,,27.0,57.0,0.474,7.0,18.0,0.389,20.0,39.0,0.513,0.535,18.0,21.0,0.857,3.0,20.0,23.0,13.0,4.0,3.0,7.0,13.0,32.0,60.0,0.533,10.0,23.0,0.435,22.0,37.0,0.595,0.617,4.0,6.0,0.667,4.0,24.0,28.0,20.0,3.0,3.0,11.0,19.0,112.2,110.8,70.4,0.368,0.316,0.59,45.1,48.1,5.7,8.1,0.535,9.5,11.1,0.316,0.617,14.9,16.7,0.067
5.0,5.0,2023-11-21,@,Duke,REG (Non-Conf),L,66.0,95.0,,24.0,58.0,0.414,6.0,24.0,0.25,18.0,34.0,0.529,0.466,12.0,17.0,0.706,3.0,20.0,23.0,11.0,3.0,1.0,9.0,16.0,36.0,67.0,0.537,9.0,22.0,0.409,27.0,45.0,0.6,0.604,14.0,20.0,0.7,9.0,30.0,39.0,21.0,4.0,3.0,5.0,18.0,91.3,131.4,72.3,0.293,0.414,0.499,37.1,45.8,4.2,2.2,0.466,12.0,9.1,0.207,0.604,6.1,31.0,0.209
6.0,6.0,2023-11-26,,Coppin State,REG (Non-Conf),W,81.0,62.0,,29.0,60.0,0.483,11.0,25.0,0.44,18.0,35.0,0.514,0.575,12.0,20.0,0.6,14.0,20.0,34.0,17.0,10.0,1.0,11.0,15.0,21.0,45.0,0.467,5.0,11.0,0.455,16.0,34.0,0.471,0.522,15.0,18.0,0.833,4.0,12.0,16.0,12.0,8.0,2.0,13.0,18.0,125.5,96.1,64.5,0.333,0.417,0.583,68.0,58.6,15.5,2.9,0.575,13.7,53.8,0.2,0.522,19.5,16.7,0.333
7.0,7.0,2023-11-29,@,Temple,REG (Non-Conf),L,99.0,106.0,3OT,32.0,86.0,0.372,9.0,31.0,0.29,23.0,55.0,0.418,0.424,26.0,35.0,0.743,15.0,40.0,55.0,11.0,5.0,5.0,17.0,36.0,34.0,96.0,0.354,7.0,34.0,0.206,27.0,62.0,0.435,0.391,31.0,46.0,0.674,22.0,36.0,58.0,11.0,1.0,5.0,10.0,32.0,94.1,100.7,76.5,0.407,0.36,0.482,48.7,34.4,4.8,8.1,0.424,14.2,29.4,0.302,0.391,7.8,35.5,0.323
8.0,8.0,2023-12-02,N,Pennsylvania,REG (Non-Conf),W,93.0,92.0,OT,36.0,65.0,0.554,10.0,23.0,0.435,26.0,42.0,0.619,0.631,11.0,14.0,0.786,7.0,23.0,30.0,16.0,5.0,4.0,11.0,13.0,37.0,68.0,0.544,12.0,25.0,0.48,25.0,43.0,0.581,0.632,6.0,12.0,0.5,9.0,19.0,28.0,19.0,4.0,2.0,9.0,13.0,124.5,123.2,66.4,0.215,0.354,0.649,51.7,44.4,6.7,9.3,0.631,13.3,26.9,0.169,0.632,10.9,28.1,0.088
9.0,9.0,2023-12-06,,Loyola (MD),REG (Non-Conf),W,62.0,61.0,,25.0,61.0,0.41,9.0,28.0,0.321,16.0,33.0,0.485,0.484,3.0,6.0,0.5,8.0,25.0,33.0,16.0,4.0,3.0,12.0,12.0,24.0,64.0,0.375,6.0,17.0,0.353,18.0,47.0,0.383,0.422,7.0,14.0,0.5,9.0,26.0,35.0,16.0,7.0,2.0,9.0,9.0,89.5,88.1,69.3,0.098,0.459,0.486,48.5,64.0,5.8,6.4,0.484,15.8,23.5,0.049,0.422,11.3,26.5,0.109
10.0,10.0,2023-12-09,@,Lafayette,REG (Non-Conf),W,67.0,51.0,,22.0,62.0,0.355,15.0,37.0,0.405,7.0,25.0,0.28,0.476,8.0,9.0,0.889,7.0,26.0,33.0,14.0,12.0,0.0,10.0,11.0,20.0,57.0,0.351,6.0,22.0,0.273,14.0,35.0,0.4,0.404,5.0,5.0,1.0,7.0,30.0,37.0,9.0,6.0,6.0,15.0,11.0,98.1,74.6,68.3,0.145,0.597,0.505,47.1,63.6,17.6,0.0,0.476,13.1,18.9,0.129,0.404,20.2,21.2,0.088
