Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Colorado State,REG (Non-Conf),L,73.0,81.0,,29.0,65.0,0.446,7.0,24.0,0.292,22.0,41.0,0.537,0.5,8.0,10.0,0.8,13.0,24.0,37.0,13.0,7.0,2.0,13.0,23.0,26.0,51.0,0.51,6.0,16.0,0.375,20.0,35.0,0.571,0.569,23.0,26.0,0.885,0.0,22.0,22.0,19.0,7.0,3.0,10.0,14.0,102.0,113.2,71.6,0.154,0.369,0.523,62.7,44.8,9.8,5.7,0.5,15.7,37.1,0.123,0.569,13.6,0.0,0.451
2.0,2.0,2023-11-13,,Lyon,REG (Non-Conf),W,100.0,43.0,,38.0,73.0,0.521,12.0,31.0,0.387,26.0,42.0,0.619,0.603,12.0,21.0,0.571,11.0,30.0,41.0,23.0,15.0,3.0,6.0,17.0,15.0,48.0,0.313,3.0,13.0,0.231,12.0,35.0,0.343,0.344,10.0,20.0,0.5,5.0,24.0,29.0,5.0,3.0,3.0,22.0,15.0,131.2,56.4,76.2,0.288,0.425,0.603,58.6,60.5,19.7,8.6,0.603,6.7,31.4,0.164,0.344,27.7,14.3,0.208
3.0,3.0,2023-11-16,@,Louisiana–Monroe,REG (Non-Conf),W,73.0,63.0,,22.0,51.0,0.431,9.0,26.0,0.346,13.0,25.0,0.52,0.52,20.0,28.0,0.714,7.0,27.0,34.0,17.0,6.0,3.0,13.0,19.0,23.0,63.0,0.365,4.0,18.0,0.222,19.0,45.0,0.422,0.397,13.0,21.0,0.619,13.0,25.0,38.0,15.0,11.0,1.0,8.0,21.0,105.6,91.1,69.1,0.549,0.51,0.568,47.2,77.3,8.7,6.7,0.52,16.8,21.9,0.392,0.397,9.9,32.5,0.206
4.0,4.0,2023-11-21,,Southern Utah,REG (Non-Conf),W,67.0,53.0,,24.0,51.0,0.471,3.0,12.0,0.25,21.0,39.0,0.538,0.5,16.0,24.0,0.667,7.0,28.0,35.0,11.0,10.0,5.0,10.0,16.0,19.0,59.0,0.322,6.0,22.0,0.273,13.0,37.0,0.351,0.373,9.0,14.0,0.643,10.0,19.0,29.0,5.0,5.0,1.0,11.0,18.0,101.5,80.3,66.0,0.471,0.235,0.537,54.7,45.8,15.1,13.5,0.5,13.8,26.9,0.314,0.373,14.4,26.3,0.153
5.0,5.0,2023-11-22,,McNeese State,REG (Non-Conf),W,71.0,62.0,,19.0,47.0,0.404,10.0,27.0,0.37,9.0,20.0,0.45,0.511,23.0,29.0,0.793,10.0,21.0,31.0,15.0,7.0,6.0,11.0,11.0,25.0,56.0,0.446,6.0,22.0,0.273,19.0,34.0,0.559,0.5,6.0,9.0,0.667,5.0,20.0,25.0,8.0,8.0,4.0,10.0,22.0,111.8,97.6,63.5,0.617,0.574,0.584,55.4,78.9,11.0,17.6,0.511,15.3,33.3,0.489,0.5,14.2,19.2,0.107
6.0,6.0,2023-11-25,,Dillard,REG (Non-Conf),W,105.0,65.0,,39.0,71.0,0.549,12.0,26.0,0.462,27.0,45.0,0.6,0.634,15.0,20.0,0.75,16.0,29.0,45.0,19.0,15.0,2.0,12.0,14.0,22.0,61.0,0.361,8.0,24.0,0.333,14.0,37.0,0.378,0.426,13.0,15.0,0.867,10.0,18.0,28.0,4.0,6.0,1.0,19.0,13.0,136.7,84.6,76.8,0.282,0.366,0.652,61.6,48.7,19.5,5.4,0.634,13.0,47.1,0.211,0.426,21.8,25.6,0.213
7.0,7.0,2023-11-29,@,New Mexico,REG (Non-Conf),L,65.0,74.0,,21.0,59.0,0.356,8.0,19.0,0.421,13.0,40.0,0.325,0.424,15.0,21.0,0.714,8.0,25.0,33.0,8.0,5.0,6.0,11.0,19.0,25.0,66.0,0.379,9.0,24.0,0.375,16.0,42.0,0.381,0.447,15.0,22.0,0.682,12.0,30.0,42.0,16.0,8.0,8.0,9.0,20.0,89.4,101.8,72.7,0.356,0.322,0.471,44.0,38.1,6.9,14.3,0.424,13.8,21.1,0.254,0.447,10.5,32.4,0.227
8.0,8.0,2023-12-02,,Nicholls State,REG (Non-Conf),W,68.0,55.0,,23.0,59.0,0.39,8.0,24.0,0.333,15.0,35.0,0.429,0.458,14.0,21.0,0.667,14.0,28.0,42.0,12.0,7.0,4.0,12.0,13.0,17.0,50.0,0.34,7.0,19.0,0.368,10.0,31.0,0.323,0.41,14.0,21.0,0.667,6.0,20.0,26.0,8.0,7.0,6.0,13.0,15.0,101.5,82.1,67.0,0.356,0.407,0.493,61.8,52.2,10.5,12.9,0.458,14.8,41.2,0.237,0.41,17.8,17.6,0.28
9.0,9.0,2023-12-05,@,Stephen F. Austin,REG (Non-Conf),W,56.0,49.0,,15.0,40.0,0.375,4.0,14.0,0.286,11.0,26.0,0.423,0.425,22.0,36.0,0.611,5.0,29.0,34.0,6.0,4.0,6.0,14.0,24.0,14.0,64.0,0.219,1.0,18.0,0.056,13.0,46.0,0.283,0.227,20.0,32.0,0.625,14.0,25.0,39.0,3.0,5.0,4.0,11.0,27.0,78.7,68.9,71.2,0.9,0.35,0.49,46.6,40.0,5.6,13.0,0.425,19.7,16.7,0.55,0.227,12.2,32.6,0.313
10.0,10.0,2023-12-09,,Louisiana,REG (Non-Conf),W,72.0,67.0,,21.0,49.0,0.429,6.0,19.0,0.316,15.0,30.0,0.5,0.49,24.0,37.0,0.649,16.0,22.0,38.0,12.0,9.0,3.0,19.0,16.0,26.0,56.0,0.464,8.0,21.0,0.381,18.0,35.0,0.514,0.536,7.0,11.0,0.636,5.0,16.0,21.0,12.0,14.0,3.0,16.0,26.0,101.6,94.5,70.9,0.755,0.388,0.541,64.4,57.1,12.7,8.6,0.49,22.2,50.0,0.49,0.536,20.7,18.5,0.125
