Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Saint Joseph's,REG (Non-Conf),L,60.0,81.0,,20.0,54.0,0.37,8.0,28.0,0.286,12.0,26.0,0.462,0.444,12.0,19.0,0.632,10.0,22.0,32.0,11.0,6.0,4.0,15.0,19.0,29.0,63.0,0.46,12.0,34.0,0.353,17.0,29.0,0.586,0.556,11.0,21.0,0.524,8.0,22.0,30.0,21.0,8.0,0.0,8.0,18.0,85.1,114.9,70.5,0.352,0.519,0.476,51.6,55.0,8.5,13.8,0.444,19.2,31.3,0.222,0.556,9.9,26.7,0.175
2.0,2.0,2023-11-10,@,UCLA,REG (Non-Conf),L,50.0,68.0,,17.0,52.0,0.327,8.0,30.0,0.267,9.0,22.0,0.409,0.404,8.0,12.0,0.667,8.0,22.0,30.0,10.0,3.0,3.0,14.0,22.0,22.0,51.0,0.431,5.0,14.0,0.357,17.0,37.0,0.459,0.48,19.0,25.0,0.76,6.0,24.0,30.0,7.0,6.0,0.0,7.0,16.0,78.4,106.6,63.8,0.231,0.577,0.433,50.0,58.8,4.7,8.1,0.404,19.5,25.0,0.154,0.48,10.0,21.4,0.373
3.0,3.0,2023-11-12,@,Pepperdine,REG (Non-Conf),L,53.0,76.0,,19.0,54.0,0.352,5.0,19.0,0.263,14.0,35.0,0.4,0.398,10.0,15.0,0.667,5.0,18.0,23.0,16.0,11.0,6.0,14.0,14.0,30.0,63.0,0.476,7.0,18.0,0.389,23.0,45.0,0.511,0.532,9.0,13.0,0.692,8.0,25.0,33.0,14.0,7.0,3.0,13.0,13.0,73.5,105.3,72.2,0.278,0.352,0.434,41.1,84.2,15.2,13.3,0.398,18.6,16.7,0.185,0.532,15.8,30.8,0.143
4.0,4.0,2023-11-19,,Wilkes,REG (Non-Conf),W,69.0,53.0,,27.0,60.0,0.45,7.0,22.0,0.318,20.0,38.0,0.526,0.508,8.0,17.0,0.471,10.0,24.0,34.0,15.0,14.0,5.0,12.0,8.0,20.0,54.0,0.37,6.0,19.0,0.316,14.0,35.0,0.4,0.426,7.0,8.0,0.875,10.0,23.0,33.0,7.0,6.0,3.0,19.0,17.0,100.8,77.4,68.4,0.283,0.367,0.507,50.7,55.6,20.5,14.3,0.508,15.0,30.3,0.133,0.426,24.7,29.4,0.13
5.0,5.0,2023-11-24,@,Pennsylvania,REG (Non-Conf),L,72.0,74.0,,31.0,62.0,0.5,8.0,21.0,0.381,23.0,41.0,0.561,0.565,2.0,5.0,0.4,4.0,21.0,25.0,23.0,7.0,4.0,7.0,14.0,23.0,55.0,0.418,10.0,23.0,0.435,13.0,32.0,0.406,0.509,18.0,21.0,0.857,10.0,22.0,32.0,15.0,5.0,4.0,9.0,9.0,109.6,112.7,65.7,0.081,0.339,0.559,43.9,74.2,10.7,12.5,0.565,9.8,15.4,0.032,0.509,12.2,32.3,0.327
6.0,6.0,2023-11-25,N,Monmouth,REG (Non-Conf),L,53.0,63.0,,17.0,54.0,0.315,7.0,28.0,0.25,10.0,26.0,0.385,0.38,12.0,17.0,0.706,10.0,22.0,32.0,10.0,6.0,7.0,22.0,23.0,19.0,52.0,0.365,4.0,13.0,0.308,15.0,39.0,0.385,0.404,21.0,31.0,0.677,12.0,25.0,37.0,8.0,15.0,5.0,17.0,17.0,72.7,86.4,72.9,0.315,0.519,0.427,46.4,58.8,8.2,17.9,0.38,26.2,28.6,0.222,0.404,20.3,35.3,0.404
7.0,7.0,2023-11-26,N,Belmont,REG (Non-Conf),L,69.0,79.0,,24.0,62.0,0.387,10.0,33.0,0.303,14.0,29.0,0.483,0.468,11.0,14.0,0.786,8.0,18.0,26.0,11.0,9.0,3.0,12.0,21.0,25.0,58.0,0.431,9.0,22.0,0.409,16.0,36.0,0.444,0.509,20.0,24.0,0.833,9.0,24.0,33.0,15.0,6.0,2.0,16.0,15.0,92.6,106.0,74.5,0.226,0.532,0.503,44.1,45.8,12.1,8.3,0.468,14.9,25.0,0.177,0.509,18.7,33.3,0.345
8.0,8.0,2023-11-29,,Drexel,REG (Non-Conf),L,48.0,69.0,,18.0,60.0,0.3,5.0,19.0,0.263,13.0,41.0,0.317,0.342,7.0,12.0,0.583,9.0,20.0,29.0,11.0,3.0,3.0,4.0,15.0,26.0,56.0,0.464,6.0,19.0,0.316,20.0,37.0,0.541,0.518,11.0,15.0,0.733,10.0,32.0,42.0,10.0,4.0,5.0,12.0,11.0,76.3,109.7,62.9,0.2,0.317,0.365,40.8,61.1,4.8,8.1,0.342,5.7,22.0,0.117,0.518,16.0,33.3,0.196
9.0,9.0,2023-12-02,,Cornell,REG (Non-Conf),L,71.0,79.0,,28.0,66.0,0.424,9.0,31.0,0.29,19.0,35.0,0.543,0.492,6.0,9.0,0.667,9.0,21.0,30.0,17.0,12.0,1.0,13.0,18.0,26.0,55.0,0.473,8.0,32.0,0.25,18.0,23.0,0.783,0.545,19.0,22.0,0.864,8.0,28.0,36.0,12.0,5.0,2.0,19.0,17.0,94.2,104.8,75.4,0.136,0.47,0.505,45.5,60.7,15.9,4.3,0.492,15.6,24.3,0.091,0.545,22.5,27.6,0.345
10.0,10.0,2023-12-05,@,Columbia,REG (Non-Conf),L,72.0,83.0,,26.0,61.0,0.426,10.0,30.0,0.333,16.0,31.0,0.516,0.508,10.0,13.0,0.769,11.0,18.0,29.0,17.0,3.0,6.0,11.0,13.0,32.0,60.0,0.533,7.0,16.0,0.438,25.0,44.0,0.568,0.592,12.0,14.0,0.857,7.0,20.0,27.0,20.0,6.0,0.0,9.0,15.0,106.0,122.2,67.9,0.213,0.492,0.536,51.8,65.4,4.4,13.6,0.508,14.1,35.5,0.164,0.592,11.9,28.0,0.2
11.0,11.0,2023-12-09,,La Salle,REG (Non-Conf),L,51.0,67.0,,20.0,57.0,0.351,6.0,22.0,0.273,14.0,35.0,0.4,0.404,5.0,5.0,1.0,7.0,30.0,37.0,9.0,6.0,6.0,15.0,11.0,22.0,62.0,0.355,15.0,37.0,0.405,7.0,25.0,0.28,0.476,8.0,9.0,0.889,7.0,26.0,33.0,14.0,12.0,0.0,10.0,11.0,74.6,98.1,68.3,0.088,0.386,0.429,52.9,45.0,8.8,24.0,0.404,20.2,21.2,0.088,0.476,13.1,18.9,0.129
12.0,12.0,2023-12-21,,Quinnipiac,REG (Non-Conf),L,60.0,78.0,,24.0,59.0,0.407,3.0,21.0,0.143,21.0,38.0,0.553,0.432,9.0,12.0,0.75,6.0,23.0,29.0,10.0,4.0,7.0,13.0,15.0,29.0,62.0,0.468,7.0,18.0,0.389,22.0,44.0,0.5,0.524,13.0,20.0,0.65,12.0,29.0,41.0,13.0,9.0,2.0,10.0,15.0,85.0,110.5,70.6,0.203,0.356,0.464,41.4,41.7,5.7,15.9,0.432,16.7,17.1,0.153,0.524,12.3,34.3,0.21
13.0,13.0,2023-12-30,@,Richmond,REG (Non-Conf),L,38.0,59.0,,14.0,56.0,0.25,1.0,20.0,0.05,13.0,36.0,0.361,0.259,9.0,13.0,0.692,7.0,30.0,37.0,6.0,10.0,4.0,15.0,12.0,24.0,61.0,0.393,9.0,27.0,0.333,15.0,34.0,0.441,0.467,2.0,6.0,0.333,10.0,34.0,44.0,14.0,7.0,3.0,14.0,13.0,55.1,85.5,69.0,0.232,0.357,0.306,45.7,42.9,14.5,11.8,0.259,19.4,17.1,0.161,0.467,18.0,25.0,0.033
14.0,14.0,2024-01-03,,Army,REG (Conf),W,52.0,47.0,,21.0,52.0,0.404,3.0,13.0,0.231,18.0,39.0,0.462,0.433,7.0,10.0,0.7,5.0,21.0,26.0,10.0,8.0,3.0,7.0,11.0,16.0,45.0,0.356,5.0,17.0,0.294,11.0,28.0,0.393,0.411,10.0,13.0,0.769,8.0,22.0,30.0,7.0,5.0,8.0,12.0,14.0,91.3,82.5,57.0,0.192,0.25,0.458,46.4,47.6,14.0,10.7,0.433,11.0,18.5,0.135,0.411,19.0,27.6,0.222
15.0,15.0,2024-01-06,@,Boston University,REG (Conf),W,59.0,51.0,,20.0,54.0,0.37,5.0,19.0,0.263,15.0,35.0,0.429,0.417,14.0,19.0,0.737,7.0,30.0,37.0,13.0,10.0,6.0,10.0,17.0,16.0,53.0,0.302,8.0,26.0,0.308,8.0,27.0,0.296,0.377,11.0,15.0,0.733,4.0,29.0,33.0,12.0,9.0,2.0,14.0,19.0,86.7,74.9,68.1,0.352,0.352,0.468,52.9,65.0,14.7,22.2,0.417,13.7,19.4,0.259,0.377,18.9,11.8,0.208
