Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Jarvis Christian,REG (Non-Conf),W,114.0,66.0,,41.0,82.0,0.5,10.0,31.0,0.323,31.0,51.0,0.608,0.561,22.0,26.0,0.846,19.0,36.0,55.0,27.0,11.0,4.0,16.0,26.0,17.0,59.0,0.288,5.0,21.0,0.238,12.0,38.0,0.316,0.331,27.0,35.0,0.771,6.0,18.0,24.0,9.0,10.0,4.0,19.0,19.0,126.7,73.3,90.0,0.317,0.378,0.604,69.6,65.9,12.2,10.5,0.561,14.5,51.4,0.268,0.331,20.1,14.3,0.458
2.0,2.0,2023-11-09,@,SMU,REG (Non-Conf),L,67.0,78.0,,22.0,60.0,0.367,8.0,20.0,0.4,14.0,40.0,0.35,0.433,15.0,16.0,0.938,5.0,24.0,29.0,16.0,10.0,6.0,12.0,24.0,22.0,59.0,0.373,6.0,23.0,0.261,16.0,36.0,0.444,0.424,28.0,38.0,0.737,15.0,25.0,40.0,14.0,9.0,9.0,12.0,17.0,90.1,104.9,74.3,0.267,0.333,0.496,42.0,72.7,13.5,16.7,0.433,15.1,16.7,0.25,0.424,13.5,38.5,0.475
3.0,3.0,2023-11-14,,UTSA,REG (Non-Conf),W,90.0,82.0,,28.0,80.0,0.35,11.0,29.0,0.379,17.0,51.0,0.333,0.419,23.0,30.0,0.767,23.0,29.0,52.0,22.0,4.0,8.0,8.0,21.0,28.0,68.0,0.412,8.0,30.0,0.267,20.0,38.0,0.526,0.471,18.0,26.0,0.692,12.0,29.0,41.0,15.0,4.0,3.0,9.0,22.0,114.9,104.7,78.3,0.375,0.363,0.477,55.9,78.6,5.1,21.1,0.419,7.8,44.2,0.288,0.471,10.1,29.3,0.265
4.0,4.0,2023-11-18,@,Pacific,REG (Non-Conf),L,76.0,77.0,,30.0,62.0,0.484,5.0,17.0,0.294,25.0,45.0,0.556,0.524,11.0,16.0,0.688,5.0,27.0,32.0,19.0,9.0,2.0,12.0,25.0,27.0,56.0,0.482,6.0,22.0,0.273,21.0,34.0,0.618,0.536,17.0,28.0,0.607,5.0,24.0,29.0,19.0,8.0,1.0,14.0,16.0,98.1,99.4,77.5,0.258,0.274,0.546,52.5,63.3,11.6,5.9,0.524,14.7,17.2,0.177,0.536,16.8,15.6,0.304
5.0,5.0,2023-11-24,N,Bethune-Cookman,REG (Non-Conf),W,83.0,65.0,,26.0,52.0,0.5,10.0,17.0,0.588,16.0,35.0,0.457,0.596,21.0,31.0,0.677,10.0,28.0,38.0,11.0,7.0,3.0,21.0,17.0,21.0,59.0,0.356,8.0,25.0,0.32,13.0,34.0,0.382,0.424,15.0,23.0,0.652,8.0,19.0,27.0,6.0,13.0,1.0,17.0,22.0,106.0,83.0,78.3,0.596,0.327,0.622,58.5,42.3,8.9,8.8,0.596,23.9,34.5,0.404,0.424,19.6,22.2,0.254
6.0,6.0,2023-11-25,@,Longwood,REG (Non-Conf),L,72.0,83.0,,24.0,61.0,0.393,9.0,23.0,0.391,15.0,38.0,0.395,0.467,15.0,25.0,0.6,15.0,17.0,32.0,13.0,10.0,1.0,14.0,18.0,29.0,51.0,0.569,10.0,21.0,0.476,19.0,30.0,0.633,0.667,15.0,21.0,0.714,7.0,27.0,34.0,16.0,11.0,5.0,17.0,21.0,100.8,116.2,71.4,0.41,0.377,0.494,48.5,54.2,14.0,3.3,0.467,16.1,35.7,0.246,0.667,21.8,29.2,0.294
7.0,7.0,2023-11-26,N,Delaware State,REG (Non-Conf),W,84.0,81.0,OT,29.0,63.0,0.46,14.0,29.0,0.483,15.0,34.0,0.441,0.571,12.0,20.0,0.6,8.0,22.0,30.0,16.0,5.0,2.0,13.0,17.0,30.0,65.0,0.462,6.0,17.0,0.353,24.0,48.0,0.5,0.508,15.0,19.0,0.789,10.0,25.0,35.0,17.0,8.0,5.0,12.0,15.0,109.4,105.5,68.2,0.317,0.46,0.579,46.2,55.2,6.5,4.2,0.571,15.2,24.2,0.19,0.508,13.9,31.3,0.231
8.0,8.0,2023-11-30,@,UTSA,REG (Non-Conf),L,83.0,86.0,,32.0,63.0,0.508,10.0,25.0,0.4,22.0,38.0,0.579,0.587,9.0,12.0,0.75,9.0,25.0,34.0,18.0,6.0,4.0,13.0,21.0,25.0,62.0,0.403,16.0,35.0,0.457,9.0,27.0,0.333,0.532,20.0,26.0,0.769,13.0,20.0,33.0,22.0,6.0,4.0,13.0,14.0,112.9,117.0,73.5,0.19,0.397,0.604,50.7,56.3,8.2,14.8,0.587,15.9,31.0,0.143,0.532,14.9,34.2,0.323
9.0,9.0,2023-12-03,@,Sam Houston State,REG (Non-Conf),L,70.0,90.0,,25.0,65.0,0.385,5.0,18.0,0.278,20.0,47.0,0.426,0.423,15.0,18.0,0.833,12.0,14.0,26.0,14.0,8.0,1.0,11.0,21.0,27.0,51.0,0.529,13.0,25.0,0.52,14.0,26.0,0.538,0.657,23.0,27.0,0.852,8.0,23.0,31.0,20.0,4.0,8.0,16.0,18.0,97.0,124.7,72.2,0.277,0.277,0.476,45.6,56.0,11.1,3.8,0.423,13.0,34.3,0.231,0.657,20.0,36.4,0.451
10.0,10.0,2023-12-14,,Louisiana–Monroe,REG (Non-Conf),W,97.0,73.0,,31.0,59.0,0.525,11.0,25.0,0.44,20.0,34.0,0.588,0.619,24.0,29.0,0.828,8.0,28.0,36.0,20.0,4.0,5.0,10.0,21.0,25.0,57.0,0.439,8.0,24.0,0.333,17.0,33.0,0.515,0.509,15.0,23.0,0.652,7.0,16.0,23.0,16.0,6.0,3.0,10.0,23.0,133.2,100.2,72.9,0.492,0.424,0.666,61.0,64.5,5.5,15.2,0.619,12.1,33.3,0.407,0.509,12.8,20.0,0.263
