Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,@,Georgetown,REG (Non-Conf),L,57.0,94.0,,21.0,65.0,0.323,7.0,31.0,0.226,14.0,34.0,0.412,0.377,8.0,16.0,0.5,9.0,19.0,28.0,11.0,10.0,0.0,11.0,22.0,37.0,64.0,0.578,10.0,27.0,0.37,27.0,37.0,0.73,0.656,10.0,19.0,0.526,13.0,37.0,50.0,23.0,9.0,3.0,16.0,16.0,75.7,124.8,75.3,0.246,0.477,0.393,35.9,52.4,13.3,0.0,0.377,13.2,19.6,0.123,0.656,18.0,40.6,0.156
2.0,2.0,2023-11-10,@,Villanova,REG (Non-Conf),L,57.0,83.0,,21.0,59.0,0.356,9.0,25.0,0.36,12.0,34.0,0.353,0.432,6.0,10.0,0.6,4.0,17.0,21.0,14.0,6.0,5.0,6.0,14.0,28.0,59.0,0.475,15.0,38.0,0.395,13.0,21.0,0.619,0.602,12.0,13.0,0.923,7.0,34.0,41.0,17.0,5.0,4.0,8.0,12.0,86.4,125.8,66.0,0.169,0.424,0.447,33.9,66.7,9.1,23.8,0.432,8.6,10.5,0.102,0.602,10.9,29.2,0.203
3.0,3.0,2023-11-13,,SUNY Canton,REG (Non-Conf),W,105.0,46.0,,44.0,73.0,0.603,12.0,36.0,0.333,32.0,37.0,0.865,0.685,5.0,9.0,0.556,4.0,36.0,40.0,24.0,13.0,6.0,5.0,10.0,17.0,64.0,0.266,7.0,31.0,0.226,10.0,33.0,0.303,0.32,5.0,6.0,0.833,10.0,25.0,35.0,6.0,4.0,1.0,20.0,8.0,135.4,59.3,77.6,0.123,0.493,0.679,53.3,54.5,16.8,18.2,0.685,6.1,13.8,0.068,0.32,23.0,21.7,0.078
4.0,4.0,2023-11-17,@,San Diego,REG (Non-Conf),L,71.0,80.0,,27.0,61.0,0.443,11.0,33.0,0.333,16.0,28.0,0.571,0.533,6.0,14.0,0.429,7.0,21.0,28.0,19.0,11.0,2.0,13.0,19.0,29.0,53.0,0.547,8.0,18.0,0.444,21.0,35.0,0.6,0.623,14.0,22.0,0.636,7.0,28.0,35.0,16.0,8.0,0.0,17.0,16.0,96.5,108.8,73.6,0.23,0.541,0.525,44.4,70.4,15.0,5.7,0.533,16.1,20.0,0.098,0.623,21.1,25.0,0.264
5.0,5.0,2023-11-19,@,UC Santa Barbara,REG (Non-Conf),L,72.0,96.0,,26.0,61.0,0.426,10.0,27.0,0.37,16.0,34.0,0.471,0.508,10.0,14.0,0.714,8.0,9.0,17.0,12.0,9.0,2.0,8.0,15.0,37.0,60.0,0.617,11.0,25.0,0.44,26.0,35.0,0.743,0.708,11.0,12.0,0.917,11.0,27.0,38.0,26.0,3.0,4.0,17.0,12.0,103.3,137.8,69.7,0.23,0.443,0.532,30.9,46.2,12.9,5.7,0.508,10.6,22.9,0.164,0.708,20.6,55.0,0.183
6.0,6.0,2023-11-21,@,Cal State Northridge,REG (Non-Conf),W,80.0,70.0,,19.0,50.0,0.38,11.0,32.0,0.344,8.0,18.0,0.444,0.49,31.0,34.0,0.912,6.0,21.0,27.0,18.0,11.0,5.0,12.0,13.0,32.0,69.0,0.464,3.0,17.0,0.176,29.0,52.0,0.558,0.486,3.0,5.0,0.6,14.0,22.0,36.0,13.0,8.0,2.0,16.0,20.0,109.9,96.2,72.8,0.68,0.64,0.605,42.9,94.7,15.1,9.6,0.49,15.4,21.4,0.62,0.486,18.3,40.0,0.043
7.0,7.0,2023-11-24,@,Pacific,REG (Non-Conf),L,71.0,73.0,,24.0,62.0,0.387,5.0,25.0,0.2,19.0,37.0,0.514,0.427,18.0,20.0,0.9,8.0,26.0,34.0,8.0,9.0,3.0,7.0,16.0,24.0,53.0,0.453,9.0,25.0,0.36,15.0,28.0,0.536,0.538,16.0,27.0,0.593,5.0,28.0,33.0,16.0,5.0,1.0,11.0,16.0,99.8,102.6,71.2,0.323,0.403,0.497,50.7,33.3,12.6,10.7,0.427,8.9,22.2,0.29,0.538,14.3,16.1,0.302
8.0,8.0,2023-11-29,,Fredonia St.,REG (Non-Conf),W,92.0,54.0,,30.0,64.0,0.469,16.0,38.0,0.421,14.0,26.0,0.538,0.594,16.0,20.0,0.8,6.0,26.0,32.0,21.0,13.0,9.0,12.0,15.0,20.0,74.0,0.27,6.0,29.0,0.207,14.0,45.0,0.311,0.311,8.0,9.0,0.889,17.0,26.0,43.0,13.0,7.0,1.0,25.0,15.0,111.0,65.1,82.9,0.313,0.594,0.626,42.7,70.0,15.7,20.0,0.594,14.0,18.8,0.25,0.311,24.2,39.5,0.108
9.0,9.0,2023-12-05,@,Army,REG (Non-Conf),L,51.0,68.0,,21.0,61.0,0.344,5.0,22.0,0.227,16.0,39.0,0.41,0.385,4.0,6.0,0.667,5.0,21.0,26.0,13.0,10.0,2.0,11.0,12.0,26.0,57.0,0.456,10.0,29.0,0.345,16.0,28.0,0.571,0.544,6.0,10.0,0.6,9.0,31.0,40.0,13.0,8.0,8.0,16.0,7.0,73.6,98.1,69.3,0.098,0.361,0.399,39.4,61.9,14.4,7.1,0.385,14.7,13.9,0.066,0.544,20.6,30.0,0.105
10.0,10.0,2023-12-09,@,Binghamton,REG (Non-Conf),L,79.0,91.0,,25.0,63.0,0.397,12.0,29.0,0.414,13.0,34.0,0.382,0.492,17.0,21.0,0.81,9.0,16.0,25.0,15.0,4.0,4.0,6.0,16.0,32.0,63.0,0.508,12.0,24.0,0.5,20.0,39.0,0.513,0.603,15.0,18.0,0.833,12.0,26.0,38.0,23.0,3.0,6.0,8.0,16.0,114.9,132.3,68.8,0.333,0.46,0.541,39.7,60.0,5.8,10.3,0.492,7.6,25.7,0.27,0.603,10.1,42.9,0.238
