Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Cornell,REG (Non-Conf),L,78.0,84.0,,29.0,64.0,0.453,7.0,29.0,0.241,22.0,35.0,0.629,0.508,13.0,16.0,0.813,6.0,29.0,35.0,16.0,11.0,1.0,15.0,27.0,26.0,57.0,0.456,11.0,30.0,0.367,15.0,27.0,0.556,0.553,21.0,31.0,0.677,7.0,25.0,32.0,15.0,7.0,0.0,15.0,18.0,97.3,104.8,80.2,0.25,0.453,0.545,52.2,55.2,13.7,3.7,0.508,17.3,19.4,0.203,0.553,17.3,19.4,0.368
2.0,2.0,2023-11-10,@,Penn State,REG (Non-Conf),L,65.0,74.0,,24.0,63.0,0.381,3.0,13.0,0.231,21.0,50.0,0.42,0.405,14.0,19.0,0.737,9.0,26.0,35.0,12.0,9.0,2.0,14.0,15.0,29.0,64.0,0.453,7.0,23.0,0.304,22.0,41.0,0.537,0.508,9.0,12.0,0.75,5.0,28.0,33.0,9.0,11.0,7.0,15.0,15.0,82.9,94.4,78.4,0.302,0.206,0.451,51.5,50.0,11.5,4.9,0.405,16.3,24.3,0.222,0.508,17.7,16.1,0.141
3.0,3.0,2023-11-12,@,North Carolina,REG (Non-Conf),L,68.0,90.0,,26.0,71.0,0.366,13.0,33.0,0.394,13.0,38.0,0.342,0.458,3.0,4.0,0.75,7.0,21.0,28.0,15.0,7.0,3.0,11.0,22.0,31.0,67.0,0.463,5.0,17.0,0.294,26.0,50.0,0.52,0.5,23.0,28.0,0.821,15.0,35.0,50.0,11.0,9.0,3.0,10.0,8.0,89.4,118.3,76.1,0.056,0.465,0.466,35.9,57.7,9.2,6.0,0.458,13.1,16.7,0.042,0.5,11.1,41.7,0.343
4.0,4.0,2023-11-16,,SUNY Oneonta,REG (Non-Conf),W,90.0,65.0,,37.0,72.0,0.514,9.0,27.0,0.333,28.0,45.0,0.622,0.576,7.0,12.0,0.583,13.0,31.0,44.0,16.0,7.0,2.0,15.0,21.0,23.0,65.0,0.354,5.0,19.0,0.263,18.0,46.0,0.391,0.392,14.0,23.0,0.609,10.0,21.0,31.0,12.0,8.0,4.0,13.0,14.0,113.5,82.0,79.3,0.167,0.375,0.579,58.7,43.2,8.8,4.3,0.576,16.2,38.2,0.097,0.392,14.6,24.4,0.215
5.0,5.0,2023-11-21,@,Monmouth,REG (Non-Conf),L,79.0,88.0,,28.0,62.0,0.452,8.0,21.0,0.381,20.0,41.0,0.488,0.516,15.0,21.0,0.714,11.0,15.0,26.0,13.0,7.0,5.0,13.0,21.0,29.0,55.0,0.527,12.0,21.0,0.571,17.0,34.0,0.5,0.636,18.0,26.0,0.692,9.0,23.0,32.0,14.0,4.0,2.0,16.0,19.0,106.5,118.7,74.2,0.339,0.339,0.549,44.8,46.4,9.4,14.7,0.516,15.3,32.4,0.242,0.636,19.2,37.5,0.327
6.0,6.0,2023-11-24,@,Providence,REG (Non-Conf),L,64.0,78.0,,27.0,60.0,0.45,6.0,17.0,0.353,21.0,43.0,0.488,0.5,4.0,6.0,0.667,4.0,23.0,27.0,13.0,7.0,4.0,9.0,16.0,32.0,62.0,0.516,5.0,15.0,0.333,27.0,47.0,0.574,0.556,9.0,13.0,0.692,6.0,27.0,33.0,16.0,4.0,1.0,10.0,9.0,91.4,111.4,70.0,0.1,0.283,0.509,45.0,48.1,10.0,8.5,0.5,12.5,12.9,0.067,0.556,12.8,20.7,0.145
7.0,7.0,2023-11-29,,Saint Francis (PA),REG (Non-Conf),L,61.0,62.0,,19.0,57.0,0.333,4.0,21.0,0.19,15.0,36.0,0.417,0.368,19.0,27.0,0.704,8.0,17.0,25.0,12.0,9.0,2.0,14.0,20.0,21.0,55.0,0.382,5.0,23.0,0.217,16.0,32.0,0.5,0.427,15.0,21.0,0.714,11.0,26.0,37.0,9.0,8.0,4.0,21.0,23.0,80.9,82.2,75.4,0.474,0.368,0.437,40.3,63.2,11.9,6.3,0.368,16.7,23.5,0.333,0.427,24.4,39.3,0.273
8.0,8.0,2023-12-02,@,UMBC,REG (Non-Conf),L,87.0,92.0,,33.0,69.0,0.478,9.0,26.0,0.346,24.0,43.0,0.558,0.543,12.0,16.0,0.75,7.0,23.0,30.0,7.0,9.0,2.0,13.0,17.0,32.0,59.0,0.542,9.0,21.0,0.429,23.0,38.0,0.605,0.619,19.0,22.0,0.864,4.0,25.0,29.0,12.0,9.0,2.0,12.0,13.0,108.7,115.0,80.0,0.232,0.377,0.568,50.8,21.2,11.2,5.3,0.543,14.5,21.9,0.174,0.619,14.7,14.8,0.322
9.0,9.0,2023-12-09,,Cairn,REG (Non-Conf),W,88.0,33.0,,36.0,74.0,0.486,10.0,32.0,0.313,26.0,42.0,0.619,0.554,6.0,10.0,0.6,12.0,42.0,54.0,24.0,8.0,1.0,9.0,11.0,15.0,64.0,0.234,3.0,25.0,0.12,12.0,39.0,0.308,0.258,0.0,0.0,,3.0,27.0,30.0,4.0,4.0,2.0,14.0,11.0,116.7,43.8,75.4,0.135,0.432,0.559,64.3,66.7,10.6,2.6,0.554,10.3,30.8,0.081,0.258,17.9,6.7,0.0
10.0,10.0,2023-12-21,@,Boston College,REG (Non-Conf),L,69.0,85.0,,24.0,59.0,0.407,5.0,24.0,0.208,19.0,35.0,0.543,0.449,16.0,19.0,0.842,5.0,22.0,27.0,8.0,4.0,1.0,10.0,17.0,30.0,59.0,0.508,12.0,26.0,0.462,18.0,33.0,0.545,0.61,13.0,20.0,0.65,6.0,30.0,36.0,14.0,6.0,4.0,9.0,17.0,95.5,117.6,72.3,0.322,0.407,0.507,42.9,33.3,5.5,3.0,0.449,12.8,14.3,0.271,0.61,11.6,21.4,0.22
11.0,11.0,2023-12-30,@,Marist,REG (Non-Conf),W,65.0,58.0,,19.0,44.0,0.432,7.0,18.0,0.389,12.0,26.0,0.462,0.511,20.0,30.0,0.667,3.0,32.0,35.0,9.0,6.0,3.0,18.0,14.0,22.0,63.0,0.349,6.0,22.0,0.273,16.0,41.0,0.39,0.397,8.0,13.0,0.615,5.0,26.0,31.0,8.0,11.0,6.0,9.0,22.0,88.8,79.2,73.2,0.682,0.409,0.558,53.0,47.4,8.2,7.3,0.511,23.6,10.3,0.455,0.397,11.5,13.5,0.127
