Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Mid-Atl Christian,REG (Non-Conf),W,103.0,43.0,,36.0,65.0,0.554,17.0,34.0,0.5,19.0,31.0,0.613,0.685,14.0,18.0,0.778,13.0,33.0,46.0,21.0,7.0,4.0,11.0,9.0,18.0,61.0,0.295,3.0,15.0,0.2,15.0,46.0,0.326,0.32,4.0,6.0,0.667,6.0,13.0,19.0,4.0,8.0,1.0,14.0,17.0,143.7,60.0,71.7,0.277,0.523,0.7,70.8,58.3,9.8,8.7,0.685,13.0,50.0,0.215,0.32,18.0,15.4,0.066
2.0,2.0,2023-11-10,N,Charlotte,REG (Non-Conf),W,71.0,59.0,,29.0,55.0,0.527,10.0,25.0,0.4,19.0,30.0,0.633,0.618,3.0,7.0,0.429,8.0,18.0,26.0,12.0,1.0,3.0,8.0,12.0,25.0,52.0,0.481,5.0,13.0,0.385,20.0,39.0,0.513,0.529,4.0,5.0,0.8,6.0,18.0,24.0,13.0,4.0,3.0,9.0,11.0,122.7,102.0,57.9,0.127,0.455,0.609,52.0,41.4,1.7,7.7,0.618,12.1,30.8,0.055,0.529,14.2,25.0,0.077
3.0,3.0,2023-11-16,N,Furman,REG (Non-Conf),W,88.0,74.0,,31.0,57.0,0.544,9.0,24.0,0.375,22.0,33.0,0.667,0.623,17.0,27.0,0.63,4.0,27.0,31.0,17.0,8.0,0.0,8.0,22.0,22.0,53.0,0.415,6.0,24.0,0.25,16.0,29.0,0.552,0.472,24.0,31.0,0.774,8.0,26.0,34.0,12.0,6.0,0.0,12.0,18.0,120.9,101.7,72.8,0.474,0.421,0.63,47.7,54.8,11.0,0.0,0.623,10.3,13.3,0.298,0.472,15.1,22.9,0.453
4.0,4.0,2023-11-17,N,Wichita State,REG (Non-Conf),W,83.0,66.0,,28.0,67.0,0.418,14.0,40.0,0.35,14.0,27.0,0.519,0.522,13.0,18.0,0.722,11.0,24.0,35.0,18.0,9.0,2.0,10.0,17.0,24.0,57.0,0.421,2.0,14.0,0.143,22.0,43.0,0.512,0.439,16.0,21.0,0.762,8.0,26.0,34.0,3.0,4.0,4.0,14.0,19.0,112.5,89.5,73.8,0.269,0.597,0.549,50.7,64.3,12.2,4.7,0.522,11.7,29.7,0.194,0.439,17.3,25.0,0.281
5.0,5.0,2023-11-19,N,Vermont,REG (Non-Conf),W,71.0,61.0,,27.0,54.0,0.5,8.0,18.0,0.444,19.0,36.0,0.528,0.574,9.0,12.0,0.75,5.0,31.0,36.0,15.0,4.0,0.0,11.0,13.0,25.0,59.0,0.424,8.0,28.0,0.286,17.0,31.0,0.548,0.492,3.0,7.0,0.429,5.0,22.0,27.0,9.0,5.0,4.0,8.0,14.0,108.4,93.1,65.5,0.222,0.333,0.595,57.1,55.6,6.1,0.0,0.574,15.6,18.5,0.167,0.492,11.4,13.9,0.051
6.0,6.0,2023-11-25,,Maryland Eastern Shore,REG (Non-Conf),W,99.0,62.0,,39.0,60.0,0.65,15.0,31.0,0.484,24.0,29.0,0.828,0.775,6.0,9.0,0.667,8.0,26.0,34.0,25.0,3.0,0.0,6.0,10.0,23.0,55.0,0.418,5.0,13.0,0.385,18.0,42.0,0.429,0.464,11.0,13.0,0.846,6.0,13.0,19.0,10.0,4.0,1.0,7.0,13.0,159.1,99.6,62.2,0.15,0.517,0.77,64.2,64.1,4.8,0.0,0.775,8.5,38.1,0.1,0.464,10.3,18.8,0.2
7.0,7.0,2023-11-30,@,Florida Atlantic,REG (Non-Conf),L,58.0,83.0,,21.0,56.0,0.375,8.0,25.0,0.32,13.0,31.0,0.419,0.446,8.0,14.0,0.571,10.0,16.0,26.0,9.0,3.0,2.0,12.0,17.0,30.0,55.0,0.545,7.0,14.0,0.5,23.0,41.0,0.561,0.609,16.0,21.0,0.762,11.0,24.0,35.0,10.0,11.0,5.0,11.0,17.0,89.5,128.1,64.8,0.25,0.446,0.463,42.6,42.9,4.6,4.9,0.446,16.1,29.4,0.143,0.609,14.5,40.7,0.291
8.0,8.0,2023-12-01,N,College of Charleston,REG (Non-Conf),L,67.0,76.0,,23.0,60.0,0.383,10.0,31.0,0.323,13.0,29.0,0.448,0.467,11.0,18.0,0.611,9.0,24.0,33.0,11.0,6.0,1.0,10.0,20.0,27.0,55.0,0.491,8.0,23.0,0.348,19.0,32.0,0.594,0.564,14.0,20.0,0.7,7.0,28.0,35.0,8.0,4.0,2.0,9.0,15.0,98.5,111.7,68.0,0.3,0.517,0.489,48.5,47.8,8.8,3.1,0.467,12.7,24.3,0.183,0.564,12.2,22.6,0.255
9.0,9.0,2023-12-05,,Mississippi Valley State,REG (Non-Conf),W,74.0,39.0,,27.0,56.0,0.482,7.0,27.0,0.259,20.0,29.0,0.69,0.545,13.0,15.0,0.867,10.0,22.0,32.0,10.0,5.0,1.0,5.0,10.0,17.0,45.0,0.378,3.0,15.0,0.2,14.0,30.0,0.467,0.411,2.0,8.0,0.25,6.0,17.0,23.0,6.0,4.0,3.0,11.0,17.0,132.2,69.7,56.0,0.268,0.482,0.586,58.2,37.0,8.9,3.3,0.545,7.3,37.0,0.232,0.411,18.4,21.4,0.044
10.0,10.0,2023-12-09,,Grand Canyon,REG (Non-Conf),L,64.0,69.0,,24.0,63.0,0.381,6.0,25.0,0.24,18.0,38.0,0.474,0.429,10.0,16.0,0.625,13.0,19.0,32.0,12.0,6.0,2.0,8.0,19.0,22.0,49.0,0.449,4.0,15.0,0.267,18.0,34.0,0.529,0.49,21.0,27.0,0.778,10.0,26.0,36.0,8.0,6.0,7.0,14.0,17.0,97.4,105.0,65.7,0.254,0.397,0.453,47.1,50.0,9.1,5.9,0.429,10.2,33.3,0.159,0.49,18.5,34.5,0.429
