Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Nebraska,REG (Non-Conf),L,52.0,84.0,,22.0,68.0,0.324,3.0,16.0,0.188,19.0,52.0,0.365,0.346,5.0,9.0,0.556,10.0,25.0,35.0,2.0,4.0,2.0,11.0,21.0,27.0,56.0,0.482,11.0,30.0,0.367,16.0,26.0,0.615,0.58,19.0,29.0,0.655,7.0,33.0,40.0,19.0,5.0,7.0,9.0,12.0,71.7,115.8,72.5,0.132,0.235,0.36,46.7,9.1,5.5,7.7,0.346,13.2,23.3,0.074,0.58,11.4,21.9,0.339
2.0,2.0,2023-11-09,@,Iowa State,REG (Non-Conf),L,47.0,102.0,,13.0,46.0,0.283,7.0,24.0,0.292,6.0,22.0,0.273,0.359,14.0,20.0,0.7,3.0,20.0,23.0,7.0,5.0,1.0,21.0,19.0,39.0,66.0,0.591,7.0,20.0,0.35,32.0,46.0,0.696,0.644,17.0,21.0,0.81,9.0,28.0,37.0,25.0,19.0,5.0,8.0,19.0,63.3,137.4,74.2,0.435,0.522,0.423,38.3,53.8,6.7,2.2,0.359,27.5,9.7,0.304,0.644,9.5,31.0,0.258
3.0,3.0,2023-11-13,,Hannibal-LaGrange,REG (Non-Conf),W,83.0,52.0,,36.0,62.0,0.581,3.0,16.0,0.188,33.0,46.0,0.717,0.605,8.0,13.0,0.615,10.0,19.0,29.0,18.0,13.0,2.0,8.0,11.0,18.0,43.0,0.419,9.0,22.0,0.409,9.0,21.0,0.429,0.523,7.0,10.0,0.7,4.0,16.0,20.0,14.0,5.0,0.0,19.0,17.0,128.8,80.7,64.5,0.21,0.258,0.609,59.2,50.0,20.2,9.5,0.605,10.5,38.5,0.129,0.523,28.5,17.4,0.163
4.0,4.0,2023-11-16,@,Air Force,REG (Non-Conf),L,58.0,76.0,,16.0,50.0,0.32,6.0,20.0,0.3,10.0,30.0,0.333,0.38,20.0,23.0,0.87,8.0,21.0,29.0,8.0,3.0,3.0,16.0,29.0,20.0,44.0,0.455,8.0,17.0,0.471,12.0,27.0,0.444,0.545,28.0,39.0,0.718,5.0,27.0,32.0,14.0,11.0,7.0,12.0,22.0,83.8,109.8,69.2,0.46,0.4,0.476,47.5,50.0,4.3,11.1,0.38,20.8,22.9,0.4,0.545,16.1,19.2,0.636
5.0,5.0,2023-11-17,N,Omaha,REG (Non-Conf),W,72.0,70.0,,26.0,55.0,0.473,4.0,14.0,0.286,22.0,41.0,0.537,0.509,16.0,21.0,0.762,7.0,23.0,30.0,9.0,9.0,5.0,12.0,19.0,24.0,56.0,0.429,5.0,23.0,0.217,19.0,33.0,0.576,0.473,17.0,23.0,0.739,8.0,23.0,31.0,8.0,8.0,2.0,11.0,15.0,102.9,100.1,70.0,0.382,0.255,0.554,49.2,34.6,12.9,15.2,0.509,15.6,23.3,0.291,0.473,14.1,25.8,0.304
6.0,6.0,2023-11-19,N,William & Mary,REG (Non-Conf),W,71.0,60.0,,24.0,55.0,0.436,10.0,21.0,0.476,14.0,34.0,0.412,0.527,13.0,19.0,0.684,5.0,29.0,34.0,10.0,5.0,4.0,10.0,21.0,20.0,54.0,0.37,6.0,25.0,0.24,14.0,29.0,0.483,0.426,14.0,21.0,0.667,6.0,25.0,31.0,9.0,4.0,1.0,12.0,21.0,102.2,86.3,69.5,0.345,0.382,0.554,52.3,41.7,7.2,13.8,0.527,13.5,16.7,0.236,0.426,15.8,17.1,0.259
7.0,7.0,2023-11-27,,Utah Tech,REG (Non-Conf),L,66.0,73.0,,24.0,69.0,0.348,5.0,19.0,0.263,19.0,50.0,0.38,0.384,13.0,23.0,0.565,14.0,24.0,38.0,10.0,4.0,4.0,10.0,21.0,24.0,51.0,0.471,7.0,19.0,0.368,17.0,32.0,0.531,0.539,18.0,28.0,0.643,6.0,29.0,35.0,13.0,6.0,2.0,12.0,19.0,90.3,99.8,73.1,0.333,0.275,0.413,52.1,41.7,5.5,12.5,0.384,11.1,32.6,0.188,0.539,15.7,20.0,0.353
8.0,8.0,2023-12-02,@,Idaho State,REG (Non-Conf),L,70.0,76.0,,25.0,53.0,0.472,3.0,12.0,0.25,22.0,41.0,0.537,0.5,17.0,25.0,0.68,6.0,25.0,31.0,4.0,3.0,0.0,10.0,23.0,25.0,53.0,0.472,5.0,19.0,0.263,20.0,34.0,0.588,0.519,21.0,30.0,0.7,7.0,24.0,31.0,11.0,4.0,2.0,8.0,20.0,102.1,110.8,68.6,0.472,0.226,0.539,50.0,16.0,4.4,0.0,0.5,13.4,20.0,0.321,0.519,10.6,21.9,0.396
9.0,9.0,2023-12-09,,Kansas City,REG (Non-Conf),L,67.0,72.0,,20.0,51.0,0.392,5.0,16.0,0.313,15.0,35.0,0.429,0.441,22.0,29.0,0.759,9.0,17.0,26.0,8.0,8.0,2.0,12.0,22.0,21.0,49.0,0.429,14.0,28.0,0.5,7.0,21.0,0.333,0.571,16.0,25.0,0.64,10.0,24.0,34.0,15.0,3.0,3.0,14.0,24.0,101.0,108.6,66.3,0.569,0.314,0.517,43.3,40.0,12.1,9.5,0.441,15.6,27.3,0.431,0.571,18.7,37.0,0.327
10.0,10.0,2023-12-12,,Avila,REG (Non-Conf),W,81.0,64.0,,27.0,59.0,0.458,4.0,18.0,0.222,23.0,41.0,0.561,0.492,23.0,27.0,0.852,12.0,25.0,37.0,11.0,7.0,2.0,7.0,8.0,25.0,62.0,0.403,8.0,20.0,0.4,17.0,42.0,0.405,0.468,6.0,8.0,0.75,7.0,17.0,24.0,13.0,5.0,3.0,10.0,17.0,119.4,94.4,67.8,0.458,0.305,0.564,60.7,40.7,10.3,4.8,0.492,8.9,41.4,0.39,0.468,13.2,21.9,0.097
