Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Wichita State,REG (Non-Conf),L,59.0,76.0,,23.0,69.0,0.333,9.0,37.0,0.243,14.0,32.0,0.438,0.399,4.0,7.0,0.571,8.0,20.0,28.0,15.0,9.0,6.0,9.0,15.0,31.0,65.0,0.477,3.0,13.0,0.231,28.0,52.0,0.538,0.5,11.0,17.0,0.647,12.0,35.0,47.0,10.0,5.0,5.0,10.0,12.0,81.7,105.3,72.2,0.101,0.536,0.408,37.3,65.2,12.5,11.5,0.399,11.1,18.6,0.058,0.5,12.0,37.5,0.169
2.0,2.0,2023-11-08,@,Drake,REG (Non-Conf),L,70.0,85.0,,27.0,57.0,0.474,7.0,21.0,0.333,20.0,36.0,0.556,0.535,9.0,12.0,0.75,5.0,18.0,23.0,8.0,6.0,2.0,13.0,16.0,32.0,62.0,0.516,9.0,25.0,0.36,23.0,37.0,0.622,0.589,12.0,16.0,0.75,8.0,25.0,33.0,13.0,5.0,2.0,12.0,15.0,97.0,117.8,72.2,0.211,0.368,0.558,41.1,29.6,8.3,5.4,0.535,17.2,16.7,0.158,0.589,14.7,30.8,0.194
3.0,3.0,2023-11-11,,Asbury,REG (Non-Conf),W,113.0,74.0,,42.0,66.0,0.636,16.0,33.0,0.485,26.0,33.0,0.788,0.758,13.0,22.0,0.591,6.0,31.0,37.0,23.0,5.0,6.0,8.0,14.0,24.0,62.0,0.387,11.0,32.0,0.344,13.0,30.0,0.433,0.476,15.0,21.0,0.714,5.0,22.0,27.0,9.0,5.0,0.0,14.0,22.0,141.8,92.8,79.7,0.333,0.5,0.739,57.8,54.8,6.3,20.0,0.758,9.5,21.4,0.197,0.476,16.3,13.9,0.242
4.0,4.0,2023-11-14,@,Tennessee Tech,REG (Non-Conf),W,96.0,65.0,,36.0,63.0,0.571,12.0,27.0,0.444,24.0,36.0,0.667,0.667,12.0,14.0,0.857,5.0,29.0,34.0,20.0,8.0,2.0,5.0,8.0,25.0,66.0,0.379,9.0,24.0,0.375,16.0,42.0,0.381,0.447,6.0,8.0,0.75,10.0,23.0,33.0,10.0,1.0,3.0,14.0,14.0,133.8,90.6,71.7,0.222,0.429,0.689,50.7,55.6,11.2,4.8,0.667,6.7,17.9,0.19,0.447,16.7,25.6,0.091
5.0,5.0,2023-11-18,,Alabama A&M,REG (Non-Conf),W,106.0,81.0,,36.0,64.0,0.563,18.0,32.0,0.563,18.0,32.0,0.563,0.703,16.0,19.0,0.842,6.0,24.0,30.0,26.0,10.0,7.0,14.0,18.0,29.0,69.0,0.42,6.0,21.0,0.286,23.0,48.0,0.479,0.464,17.0,27.0,0.63,16.0,21.0,37.0,12.0,10.0,4.0,15.0,16.0,131.0,100.1,80.9,0.297,0.5,0.726,44.8,72.2,12.4,14.6,0.703,16.1,22.2,0.25,0.464,15.5,40.0,0.246
6.0,6.0,2023-11-24,N,UNC Asheville,REG (Non-Conf),W,86.0,75.0,,29.0,59.0,0.492,3.0,14.0,0.214,26.0,45.0,0.578,0.517,25.0,29.0,0.862,11.0,24.0,35.0,10.0,5.0,3.0,15.0,18.0,27.0,73.0,0.37,3.0,23.0,0.13,24.0,50.0,0.48,0.39,18.0,24.0,0.75,20.0,16.0,36.0,9.0,5.0,3.0,14.0,23.0,110.8,96.7,77.6,0.492,0.237,0.591,49.3,34.5,6.4,6.0,0.517,17.1,40.7,0.424,0.39,14.2,45.5,0.247
7.0,7.0,2023-11-25,N,Bowling Green,REG (Non-Conf),L,61.0,82.0,,25.0,63.0,0.397,6.0,25.0,0.24,19.0,38.0,0.5,0.444,5.0,11.0,0.455,8.0,18.0,26.0,11.0,5.0,4.0,10.0,11.0,35.0,58.0,0.603,10.0,18.0,0.556,25.0,40.0,0.625,0.69,2.0,5.0,0.4,2.0,32.0,34.0,14.0,6.0,2.0,10.0,14.0,88.0,118.3,69.3,0.175,0.397,0.447,43.3,44.0,7.2,10.0,0.444,12.8,20.0,0.079,0.69,14.2,10.0,0.034
8.0,8.0,2023-11-26,N,Wofford,REG (Non-Conf),W,85.0,78.0,,30.0,59.0,0.508,10.0,25.0,0.4,20.0,34.0,0.588,0.593,15.0,22.0,0.682,3.0,24.0,27.0,10.0,8.0,5.0,8.0,14.0,30.0,63.0,0.476,8.0,28.0,0.286,22.0,35.0,0.629,0.54,10.0,11.0,0.909,7.0,31.0,38.0,15.0,2.0,2.0,14.0,19.0,113.6,104.2,74.8,0.373,0.424,0.612,41.5,33.3,10.7,14.3,0.593,10.3,8.8,0.254,0.54,17.0,22.6,0.159
9.0,9.0,2023-11-29,,Chattanooga,REG (Non-Conf),W,82.0,68.0,,30.0,61.0,0.492,9.0,22.0,0.409,21.0,39.0,0.538,0.566,13.0,17.0,0.765,9.0,31.0,40.0,12.0,5.0,2.0,10.0,13.0,22.0,63.0,0.349,12.0,35.0,0.343,10.0,28.0,0.357,0.444,12.0,16.0,0.75,9.0,22.0,31.0,13.0,5.0,7.0,8.0,19.0,117.4,97.4,69.8,0.279,0.361,0.594,56.3,40.0,7.2,7.1,0.566,12.6,29.0,0.213,0.444,10.2,22.5,0.19
10.0,10.0,2023-12-02,@,UCF,REG (Non-Conf),L,57.0,72.0,,20.0,52.0,0.385,9.0,24.0,0.375,11.0,28.0,0.393,0.471,8.0,15.0,0.533,3.0,24.0,27.0,13.0,9.0,2.0,20.0,14.0,27.0,67.0,0.403,9.0,28.0,0.321,18.0,39.0,0.462,0.47,9.0,13.0,0.692,10.0,29.0,39.0,9.0,9.0,3.0,13.0,15.0,74.9,94.6,76.2,0.288,0.462,0.482,40.9,65.0,11.8,5.1,0.471,25.3,9.4,0.154,0.47,15.1,29.4,0.134
11.0,11.0,2023-12-06,@,Belmont,REG (Non-Conf),L,71.0,72.0,,26.0,62.0,0.419,6.0,29.0,0.207,20.0,33.0,0.606,0.468,13.0,15.0,0.867,9.0,24.0,33.0,11.0,7.0,1.0,14.0,13.0,28.0,59.0,0.475,7.0,21.0,0.333,21.0,38.0,0.553,0.534,9.0,12.0,0.75,7.0,23.0,30.0,12.0,7.0,4.0,15.0,15.0,96.7,98.1,73.4,0.242,0.468,0.514,52.4,42.3,9.5,2.6,0.468,16.8,28.1,0.21,0.534,18.8,22.6,0.153
