Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Texas State,REG (Non-Conf),W,71.0,66.0,,22.0,59.0,0.373,5.0,18.0,0.278,17.0,41.0,0.415,0.415,22.0,29.0,0.759,9.0,21.0,30.0,11.0,8.0,4.0,12.0,18.0,24.0,62.0,0.387,5.0,23.0,0.217,19.0,39.0,0.487,0.427,13.0,22.0,0.591,17.0,31.0,48.0,14.0,2.0,4.0,22.0,23.0,92.7,86.1,76.6,0.492,0.305,0.488,38.5,50.0,10.4,10.3,0.415,14.2,22.5,0.373,0.427,23.3,44.7,0.21
2.0,2.0,2023-11-10,@,Illinois–Chicago,REG (Non-Conf),L,71.0,86.0,,25.0,64.0,0.391,4.0,17.0,0.235,21.0,47.0,0.447,0.422,17.0,23.0,0.739,14.0,19.0,33.0,8.0,6.0,4.0,13.0,22.0,28.0,58.0,0.483,10.0,21.0,0.476,18.0,37.0,0.486,0.569,20.0,28.0,0.714,13.0,25.0,38.0,13.0,6.0,4.0,14.0,19.0,97.1,117.6,73.1,0.359,0.266,0.474,46.5,32.0,8.2,10.8,0.422,14.8,35.9,0.266,0.569,16.4,40.6,0.345
3.0,3.0,2023-11-18,N,Northern Illinois,REG (Non-Conf),L,93.0,98.0,,34.0,75.0,0.453,9.0,32.0,0.281,25.0,43.0,0.581,0.513,16.0,24.0,0.667,11.0,16.0,27.0,22.0,8.0,3.0,4.0,29.0,28.0,48.0,0.583,9.0,16.0,0.563,19.0,32.0,0.594,0.677,33.0,44.0,0.75,4.0,28.0,32.0,15.0,1.0,3.0,15.0,17.0,116.8,123.0,79.7,0.32,0.427,0.538,45.8,64.7,10.0,9.4,0.513,4.4,28.2,0.213,0.677,17.9,20.0,0.688
4.0,4.0,2023-11-19,@,Georgia State,REG (Non-Conf),L,77.0,88.0,,24.0,62.0,0.387,5.0,24.0,0.208,19.0,38.0,0.5,0.427,24.0,31.0,0.774,11.0,17.0,28.0,13.0,6.0,1.0,7.0,21.0,28.0,60.0,0.467,9.0,30.0,0.3,19.0,30.0,0.633,0.542,23.0,30.0,0.767,11.0,23.0,34.0,16.0,6.0,2.0,6.0,22.0,108.5,124.0,71.0,0.5,0.387,0.502,45.2,54.2,8.5,3.3,0.427,8.4,32.4,0.387,0.542,7.5,39.3,0.383
5.0,5.0,2023-11-22,,Georgia State,REG (Non-Conf),L,90.0,93.0,OT,27.0,62.0,0.435,4.0,16.0,0.25,23.0,46.0,0.5,0.468,32.0,39.0,0.821,7.0,26.0,33.0,12.0,6.0,5.0,17.0,26.0,29.0,64.0,0.453,6.0,18.0,0.333,23.0,46.0,0.5,0.5,29.0,34.0,0.853,6.0,24.0,30.0,11.0,2.0,1.0,11.0,27.0,102.5,105.9,78.1,0.629,0.258,0.559,52.4,44.4,6.8,10.9,0.468,17.4,22.6,0.516,0.5,12.1,18.8,0.453
6.0,6.0,2023-11-25,,Tulsa,REG (Non-Conf),W,84.0,82.0,OT,33.0,70.0,0.471,6.0,21.0,0.286,27.0,49.0,0.551,0.514,12.0,19.0,0.632,12.0,24.0,36.0,15.0,8.0,1.0,10.0,20.0,30.0,71.0,0.423,4.0,23.0,0.174,26.0,48.0,0.542,0.451,18.0,26.0,0.692,16.0,27.0,43.0,12.0,6.0,6.0,14.0,17.0,106.1,103.6,70.4,0.271,0.3,0.531,45.6,45.5,10.1,2.1,0.514,11.2,30.8,0.171,0.451,14.4,40.0,0.254
7.0,7.0,2023-11-28,,Ball State,REG (Non-Conf),W,90.0,64.0,,37.0,58.0,0.638,12.0,20.0,0.6,25.0,38.0,0.658,0.741,4.0,7.0,0.571,8.0,19.0,27.0,22.0,5.0,4.0,13.0,17.0,26.0,53.0,0.491,4.0,20.0,0.2,22.0,33.0,0.667,0.528,8.0,16.0,0.5,9.0,14.0,23.0,11.0,4.0,2.0,13.0,7.0,137.5,97.8,65.5,0.121,0.345,0.734,54.0,59.5,7.6,12.1,0.741,17.5,36.4,0.069,0.528,17.7,32.1,0.151
8.0,8.0,2023-12-01,,Arkansas State,REG (Non-Conf),W,77.0,66.0,,26.0,57.0,0.456,7.0,22.0,0.318,19.0,35.0,0.543,0.518,18.0,25.0,0.72,11.0,23.0,34.0,12.0,12.0,5.0,14.0,20.0,22.0,61.0,0.361,7.0,26.0,0.269,15.0,35.0,0.429,0.418,15.0,24.0,0.625,13.0,18.0,31.0,7.0,7.0,5.0,20.0,19.0,101.8,87.3,75.6,0.439,0.386,0.559,52.3,46.2,15.9,14.3,0.518,16.9,37.9,0.316,0.418,21.6,36.1,0.246
9.0,9.0,2023-12-07,@,Central Arkansas,REG (Non-Conf),L,71.0,75.0,,25.0,65.0,0.385,7.0,24.0,0.292,18.0,41.0,0.439,0.438,14.0,23.0,0.609,17.0,21.0,38.0,12.0,3.0,4.0,12.0,17.0,24.0,57.0,0.421,7.0,19.0,0.368,17.0,38.0,0.447,0.482,20.0,22.0,0.909,7.0,20.0,27.0,14.0,8.0,6.0,8.0,18.0,101.9,107.6,69.7,0.354,0.369,0.468,58.5,48.0,4.3,10.5,0.438,13.6,45.9,0.215,0.482,10.6,25.0,0.351
10.0,10.0,2023-12-10,,Winthrop,REG (Non-Conf),L,68.0,85.0,,26.0,60.0,0.433,9.0,21.0,0.429,17.0,39.0,0.436,0.508,7.0,13.0,0.538,12.0,15.0,27.0,16.0,9.0,4.0,13.0,16.0,29.0,50.0,0.58,9.0,16.0,0.563,20.0,34.0,0.588,0.67,18.0,22.0,0.818,8.0,21.0,29.0,10.0,4.0,1.0,17.0,14.0,99.5,124.4,68.3,0.217,0.35,0.514,48.2,61.5,13.2,11.8,0.508,16.4,36.4,0.117,0.67,21.9,34.8,0.36
