Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,St. Bonaventure,REG (Non-Conf),L,69.0,73.0,,24.0,61.0,0.393,3.0,17.0,0.176,21.0,44.0,0.477,0.418,18.0,25.0,0.72,18.0,22.0,40.0,8.0,4.0,2.0,12.0,14.0,27.0,59.0,0.458,11.0,31.0,0.355,16.0,28.0,0.571,0.551,8.0,10.0,0.8,7.0,20.0,27.0,17.0,3.0,6.0,8.0,18.0,104.8,110.9,65.8,0.41,0.279,0.473,59.7,33.3,6.1,7.1,0.418,14.1,47.4,0.295,0.551,11.1,24.1,0.136
2.0,2.0,2023-11-11,,St. Mary's (MD),REG (Non-Conf),W,95.0,43.0,,36.0,73.0,0.493,7.0,22.0,0.318,29.0,51.0,0.569,0.541,16.0,22.0,0.727,23.0,27.0,50.0,13.0,7.0,4.0,6.0,14.0,17.0,47.0,0.362,4.0,15.0,0.267,13.0,32.0,0.406,0.404,5.0,8.0,0.625,4.0,12.0,16.0,8.0,2.0,2.0,17.0,14.0,145.9,66.0,65.1,0.301,0.301,0.569,75.8,36.1,10.7,12.5,0.541,6.7,65.7,0.219,0.404,25.1,12.9,0.106
3.0,3.0,2023-11-15,@,Maryland Eastern Shore,REG (Non-Conf),W,80.0,61.0,,30.0,69.0,0.435,2.0,13.0,0.154,28.0,56.0,0.5,0.449,18.0,23.0,0.783,14.0,28.0,42.0,15.0,6.0,1.0,9.0,20.0,21.0,62.0,0.339,5.0,20.0,0.25,16.0,42.0,0.381,0.379,14.0,18.0,0.778,9.0,23.0,32.0,10.0,1.0,3.0,10.0,19.0,109.2,83.3,73.2,0.333,0.188,0.5,56.8,50.0,8.2,2.4,0.449,10.1,37.8,0.261,0.379,12.4,24.3,0.226
4.0,4.0,2023-11-18,,North Carolina Central,REG (Non-Conf),W,73.0,66.0,,22.0,58.0,0.379,5.0,25.0,0.2,17.0,33.0,0.515,0.422,24.0,31.0,0.774,16.0,21.0,37.0,9.0,3.0,5.0,7.0,18.0,25.0,54.0,0.463,6.0,20.0,0.3,19.0,34.0,0.559,0.519,10.0,15.0,0.667,7.0,16.0,23.0,9.0,5.0,2.0,9.0,24.0,115.1,104.1,63.4,0.534,0.431,0.502,61.7,40.9,4.7,14.7,0.422,8.8,50.0,0.414,0.519,12.8,25.0,0.185
5.0,5.0,2023-11-24,,Delaware State,REG (Non-Conf),W,84.0,82.0,2OT,25.0,61.0,0.41,9.0,21.0,0.429,16.0,40.0,0.4,0.484,25.0,33.0,0.758,7.0,23.0,30.0,15.0,8.0,5.0,12.0,18.0,28.0,70.0,0.4,9.0,20.0,0.45,19.0,50.0,0.38,0.464,17.0,21.0,0.81,9.0,27.0,36.0,11.0,8.0,3.0,21.0,26.0,96.7,94.4,69.5,0.541,0.344,0.548,45.5,60.0,9.2,10.0,0.484,13.5,20.6,0.41,0.464,20.8,28.1,0.243
6.0,6.0,2023-11-25,,Lamar,REG (Non-Conf),W,83.0,72.0,,29.0,51.0,0.569,10.0,21.0,0.476,19.0,30.0,0.633,0.667,15.0,21.0,0.714,7.0,27.0,34.0,16.0,11.0,5.0,17.0,21.0,24.0,61.0,0.393,9.0,23.0,0.391,15.0,38.0,0.395,0.467,15.0,25.0,0.6,15.0,17.0,32.0,13.0,10.0,1.0,14.0,18.0,116.2,100.8,71.4,0.412,0.412,0.681,51.5,55.2,15.4,13.2,0.667,21.8,29.2,0.294,0.467,16.1,35.7,0.246
7.0,7.0,2023-11-26,,Bethune-Cookman,REG (Non-Conf),W,69.0,48.0,,20.0,49.0,0.408,7.0,17.0,0.412,13.0,32.0,0.406,0.48,22.0,38.0,0.579,11.0,28.0,39.0,9.0,13.0,3.0,17.0,23.0,15.0,45.0,0.333,2.0,13.0,0.154,13.0,32.0,0.406,0.356,16.0,24.0,0.667,5.0,21.0,26.0,5.0,7.0,2.0,21.0,29.0,94.9,66.0,72.7,0.776,0.347,0.515,60.0,45.0,17.9,9.4,0.48,20.2,34.4,0.449,0.356,27.1,15.2,0.356
8.0,8.0,2023-11-30,,Newport News,REG (Non-Conf),W,95.0,46.0,,38.0,66.0,0.576,6.0,18.0,0.333,32.0,48.0,0.667,0.621,13.0,23.0,0.565,16.0,40.0,56.0,17.0,12.0,5.0,17.0,17.0,16.0,58.0,0.276,6.0,25.0,0.24,10.0,33.0,0.303,0.328,8.0,14.0,0.571,2.0,15.0,17.0,9.0,9.0,1.0,19.0,22.0,119.1,57.7,79.8,0.348,0.273,0.617,76.7,44.7,15.0,15.2,0.621,18.1,51.6,0.197,0.328,22.7,4.8,0.138
9.0,9.0,2023-12-03,@,Morgan State,REG (Non-Conf),W,88.0,54.0,,32.0,62.0,0.516,4.0,13.0,0.308,28.0,49.0,0.571,0.548,20.0,29.0,0.69,15.0,26.0,41.0,13.0,10.0,1.0,8.0,19.0,23.0,53.0,0.434,4.0,14.0,0.286,19.0,39.0,0.487,0.472,4.0,12.0,0.333,5.0,20.0,25.0,13.0,5.0,1.0,15.0,23.0,128.0,78.6,68.7,0.468,0.21,0.581,62.1,40.6,14.5,2.6,0.548,9.5,42.9,0.323,0.472,20.4,16.1,0.075
10.0,10.0,2023-12-09,@,Delaware State,REG (Non-Conf),W,62.0,61.0,,24.0,53.0,0.453,8.0,17.0,0.471,16.0,36.0,0.444,0.528,6.0,11.0,0.545,8.0,24.0,32.0,16.0,7.0,1.0,23.0,12.0,26.0,63.0,0.413,2.0,11.0,0.182,24.0,52.0,0.462,0.429,7.0,8.0,0.875,8.0,22.0,30.0,14.0,12.0,2.0,15.0,12.0,84.3,83.0,73.5,0.208,0.321,0.532,51.6,66.7,9.5,1.9,0.528,28.3,26.7,0.113,0.429,18.3,25.0,0.111
