Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Youngstown State,REG (Non-Conf),W,72.0,62.0,,23.0,65.0,0.354,5.0,24.0,0.208,18.0,41.0,0.439,0.392,21.0,24.0,0.875,8.0,23.0,31.0,11.0,7.0,3.0,11.0,15.0,24.0,60.0,0.4,2.0,23.0,0.087,22.0,37.0,0.595,0.417,12.0,18.0,0.667,11.0,28.0,39.0,4.0,6.0,7.0,17.0,20.0,93.5,80.5,77.0,0.369,0.369,0.471,44.3,47.8,9.1,8.1,0.392,12.6,22.2,0.323,0.417,19.9,32.4,0.2
2.0,2.0,2023-11-11,@,Toledo,REG (Non-Conf),L,78.0,87.0,,33.0,61.0,0.541,9.0,23.0,0.391,24.0,38.0,0.632,0.615,3.0,6.0,0.5,10.0,20.0,30.0,17.0,4.0,5.0,17.0,22.0,32.0,56.0,0.571,3.0,9.0,0.333,29.0,47.0,0.617,0.598,20.0,28.0,0.714,7.0,17.0,24.0,17.0,10.0,4.0,8.0,12.0,110.5,123.3,70.6,0.098,0.377,0.611,55.6,51.5,5.7,10.6,0.615,21.0,37.0,0.049,0.598,10.3,25.9,0.357
3.0,3.0,2023-11-15,,La. Christian,REG (Non-Conf),W,107.0,56.0,,38.0,74.0,0.514,18.0,41.0,0.439,20.0,33.0,0.606,0.635,13.0,20.0,0.65,17.0,26.0,43.0,27.0,10.0,7.0,10.0,16.0,18.0,49.0,0.367,0.0,10.0,0.0,18.0,39.0,0.462,0.367,20.0,23.0,0.87,3.0,18.0,21.0,9.0,5.0,3.0,21.0,14.0,138.6,72.5,77.2,0.27,0.554,0.641,67.2,71.1,13.0,17.9,0.635,10.7,48.6,0.176,0.367,25.9,10.3,0.408
4.0,4.0,2023-11-20,N,Wright State,REG (Non-Conf),L,85.0,91.0,,31.0,60.0,0.517,10.0,26.0,0.385,21.0,34.0,0.618,0.6,13.0,15.0,0.867,4.0,16.0,20.0,11.0,10.0,4.0,11.0,21.0,35.0,63.0,0.556,2.0,12.0,0.167,33.0,51.0,0.647,0.571,19.0,28.0,0.679,13.0,22.0,35.0,12.0,8.0,4.0,14.0,15.0,112.3,120.2,75.7,0.25,0.433,0.633,36.4,35.5,13.2,7.8,0.6,14.1,15.4,0.217,0.571,15.5,44.8,0.302
5.0,5.0,2023-11-21,N,Buffalo,REG (Non-Conf),W,68.0,60.0,,25.0,59.0,0.424,6.0,17.0,0.353,19.0,42.0,0.452,0.475,12.0,17.0,0.706,11.0,21.0,32.0,10.0,10.0,6.0,10.0,12.0,22.0,54.0,0.407,9.0,28.0,0.321,13.0,26.0,0.5,0.491,7.0,12.0,0.583,13.0,19.0,32.0,12.0,5.0,4.0,15.0,14.0,106.4,93.9,63.9,0.288,0.288,0.507,50.0,40.0,15.7,23.1,0.475,13.0,36.7,0.203,0.491,20.1,38.2,0.13
6.0,6.0,2023-11-22,N,Long Beach State,REG (Non-Conf),W,92.0,82.0,,34.0,68.0,0.5,18.0,37.0,0.486,16.0,31.0,0.516,0.632,6.0,8.0,0.75,12.0,18.0,30.0,20.0,5.0,3.0,8.0,19.0,33.0,61.0,0.541,5.0,11.0,0.455,28.0,50.0,0.56,0.582,11.0,17.0,0.647,9.0,21.0,30.0,18.0,5.0,4.0,10.0,12.0,133.5,118.9,68.9,0.118,0.544,0.641,50.0,58.8,7.3,6.0,0.632,10.0,36.4,0.088,0.582,12.6,33.3,0.18
7.0,7.0,2023-11-27,,Loyola (LA),REG (Non-Conf),W,78.0,54.0,,33.0,59.0,0.559,10.0,18.0,0.556,23.0,41.0,0.561,0.644,2.0,7.0,0.286,7.0,26.0,33.0,15.0,14.0,8.0,10.0,12.0,19.0,52.0,0.365,6.0,17.0,0.353,13.0,35.0,0.371,0.423,10.0,15.0,0.667,8.0,19.0,27.0,7.0,3.0,2.0,17.0,8.0,116.9,80.9,66.7,0.119,0.305,0.626,55.0,45.5,21.0,22.9,0.644,13.8,26.9,0.034,0.423,22.3,23.5,0.192
8.0,8.0,2023-11-30,@,Samford,REG (Non-Conf),L,65.0,88.0,,25.0,63.0,0.397,3.0,19.0,0.158,22.0,44.0,0.5,0.421,12.0,22.0,0.545,12.0,14.0,26.0,7.0,13.0,4.0,14.0,20.0,31.0,57.0,0.544,5.0,17.0,0.294,26.0,40.0,0.65,0.588,21.0,27.0,0.778,11.0,28.0,39.0,17.0,13.0,5.0,15.0,20.0,87.1,117.9,74.6,0.349,0.302,0.442,40.0,28.0,17.4,10.0,0.421,16.0,30.0,0.19,0.588,17.7,44.0,0.368
9.0,9.0,2023-12-09,@,Louisiana Tech,REG (Non-Conf),L,67.0,72.0,,26.0,56.0,0.464,8.0,21.0,0.381,18.0,35.0,0.514,0.536,7.0,11.0,0.636,5.0,16.0,21.0,12.0,14.0,3.0,16.0,26.0,21.0,49.0,0.429,6.0,19.0,0.316,15.0,30.0,0.5,0.49,24.0,37.0,0.649,16.0,22.0,38.0,12.0,9.0,3.0,19.0,16.0,94.5,101.6,70.9,0.196,0.375,0.547,35.6,46.2,19.7,10.0,0.536,20.7,18.5,0.125,0.49,22.2,50.0,0.49
10.0,10.0,2023-12-13,,Eastern Kentucky,REG (Non-Conf),W,73.0,62.0,,28.0,65.0,0.431,6.0,18.0,0.333,22.0,47.0,0.468,0.477,11.0,15.0,0.733,12.0,21.0,33.0,8.0,10.0,3.0,10.0,15.0,22.0,55.0,0.4,5.0,17.0,0.294,17.0,38.0,0.447,0.445,13.0,21.0,0.619,11.0,24.0,35.0,13.0,7.0,6.0,19.0,16.0,102.0,86.7,71.6,0.231,0.277,0.506,48.5,28.6,14.0,7.9,0.477,12.2,33.3,0.169,0.445,22.6,34.4,0.236
