Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,UMBC,REG (Non-Conf),W,94.0,93.0,,34.0,68.0,0.5,2.0,14.0,0.143,32.0,54.0,0.593,0.515,24.0,39.0,0.615,20.0,27.0,47.0,9.0,4.0,5.0,14.0,20.0,35.0,69.0,0.507,11.0,21.0,0.524,24.0,48.0,0.5,0.587,12.0,22.0,0.545,12.0,23.0,35.0,13.0,8.0,3.0,11.0,26.0,118.3,117.0,79.5,0.574,0.206,0.543,57.3,26.5,5.0,10.4,0.515,13.9,46.5,0.353,0.587,12.2,30.8,0.174
2.0,2.0,2023-11-10,,Chattanooga,REG (Non-Conf),L,71.0,81.0,,26.0,68.0,0.382,6.0,18.0,0.333,20.0,50.0,0.4,0.426,13.0,20.0,0.65,16.0,24.0,40.0,11.0,7.0,2.0,15.0,21.0,27.0,61.0,0.443,14.0,34.0,0.412,13.0,27.0,0.481,0.557,13.0,19.0,0.684,12.0,29.0,41.0,14.0,5.0,4.0,14.0,19.0,95.6,109.1,74.3,0.294,0.265,0.458,49.4,42.3,9.4,7.4,0.426,16.2,35.6,0.191,0.557,16.7,33.3,0.213
3.0,3.0,2023-11-15,,Coppin State,REG (Non-Conf),W,61.0,41.0,,22.0,56.0,0.393,6.0,21.0,0.286,16.0,35.0,0.457,0.446,11.0,14.0,0.786,11.0,30.0,41.0,7.0,8.0,3.0,14.0,11.0,16.0,57.0,0.281,3.0,17.0,0.176,13.0,40.0,0.325,0.307,6.0,9.0,0.667,9.0,21.0,30.0,4.0,7.0,2.0,15.0,14.0,91.8,61.7,66.5,0.25,0.375,0.487,57.7,31.8,12.0,7.5,0.446,18.3,34.4,0.196,0.307,19.7,23.1,0.105
4.0,4.0,2023-11-19,N,Texas,REG (Non-Conf),L,80.0,81.0,,23.0,53.0,0.434,7.0,16.0,0.438,16.0,37.0,0.432,0.5,27.0,31.0,0.871,8.0,23.0,31.0,12.0,3.0,3.0,9.0,21.0,31.0,67.0,0.463,2.0,17.0,0.118,29.0,50.0,0.58,0.478,17.0,23.0,0.739,10.0,17.0,27.0,12.0,7.0,5.0,4.0,21.0,113.8,115.2,70.3,0.585,0.302,0.591,53.4,52.2,4.3,6.0,0.5,11.7,32.0,0.509,0.478,4.9,30.3,0.254
5.0,5.0,2023-11-20,N,Indiana,REG (Non-Conf),L,66.0,74.0,,20.0,56.0,0.357,5.0,19.0,0.263,15.0,37.0,0.405,0.402,21.0,29.0,0.724,5.0,25.0,30.0,9.0,6.0,2.0,11.0,23.0,24.0,53.0,0.453,1.0,11.0,0.091,23.0,42.0,0.548,0.462,25.0,34.0,0.735,7.0,31.0,38.0,18.0,8.0,7.0,11.0,18.0,88.6,99.4,74.5,0.518,0.339,0.473,44.1,45.0,8.1,4.8,0.402,13.6,13.9,0.375,0.462,13.7,21.9,0.472
6.0,6.0,2023-11-26,,New Mexico State,REG (Non-Conf),W,90.0,84.0,OT,25.0,56.0,0.446,4.0,20.0,0.2,21.0,36.0,0.583,0.482,36.0,49.0,0.735,15.0,20.0,35.0,12.0,8.0,1.0,12.0,16.0,35.0,60.0,0.583,5.0,18.0,0.278,30.0,42.0,0.714,0.625,9.0,17.0,0.529,8.0,24.0,32.0,17.0,7.0,1.0,13.0,40.0,120.5,112.5,66.4,0.875,0.357,0.568,52.2,48.0,10.7,2.4,0.482,13.1,38.5,0.643,0.625,16.0,28.6,0.15
7.0,7.0,2023-11-29,,Bellarmine,REG (Non-Conf),W,73.0,68.0,,25.0,58.0,0.431,7.0,24.0,0.292,18.0,34.0,0.529,0.491,16.0,22.0,0.727,9.0,28.0,37.0,13.0,1.0,4.0,14.0,19.0,22.0,58.0,0.379,6.0,20.0,0.3,16.0,38.0,0.421,0.431,18.0,19.0,0.947,6.0,24.0,30.0,13.0,7.0,2.0,12.0,21.0,99.7,92.8,73.2,0.379,0.414,0.533,55.2,52.0,1.4,10.5,0.491,17.0,27.3,0.276,0.431,15.2,17.6,0.31
8.0,8.0,2023-12-03,@,Virginia Tech,REG (Conf),L,68.0,75.0,,23.0,57.0,0.404,6.0,19.0,0.316,17.0,38.0,0.447,0.456,16.0,18.0,0.889,7.0,23.0,30.0,11.0,6.0,4.0,11.0,21.0,24.0,55.0,0.436,5.0,20.0,0.25,19.0,35.0,0.543,0.482,22.0,27.0,0.815,6.0,23.0,29.0,16.0,6.0,2.0,9.0,17.0,96.9,106.9,70.2,0.316,0.333,0.519,50.8,47.8,8.5,11.4,0.456,14.4,23.3,0.281,0.482,11.7,20.7,0.4
9.0,9.0,2023-12-09,@,DePaul,REG (Non-Conf),L,68.0,75.0,,25.0,63.0,0.397,5.0,19.0,0.263,20.0,44.0,0.455,0.437,13.0,18.0,0.722,8.0,21.0,29.0,12.0,9.0,3.0,10.0,21.0,25.0,49.0,0.51,8.0,23.0,0.348,17.0,26.0,0.654,0.592,17.0,24.0,0.708,2.0,28.0,30.0,17.0,5.0,7.0,16.0,17.0,91.9,101.4,74.0,0.286,0.302,0.475,49.2,48.0,12.2,11.5,0.437,12.3,22.2,0.206,0.592,20.9,8.7,0.347
10.0,10.0,2023-12-13,,Arkansas State,REG (Non-Conf),L,63.0,75.0,,22.0,61.0,0.361,2.0,15.0,0.133,20.0,46.0,0.435,0.377,17.0,23.0,0.739,11.0,25.0,36.0,5.0,4.0,5.0,9.0,12.0,30.0,68.0,0.441,5.0,25.0,0.2,25.0,43.0,0.581,0.478,10.0,12.0,0.833,14.0,29.0,43.0,13.0,5.0,4.0,10.0,19.0,90.2,107.4,69.8,0.377,0.246,0.438,45.6,22.7,5.7,11.6,0.377,11.1,27.5,0.279,0.478,11.9,35.9,0.147
