Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-08,N,Florida Atlantic,REG (Non-Conf),L,62.0,75.0,,22.0,51.0,0.431,6.0,17.0,0.353,16.0,34.0,0.471,0.49,12.0,19.0,0.632,7.0,19.0,26.0,9.0,6.0,4.0,18.0,18.0,26.0,56.0,0.464,8.0,23.0,0.348,18.0,33.0,0.545,0.536,15.0,21.0,0.714,7.0,23.0,30.0,16.0,11.0,5.0,12.0,19.0,87.3,105.6,71.0,0.373,0.333,0.516,46.4,40.9,8.5,12.1,0.49,23.1,23.3,0.235,0.536,15.4,26.9,0.268
2.0,2.0,2023-11-11,,Eastern Illinois,REG (Non-Conf),W,89.0,65.0,,32.0,54.0,0.593,12.0,31.0,0.387,20.0,23.0,0.87,0.704,13.0,17.0,0.765,2.0,28.0,30.0,23.0,4.0,9.0,10.0,14.0,24.0,69.0,0.348,6.0,16.0,0.375,18.0,53.0,0.34,0.391,11.0,15.0,0.733,11.0,19.0,30.0,9.0,6.0,1.0,10.0,11.0,122.6,89.5,72.6,0.315,0.574,0.717,50.0,71.9,5.5,17.0,0.704,13.9,9.5,0.241,0.391,11.6,28.2,0.159
3.0,3.0,2023-11-14,,Illinois–Chicago,REG (Non-Conf),L,67.0,72.0,,19.0,58.0,0.328,6.0,25.0,0.24,13.0,33.0,0.394,0.379,23.0,25.0,0.92,6.0,25.0,31.0,12.0,9.0,3.0,12.0,19.0,24.0,55.0,0.436,10.0,24.0,0.417,14.0,31.0,0.452,0.527,14.0,15.0,0.933,5.0,26.0,31.0,15.0,7.0,8.0,16.0,17.0,89.9,96.6,74.5,0.431,0.431,0.479,50.0,63.2,12.1,9.7,0.379,14.7,18.8,0.397,0.527,20.5,16.7,0.255
4.0,4.0,2023-11-18,,New Orleans,REG (Non-Conf),W,73.0,70.0,,25.0,58.0,0.431,6.0,20.0,0.3,19.0,38.0,0.5,0.483,17.0,24.0,0.708,10.0,33.0,43.0,17.0,4.0,8.0,14.0,19.0,23.0,66.0,0.348,9.0,25.0,0.36,14.0,41.0,0.341,0.417,15.0,22.0,0.682,11.0,21.0,32.0,13.0,6.0,3.0,7.0,19.0,100.1,96.0,72.9,0.414,0.345,0.526,57.3,68.0,5.5,19.5,0.483,16.8,32.3,0.293,0.417,8.4,25.0,0.227
5.0,5.0,2023-11-22,N,Creighton,REG (Non-Conf),L,65.0,88.0,,27.0,61.0,0.443,6.0,15.0,0.4,21.0,46.0,0.457,0.492,5.0,9.0,0.556,5.0,19.0,24.0,11.0,6.0,4.0,10.0,18.0,32.0,58.0,0.552,14.0,27.0,0.519,18.0,31.0,0.581,0.672,10.0,13.0,0.769,7.0,29.0,36.0,16.0,2.0,5.0,10.0,10.0,94.6,128.0,68.7,0.148,0.246,0.498,40.0,40.7,8.7,12.9,0.492,13.3,14.7,0.082,0.672,13.5,26.9,0.172
6.0,6.0,2023-11-23,N,Boston College,REG (Non-Conf),W,71.0,68.0,,22.0,53.0,0.415,13.0,29.0,0.448,9.0,24.0,0.375,0.538,14.0,18.0,0.778,6.0,29.0,35.0,16.0,4.0,4.0,16.0,13.0,27.0,64.0,0.422,4.0,23.0,0.174,23.0,41.0,0.561,0.453,10.0,11.0,0.909,5.0,24.0,29.0,11.0,9.0,3.0,8.0,15.0,98.8,94.6,71.9,0.34,0.547,0.577,54.7,72.7,5.6,9.8,0.538,20.6,20.0,0.264,0.453,10.4,14.7,0.156
7.0,7.0,2023-11-28,,Chicago State,REG (Non-Conf),W,62.0,53.0,,19.0,43.0,0.442,7.0,23.0,0.304,12.0,20.0,0.6,0.523,17.0,24.0,0.708,7.0,20.0,27.0,15.0,7.0,5.0,12.0,16.0,17.0,52.0,0.327,5.0,13.0,0.385,12.0,39.0,0.308,0.375,14.0,16.0,0.875,8.0,16.0,24.0,8.0,8.0,2.0,14.0,21.0,99.2,84.8,62.5,0.558,0.535,0.57,52.9,78.9,11.2,12.8,0.523,18.1,30.4,0.395,0.375,19.0,28.6,0.269
8.0,8.0,2023-12-02,,Harvard,REG (Non-Conf),W,75.0,53.0,,30.0,68.0,0.441,9.0,28.0,0.321,21.0,40.0,0.525,0.507,6.0,13.0,0.462,8.0,36.0,44.0,23.0,7.0,6.0,9.0,25.0,13.0,53.0,0.245,4.0,21.0,0.19,9.0,32.0,0.281,0.283,23.0,35.0,0.657,7.0,27.0,34.0,8.0,5.0,3.0,11.0,13.0,100.8,71.2,74.4,0.191,0.412,0.506,56.4,76.7,9.4,18.8,0.507,10.8,22.9,0.088,0.283,13.6,16.3,0.434
9.0,9.0,2023-12-05,@,Tulsa,REG (Non-Conf),L,77.0,88.0,,28.0,61.0,0.459,13.0,34.0,0.382,15.0,27.0,0.556,0.566,8.0,14.0,0.571,5.0,21.0,26.0,16.0,9.0,4.0,20.0,28.0,26.0,51.0,0.51,14.0,29.0,0.483,12.0,22.0,0.545,0.647,22.0,33.0,0.667,4.0,26.0,30.0,14.0,11.0,2.0,18.0,16.0,94.3,107.8,81.7,0.23,0.557,0.569,46.4,57.1,11.0,18.2,0.566,22.8,16.1,0.131,0.647,21.3,16.0,0.431
10.0,10.0,2023-12-09,,Goshen,REG (Non-Conf),W,115.0,64.0,,43.0,73.0,0.589,16.0,35.0,0.457,27.0,38.0,0.711,0.699,13.0,19.0,0.684,14.0,30.0,44.0,33.0,11.0,5.0,9.0,20.0,19.0,52.0,0.365,7.0,19.0,0.368,12.0,33.0,0.364,0.433,19.0,27.0,0.704,4.0,15.0,19.0,13.0,3.0,0.0,17.0,16.0,148.5,82.7,77.4,0.26,0.479,0.701,69.8,76.7,14.2,15.2,0.699,9.9,48.3,0.178,0.433,20.8,11.8,0.365
