Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Florida,REG (Non-Conf),L,73.0,93.0,,27.0,59.0,0.458,9.0,26.0,0.346,18.0,33.0,0.545,0.534,10.0,15.0,0.667,8.0,20.0,28.0,13.0,6.0,2.0,14.0,22.0,36.0,62.0,0.581,6.0,16.0,0.375,30.0,46.0,0.652,0.629,15.0,30.0,0.5,11.0,24.0,35.0,17.0,11.0,3.0,10.0,16.0,99.1,126.2,73.7,0.254,0.441,0.552,44.4,48.1,8.1,4.3,0.534,17.5,25.0,0.169,0.629,11.6,35.5,0.242
2.0,2.0,2023-11-11,@,Brown,REG (Non-Conf),W,77.0,75.0,OT,29.0,67.0,0.433,9.0,22.0,0.409,20.0,45.0,0.444,0.5,10.0,14.0,0.714,5.0,26.0,31.0,16.0,10.0,6.0,13.0,20.0,26.0,67.0,0.388,5.0,21.0,0.238,21.0,46.0,0.457,0.425,18.0,26.0,0.692,15.0,26.0,41.0,14.0,6.0,10.0,15.0,17.0,95.7,93.2,71.6,0.209,0.328,0.523,43.1,55.2,12.4,13.0,0.5,15.0,16.1,0.149,0.425,15.9,36.6,0.269
3.0,3.0,2023-11-15,,Binghamton,REG (Non-Conf),L,57.0,63.0,,17.0,51.0,0.333,5.0,19.0,0.263,12.0,32.0,0.375,0.382,18.0,24.0,0.75,4.0,28.0,32.0,10.0,5.0,2.0,13.0,13.0,26.0,60.0,0.433,3.0,18.0,0.167,23.0,42.0,0.548,0.458,8.0,13.0,0.615,5.0,26.0,31.0,13.0,5.0,6.0,8.0,22.0,81.1,89.6,70.3,0.471,0.373,0.457,50.8,58.8,7.1,4.8,0.382,17.2,13.3,0.353,0.458,10.8,15.2,0.133
4.0,4.0,2023-11-18,N,Sacred Heart,REG (Non-Conf),L,51.0,66.0,,22.0,58.0,0.379,5.0,22.0,0.227,17.0,36.0,0.472,0.422,2.0,7.0,0.286,13.0,25.0,38.0,12.0,6.0,5.0,20.0,16.0,22.0,60.0,0.367,6.0,21.0,0.286,16.0,39.0,0.41,0.417,16.0,20.0,0.8,11.0,22.0,33.0,6.0,15.0,2.0,16.0,16.0,71.4,92.4,71.4,0.121,0.379,0.416,53.5,54.5,8.4,12.8,0.422,24.6,37.1,0.034,0.417,18.7,30.6,0.267
5.0,5.0,2023-11-19,@,UMBC,REG (Non-Conf),L,79.0,94.0,,29.0,70.0,0.414,10.0,28.0,0.357,19.0,42.0,0.452,0.486,11.0,16.0,0.688,7.0,25.0,32.0,11.0,7.0,2.0,9.0,15.0,37.0,76.0,0.487,11.0,26.0,0.423,26.0,50.0,0.52,0.559,9.0,13.0,0.692,13.0,32.0,45.0,17.0,4.0,6.0,14.0,16.0,97.1,115.5,81.4,0.229,0.4,0.509,41.6,37.9,8.6,4.0,0.486,10.4,17.9,0.157,0.559,14.6,34.2,0.118
6.0,6.0,2023-11-25,@,Missouri,REG (Non-Conf),L,70.0,78.0,,25.0,56.0,0.446,10.0,30.0,0.333,15.0,26.0,0.577,0.536,10.0,17.0,0.588,10.0,27.0,37.0,16.0,2.0,1.0,18.0,20.0,26.0,58.0,0.448,11.0,28.0,0.393,15.0,30.0,0.5,0.543,15.0,24.0,0.625,8.0,22.0,30.0,10.0,14.0,3.0,9.0,16.0,98.3,109.5,71.2,0.304,0.536,0.546,55.2,64.0,2.8,3.3,0.536,21.9,31.3,0.179,0.543,11.5,22.9,0.259
7.0,7.0,2023-11-29,@,Columbia,REG (Non-Conf),L,57.0,69.0,,21.0,50.0,0.42,7.0,25.0,0.28,14.0,25.0,0.56,0.49,8.0,12.0,0.667,6.0,19.0,25.0,14.0,8.0,4.0,15.0,15.0,25.0,54.0,0.463,9.0,22.0,0.409,16.0,32.0,0.5,0.546,10.0,13.0,0.769,9.0,22.0,31.0,19.0,11.0,2.0,12.0,15.0,89.1,107.9,63.9,0.24,0.5,0.512,44.6,66.7,12.5,12.5,0.49,21.2,21.4,0.16,0.546,16.6,32.1,0.185
8.0,8.0,2023-12-02,,Delaware State,REG (Non-Conf),L,73.0,79.0,OT,28.0,58.0,0.483,8.0,26.0,0.308,20.0,32.0,0.625,0.552,9.0,17.0,0.529,9.0,21.0,30.0,23.0,5.0,4.0,14.0,20.0,28.0,60.0,0.467,3.0,10.0,0.3,25.0,50.0,0.5,0.492,20.0,26.0,0.769,9.0,26.0,35.0,11.0,7.0,1.0,8.0,18.0,102.5,110.9,63.3,0.293,0.448,0.552,46.2,82.1,7.0,8.0,0.552,17.5,25.7,0.155,0.492,10.0,30.0,0.333
9.0,9.0,2023-12-06,@,La Salle,REG (Non-Conf),L,61.0,62.0,,24.0,64.0,0.375,6.0,17.0,0.353,18.0,47.0,0.383,0.422,7.0,14.0,0.5,9.0,26.0,35.0,16.0,7.0,2.0,9.0,9.0,25.0,61.0,0.41,9.0,28.0,0.321,16.0,33.0,0.485,0.484,3.0,6.0,0.5,8.0,25.0,33.0,16.0,4.0,3.0,12.0,12.0,88.1,89.5,69.3,0.219,0.266,0.432,51.5,66.7,10.1,6.1,0.422,11.3,26.5,0.109,0.484,15.8,23.5,0.049
10.0,10.0,2023-12-09,,Mount St. Mary's,REG (Non-Conf),L,64.0,77.0,,22.0,48.0,0.458,5.0,15.0,0.333,17.0,33.0,0.515,0.51,15.0,20.0,0.75,8.0,21.0,29.0,12.0,7.0,4.0,20.0,20.0,26.0,51.0,0.51,8.0,17.0,0.471,18.0,34.0,0.529,0.588,17.0,23.0,0.739,5.0,19.0,24.0,16.0,12.0,5.0,13.0,21.0,91.8,110.5,69.7,0.417,0.313,0.557,54.7,54.5,10.0,11.8,0.51,25.8,29.6,0.313,0.588,17.4,19.2,0.333
11.0,11.0,2023-12-16,@,George Mason,REG (Non-Conf),L,54.0,62.0,,18.0,58.0,0.31,6.0,23.0,0.261,12.0,35.0,0.343,0.362,12.0,17.0,0.706,10.0,23.0,33.0,10.0,6.0,1.0,7.0,19.0,19.0,49.0,0.388,4.0,20.0,0.2,15.0,29.0,0.517,0.429,20.0,29.0,0.69,11.0,30.0,41.0,8.0,1.0,5.0,8.0,14.0,87.9,100.9,61.4,0.293,0.397,0.409,44.6,55.6,9.8,3.4,0.362,9.6,25.0,0.207,0.429,11.3,32.4,0.408
12.0,12.0,2023-12-22,,St. Mary's (MD),REG (Non-Conf),W,91.0,57.0,,33.0,46.0,0.717,12.0,19.0,0.632,21.0,27.0,0.778,0.848,13.0,19.0,0.684,6.0,24.0,30.0,18.0,6.0,2.0,14.0,13.0,19.0,51.0,0.373,10.0,25.0,0.4,9.0,26.0,0.346,0.471,9.0,12.0,0.75,2.0,6.0,8.0,13.0,7.0,2.0,7.0,17.0,145.9,91.4,62.4,0.413,0.413,0.827,78.9,54.5,9.6,7.7,0.848,20.3,50.0,0.283,0.471,11.0,7.7,0.176
13.0,13.0,2023-12-29,@,Saint Joseph's,REG (Non-Conf),L,56.0,97.0,,21.0,62.0,0.339,7.0,28.0,0.25,14.0,34.0,0.412,0.395,7.0,15.0,0.467,14.0,21.0,35.0,9.0,2.0,2.0,17.0,14.0,33.0,69.0,0.478,15.0,36.0,0.417,18.0,33.0,0.545,0.587,16.0,19.0,0.842,11.0,27.0,38.0,20.0,12.0,4.0,7.0,16.0,76.6,132.7,73.1,0.242,0.452,0.405,47.9,42.9,2.7,6.1,0.395,19.7,34.1,0.113,0.587,8.2,34.4,0.232
14.0,14.0,2024-01-03,@,Colgate,REG (Conf),L,55.0,78.0,,23.0,54.0,0.426,6.0,20.0,0.3,17.0,34.0,0.5,0.481,3.0,10.0,0.3,5.0,24.0,29.0,14.0,4.0,1.0,12.0,11.0,31.0,62.0,0.5,8.0,23.0,0.348,23.0,39.0,0.59,0.565,8.0,12.0,0.667,7.0,26.0,33.0,21.0,10.0,6.0,4.0,14.0,84.3,119.6,65.2,0.185,0.37,0.468,46.8,60.9,6.1,2.6,0.481,17.0,16.1,0.056,0.565,5.6,22.6,0.129
15.0,15.0,2024-01-06,,Lehigh,REG (Conf),L,76.0,88.0,,28.0,55.0,0.509,11.0,20.0,0.55,17.0,35.0,0.486,0.609,9.0,18.0,0.5,9.0,22.0,31.0,18.0,6.0,0.0,15.0,19.0,34.0,57.0,0.596,6.0,18.0,0.333,28.0,39.0,0.718,0.649,14.0,21.0,0.667,4.0,21.0,25.0,17.0,10.0,1.0,9.0,18.0,107.4,124.4,70.8,0.327,0.364,0.598,55.4,64.3,8.5,0.0,0.609,19.1,30.0,0.164,0.649,11.8,15.4,0.246
16.0,16.0,2024-01-10,@,Army,REG (Conf),W,71.0,65.0,,24.0,46.0,0.522,6.0,12.0,0.5,18.0,34.0,0.529,0.587,17.0,22.0,0.773,7.0,19.0,26.0,9.0,9.0,3.0,7.0,12.0,24.0,50.0,0.48,14.0,30.0,0.467,10.0,20.0,0.5,0.62,3.0,6.0,0.5,5.0,13.0,18.0,19.0,4.0,4.0,11.0,19.0,123.2,112.7,57.7,0.478,0.261,0.629,59.1,37.5,15.6,15.0,0.587,11.0,35.0,0.37,0.62,17.2,20.8,0.06
17.0,17.0,2024-01-13,,Boston University,REG (Conf),L,58.0,60.0,,24.0,52.0,0.462,5.0,16.0,0.313,19.0,36.0,0.528,0.51,5.0,7.0,0.714,3.0,24.0,27.0,12.0,7.0,1.0,16.0,11.0,23.0,58.0,0.397,10.0,26.0,0.385,13.0,32.0,0.406,0.483,4.0,9.0,0.444,6.0,21.0,27.0,9.0,12.0,5.0,11.0,12.0,85.5,88.5,67.8,0.135,0.308,0.524,50.0,50.0,10.3,3.1,0.51,22.4,12.5,0.096,0.483,15.0,20.0,0.069
18.0,18.0,2024-01-15,,American,REG (Conf),L,52.0,66.0,,19.0,47.0,0.404,4.0,20.0,0.2,15.0,27.0,0.556,0.447,10.0,20.0,0.5,7.0,16.0,23.0,8.0,9.0,1.0,14.0,19.0,24.0,41.0,0.585,4.0,13.0,0.308,20.0,28.0,0.714,0.634,14.0,19.0,0.737,3.0,21.0,24.0,6.0,6.0,3.0,16.0,21.0,82.2,104.3,63.3,0.426,0.426,0.46,48.9,42.1,14.2,3.6,0.447,19.9,25.0,0.213,0.634,24.2,15.8,0.341
19.0,19.0,2024-01-20,@,Holy Cross,REG (Conf),L,78.0,86.0,,29.0,54.0,0.537,10.0,21.0,0.476,19.0,33.0,0.576,0.63,10.0,22.0,0.455,7.0,23.0,30.0,17.0,1.0,0.0,11.0,18.0,30.0,53.0,0.566,10.0,19.0,0.526,20.0,34.0,0.588,0.66,16.0,23.0,0.696,2.0,17.0,19.0,12.0,5.0,4.0,4.0,17.0,116.1,128.0,67.2,0.407,0.389,0.605,61.2,58.6,1.5,0.0,0.63,14.6,29.2,0.185,0.66,5.9,8.0,0.302
