Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Charlotte,REG (Non-Conf),L,52.0,69.0,,18.0,54.0,0.333,6.0,24.0,0.25,12.0,30.0,0.4,0.389,10.0,19.0,0.526,6.0,19.0,25.0,11.0,8.0,1.0,5.0,18.0,23.0,43.0,0.535,6.0,17.0,0.353,17.0,26.0,0.654,0.605,17.0,21.0,0.81,2.0,32.0,34.0,14.0,5.0,3.0,14.0,16.0,81.9,108.7,63.5,0.352,0.444,0.413,42.4,61.1,12.6,3.8,0.389,7.4,15.8,0.185,0.605,20.9,9.5,0.395
2.0,2.0,2023-11-08,,Me.-Presque Isle,REG (Non-Conf),W,111.0,59.0,,48.0,78.0,0.615,5.0,22.0,0.227,43.0,56.0,0.768,0.647,10.0,16.0,0.625,10.0,42.0,52.0,23.0,14.0,7.0,10.0,15.0,21.0,69.0,0.304,2.0,17.0,0.118,19.0,52.0,0.365,0.319,15.0,21.0,0.714,7.0,23.0,30.0,9.0,6.0,1.0,16.0,12.0,127.9,68.0,86.8,0.205,0.282,0.648,63.4,47.9,16.1,13.5,0.647,10.5,30.3,0.128,0.319,16.8,14.3,0.217
3.0,3.0,2023-11-12,,Merrimack,REG (Non-Conf),L,65.0,71.0,,22.0,55.0,0.4,7.0,22.0,0.318,15.0,33.0,0.455,0.464,14.0,18.0,0.778,10.0,18.0,28.0,14.0,12.0,2.0,15.0,22.0,23.0,45.0,0.511,4.0,17.0,0.235,19.0,28.0,0.679,0.556,21.0,32.0,0.656,6.0,22.0,28.0,8.0,10.0,2.0,15.0,15.0,94.4,103.1,68.9,0.327,0.4,0.511,50.0,63.6,17.4,7.1,0.464,19.1,31.3,0.255,0.556,19.9,25.0,0.467
4.0,4.0,2023-11-16,N,Northwestern State,REG (Non-Conf),W,78.0,65.0,,27.0,52.0,0.519,8.0,20.0,0.4,19.0,32.0,0.594,0.596,16.0,20.0,0.8,7.0,24.0,31.0,13.0,10.0,4.0,12.0,17.0,24.0,58.0,0.414,7.0,19.0,0.368,17.0,39.0,0.436,0.474,10.0,17.0,0.588,14.0,18.0,32.0,12.0,7.0,1.0,16.0,16.0,115.9,96.6,67.3,0.385,0.385,0.634,49.2,48.1,14.9,10.3,0.596,16.3,28.0,0.308,0.474,19.5,36.8,0.172
5.0,5.0,2023-11-17,N,Presbyterian,REG (Non-Conf),W,80.0,66.0,,25.0,46.0,0.543,7.0,13.0,0.538,18.0,33.0,0.545,0.62,23.0,26.0,0.885,3.0,20.0,23.0,9.0,9.0,2.0,10.0,18.0,24.0,48.0,0.5,9.0,18.0,0.5,15.0,30.0,0.5,0.594,9.0,16.0,0.563,6.0,16.0,22.0,14.0,4.0,2.0,15.0,19.0,123.1,101.6,65.0,0.565,0.283,0.686,51.1,36.0,13.9,6.7,0.62,14.6,15.8,0.5,0.594,21.2,23.1,0.188
6.0,6.0,2023-11-18,@,North Florida,REG (Non-Conf),L,58.0,67.0,,26.0,58.0,0.448,2.0,16.0,0.125,24.0,42.0,0.571,0.466,4.0,4.0,1.0,4.0,18.0,22.0,11.0,6.0,2.0,5.0,12.0,25.0,54.0,0.463,9.0,25.0,0.36,16.0,29.0,0.552,0.546,8.0,8.0,1.0,9.0,24.0,33.0,13.0,3.0,5.0,10.0,9.0,96.9,111.9,59.9,0.069,0.276,0.484,40.0,42.3,10.0,6.9,0.466,7.7,14.3,0.069,0.546,14.7,33.3,0.148
7.0,7.0,2023-11-22,@,South Florida,REG (Non-Conf),W,70.0,59.0,,25.0,51.0,0.49,6.0,14.0,0.429,19.0,37.0,0.514,0.549,14.0,20.0,0.7,5.0,27.0,32.0,13.0,6.0,2.0,13.0,16.0,23.0,65.0,0.354,2.0,20.0,0.1,21.0,45.0,0.467,0.369,11.0,18.0,0.611,13.0,23.0,36.0,10.0,7.0,2.0,10.0,18.0,100.7,84.9,69.5,0.392,0.275,0.579,47.1,52.0,8.6,4.4,0.549,17.7,17.9,0.275,0.369,12.0,32.5,0.169
8.0,8.0,2023-11-25,@,Columbia,REG (Non-Conf),L,56.0,75.0,,25.0,60.0,0.417,4.0,21.0,0.19,21.0,39.0,0.538,0.45,2.0,5.0,0.4,6.0,20.0,26.0,13.0,9.0,3.0,17.0,13.0,29.0,59.0,0.492,7.0,14.0,0.5,22.0,45.0,0.489,0.551,10.0,12.0,0.833,9.0,29.0,38.0,18.0,7.0,2.0,15.0,12.0,77.7,104.1,72.0,0.083,0.35,0.449,40.6,52.0,12.5,6.7,0.45,21.4,17.1,0.033,0.551,18.8,31.0,0.169
9.0,9.0,2023-11-29,@,Holy Cross,REG (Non-Conf),W,72.0,57.0,,22.0,54.0,0.407,7.0,22.0,0.318,15.0,32.0,0.469,0.472,21.0,25.0,0.84,7.0,24.0,31.0,7.0,9.0,0.0,8.0,13.0,23.0,59.0,0.39,4.0,18.0,0.222,19.0,41.0,0.463,0.424,7.0,14.0,0.5,10.0,22.0,32.0,11.0,4.0,5.0,11.0,20.0,107.8,85.4,66.8,0.463,0.407,0.546,49.2,31.8,13.5,0.0,0.472,10.8,24.1,0.389,0.424,14.4,29.4,0.119
10.0,10.0,2023-12-03,,Brown,REG (Non-Conf),W,60.0,49.0,,25.0,52.0,0.481,5.0,14.0,0.357,20.0,38.0,0.526,0.529,5.0,8.0,0.625,3.0,21.0,24.0,15.0,8.0,5.0,9.0,19.0,17.0,51.0,0.333,3.0,16.0,0.188,14.0,35.0,0.4,0.363,12.0,17.0,0.706,12.0,20.0,32.0,8.0,3.0,4.0,14.0,15.0,97.7,79.8,61.4,0.154,0.269,0.538,42.9,60.0,13.0,14.3,0.529,13.9,13.0,0.096,0.363,19.2,36.4,0.235
11.0,11.0,2023-12-06,@,Boston University,REG (Non-Conf),W,74.0,65.0,,26.0,51.0,0.51,7.0,20.0,0.35,19.0,31.0,0.613,0.578,15.0,20.0,0.75,4.0,22.0,26.0,14.0,9.0,1.0,10.0,13.0,24.0,52.0,0.462,7.0,18.0,0.389,17.0,34.0,0.5,0.529,10.0,19.0,0.526,9.0,23.0,32.0,16.0,8.0,4.0,16.0,15.0,110.0,96.6,67.3,0.392,0.392,0.612,44.8,53.8,13.4,2.9,0.578,14.2,14.8,0.294,0.529,20.8,29.0,0.192
12.0,12.0,2023-12-09,,Central Connecticut State,REG (Non-Conf),W,69.0,56.0,,23.0,51.0,0.451,5.0,14.0,0.357,18.0,37.0,0.486,0.5,18.0,26.0,0.692,6.0,30.0,36.0,13.0,8.0,4.0,10.0,19.0,20.0,55.0,0.364,3.0,14.0,0.214,17.0,41.0,0.415,0.391,13.0,20.0,0.65,6.0,24.0,30.0,11.0,6.0,1.0,10.0,18.0,101.6,82.4,67.9,0.51,0.275,0.545,54.5,56.5,11.8,9.8,0.5,13.6,20.0,0.353,0.391,13.4,16.7,0.236
13.0,13.0,2023-12-18,@,UCF,REG (Non-Conf),L,51.0,74.0,,22.0,64.0,0.344,1.0,19.0,0.053,21.0,45.0,0.467,0.352,6.0,12.0,0.5,11.0,25.0,36.0,10.0,7.0,2.0,8.0,19.0,26.0,56.0,0.464,8.0,19.0,0.421,18.0,37.0,0.486,0.536,14.0,23.0,0.609,10.0,30.0,40.0,14.0,4.0,8.0,8.0,16.0,77.5,112.4,65.8,0.188,0.297,0.366,47.4,45.5,10.6,5.4,0.352,10.3,26.8,0.094,0.536,10.7,28.6,0.25
14.0,14.0,2023-12-21,@,Florida International,REG (Non-Conf),L,74.0,82.0,,27.0,57.0,0.474,5.0,18.0,0.278,22.0,39.0,0.564,0.518,15.0,20.0,0.75,6.0,20.0,26.0,17.0,12.0,4.0,12.0,18.0,30.0,59.0,0.508,8.0,23.0,0.348,22.0,36.0,0.611,0.576,14.0,21.0,0.667,12.0,26.0,38.0,17.0,6.0,5.0,17.0,16.0,101.0,112.0,73.2,0.351,0.316,0.556,40.6,63.0,16.4,11.1,0.518,15.3,18.8,0.263,0.576,19.8,37.5,0.237
15.0,15.0,2023-12-29,@,Minnesota,REG (Non-Conf),L,62.0,80.0,,26.0,59.0,0.441,5.0,19.0,0.263,21.0,40.0,0.525,0.483,5.0,6.0,0.833,6.0,22.0,28.0,16.0,4.0,2.0,13.0,19.0,29.0,57.0,0.509,11.0,24.0,0.458,18.0,33.0,0.545,0.605,11.0,19.0,0.579,6.0,24.0,30.0,23.0,8.0,5.0,10.0,13.0,89.3,115.2,69.4,0.102,0.322,0.501,48.3,61.5,5.8,6.1,0.483,17.4,20.0,0.085,0.605,13.2,21.4,0.193
16.0,16.0,2024-01-06,@,Vermont,REG (Conf),L,58.0,65.0,,24.0,57.0,0.421,6.0,15.0,0.4,18.0,42.0,0.429,0.474,4.0,5.0,0.8,2.0,30.0,32.0,8.0,6.0,2.0,9.0,19.0,25.0,57.0,0.439,3.0,17.0,0.176,22.0,40.0,0.55,0.465,12.0,19.0,0.632,5.0,28.0,33.0,9.0,9.0,5.0,6.0,8.0,87.0,97.5,66.7,0.088,0.263,0.488,49.2,33.3,9.0,5.0,0.474,13.2,6.7,0.07,0.465,8.3,14.3,0.211
17.0,17.0,2024-01-11,,New Hampshire,REG (Conf),L,74.0,79.0,,31.0,67.0,0.463,8.0,29.0,0.276,23.0,38.0,0.605,0.522,4.0,5.0,0.8,5.0,24.0,29.0,16.0,6.0,4.0,10.0,15.0,27.0,59.0,0.458,6.0,17.0,0.353,21.0,42.0,0.5,0.508,19.0,20.0,0.95,6.0,30.0,36.0,11.0,4.0,1.0,11.0,8.0,100.1,106.8,73.9,0.075,0.433,0.533,44.6,51.6,8.1,9.5,0.522,12.6,14.3,0.06,0.508,13.8,20.0,0.322
