Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Bryant,REG (Non-Conf),W,61.0,59.0,,24.0,63.0,0.381,1.0,16.0,0.063,23.0,47.0,0.489,0.389,12.0,15.0,0.8,9.0,32.0,41.0,7.0,8.0,4.0,12.0,20.0,21.0,61.0,0.344,9.0,23.0,0.391,12.0,38.0,0.316,0.418,8.0,20.0,0.4,13.0,26.0,39.0,12.0,5.0,7.0,13.0,14.0,84.9,82.2,71.8,0.238,0.254,0.435,51.3,29.2,11.1,10.5,0.389,14.6,25.7,0.19,0.418,15.6,28.9,0.131
2.0,2.0,2023-11-10,@,Kansas,REG (Non-Conf),L,61.0,99.0,,23.0,68.0,0.338,8.0,26.0,0.308,15.0,42.0,0.357,0.397,7.0,11.0,0.636,9.0,20.0,29.0,10.0,5.0,1.0,16.0,16.0,38.0,67.0,0.567,10.0,26.0,0.385,28.0,41.0,0.683,0.642,13.0,16.0,0.813,11.0,32.0,43.0,25.0,7.0,9.0,14.0,15.0,77.3,125.5,78.9,0.162,0.382,0.417,40.3,43.5,6.3,2.4,0.397,17.9,22.0,0.103,0.642,15.8,35.5,0.194
3.0,3.0,2023-11-16,,Felician,REG (Non-Conf),W,79.0,67.0,,29.0,65.0,0.446,10.0,27.0,0.37,19.0,38.0,0.5,0.523,11.0,15.0,0.733,6.0,33.0,39.0,22.0,8.0,4.0,9.0,10.0,27.0,79.0,0.342,10.0,26.0,0.385,17.0,53.0,0.321,0.405,3.0,5.0,0.6,16.0,29.0,45.0,16.0,5.0,4.0,12.0,13.0,103.6,87.9,76.3,0.231,0.415,0.548,46.4,75.9,10.5,7.5,0.523,11.1,17.1,0.169,0.405,12.9,32.7,0.038
4.0,4.0,2023-11-19,@,Central Connecticut State,REG (Non-Conf),W,67.0,63.0,,23.0,46.0,0.5,6.0,15.0,0.4,17.0,31.0,0.548,0.565,15.0,21.0,0.714,3.0,24.0,27.0,11.0,9.0,1.0,15.0,13.0,24.0,56.0,0.429,6.0,18.0,0.333,18.0,38.0,0.474,0.482,9.0,10.0,0.9,6.0,20.0,26.0,15.0,8.0,5.0,14.0,17.0,98.0,92.2,68.4,0.457,0.326,0.598,50.9,47.8,13.2,2.6,0.565,21.1,13.0,0.326,0.482,18.7,20.0,0.161
5.0,5.0,2023-11-24,@,Connecticut,REG (Non-Conf),L,60.0,90.0,,25.0,63.0,0.397,8.0,18.0,0.444,17.0,45.0,0.378,0.46,2.0,2.0,1.0,7.0,16.0,23.0,13.0,7.0,1.0,11.0,6.0,36.0,62.0,0.581,9.0,20.0,0.45,27.0,42.0,0.643,0.653,9.0,9.0,1.0,7.0,25.0,32.0,22.0,10.0,5.0,9.0,6.0,88.1,132.1,68.1,0.032,0.286,0.469,41.8,52.0,10.3,2.4,0.46,14.7,21.9,0.032,0.653,12.0,30.4,0.145
6.0,6.0,2023-11-27,@,Fordham,REG (Non-Conf),L,61.0,93.0,,25.0,59.0,0.424,6.0,16.0,0.375,19.0,43.0,0.442,0.475,5.0,9.0,0.556,5.0,22.0,27.0,13.0,9.0,1.0,20.0,13.0,34.0,69.0,0.493,9.0,26.0,0.346,25.0,43.0,0.581,0.558,16.0,20.0,0.8,10.0,30.0,40.0,16.0,16.0,6.0,10.0,13.0,77.8,118.6,78.4,0.153,0.271,0.482,40.3,52.0,11.5,2.3,0.475,24.0,14.3,0.085,0.558,11.3,31.3,0.232
7.0,7.0,2023-12-01,,Mount St. Mary's,REG (Conf),W,75.0,74.0,OT,27.0,60.0,0.45,9.0,19.0,0.474,18.0,41.0,0.439,0.525,12.0,14.0,0.857,5.0,19.0,24.0,23.0,11.0,2.0,14.0,8.0,31.0,68.0,0.456,5.0,21.0,0.238,26.0,47.0,0.553,0.493,7.0,12.0,0.583,13.0,26.0,39.0,18.0,10.0,3.0,16.0,12.0,98.5,97.1,67.7,0.233,0.317,0.563,38.1,85.2,14.4,4.3,0.525,17.4,16.1,0.2,0.493,17.8,40.6,0.103
8.0,8.0,2023-12-03,@,Marist,REG (Conf),L,56.0,70.0,,21.0,60.0,0.35,4.0,24.0,0.167,17.0,36.0,0.472,0.383,10.0,12.0,0.833,6.0,19.0,25.0,5.0,8.0,1.0,11.0,14.0,25.0,54.0,0.463,7.0,21.0,0.333,18.0,33.0,0.545,0.528,13.0,17.0,0.765,9.0,31.0,40.0,13.0,7.0,4.0,12.0,14.0,82.5,103.1,67.9,0.2,0.4,0.426,38.5,23.8,11.8,3.0,0.383,14.3,16.2,0.167,0.528,16.2,32.1,0.241
9.0,9.0,2023-12-08,,FDU,REG (Non-Conf),L,71.0,76.0,,27.0,70.0,0.386,11.0,39.0,0.282,16.0,31.0,0.516,0.464,6.0,13.0,0.462,15.0,29.0,44.0,17.0,5.0,5.0,12.0,17.0,28.0,67.0,0.418,5.0,23.0,0.217,23.0,44.0,0.523,0.455,15.0,17.0,0.882,9.0,30.0,39.0,15.0,6.0,4.0,8.0,17.0,96.4,103.2,73.6,0.186,0.557,0.466,53.0,63.0,6.8,11.4,0.464,13.6,33.3,0.086,0.455,9.6,23.7,0.224
10.0,10.0,2023-12-21,@,Monmouth,REG (Non-Conf),L,71.0,77.0,,25.0,69.0,0.362,13.0,34.0,0.382,12.0,35.0,0.343,0.457,8.0,13.0,0.615,11.0,23.0,34.0,18.0,11.0,0.0,7.0,14.0,29.0,62.0,0.468,7.0,22.0,0.318,22.0,40.0,0.55,0.524,12.0,15.0,0.8,10.0,35.0,45.0,14.0,5.0,2.0,14.0,13.0,98.4,106.7,72.2,0.188,0.493,0.472,43.0,72.0,15.2,0.0,0.457,8.5,23.9,0.116,0.524,16.8,30.3,0.194
