Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Army,REG (Non-Conf),W,71.0,55.0,,28.0,56.0,0.5,6.0,17.0,0.353,22.0,39.0,0.564,0.554,9.0,18.0,0.5,6.0,24.0,30.0,17.0,8.0,2.0,8.0,22.0,17.0,44.0,0.386,8.0,21.0,0.381,9.0,23.0,0.391,0.477,13.0,24.0,0.542,6.0,26.0,32.0,9.0,4.0,0.0,18.0,17.0,106.0,82.1,67.0,0.321,0.304,0.55,48.4,60.7,11.9,8.7,0.554,11.0,18.8,0.161,0.477,24.5,20.0,0.295
2.0,2.0,2023-11-11,@,UMBC,REG (Non-Conf),W,65.0,59.0,,27.0,60.0,0.45,6.0,19.0,0.316,21.0,41.0,0.512,0.5,5.0,6.0,0.833,6.0,31.0,37.0,12.0,9.0,4.0,16.0,12.0,25.0,69.0,0.362,3.0,20.0,0.15,22.0,49.0,0.449,0.384,6.0,11.0,0.545,12.0,23.0,35.0,3.0,7.0,2.0,10.0,8.0,89.6,81.3,72.5,0.1,0.317,0.517,51.4,44.4,12.4,8.2,0.5,20.3,20.7,0.083,0.384,11.9,27.9,0.087
3.0,3.0,2023-11-18,@,Binghamton,REG (Non-Conf),L,59.0,82.0,,21.0,55.0,0.382,5.0,19.0,0.263,16.0,36.0,0.444,0.427,12.0,27.0,0.444,7.0,15.0,22.0,6.0,8.0,1.0,8.0,20.0,28.0,48.0,0.583,8.0,16.0,0.5,20.0,32.0,0.625,0.667,18.0,24.0,0.75,6.0,34.0,40.0,14.0,3.0,3.0,15.0,19.0,86.0,119.5,68.6,0.491,0.345,0.435,35.5,28.6,11.7,3.1,0.427,10.6,17.1,0.218,0.667,20.2,28.6,0.375
4.0,4.0,2023-11-21,@,New Hampshire,REG (Non-Conf),L,71.0,74.0,,29.0,57.0,0.509,4.0,17.0,0.235,25.0,40.0,0.625,0.544,9.0,10.0,0.9,3.0,21.0,24.0,17.0,8.0,2.0,10.0,20.0,24.0,50.0,0.48,7.0,18.0,0.389,17.0,32.0,0.531,0.55,19.0,27.0,0.704,6.0,23.0,29.0,12.0,9.0,2.0,11.0,13.0,104.0,108.4,68.3,0.175,0.298,0.575,45.3,58.6,11.7,6.3,0.544,13.9,11.5,0.158,0.55,14.9,22.2,0.38
5.0,5.0,2023-11-25,,Bucknell,REG (Non-Conf),W,73.0,49.0,,28.0,50.0,0.56,12.0,23.0,0.522,16.0,27.0,0.593,0.68,5.0,6.0,0.833,5.0,28.0,33.0,14.0,7.0,5.0,13.0,14.0,17.0,59.0,0.288,7.0,35.0,0.2,10.0,24.0,0.417,0.347,8.0,9.0,0.889,8.0,15.0,23.0,11.0,7.0,2.0,10.0,10.0,115.8,77.7,63.1,0.12,0.46,0.691,58.9,50.0,11.1,20.8,0.68,19.7,25.0,0.1,0.347,13.6,22.2,0.136
6.0,6.0,2023-11-29,@,Iona,REG (Conf),W,68.0,64.0,,18.0,44.0,0.409,4.0,15.0,0.267,14.0,29.0,0.483,0.455,28.0,42.0,0.667,10.0,20.0,30.0,13.0,8.0,3.0,17.0,26.0,19.0,46.0,0.413,2.0,14.0,0.143,17.0,32.0,0.531,0.435,24.0,41.0,0.585,10.0,22.0,32.0,9.0,13.0,4.0,16.0,29.0,95.5,89.9,71.2,0.955,0.341,0.532,48.4,72.2,11.2,9.4,0.455,21.0,31.3,0.636,0.435,19.6,33.3,0.522
7.0,7.0,2023-12-03,,Manhattan,REG (Conf),W,70.0,56.0,,25.0,54.0,0.463,7.0,21.0,0.333,18.0,33.0,0.545,0.528,13.0,17.0,0.765,9.0,31.0,40.0,13.0,7.0,4.0,12.0,14.0,21.0,60.0,0.35,4.0,24.0,0.167,17.0,36.0,0.472,0.383,10.0,12.0,0.833,6.0,19.0,25.0,5.0,8.0,1.0,11.0,14.0,103.1,82.5,67.9,0.315,0.389,0.564,61.5,52.0,10.3,11.1,0.528,16.2,32.1,0.241,0.383,14.3,16.2,0.167
8.0,8.0,2023-12-09,@,Dartmouth,REG (Non-Conf),W,63.0,53.0,,22.0,50.0,0.44,10.0,28.0,0.357,12.0,22.0,0.545,0.54,9.0,13.0,0.692,2.0,29.0,31.0,14.0,4.0,5.0,11.0,18.0,19.0,48.0,0.396,7.0,23.0,0.304,12.0,25.0,0.48,0.469,8.0,13.0,0.615,5.0,25.0,30.0,7.0,4.0,1.0,14.0,17.0,98.2,82.6,64.2,0.26,0.56,0.561,50.8,63.6,6.2,20.0,0.54,16.4,7.4,0.18,0.469,20.5,14.7,0.167
9.0,9.0,2023-12-18,,Maryland Eastern Shore,REG (Non-Conf),W,76.0,52.0,,28.0,52.0,0.538,12.0,30.0,0.4,16.0,22.0,0.727,0.654,8.0,13.0,0.615,6.0,29.0,35.0,16.0,7.0,3.0,14.0,15.0,16.0,53.0,0.302,6.0,20.0,0.3,10.0,33.0,0.303,0.358,14.0,18.0,0.778,7.0,16.0,23.0,9.0,7.0,1.0,14.0,17.0,112.8,77.2,67.4,0.25,0.577,0.653,60.3,57.1,10.4,9.1,0.654,19.4,27.3,0.154,0.358,18.5,19.4,0.264
10.0,10.0,2023-12-22,@,Notre Dame,REG (Non-Conf),L,56.0,60.0,,22.0,50.0,0.44,5.0,15.0,0.333,17.0,35.0,0.486,0.49,7.0,13.0,0.538,8.0,16.0,24.0,7.0,10.0,4.0,10.0,15.0,18.0,44.0,0.409,6.0,16.0,0.375,12.0,28.0,0.429,0.477,18.0,20.0,0.9,9.0,21.0,30.0,8.0,6.0,4.0,15.0,12.0,95.2,102.0,58.8,0.26,0.3,0.498,44.4,31.8,17.0,14.3,0.49,15.1,27.6,0.14,0.477,21.9,36.0,0.409
