Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Northern Illinois,REG (Non-Conf),W,92.0,70.0,,35.0,67.0,0.522,9.0,25.0,0.36,26.0,42.0,0.619,0.59,13.0,21.0,0.619,11.0,26.0,37.0,20.0,8.0,2.0,8.0,15.0,26.0,70.0,0.371,7.0,26.0,0.269,19.0,44.0,0.432,0.421,11.0,16.0,0.688,16.0,22.0,38.0,10.0,6.0,4.0,14.0,13.0,123.0,93.6,74.8,0.313,0.373,0.598,49.3,57.1,10.7,4.5,0.59,9.4,33.3,0.194,0.421,15.3,38.1,0.157
2.0,2.0,2023-11-10,,Rider,REG (Non-Conf),W,95.0,65.0,,34.0,62.0,0.548,13.0,30.0,0.433,21.0,32.0,0.656,0.653,14.0,21.0,0.667,6.0,30.0,36.0,23.0,11.0,5.0,9.0,16.0,26.0,66.0,0.394,5.0,19.0,0.263,21.0,47.0,0.447,0.432,8.0,15.0,0.533,13.0,23.0,36.0,14.0,6.0,1.0,16.0,17.0,125.7,86.0,75.6,0.339,0.484,0.66,50.0,67.6,14.6,10.6,0.653,11.1,20.7,0.226,0.432,18.0,30.2,0.121
3.0,3.0,2023-11-14,@,Illinois,REG (Non-Conf),W,71.0,64.0,,27.0,62.0,0.435,5.0,17.0,0.294,22.0,45.0,0.489,0.476,12.0,20.0,0.6,9.0,27.0,36.0,7.0,9.0,0.0,8.0,14.0,21.0,60.0,0.35,11.0,33.0,0.333,10.0,27.0,0.37,0.442,11.0,13.0,0.846,11.0,26.0,37.0,8.0,6.0,7.0,15.0,15.0,100.9,91.0,70.3,0.323,0.274,0.497,49.3,25.9,12.8,0.0,0.476,10.1,25.7,0.194,0.442,18.5,28.9,0.183
4.0,4.0,2023-11-20,N,UCLA,REG (Non-Conf),W,71.0,69.0,,25.0,55.0,0.455,11.0,34.0,0.324,14.0,21.0,0.667,0.555,10.0,18.0,0.556,3.0,20.0,23.0,11.0,6.0,2.0,7.0,18.0,23.0,49.0,0.469,5.0,13.0,0.385,18.0,36.0,0.5,0.52,18.0,20.0,0.9,4.0,23.0,27.0,10.0,5.0,3.0,12.0,19.0,105.9,102.9,67.0,0.327,0.618,0.559,46.0,44.0,9.0,5.6,0.555,9.9,11.5,0.182,0.52,17.0,16.7,0.367
5.0,5.0,2023-11-21,N,Kansas,REG (Non-Conf),W,73.0,59.0,,29.0,64.0,0.453,6.0,25.0,0.24,23.0,39.0,0.59,0.5,9.0,12.0,0.75,10.0,21.0,31.0,13.0,11.0,4.0,12.0,14.0,22.0,54.0,0.407,6.0,17.0,0.353,16.0,37.0,0.432,0.463,9.0,16.0,0.563,7.0,22.0,29.0,17.0,7.0,2.0,18.0,12.0,101.2,81.8,72.2,0.188,0.391,0.524,51.7,44.8,15.2,10.8,0.5,14.7,31.3,0.141,0.463,22.6,25.0,0.167
6.0,6.0,2023-11-22,N,Purdue,REG (Non-Conf),L,75.0,78.0,,30.0,58.0,0.517,5.0,17.0,0.294,25.0,41.0,0.61,0.56,10.0,11.0,0.909,5.0,18.0,23.0,17.0,11.0,1.0,9.0,18.0,30.0,59.0,0.508,10.0,21.0,0.476,20.0,38.0,0.526,0.593,8.0,15.0,0.533,10.0,22.0,32.0,14.0,3.0,2.0,14.0,11.0,109.2,113.6,68.7,0.19,0.293,0.593,41.8,56.7,16.0,2.6,0.56,12.5,18.5,0.172,0.593,17.5,35.7,0.136
7.0,7.0,2023-11-28,,Southern,REG (Non-Conf),W,93.0,56.0,,32.0,65.0,0.492,10.0,32.0,0.313,22.0,33.0,0.667,0.569,19.0,25.0,0.76,9.0,27.0,36.0,19.0,10.0,3.0,6.0,13.0,22.0,54.0,0.407,9.0,29.0,0.31,13.0,25.0,0.52,0.491,3.0,9.0,0.333,4.0,25.0,29.0,13.0,5.0,5.0,18.0,16.0,127.3,76.6,73.1,0.385,0.492,0.605,55.4,59.4,13.7,12.0,0.569,7.2,26.5,0.292,0.491,23.6,12.9,0.056
8.0,8.0,2023-12-02,@,Wisconsin,REG (Non-Conf),L,64.0,75.0,,23.0,55.0,0.418,7.0,29.0,0.241,16.0,26.0,0.615,0.482,11.0,14.0,0.786,6.0,12.0,18.0,11.0,5.0,1.0,11.0,21.0,23.0,54.0,0.426,5.0,20.0,0.25,18.0,34.0,0.529,0.472,24.0,28.0,0.857,12.0,21.0,33.0,9.0,6.0,1.0,12.0,13.0,95.6,112.0,67.0,0.255,0.527,0.519,35.3,47.8,7.5,2.9,0.482,15.1,22.2,0.2,0.472,15.1,50.0,0.444
9.0,9.0,2023-12-06,,Texas,REG (Non-Conf),W,86.0,65.0,,30.0,59.0,0.508,14.0,30.0,0.467,16.0,29.0,0.552,0.627,12.0,15.0,0.8,7.0,28.0,35.0,17.0,8.0,2.0,15.0,15.0,25.0,60.0,0.417,4.0,16.0,0.25,21.0,44.0,0.477,0.45,11.0,14.0,0.786,6.0,21.0,27.0,16.0,10.0,5.0,13.0,15.0,116.4,88.0,73.9,0.254,0.508,0.65,56.5,56.7,10.8,4.5,0.627,18.5,25.0,0.203,0.45,16.3,17.6,0.183
10.0,10.0,2023-12-09,,Notre Dame,REG (Non-Conf),W,78.0,59.0,,29.0,56.0,0.518,8.0,24.0,0.333,21.0,32.0,0.656,0.589,12.0,13.0,0.923,7.0,24.0,31.0,20.0,7.0,0.0,14.0,16.0,19.0,52.0,0.365,9.0,35.0,0.257,10.0,17.0,0.588,0.452,12.0,15.0,0.8,10.0,18.0,28.0,10.0,12.0,1.0,14.0,13.0,117.9,89.2,66.2,0.232,0.429,0.627,52.5,69.0,10.6,0.0,0.589,18.4,28.0,0.214,0.452,19.1,29.4,0.231
