Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Queens (NC),REG (Non-Conf),W,89.0,73.0,,36.0,74.0,0.486,8.0,26.0,0.308,28.0,48.0,0.583,0.541,9.0,16.0,0.563,12.0,24.0,36.0,15.0,11.0,9.0,12.0,18.0,27.0,70.0,0.386,7.0,26.0,0.269,20.0,44.0,0.455,0.436,12.0,20.0,0.6,13.0,27.0,40.0,15.0,10.0,4.0,18.0,14.0,107.2,87.9,83.1,0.216,0.351,0.545,47.4,41.7,13.2,20.5,0.541,12.8,30.8,0.122,0.436,18.5,35.1,0.171
2.0,2.0,2023-11-10,N,Radford,REG (Non-Conf),L,62.0,66.0,,21.0,65.0,0.323,4.0,19.0,0.211,17.0,46.0,0.37,0.354,16.0,22.0,0.727,7.0,23.0,30.0,12.0,7.0,6.0,6.0,17.0,23.0,61.0,0.377,9.0,25.0,0.36,14.0,36.0,0.389,0.451,11.0,18.0,0.611,10.0,28.0,38.0,12.0,4.0,5.0,14.0,20.0,83.8,89.2,74.0,0.338,0.292,0.411,44.1,57.1,9.5,16.7,0.354,7.4,20.0,0.246,0.451,16.8,30.3,0.18
3.0,3.0,2023-11-19,N,Utah State,REG (Non-Conf),L,60.0,83.0,,21.0,60.0,0.35,4.0,18.0,0.222,17.0,42.0,0.405,0.383,14.0,21.0,0.667,8.0,22.0,30.0,11.0,5.0,2.0,13.0,21.0,30.0,55.0,0.545,4.0,14.0,0.286,26.0,41.0,0.634,0.582,19.0,28.0,0.679,7.0,27.0,34.0,19.0,5.0,5.0,12.0,18.0,80.9,112.0,74.1,0.35,0.3,0.429,46.9,52.4,6.7,4.9,0.383,15.7,22.9,0.233,0.582,14.9,24.1,0.345
4.0,4.0,2023-11-20,N,Florida International,REG (Non-Conf),W,80.0,69.0,,26.0,52.0,0.5,7.0,24.0,0.292,19.0,28.0,0.679,0.567,21.0,22.0,0.955,6.0,25.0,31.0,19.0,6.0,4.0,19.0,13.0,28.0,69.0,0.406,7.0,29.0,0.241,21.0,40.0,0.525,0.457,6.0,12.0,0.5,14.0,17.0,31.0,13.0,15.0,1.0,15.0,21.0,105.9,91.3,75.6,0.423,0.462,0.641,50.0,73.1,7.9,10.0,0.567,23.3,26.1,0.404,0.457,16.7,35.9,0.087
5.0,5.0,2023-11-21,N,Oakland,REG (Non-Conf),L,71.0,78.0,,27.0,73.0,0.37,7.0,35.0,0.2,20.0,38.0,0.526,0.418,10.0,14.0,0.714,16.0,29.0,45.0,16.0,7.0,7.0,13.0,16.0,31.0,72.0,0.431,7.0,25.0,0.28,24.0,47.0,0.511,0.479,9.0,14.0,0.643,13.0,30.0,43.0,16.0,7.0,1.0,10.0,14.0,93.2,102.4,76.2,0.192,0.479,0.446,51.1,59.3,9.2,14.9,0.418,14.0,34.8,0.137,0.479,11.3,31.0,0.125
6.0,6.0,2023-11-24,@,Kentucky,REG (Non-Conf),L,82.0,118.0,,29.0,69.0,0.42,9.0,26.0,0.346,20.0,43.0,0.465,0.486,15.0,23.0,0.652,13.0,20.0,33.0,18.0,6.0,5.0,16.0,13.0,45.0,74.0,0.608,16.0,27.0,0.593,29.0,47.0,0.617,0.716,12.0,15.0,0.8,9.0,26.0,35.0,27.0,11.0,6.0,9.0,16.0,100.0,143.9,82.0,0.333,0.377,0.513,48.5,62.1,7.3,10.6,0.486,16.7,33.3,0.217,0.716,10.0,31.0,0.162
7.0,7.0,2023-12-02,,Miami (OH),REG (Non-Conf),L,74.0,79.0,,23.0,64.0,0.359,8.0,27.0,0.296,15.0,37.0,0.405,0.422,20.0,27.0,0.741,14.0,30.0,44.0,11.0,3.0,8.0,15.0,19.0,26.0,60.0,0.433,13.0,26.0,0.5,13.0,34.0,0.382,0.542,14.0,21.0,0.667,4.0,24.0,28.0,20.0,9.0,3.0,10.0,24.0,96.2,102.7,76.9,0.422,0.422,0.482,61.1,47.8,3.9,23.5,0.422,16.3,36.8,0.313,0.542,12.5,11.8,0.233
8.0,8.0,2023-12-06,,Duquesne,REG (Non-Conf),L,72.0,85.0,,26.0,70.0,0.371,4.0,25.0,0.16,22.0,45.0,0.489,0.4,16.0,24.0,0.667,14.0,26.0,40.0,7.0,7.0,1.0,12.0,26.0,24.0,54.0,0.444,7.0,20.0,0.35,17.0,34.0,0.5,0.509,30.0,41.0,0.732,9.0,29.0,38.0,10.0,7.0,3.0,14.0,18.0,91.2,107.7,78.9,0.343,0.357,0.442,51.3,26.9,8.9,2.9,0.4,12.8,32.6,0.229,0.509,16.0,25.7,0.556
9.0,9.0,2023-12-09,@,Ohio,REG (Non-Conf),W,74.0,69.0,,26.0,53.0,0.491,8.0,18.0,0.444,18.0,35.0,0.514,0.566,14.0,26.0,0.538,4.0,31.0,35.0,9.0,10.0,7.0,15.0,14.0,25.0,69.0,0.362,6.0,26.0,0.231,19.0,43.0,0.442,0.406,13.0,15.0,0.867,11.0,28.0,39.0,10.0,6.0,5.0,13.0,19.0,95.8,89.3,77.2,0.491,0.34,0.566,47.3,34.6,12.9,16.3,0.566,18.7,12.5,0.264,0.406,14.6,26.2,0.188
10.0,10.0,2023-12-13,@,Toledo,REG (Non-Conf),L,87.0,88.0,,32.0,73.0,0.438,13.0,33.0,0.394,19.0,40.0,0.475,0.527,10.0,11.0,0.909,6.0,22.0,28.0,20.0,7.0,4.0,8.0,14.0,34.0,67.0,0.507,9.0,20.0,0.45,25.0,47.0,0.532,0.575,11.0,14.0,0.786,6.0,29.0,35.0,19.0,7.0,2.0,11.0,10.0,109.5,110.8,79.4,0.151,0.452,0.556,44.4,62.5,8.8,8.5,0.527,9.3,17.1,0.137,0.575,13.0,21.4,0.164
