Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Mount St. Mary's,REG (Non-Conf),W,68.0,53.0,,24.0,49.0,0.49,3.0,16.0,0.188,21.0,33.0,0.636,0.52,17.0,25.0,0.68,9.0,22.0,31.0,6.0,8.0,6.0,15.0,17.0,21.0,59.0,0.356,2.0,12.0,0.167,19.0,47.0,0.404,0.373,9.0,12.0,0.75,12.0,18.0,30.0,7.0,6.0,3.0,13.0,21.0,102.6,80.0,66.3,0.51,0.327,0.559,50.8,25.0,12.1,12.8,0.52,19.8,33.3,0.347,0.373,16.7,35.3,0.153
2.0,2.0,2023-11-10,N,Davidson,REG (Non-Conf),L,61.0,64.0,,20.0,57.0,0.351,5.0,23.0,0.217,15.0,34.0,0.441,0.395,16.0,21.0,0.762,14.0,18.0,32.0,13.0,8.0,5.0,13.0,18.0,21.0,49.0,0.429,8.0,15.0,0.533,13.0,34.0,0.382,0.51,14.0,21.0,0.667,8.0,23.0,31.0,15.0,11.0,3.0,14.0,21.0,93.2,97.7,65.5,0.368,0.404,0.455,50.8,65.0,12.2,14.7,0.395,16.3,37.8,0.281,0.51,19.2,30.8,0.286
3.0,3.0,2023-11-12,N,UAB,REG (Non-Conf),L,63.0,66.0,,22.0,57.0,0.386,6.0,23.0,0.261,16.0,34.0,0.471,0.439,13.0,20.0,0.65,10.0,23.0,33.0,10.0,6.0,3.0,14.0,17.0,22.0,54.0,0.407,1.0,9.0,0.111,21.0,45.0,0.467,0.417,21.0,23.0,0.913,7.0,24.0,31.0,8.0,10.0,9.0,13.0,17.0,89.1,93.3,70.7,0.351,0.404,0.474,51.6,45.5,8.5,6.7,0.439,17.4,29.4,0.228,0.417,16.7,23.3,0.389
4.0,4.0,2023-11-17,@,Villanova,REG (Non-Conf),L,40.0,57.0,,12.0,50.0,0.24,5.0,26.0,0.192,7.0,24.0,0.292,0.29,11.0,16.0,0.688,7.0,12.0,19.0,9.0,11.0,4.0,10.0,17.0,18.0,40.0,0.45,7.0,18.0,0.389,11.0,22.0,0.5,0.538,14.0,19.0,0.737,5.0,26.0,31.0,7.0,6.0,1.0,17.0,18.0,65.8,93.7,60.8,0.32,0.52,0.347,38.0,75.0,18.1,18.2,0.29,14.8,21.2,0.22,0.538,25.7,29.4,0.35
5.0,5.0,2023-11-21,,UMBC,REG (Non-Conf),W,92.0,68.0,,31.0,68.0,0.456,6.0,21.0,0.286,25.0,47.0,0.532,0.5,24.0,37.0,0.649,14.0,27.0,41.0,9.0,12.0,4.0,13.0,17.0,27.0,68.0,0.397,5.0,17.0,0.294,22.0,51.0,0.431,0.434,9.0,14.0,0.643,12.0,27.0,39.0,14.0,1.0,3.0,23.0,23.0,108.1,79.9,85.1,0.544,0.309,0.538,51.3,29.0,14.1,7.8,0.5,13.2,34.1,0.353,0.434,23.6,30.8,0.132
6.0,6.0,2023-11-25,,South Alabama,REG (Non-Conf),W,68.0,55.0,,24.0,57.0,0.421,5.0,31.0,0.161,19.0,26.0,0.731,0.465,15.0,20.0,0.75,14.0,24.0,38.0,13.0,6.0,4.0,14.0,14.0,20.0,51.0,0.392,5.0,17.0,0.294,15.0,34.0,0.441,0.441,10.0,10.0,1.0,3.0,19.0,22.0,6.0,8.0,2.0,11.0,18.0,104.4,84.5,65.1,0.351,0.544,0.511,63.3,54.2,9.2,11.8,0.465,17.4,42.4,0.263,0.441,16.5,11.1,0.196
7.0,7.0,2023-11-28,,Rider,REG (Non-Conf),W,103.0,76.0,,33.0,57.0,0.579,8.0,20.0,0.4,25.0,37.0,0.676,0.649,29.0,45.0,0.644,9.0,22.0,31.0,17.0,11.0,7.0,6.0,21.0,28.0,61.0,0.459,2.0,9.0,0.222,26.0,52.0,0.5,0.475,18.0,24.0,0.75,13.0,22.0,35.0,10.0,2.0,2.0,15.0,29.0,137.5,101.5,74.9,0.789,0.351,0.657,47.0,51.5,14.7,13.5,0.649,7.1,29.0,0.509,0.475,17.2,37.1,0.295
8.0,8.0,2023-12-01,@,Indiana,REG (Conf),L,53.0,65.0,,20.0,56.0,0.357,2.0,16.0,0.125,18.0,40.0,0.45,0.375,11.0,17.0,0.647,10.0,19.0,29.0,8.0,9.0,7.0,12.0,21.0,26.0,57.0,0.456,3.0,9.0,0.333,23.0,48.0,0.479,0.482,10.0,18.0,0.556,13.0,29.0,42.0,17.0,7.0,4.0,13.0,17.0,80.5,98.8,65.8,0.304,0.286,0.414,40.8,40.0,13.7,14.6,0.375,15.8,25.6,0.196,0.482,16.5,40.6,0.175
9.0,9.0,2023-12-06,,Penn State,REG (Conf),W,81.0,75.0,OT,23.0,67.0,0.343,5.0,25.0,0.2,18.0,42.0,0.429,0.381,30.0,39.0,0.769,19.0,29.0,48.0,9.0,7.0,3.0,15.0,22.0,24.0,62.0,0.387,8.0,25.0,0.32,16.0,37.0,0.432,0.452,19.0,21.0,0.905,8.0,22.0,30.0,12.0,9.0,5.0,10.0,30.0,104.2,96.5,69.1,0.582,0.373,0.474,61.5,39.1,9.0,8.1,0.381,14.9,46.3,0.448,0.452,12.2,21.6,0.306
10.0,10.0,2023-12-12,,Alcorn State,REG (Non-Conf),W,105.0,65.0,,30.0,57.0,0.526,14.0,30.0,0.467,16.0,27.0,0.593,0.649,31.0,40.0,0.775,11.0,22.0,33.0,20.0,9.0,5.0,8.0,14.0,26.0,59.0,0.441,5.0,9.0,0.556,21.0,50.0,0.42,0.483,8.0,16.0,0.5,10.0,16.0,26.0,9.0,6.0,2.0,17.0,24.0,143.2,88.7,73.3,0.702,0.526,0.691,55.9,66.7,12.3,10.0,0.649,9.5,40.7,0.544,0.483,20.3,31.3,0.136
11.0,11.0,2023-12-19,,Nicholls State,REG (Non-Conf),W,73.0,67.0,,22.0,62.0,0.355,10.0,27.0,0.37,12.0,35.0,0.343,0.435,19.0,29.0,0.655,13.0,29.0,42.0,12.0,4.0,13.0,5.0,15.0,23.0,59.0,0.39,12.0,22.0,0.545,11.0,37.0,0.297,0.492,9.0,17.0,0.529,8.0,28.0,36.0,12.0,4.0,6.0,7.0,23.0,109.1,100.1,66.9,0.468,0.435,0.482,53.8,54.5,6.0,35.1,0.435,6.2,31.7,0.306,0.492,9.4,21.6,0.153
12.0,12.0,2023-12-22,@,UCLA,REG (Non-Conf),W,69.0,60.0,,20.0,48.0,0.417,8.0,22.0,0.364,12.0,26.0,0.462,0.5,21.0,30.0,0.7,7.0,23.0,30.0,6.0,5.0,2.0,9.0,29.0,17.0,54.0,0.315,1.0,14.0,0.071,16.0,40.0,0.4,0.324,25.0,34.0,0.735,16.0,16.0,32.0,6.0,3.0,1.0,9.0,25.0,108.3,94.2,63.7,0.625,0.458,0.554,48.4,30.0,7.8,5.0,0.5,12.6,30.4,0.438,0.324,11.4,41.0,0.463
13.0,13.0,2023-12-28,,Coppin State,REG (Non-Conf),W,75.0,53.0,,28.0,59.0,0.475,6.0,22.0,0.273,22.0,37.0,0.595,0.525,13.0,21.0,0.619,15.0,24.0,39.0,14.0,8.0,6.0,11.0,12.0,20.0,55.0,0.364,5.0,12.0,0.417,15.0,43.0,0.349,0.409,8.0,9.0,0.889,7.0,20.0,27.0,5.0,5.0,1.0,14.0,17.0,114.3,80.8,65.6,0.356,0.373,0.544,59.1,50.0,12.2,14.0,0.525,13.8,42.9,0.22,0.409,19.1,22.6,0.145
