Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Albany (NY),REG (Non-Conf),W,92.0,71.0,,33.0,76.0,0.434,10.0,22.0,0.455,23.0,54.0,0.426,0.5,16.0,26.0,0.615,15.0,23.0,38.0,20.0,12.0,4.0,4.0,21.0,20.0,56.0,0.357,9.0,26.0,0.346,11.0,30.0,0.367,0.438,22.0,31.0,0.71,7.0,27.0,34.0,10.0,2.0,5.0,17.0,23.0,116.4,89.8,79.0,0.342,0.289,0.521,52.8,60.6,15.2,13.3,0.5,4.3,35.7,0.211,0.438,19.4,23.3,0.393
2.0,2.0,2023-11-13,,Quinnipiac,REG (Non-Conf),W,102.0,81.0,,39.0,70.0,0.557,11.0,28.0,0.393,28.0,42.0,0.667,0.636,13.0,20.0,0.65,10.0,22.0,32.0,23.0,9.0,2.0,7.0,20.0,26.0,60.0,0.433,6.0,20.0,0.3,20.0,40.0,0.5,0.483,23.0,30.0,0.767,13.0,20.0,33.0,16.0,4.0,2.0,15.0,18.0,133.6,106.1,76.4,0.286,0.4,0.642,49.2,59.0,11.8,5.0,0.636,8.1,33.3,0.186,0.483,16.8,37.1,0.383
3.0,3.0,2023-11-17,,Harvard,REG (Non-Conf),L,75.0,78.0,OT,29.0,78.0,0.372,7.0,28.0,0.25,22.0,50.0,0.44,0.417,10.0,25.0,0.4,20.0,25.0,45.0,14.0,10.0,4.0,12.0,19.0,27.0,61.0,0.443,11.0,24.0,0.458,16.0,37.0,0.432,0.533,13.0,18.0,0.722,10.0,30.0,40.0,17.0,6.0,7.0,16.0,21.0,95.3,99.1,70.0,0.321,0.359,0.417,52.9,48.3,12.7,10.8,0.417,11.8,40.0,0.128,0.533,18.7,28.6,0.213
4.0,4.0,2023-11-22,,Central Connecticut State,REG (Non-Conf),W,89.0,60.0,,35.0,58.0,0.603,8.0,21.0,0.381,27.0,37.0,0.73,0.672,11.0,15.0,0.733,8.0,24.0,32.0,29.0,9.0,5.0,10.0,16.0,18.0,53.0,0.34,7.0,22.0,0.318,11.0,31.0,0.355,0.406,17.0,22.0,0.773,9.0,13.0,22.0,14.0,4.0,3.0,14.0,14.0,131.3,88.5,67.8,0.259,0.362,0.683,59.3,82.9,13.3,16.1,0.672,13.3,38.1,0.19,0.406,18.1,27.3,0.321
5.0,5.0,2023-12-02,,South Florida,REG (Non-Conf),W,66.0,56.0,,18.0,54.0,0.333,4.0,25.0,0.16,14.0,29.0,0.483,0.37,26.0,41.0,0.634,13.0,31.0,44.0,13.0,9.0,4.0,16.0,25.0,15.0,55.0,0.273,5.0,22.0,0.227,10.0,33.0,0.303,0.318,21.0,27.0,0.778,11.0,22.0,33.0,12.0,8.0,2.0,17.0,30.0,87.8,74.5,75.2,0.759,0.463,0.449,57.1,72.2,12.0,12.1,0.37,17.9,37.1,0.481,0.318,20.0,26.2,0.382
6.0,6.0,2023-12-06,@,Towson,REG (Non-Conf),L,71.0,81.0,,25.0,54.0,0.463,7.0,18.0,0.389,18.0,36.0,0.5,0.528,14.0,20.0,0.7,8.0,17.0,25.0,11.0,5.0,3.0,10.0,22.0,26.0,54.0,0.481,6.0,16.0,0.375,20.0,38.0,0.526,0.537,23.0,34.0,0.676,10.0,20.0,30.0,9.0,7.0,6.0,9.0,21.0,105.5,120.3,67.3,0.37,0.333,0.559,45.5,44.0,7.4,7.9,0.528,13.6,28.6,0.259,0.537,11.4,37.0,0.426
7.0,7.0,2023-12-09,,UMass Lowell,REG (Non-Conf),W,91.0,77.0,,35.0,72.0,0.486,5.0,18.0,0.278,30.0,54.0,0.556,0.521,16.0,20.0,0.8,15.0,23.0,38.0,21.0,11.0,4.0,13.0,19.0,29.0,68.0,0.426,5.0,21.0,0.238,24.0,47.0,0.511,0.463,14.0,21.0,0.667,13.0,20.0,33.0,12.0,7.0,4.0,14.0,17.0,114.8,97.2,79.2,0.278,0.25,0.558,53.5,60.0,13.9,8.5,0.521,13.8,42.9,0.222,0.463,15.2,36.1,0.206
8.0,8.0,2023-12-16,N,West Virginia,REG (Non-Conf),W,87.0,79.0,,27.0,62.0,0.435,8.0,21.0,0.381,19.0,41.0,0.463,0.5,25.0,32.0,0.781,12.0,32.0,44.0,21.0,5.0,2.0,14.0,16.0,28.0,70.0,0.4,14.0,31.0,0.452,14.0,39.0,0.359,0.5,9.0,12.0,0.75,6.0,17.0,23.0,17.0,4.0,1.0,10.0,24.0,109.5,99.4,79.5,0.516,0.339,0.563,65.7,77.8,6.3,5.1,0.5,15.4,41.4,0.403,0.5,11.7,15.8,0.129
9.0,9.0,2023-12-21,N,Georgia Tech,REG (Non-Conf),L,70.0,73.0,,26.0,67.0,0.388,10.0,31.0,0.323,16.0,36.0,0.444,0.463,8.0,19.0,0.421,12.0,15.0,27.0,11.0,16.0,3.0,11.0,20.0,25.0,51.0,0.49,5.0,17.0,0.294,20.0,34.0,0.588,0.539,18.0,21.0,0.857,9.0,28.0,37.0,7.0,6.0,5.0,21.0,16.0,94.6,98.6,74.0,0.284,0.463,0.46,42.2,42.3,21.6,8.8,0.463,12.6,30.0,0.119,0.539,25.6,37.5,0.353
10.0,10.0,2023-12-23,N,Portland,REG (Non-Conf),W,100.0,78.0,,35.0,59.0,0.593,9.0,25.0,0.36,26.0,34.0,0.765,0.669,21.0,23.0,0.913,9.0,23.0,32.0,21.0,10.0,1.0,11.0,24.0,26.0,58.0,0.448,7.0,26.0,0.269,19.0,32.0,0.594,0.509,19.0,26.0,0.731,11.0,13.0,24.0,14.0,4.0,2.0,12.0,17.0,139.6,108.9,71.6,0.39,0.424,0.715,57.1,60.0,14.0,3.1,0.669,13.6,40.9,0.356,0.509,14.6,32.4,0.328
11.0,11.0,2023-12-24,N,Old Dominion,REG (Non-Conf),W,87.0,65.0,,33.0,61.0,0.541,5.0,14.0,0.357,28.0,47.0,0.596,0.582,16.0,22.0,0.727,9.0,29.0,38.0,19.0,8.0,2.0,13.0,20.0,23.0,54.0,0.426,2.0,16.0,0.125,21.0,38.0,0.553,0.444,17.0,28.0,0.607,7.0,20.0,27.0,7.0,11.0,4.0,14.0,17.0,116.2,86.8,74.9,0.361,0.23,0.609,58.5,57.6,10.7,5.3,0.582,15.4,31.0,0.262,0.444,17.2,19.4,0.315
12.0,12.0,2023-12-30,,Siena,REG (Non-Conf),W,79.0,66.0,,27.0,61.0,0.443,4.0,14.0,0.286,23.0,47.0,0.489,0.475,21.0,24.0,0.875,10.0,19.0,29.0,13.0,15.0,4.0,9.0,17.0,23.0,57.0,0.404,5.0,19.0,0.263,18.0,38.0,0.474,0.447,15.0,19.0,0.789,13.0,18.0,31.0,8.0,6.0,5.0,18.0,18.0,110.9,92.7,71.2,0.393,0.23,0.546,48.3,48.1,21.1,10.5,0.475,11.1,35.7,0.344,0.447,21.4,40.6,0.263
13.0,13.0,2024-01-03,,Duquesne,REG (Conf),W,80.0,61.0,,27.0,51.0,0.529,2.0,10.0,0.2,25.0,41.0,0.61,0.549,24.0,34.0,0.706,7.0,26.0,33.0,13.0,6.0,3.0,12.0,20.0,21.0,58.0,0.362,6.0,22.0,0.273,15.0,36.0,0.417,0.414,13.0,22.0,0.591,12.0,18.0,30.0,11.0,7.0,0.0,14.0,23.0,112.2,85.6,71.3,0.667,0.196,0.596,52.4,48.1,8.4,8.3,0.549,15.2,28.0,0.471,0.414,17.0,31.6,0.224
14.0,14.0,2024-01-07,@,Dayton,REG (Conf),L,60.0,64.0,,24.0,66.0,0.364,3.0,22.0,0.136,21.0,44.0,0.477,0.386,9.0,15.0,0.6,18.0,23.0,41.0,11.0,7.0,1.0,8.0,19.0,18.0,47.0,0.383,10.0,29.0,0.345,8.0,18.0,0.444,0.489,18.0,21.0,0.857,6.0,23.0,29.0,12.0,4.0,2.0,11.0,11.0,95.9,102.3,62.6,0.227,0.333,0.41,58.6,45.8,11.2,5.6,0.386,9.9,43.9,0.136,0.489,16.2,20.7,0.383
15.0,15.0,2024-01-10,,La Salle,REG (Conf),W,81.0,65.0,,31.0,63.0,0.492,5.0,13.0,0.385,26.0,50.0,0.52,0.532,14.0,21.0,0.667,12.0,27.0,39.0,18.0,6.0,4.0,11.0,18.0,26.0,61.0,0.426,7.0,25.0,0.28,19.0,36.0,0.528,0.484,6.0,15.0,0.4,7.0,20.0,27.0,15.0,6.0,4.0,12.0,16.0,111.6,89.6,72.6,0.333,0.206,0.555,59.1,58.1,8.3,11.1,0.532,13.1,37.5,0.222,0.484,15.0,20.6,0.098
16.0,16.0,2024-01-13,@,Rhode Island,REG (Conf),L,77.0,89.0,,27.0,66.0,0.409,3.0,15.0,0.2,24.0,51.0,0.471,0.432,20.0,28.0,0.714,14.0,18.0,32.0,9.0,3.0,4.0,3.0,24.0,27.0,52.0,0.519,14.0,23.0,0.609,13.0,29.0,0.448,0.654,21.0,28.0,0.75,8.0,26.0,34.0,14.0,0.0,2.0,9.0,23.0,114.4,132.2,67.3,0.424,0.227,0.485,48.5,33.3,4.5,13.8,0.432,3.6,35.0,0.303,0.654,12.1,30.8,0.404
17.0,17.0,2024-01-17,@,Loyola Chicago,REG (Conf),L,78.0,79.0,,24.0,58.0,0.414,8.0,20.0,0.4,16.0,38.0,0.421,0.483,22.0,31.0,0.71,13.0,18.0,31.0,10.0,7.0,1.0,10.0,24.0,26.0,56.0,0.464,6.0,21.0,0.286,20.0,35.0,0.571,0.518,21.0,31.0,0.677,12.0,20.0,32.0,20.0,7.0,4.0,12.0,24.0,111.1,112.5,70.2,0.534,0.345,0.536,49.2,41.7,10.0,2.9,0.483,12.1,39.4,0.379,0.518,14.5,40.0,0.375
18.0,18.0,2024-01-20,,George Washington,REG (Conf),W,81.0,67.0,,33.0,65.0,0.508,8.0,27.0,0.296,25.0,38.0,0.658,0.569,7.0,11.0,0.636,9.0,26.0,35.0,22.0,5.0,3.0,8.0,17.0,21.0,58.0,0.362,9.0,26.0,0.346,12.0,32.0,0.375,0.44,16.0,20.0,0.8,9.0,23.0,32.0,14.0,7.0,0.0,15.0,14.0,113.5,93.9,71.4,0.169,0.415,0.577,52.2,66.7,7.0,9.4,0.569,10.2,28.1,0.108,0.44,18.2,25.7,0.276
19.0,19.0,2024-01-23,,Saint Joseph's,REG (Conf),L,77.0,78.0,,29.0,65.0,0.446,5.0,16.0,0.313,24.0,49.0,0.49,0.485,14.0,17.0,0.824,10.0,28.0,38.0,19.0,9.0,4.0,17.0,16.0,29.0,61.0,0.475,9.0,19.0,0.474,20.0,42.0,0.476,0.549,11.0,17.0,0.647,7.0,26.0,33.0,14.0,11.0,6.0,13.0,15.0,99.3,100.5,77.6,0.262,0.246,0.527,53.5,65.5,11.6,9.5,0.485,18.9,27.8,0.215,0.549,15.8,20.0,0.18
20.0,20.0,2024-01-27,@,Saint Louis,REG (Conf),W,84.0,73.0,,29.0,61.0,0.475,7.0,22.0,0.318,22.0,39.0,0.564,0.533,19.0,23.0,0.826,11.0,24.0,35.0,13.0,8.0,5.0,6.0,14.0,24.0,55.0,0.436,11.0,25.0,0.44,13.0,30.0,0.433,0.536,14.0,16.0,0.875,5.0,19.0,24.0,16.0,5.0,1.0,12.0,19.0,123.1,106.9,68.3,0.377,0.361,0.584,59.3,44.8,11.7,16.7,0.533,7.7,36.7,0.311,0.536,16.1,17.2,0.255
21.0,21.0,2024-02-03,,George Mason,REG (Conf),W,66.0,65.0,,21.0,54.0,0.389,7.0,22.0,0.318,14.0,32.0,0.438,0.454,17.0,24.0,0.708,16.0,21.0,37.0,13.0,9.0,4.0,16.0,19.0,22.0,53.0,0.415,7.0,18.0,0.389,15.0,35.0,0.429,0.481,14.0,19.0,0.737,9.0,14.0,23.0,14.0,10.0,1.0,13.0,22.0,100.4,98.9,65.7,0.444,0.407,0.505,61.7,61.9,13.7,11.4,0.454,19.7,53.3,0.315,0.481,17.3,30.0,0.264
22.0,22.0,2024-02-07,@,St. Bonaventure,REG (Conf),L,73.0,79.0,,28.0,58.0,0.483,6.0,18.0,0.333,22.0,40.0,0.55,0.534,11.0,16.0,0.688,8.0,21.0,29.0,16.0,6.0,1.0,12.0,24.0,27.0,53.0,0.509,6.0,17.0,0.353,21.0,36.0,0.583,0.566,19.0,28.0,0.679,8.0,20.0,28.0,12.0,7.0,5.0,11.0,15.0,105.1,113.8,69.5,0.276,0.31,0.556,50.9,57.1,8.6,2.8,0.534,15.5,28.6,0.19,0.566,14.2,27.6,0.358
23.0,23.0,2024-02-11,,Rhode Island,REG (Conf),W,81.0,79.0,,31.0,64.0,0.484,11.0,28.0,0.393,20.0,36.0,0.556,0.57,8.0,18.0,0.444,8.0,23.0,31.0,20.0,9.0,2.0,9.0,13.0,29.0,61.0,0.475,8.0,15.0,0.533,21.0,46.0,0.457,0.541,13.0,16.0,0.813,6.0,18.0,24.0,15.0,6.0,3.0,12.0,18.0,109.3,106.6,74.1,0.281,0.438,0.558,56.4,64.5,12.1,4.3,0.57,11.0,30.8,0.125,0.541,14.9,20.7,0.213
24.0,24.0,2024-02-14,@,Richmond,REG (Conf),W,69.0,59.0,,21.0,55.0,0.382,6.0,22.0,0.273,15.0,33.0,0.455,0.436,21.0,24.0,0.875,9.0,35.0,44.0,10.0,3.0,4.0,11.0,17.0,18.0,54.0,0.333,7.0,25.0,0.28,11.0,29.0,0.379,0.398,16.0,25.0,0.64,4.0,22.0,26.0,8.0,8.0,2.0,6.0,18.0,101.3,86.6,68.1,0.436,0.4,0.52,62.9,47.6,4.4,13.8,0.436,14.2,29.0,0.382,0.398,8.3,10.3,0.296
25.0,25.0,2024-02-17,@,La Salle,REG (Conf),L,81.0,82.0,,25.0,59.0,0.424,8.0,27.0,0.296,17.0,32.0,0.531,0.492,23.0,28.0,0.821,8.0,26.0,34.0,13.0,6.0,4.0,7.0,17.0,28.0,59.0,0.475,9.0,21.0,0.429,19.0,38.0,0.5,0.551,17.0,22.0,0.773,9.0,26.0,35.0,18.0,6.0,4.0,10.0,19.0,114.3,115.7,70.9,0.475,0.458,0.56,49.3,52.0,8.5,10.5,0.492,8.8,23.5,0.39,0.551,12.6,25.7,0.288
26.0,26.0,2024-02-20,,VCU,REG (Conf),W,74.0,52.0,,28.0,59.0,0.475,8.0,25.0,0.32,20.0,34.0,0.588,0.542,10.0,12.0,0.833,9.0,30.0,39.0,18.0,11.0,2.0,10.0,13.0,17.0,56.0,0.304,8.0,25.0,0.32,9.0,31.0,0.29,0.375,10.0,12.0,0.833,10.0,21.0,31.0,11.0,7.0,3.0,13.0,11.0,113.5,79.8,65.2,0.203,0.424,0.572,55.7,64.3,16.9,6.5,0.542,13.4,30.0,0.169,0.375,17.4,25.0,0.179
27.0,27.0,2024-02-24,,St. Bonaventure,REG (Conf),L,67.0,75.0,,23.0,57.0,0.404,7.0,25.0,0.28,16.0,32.0,0.5,0.465,14.0,22.0,0.636,12.0,17.0,29.0,14.0,6.0,2.0,14.0,17.0,27.0,57.0,0.474,6.0,16.0,0.375,21.0,41.0,0.512,0.526,15.0,19.0,0.789,11.0,22.0,33.0,16.0,7.0,2.0,10.0,18.0,99.6,111.5,67.2,0.386,0.439,0.497,46.8,60.9,8.9,4.9,0.465,17.2,35.3,0.246,0.526,13.2,39.3,0.263
28.0,28.0,2024-02-27,@,George Washington,REG (Conf),W,69.0,57.0,,30.0,58.0,0.517,8.0,24.0,0.333,22.0,34.0,0.647,0.586,1.0,4.0,0.25,7.0,22.0,29.0,18.0,8.0,2.0,13.0,10.0,21.0,52.0,0.404,6.0,28.0,0.214,15.0,24.0,0.625,0.462,9.0,12.0,0.75,9.0,16.0,25.0,10.0,10.0,0.0,12.0,7.0,109.0,90.0,63.3,0.069,0.414,0.576,53.7,60.0,12.6,8.3,0.586,17.8,30.4,0.017,0.462,17.2,29.0,0.173
29.0,29.0,2024-03-02,@,Davidson,REG (Conf),W,69.0,67.0,,24.0,67.0,0.358,5.0,24.0,0.208,19.0,43.0,0.442,0.396,16.0,23.0,0.696,18.0,24.0,42.0,8.0,4.0,4.0,9.0,16.0,27.0,56.0,0.482,2.0,14.0,0.143,25.0,42.0,0.595,0.5,11.0,17.0,0.647,5.0,24.0,29.0,15.0,4.0,13.0,10.0,18.0,100.0,97.1,69.0,0.343,0.358,0.443,59.2,33.3,5.8,9.5,0.396,10.4,42.9,0.239,0.5,13.5,17.2,0.196
30.0,30.0,2024-03-06,,Fordham,REG (Conf),W,66.0,64.0,,22.0,52.0,0.423,7.0,19.0,0.368,15.0,33.0,0.455,0.49,15.0,24.0,0.625,6.0,27.0,33.0,10.0,1.0,3.0,7.0,19.0,23.0,65.0,0.354,7.0,28.0,0.25,16.0,37.0,0.432,0.408,11.0,19.0,0.579,15.0,19.0,34.0,13.0,4.0,2.0,6.0,21.0,102.0,98.9,64.7,0.462,0.365,0.521,49.3,45.5,1.5,8.1,0.49,9.9,24.0,0.288,0.408,7.5,35.7,0.169
31.0,31.0,2024-03-14,N,VCU,CTOURN,L,59.0,73.0,,19.0,54.0,0.352,7.0,24.0,0.292,12.0,30.0,0.4,0.417,14.0,19.0,0.737,10.0,15.0,25.0,12.0,3.0,2.0,9.0,23.0,22.0,44.0,0.5,6.0,17.0,0.353,16.0,27.0,0.593,0.568,23.0,30.0,0.767,9.0,21.0,30.0,16.0,8.0,3.0,12.0,19.0,95.7,118.4,61.6,0.352,0.444,0.468,45.5,63.2,4.9,7.4,0.417,12.5,32.3,0.259,0.568,17.1,37.5,0.523
1.0,1.0,2024-11-04,,New Hampshire,REG (Non-Conf),W,103.0,74.0,,42.0,79.0,0.532,12.0,35.0,0.343,30.0,44.0,0.682,0.608,7.0,11.0,0.636,11.0,30.0,41.0,25.0,13.0,8.0,8.0,19.0,28.0,74.0,0.378,11.0,33.0,0.333,17.0,41.0,0.415,0.453,7.0,17.0,0.412,14.0,22.0,36.0,17.0,2.0,2.0,15.0,15.0,125.4,90.1,82.2,0.139,0.443,0.611,53.2,59.5,15.8,19.5,0.608,8.7,33.3,0.089,0.453,15.5,31.8,0.095
2.0,2.0,2024-11-08,@,West Virginia,REG (Non-Conf),L,69.0,75.0,,25.0,60.0,0.417,6.0,21.0,0.286,19.0,39.0,0.487,0.467,13.0,20.0,0.65,12.0,22.0,34.0,11.0,8.0,5.0,15.0,18.0,21.0,57.0,0.368,8.0,23.0,0.348,13.0,34.0,0.382,0.439,25.0,29.0,0.862,12.0,24.0,36.0,12.0,12.0,4.0,14.0,19.0,95.0,103.3,72.6,0.333,0.35,0.496,48.6,44.0,11.0,14.7,0.467,17.8,33.3,0.217,0.439,16.5,35.3,0.439
3.0,3.0,2024-11-13,N,Louisiana Tech,REG (Non-Conf),L,66.0,76.0,,26.0,67.0,0.388,3.0,13.0,0.231,23.0,54.0,0.426,0.41,11.0,21.0,0.524,13.0,23.0,36.0,14.0,5.0,5.0,11.0,14.0,28.0,58.0,0.483,10.0,27.0,0.37,18.0,31.0,0.581,0.569,10.0,12.0,0.833,6.0,27.0,33.0,20.0,5.0,6.0,11.0,19.0,91.9,105.8,71.8,0.313,0.194,0.429,52.2,53.8,7.0,16.1,0.41,12.5,32.5,0.164,0.569,14.7,20.7,0.172
4.0,4.0,2024-11-16,,Hofstra,REG (Non-Conf),L,71.0,75.0,OT,25.0,67.0,0.373,11.0,29.0,0.379,14.0,38.0,0.368,0.455,10.0,20.0,0.5,12.0,24.0,36.0,16.0,6.0,9.0,9.0,21.0,25.0,60.0,0.417,9.0,25.0,0.36,16.0,35.0,0.457,0.492,16.0,20.0,0.8,5.0,33.0,38.0,12.0,4.0,3.0,13.0,20.0,94.0,99.3,67.1,0.299,0.433,0.464,48.6,64.0,7.9,25.7,0.455,10.5,26.7,0.149,0.492,15.8,17.2,0.267
5.0,5.0,2024-11-23,N,Temple,REG (Non-Conf),L,80.0,87.0,,22.0,56.0,0.393,5.0,23.0,0.217,17.0,33.0,0.515,0.438,31.0,42.0,0.738,12.0,18.0,30.0,10.0,7.0,4.0,10.0,26.0,28.0,59.0,0.475,5.0,17.0,0.294,23.0,42.0,0.548,0.517,26.0,38.0,0.684,11.0,24.0,35.0,5.0,5.0,6.0,10.0,24.0,106.7,116.0,75.0,0.75,0.411,0.527,46.2,45.5,9.3,9.5,0.438,11.6,33.3,0.554,0.517,11.5,37.9,0.441
6.0,6.0,2024-11-24,N,Florida State,REG (Non-Conf),L,59.0,92.0,,18.0,58.0,0.31,3.0,24.0,0.125,15.0,34.0,0.441,0.336,20.0,29.0,0.69,10.0,21.0,31.0,8.0,6.0,1.0,16.0,20.0,33.0,58.0,0.569,9.0,18.0,0.5,24.0,40.0,0.6,0.647,17.0,28.0,0.607,8.0,20.0,28.0,25.0,7.0,4.0,10.0,24.0,78.1,121.8,75.5,0.5,0.414,0.411,52.5,44.4,7.9,2.5,0.336,18.2,33.3,0.345,0.647,12.3,27.6,0.293
7.0,7.0,2024-11-27,@,Harvard,REG (Non-Conf),W,62.0,54.0,,27.0,67.0,0.403,1.0,16.0,0.063,26.0,51.0,0.51,0.41,7.0,11.0,0.636,18.0,29.0,47.0,10.0,6.0,6.0,13.0,8.0,23.0,61.0,0.377,6.0,20.0,0.3,17.0,41.0,0.415,0.426,2.0,3.0,0.667,7.0,18.0,25.0,13.0,9.0,5.0,11.0,15.0,92.8,80.8,66.8,0.164,0.239,0.429,65.3,37.0,9.0,14.6,0.41,15.3,50.0,0.104,0.426,15.0,19.4,0.033
8.0,8.0,2024-12-01,,NJIT,REG (Non-Conf),W,80.0,68.0,,30.0,60.0,0.5,3.0,17.0,0.176,27.0,43.0,0.628,0.525,17.0,28.0,0.607,11.0,21.0,32.0,16.0,6.0,6.0,8.0,20.0,20.0,58.0,0.345,6.0,22.0,0.273,14.0,36.0,0.389,0.397,22.0,28.0,0.786,14.0,19.0,33.0,11.0,4.0,1.0,10.0,23.0,116.3,98.8,68.8,0.467,0.283,0.546,49.2,53.3,8.7,16.7,0.525,9.8,36.7,0.283,0.397,12.3,40.0,0.379
9.0,9.0,2024-12-04,,Central Connecticut State,REG (Non-Conf),L,69.0,73.0,,24.0,60.0,0.4,8.0,25.0,0.32,16.0,35.0,0.457,0.467,13.0,17.0,0.765,8.0,23.0,31.0,13.0,5.0,2.0,11.0,14.0,28.0,60.0,0.467,9.0,26.0,0.346,19.0,34.0,0.559,0.542,8.0,11.0,0.727,9.0,22.0,31.0,19.0,5.0,2.0,12.0,19.0,99.1,104.8,69.7,0.283,0.417,0.507,50.0,54.2,7.2,5.9,0.467,13.9,26.7,0.217,0.542,15.5,28.1,0.133
