Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,VCU,REG (Non-Conf),W,76.0,65.0,,27.0,59.0,0.458,8.0,17.0,0.471,19.0,42.0,0.452,0.525,14.0,22.0,0.636,8.0,23.0,31.0,11.0,9.0,1.0,5.0,18.0,22.0,53.0,0.415,11.0,36.0,0.306,11.0,17.0,0.647,0.519,10.0,14.0,0.714,9.0,24.0,33.0,17.0,3.0,9.0,14.0,17.0,115.9,99.2,65.6,0.373,0.288,0.547,48.4,40.7,13.7,5.9,0.525,6.7,25.0,0.237,0.519,19.0,28.1,0.189
2.0,2.0,2023-11-10,,College of Biblical Studies,REG (Non-Conf),W,96.0,55.0,,39.0,76.0,0.513,13.0,31.0,0.419,26.0,45.0,0.578,0.599,5.0,10.0,0.5,21.0,16.0,37.0,22.0,19.0,2.0,11.0,7.0,23.0,52.0,0.442,5.0,21.0,0.238,18.0,31.0,0.581,0.49,4.0,4.0,1.0,12.0,15.0,27.0,16.0,5.0,2.0,24.0,11.0,140.5,80.5,68.3,0.132,0.408,0.594,57.8,56.4,27.8,6.5,0.599,12.0,58.3,0.066,0.49,30.8,42.9,0.077
3.0,3.0,2023-11-13,,Champion Christian,REG (Non-Conf),W,110.0,46.0,,46.0,71.0,0.648,7.0,14.0,0.5,39.0,57.0,0.684,0.697,11.0,12.0,0.917,9.0,30.0,39.0,24.0,15.0,1.0,10.0,17.0,16.0,53.0,0.302,6.0,25.0,0.24,10.0,28.0,0.357,0.358,8.0,15.0,0.533,4.0,14.0,18.0,9.0,5.0,3.0,20.0,13.0,143.0,59.8,76.9,0.169,0.197,0.717,68.4,52.2,19.5,3.6,0.697,11.5,39.1,0.155,0.358,25.0,11.8,0.151
4.0,4.0,2023-11-14,,LeTourneau,REG (Non-Conf),W,81.0,49.0,,32.0,66.0,0.485,6.0,20.0,0.3,26.0,46.0,0.565,0.53,11.0,18.0,0.611,14.0,31.0,45.0,16.0,17.0,3.0,9.0,11.0,17.0,59.0,0.288,10.0,41.0,0.244,7.0,18.0,0.389,0.373,5.0,5.0,1.0,9.0,23.0,32.0,10.0,5.0,2.0,19.0,17.0,115.0,69.5,70.5,0.273,0.303,0.543,58.4,50.0,24.1,16.7,0.53,10.8,37.8,0.167,0.373,23.6,22.5,0.085
5.0,5.0,2023-11-18,@,Western Carolina,REG (Non-Conf),L,74.0,76.0,,29.0,56.0,0.518,7.0,15.0,0.467,22.0,41.0,0.537,0.58,9.0,18.0,0.5,9.0,20.0,29.0,5.0,7.0,2.0,4.0,12.0,29.0,56.0,0.518,11.0,25.0,0.44,18.0,31.0,0.581,0.616,7.0,10.0,0.7,6.0,23.0,29.0,16.0,2.0,2.0,9.0,14.0,120.0,123.3,61.7,0.321,0.268,0.573,50.0,17.2,11.4,6.5,0.58,5.8,28.1,0.161,0.616,12.9,23.1,0.125
6.0,6.0,2023-11-21,N,Texas State,REG (Non-Conf),W,59.0,48.0,,25.0,51.0,0.49,3.0,7.0,0.429,22.0,44.0,0.5,0.52,6.0,14.0,0.429,8.0,22.0,30.0,9.0,8.0,2.0,9.0,15.0,19.0,48.0,0.396,5.0,19.0,0.263,14.0,29.0,0.483,0.448,5.0,9.0,0.556,8.0,21.0,29.0,7.0,4.0,4.0,14.0,18.0,100.9,82.1,58.5,0.275,0.137,0.512,50.8,36.0,13.7,6.9,0.52,13.5,27.6,0.118,0.448,21.1,26.7,0.104
7.0,7.0,2023-11-22,@,Louisiana Tech,REG (Non-Conf),L,62.0,71.0,,25.0,56.0,0.446,6.0,22.0,0.273,19.0,34.0,0.559,0.5,6.0,9.0,0.667,5.0,20.0,25.0,8.0,8.0,4.0,10.0,22.0,19.0,47.0,0.404,10.0,27.0,0.37,9.0,20.0,0.45,0.511,23.0,29.0,0.793,10.0,21.0,31.0,15.0,7.0,6.0,11.0,11.0,97.6,111.8,63.5,0.161,0.393,0.514,44.6,32.0,12.6,20.0,0.5,14.2,19.2,0.107,0.511,15.3,33.3,0.489
8.0,8.0,2023-11-28,@,UAB,REG (Non-Conf),W,81.0,60.0,,30.0,61.0,0.492,10.0,19.0,0.526,20.0,42.0,0.476,0.574,11.0,15.0,0.733,11.0,26.0,37.0,12.0,8.0,8.0,9.0,24.0,19.0,64.0,0.297,4.0,25.0,0.16,15.0,39.0,0.385,0.328,18.0,25.0,0.72,19.0,18.0,37.0,8.0,5.0,7.0,10.0,14.0,121.8,90.2,66.5,0.246,0.311,0.594,50.0,40.0,12.0,20.5,0.574,11.7,37.9,0.18,0.328,11.6,42.2,0.281
9.0,9.0,2023-12-02,,UT Martin,REG (Non-Conf),W,91.0,80.0,,34.0,66.0,0.515,9.0,24.0,0.375,25.0,42.0,0.595,0.583,14.0,17.0,0.824,4.0,30.0,34.0,16.0,9.0,3.0,4.0,9.0,31.0,67.0,0.463,16.0,37.0,0.432,15.0,30.0,0.5,0.582,2.0,7.0,0.286,8.0,28.0,36.0,18.0,2.0,1.0,11.0,14.0,123.5,108.5,73.7,0.258,0.364,0.614,48.6,47.1,12.2,10.0,0.583,5.1,12.5,0.212,0.582,13.5,21.1,0.03
10.0,10.0,2023-12-05,,MUW,REG (Non-Conf),W,92.0,23.0,,37.0,67.0,0.552,8.0,30.0,0.267,29.0,37.0,0.784,0.612,10.0,17.0,0.588,10.0,34.0,44.0,22.0,20.0,4.0,14.0,15.0,7.0,55.0,0.127,2.0,25.0,0.08,5.0,30.0,0.167,0.145,7.0,13.0,0.538,14.0,19.0,33.0,5.0,5.0,1.0,25.0,15.0,121.7,30.4,75.6,0.254,0.448,0.613,57.1,59.5,26.4,13.3,0.612,15.7,34.5,0.149,0.145,29.0,29.2,0.127
