Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Temple,REG (Non-Conf),L,65.0,85.0,,23.0,66.0,0.348,5.0,23.0,0.217,18.0,43.0,0.419,0.386,14.0,24.0,0.583,16.0,19.0,35.0,11.0,8.0,2.0,12.0,19.0,26.0,60.0,0.433,6.0,19.0,0.316,20.0,41.0,0.488,0.483,27.0,30.0,0.9,11.0,30.0,41.0,11.0,7.0,3.0,12.0,16.0,87.5,114.4,74.3,0.364,0.348,0.42,46.1,47.8,10.8,4.9,0.386,13.4,34.8,0.212,0.483,13.9,36.7,0.45
2.0,2.0,2023-11-11,,Cairn,REG (Non-Conf),W,83.0,65.0,,32.0,65.0,0.492,7.0,18.0,0.389,25.0,47.0,0.532,0.546,12.0,14.0,0.857,9.0,27.0,36.0,16.0,10.0,3.0,8.0,17.0,22.0,56.0,0.393,4.0,17.0,0.235,18.0,39.0,0.462,0.429,17.0,22.0,0.773,3.0,24.0,27.0,10.0,2.0,0.0,14.0,9.0,112.1,87.8,74.1,0.215,0.277,0.579,57.1,50.0,13.5,7.7,0.546,10.0,27.3,0.185,0.429,17.4,10.0,0.304
3.0,3.0,2023-11-15,,Longwood,REG (Non-Conf),L,61.0,80.0,,21.0,62.0,0.339,5.0,20.0,0.25,16.0,42.0,0.381,0.379,14.0,18.0,0.778,9.0,23.0,32.0,10.0,1.0,3.0,10.0,19.0,30.0,69.0,0.435,2.0,13.0,0.154,28.0,56.0,0.5,0.449,18.0,23.0,0.783,14.0,28.0,42.0,15.0,6.0,1.0,9.0,20.0,83.3,109.2,73.2,0.29,0.323,0.432,43.2,47.6,1.4,5.4,0.379,12.4,24.3,0.226,0.449,10.1,37.8,0.261
4.0,4.0,2023-11-18,,Pennsylvania,REG (Non-Conf),W,83.0,80.0,OT,31.0,67.0,0.463,8.0,24.0,0.333,23.0,43.0,0.535,0.522,13.0,17.0,0.765,8.0,23.0,31.0,14.0,9.0,1.0,15.0,19.0,27.0,61.0,0.443,8.0,29.0,0.276,19.0,32.0,0.594,0.508,18.0,30.0,0.6,14.0,27.0,41.0,14.0,11.0,4.0,21.0,16.0,101.0,97.4,73.0,0.254,0.358,0.553,43.1,45.2,11.0,3.1,0.522,16.7,22.9,0.194,0.508,21.8,37.8,0.295
5.0,5.0,2023-11-22,@,Notre Dame,REG (Non-Conf),L,55.0,75.0,,21.0,61.0,0.344,6.0,16.0,0.375,15.0,45.0,0.333,0.393,7.0,9.0,0.778,12.0,20.0,32.0,8.0,11.0,4.0,15.0,12.0,28.0,55.0,0.509,13.0,27.0,0.481,15.0,28.0,0.536,0.627,6.0,7.0,0.857,5.0,29.0,34.0,18.0,7.0,4.0,15.0,10.0,80.5,109.8,68.3,0.148,0.262,0.421,48.5,38.1,16.1,14.3,0.393,18.7,29.3,0.115,0.627,20.5,20.0,0.109
6.0,6.0,2023-11-25,@,Liberty,REG (Non-Conf),L,62.0,99.0,,23.0,55.0,0.418,5.0,13.0,0.385,18.0,42.0,0.429,0.464,11.0,13.0,0.846,6.0,13.0,19.0,10.0,4.0,1.0,7.0,13.0,39.0,60.0,0.65,15.0,31.0,0.484,24.0,29.0,0.828,0.775,6.0,9.0,0.667,8.0,26.0,34.0,25.0,3.0,0.0,6.0,10.0,99.6,159.1,62.2,0.236,0.236,0.507,35.8,43.5,6.4,3.4,0.464,10.3,18.8,0.2,0.775,8.5,38.1,0.1
8.0,8.0,2023-12-04,@,East Carolina,REG (Non-Conf),L,52.0,63.0,,15.0,52.0,0.288,8.0,24.0,0.333,7.0,28.0,0.25,0.365,14.0,16.0,0.875,10.0,23.0,33.0,11.0,3.0,8.0,17.0,18.0,21.0,61.0,0.344,4.0,18.0,0.222,17.0,43.0,0.395,0.377,17.0,21.0,0.81,11.0,24.0,35.0,12.0,12.0,4.0,8.0,14.0,77.3,93.6,67.3,0.308,0.462,0.436,48.5,73.3,4.5,18.6,0.365,22.2,29.4,0.269,0.377,10.1,32.4,0.279
9.0,9.0,2023-12-06,@,NC State,REG (Non-Conf),L,61.0,93.0,,23.0,58.0,0.397,7.0,18.0,0.389,16.0,40.0,0.4,0.457,8.0,13.0,0.615,10.0,17.0,27.0,11.0,6.0,1.0,14.0,23.0,35.0,59.0,0.593,8.0,21.0,0.381,27.0,38.0,0.711,0.661,15.0,27.0,0.556,10.0,25.0,35.0,14.0,11.0,3.0,8.0,13.0,88.4,134.8,69.0,0.224,0.31,0.475,43.5,47.8,8.7,2.6,0.457,17.9,28.6,0.138,0.661,10.0,37.0,0.254
10.0,10.0,2023-12-18,@,Marist,REG (Non-Conf),L,52.0,76.0,,16.0,53.0,0.302,6.0,20.0,0.3,10.0,33.0,0.303,0.358,14.0,18.0,0.778,7.0,16.0,23.0,9.0,7.0,1.0,14.0,17.0,28.0,52.0,0.538,12.0,30.0,0.4,16.0,22.0,0.727,0.654,8.0,13.0,0.615,6.0,29.0,35.0,16.0,7.0,3.0,14.0,15.0,77.2,112.8,67.4,0.34,0.377,0.422,39.7,56.3,10.4,4.5,0.358,18.5,19.4,0.264,0.654,19.4,27.3,0.154
11.0,11.0,2023-12-22,@,VCU,REG (Non-Conf),L,51.0,75.0,,19.0,57.0,0.333,5.0,20.0,0.25,14.0,37.0,0.378,0.377,8.0,15.0,0.533,8.0,20.0,28.0,12.0,7.0,2.0,9.0,19.0,27.0,55.0,0.491,7.0,21.0,0.333,20.0,34.0,0.588,0.555,14.0,22.0,0.636,9.0,30.0,39.0,16.0,9.0,5.0,8.0,11.0,78.7,115.8,64.8,0.263,0.351,0.398,41.8,63.2,10.8,5.9,0.377,12.3,21.1,0.14,0.555,10.9,31.0,0.255
