Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Jackson State,REG (Non-Conf),W,94.0,77.0,,34.0,67.0,0.507,11.0,28.0,0.393,23.0,39.0,0.59,0.59,15.0,23.0,0.652,9.0,22.0,31.0,21.0,15.0,4.0,16.0,14.0,29.0,63.0,0.46,10.0,30.0,0.333,19.0,33.0,0.576,0.54,9.0,12.0,0.75,6.0,24.0,30.0,13.0,7.0,6.0,23.0,19.0,110.2,90.3,85.3,0.343,0.418,0.603,50.8,61.8,17.6,12.1,0.59,17.0,27.3,0.224,0.54,25.1,21.4,0.143
2.0,2.0,2023-11-10,@,Missouri,REG (Non-Conf),W,70.0,55.0,,27.0,63.0,0.429,7.0,20.0,0.35,20.0,43.0,0.465,0.484,9.0,16.0,0.563,10.0,33.0,43.0,16.0,7.0,6.0,10.0,20.0,18.0,57.0,0.316,6.0,30.0,0.2,12.0,27.0,0.444,0.368,13.0,17.0,0.765,4.0,29.0,33.0,8.0,9.0,4.0,11.0,17.0,98.1,77.1,71.3,0.254,0.317,0.496,56.6,59.3,9.8,22.2,0.484,12.4,25.6,0.143,0.368,14.5,10.8,0.228
3.0,3.0,2023-11-17,,Alabama State,REG (Non-Conf),W,92.0,75.0,,32.0,61.0,0.525,11.0,25.0,0.44,21.0,36.0,0.583,0.615,17.0,23.0,0.739,12.0,34.0,46.0,12.0,7.0,7.0,17.0,14.0,27.0,86.0,0.314,10.0,26.0,0.385,17.0,60.0,0.283,0.372,11.0,15.0,0.733,22.0,15.0,37.0,11.0,12.0,3.0,8.0,22.0,117.9,96.1,78.0,0.377,0.41,0.64,55.4,37.5,9.0,11.7,0.615,19.1,44.4,0.279,0.372,7.9,39.3,0.128
4.0,4.0,2023-11-22,N,Michigan,REG (Non-Conf),W,71.0,67.0,,25.0,57.0,0.439,10.0,24.0,0.417,15.0,33.0,0.455,0.526,11.0,16.0,0.688,6.0,20.0,26.0,11.0,9.0,8.0,11.0,19.0,24.0,61.0,0.393,8.0,24.0,0.333,16.0,37.0,0.432,0.459,11.0,17.0,0.647,16.0,29.0,45.0,12.0,5.0,5.0,18.0,19.0,100.9,95.3,70.3,0.281,0.421,0.55,36.6,44.0,12.8,21.6,0.526,14.6,17.1,0.193,0.459,20.7,44.4,0.18
5.0,5.0,2023-11-23,N,Arkansas,REG (Non-Conf),W,84.0,79.0,,26.0,53.0,0.491,8.0,24.0,0.333,18.0,29.0,0.621,0.566,24.0,30.0,0.8,5.0,12.0,17.0,14.0,10.0,7.0,13.0,20.0,26.0,55.0,0.473,7.0,18.0,0.389,19.0,37.0,0.514,0.536,20.0,27.0,0.741,11.0,14.0,25.0,7.0,4.0,2.0,15.0,25.0,114.2,107.4,73.5,0.566,0.453,0.625,40.5,53.8,13.6,18.9,0.566,16.2,26.3,0.453,0.536,18.1,47.8,0.364
6.0,6.0,2023-11-24,N,Villanova,REG (Non-Conf),L,63.0,79.0,,20.0,57.0,0.351,7.0,25.0,0.28,13.0,32.0,0.406,0.412,16.0,23.0,0.696,8.0,22.0,30.0,7.0,5.0,2.0,11.0,17.0,26.0,61.0,0.426,13.0,35.0,0.371,13.0,26.0,0.5,0.533,14.0,18.0,0.778,8.0,29.0,37.0,14.0,3.0,3.0,9.0,18.0,89.1,111.7,70.7,0.404,0.439,0.464,44.8,35.0,7.1,7.7,0.412,13.9,21.6,0.281,0.533,11.5,26.7,0.23
7.0,7.0,2023-12-02,@,Ole Miss,REG (Non-Conf),L,77.0,80.0,,31.0,73.0,0.425,3.0,18.0,0.167,28.0,55.0,0.509,0.445,12.0,15.0,0.8,11.0,23.0,34.0,12.0,9.0,5.0,9.0,17.0,29.0,64.0,0.453,11.0,22.0,0.5,18.0,42.0,0.429,0.539,11.0,15.0,0.733,8.0,28.0,36.0,19.0,6.0,10.0,13.0,14.0,99.8,103.7,77.1,0.205,0.247,0.48,48.6,38.7,11.7,11.9,0.445,10.1,28.2,0.164,0.539,15.5,25.8,0.172
8.0,8.0,2023-12-06,@,VCU,REG (Non-Conf),W,85.0,80.0,OT,27.0,57.0,0.474,8.0,21.0,0.381,19.0,36.0,0.528,0.544,23.0,29.0,0.793,11.0,24.0,35.0,10.0,7.0,2.0,18.0,21.0,29.0,69.0,0.42,7.0,29.0,0.241,22.0,40.0,0.55,0.471,15.0,21.0,0.714,15.0,16.0,31.0,13.0,8.0,2.0,10.0,21.0,112.0,105.4,67.4,0.509,0.368,0.6,53.0,37.0,9.2,5.0,0.544,20.3,40.7,0.404,0.471,11.2,38.5,0.217
9.0,9.0,2023-12-10,@,Texas A&M,REG (Non-Conf),W,81.0,75.0,,25.0,52.0,0.481,9.0,22.0,0.409,16.0,30.0,0.533,0.567,22.0,29.0,0.759,11.0,24.0,35.0,15.0,8.0,2.0,16.0,20.0,25.0,64.0,0.391,6.0,33.0,0.182,19.0,31.0,0.613,0.438,19.0,24.0,0.792,15.0,18.0,33.0,13.0,13.0,1.0,12.0,21.0,113.1,104.8,71.6,0.558,0.423,0.616,51.5,60.0,11.2,6.5,0.567,19.6,37.9,0.423,0.438,13.7,38.5,0.297
10.0,10.0,2023-12-16,,Clemson,REG (Non-Conf),W,79.0,77.0,,29.0,67.0,0.433,4.0,26.0,0.154,25.0,41.0,0.61,0.463,17.0,23.0,0.739,10.0,23.0,33.0,12.0,9.0,2.0,6.0,14.0,30.0,61.0,0.492,7.0,23.0,0.304,23.0,38.0,0.605,0.549,10.0,15.0,0.667,7.0,29.0,36.0,20.0,3.0,4.0,14.0,20.0,106.0,103.3,74.5,0.343,0.388,0.507,47.8,41.4,12.1,5.3,0.463,7.1,25.6,0.254,0.549,17.0,23.3,0.164
11.0,11.0,2023-12-19,,Virginia,REG (Non-Conf),W,77.0,54.0,,26.0,56.0,0.464,9.0,23.0,0.391,17.0,33.0,0.515,0.545,14.0,17.0,0.824,5.0,24.0,29.0,12.0,15.0,2.0,11.0,14.0,22.0,56.0,0.393,4.0,19.0,0.211,18.0,37.0,0.486,0.429,6.0,10.0,0.6,10.0,20.0,30.0,14.0,8.0,2.0,17.0,16.0,111.7,78.4,68.9,0.304,0.411,0.601,49.2,46.2,21.8,5.4,0.545,14.7,20.0,0.25,0.429,21.9,29.4,0.107
