Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Clark Atlanta,REG (Non-Conf),L,64.0,71.0,,21.0,56.0,0.375,7.0,30.0,0.233,14.0,26.0,0.538,0.438,15.0,23.0,0.652,10.0,20.0,30.0,11.0,6.0,1.0,10.0,22.0,24.0,51.0,0.471,5.0,16.0,0.313,19.0,35.0,0.543,0.52,18.0,26.0,0.692,10.0,28.0,38.0,8.0,7.0,2.0,11.0,20.0,97.5,108.2,65.6,0.411,0.536,0.478,44.1,52.4,9.1,2.9,0.438,13.0,26.3,0.268,0.52,14.8,33.3,0.353
2.0,2.0,2023-11-09,@,Chicago State,REG (Non-Conf),W,66.0,61.0,,22.0,48.0,0.458,6.0,20.0,0.3,16.0,28.0,0.571,0.521,16.0,24.0,0.667,6.0,25.0,31.0,11.0,9.0,3.0,11.0,25.0,18.0,48.0,0.375,5.0,23.0,0.217,13.0,25.0,0.52,0.427,20.0,30.0,0.667,10.0,23.0,33.0,8.0,6.0,3.0,16.0,19.0,99.5,92.0,66.3,0.5,0.417,0.556,48.4,50.0,13.6,12.0,0.521,15.6,20.7,0.333,0.427,20.4,28.6,0.417
3.0,3.0,2023-11-14,@,Morehead State,REG (Non-Conf),L,66.0,74.0,,24.0,54.0,0.444,5.0,13.0,0.385,19.0,41.0,0.463,0.491,13.0,19.0,0.684,8.0,10.0,18.0,9.0,13.0,1.0,14.0,20.0,22.0,42.0,0.524,8.0,19.0,0.421,14.0,23.0,0.609,0.619,22.0,25.0,0.88,8.0,24.0,32.0,12.0,7.0,6.0,25.0,21.0,94.4,105.8,70.0,0.352,0.241,0.524,36.0,37.5,18.6,4.3,0.491,18.2,25.0,0.241,0.619,31.7,44.4,0.524
4.0,4.0,2023-11-17,@,Alabama,REG (Non-Conf),L,67.0,98.0,,26.0,64.0,0.406,3.0,14.0,0.214,23.0,50.0,0.46,0.43,12.0,23.0,0.522,8.0,18.0,26.0,7.0,6.0,4.0,8.0,24.0,35.0,60.0,0.583,8.0,19.0,0.421,27.0,41.0,0.659,0.65,20.0,29.0,0.69,9.0,32.0,41.0,16.0,6.0,2.0,11.0,18.0,88.9,130.1,75.4,0.359,0.219,0.447,38.8,26.9,8.0,9.8,0.43,9.6,20.0,0.188,0.65,13.0,33.3,0.333
5.0,5.0,2023-11-24,N,Tennessee State,REG (Non-Conf),W,60.0,59.0,,22.0,46.0,0.478,9.0,19.0,0.474,13.0,27.0,0.481,0.576,7.0,13.0,0.538,10.0,21.0,31.0,12.0,7.0,6.0,21.0,19.0,19.0,52.0,0.365,5.0,16.0,0.313,14.0,36.0,0.389,0.413,16.0,18.0,0.889,8.0,18.0,26.0,10.0,10.0,1.0,15.0,16.0,91.8,90.3,65.4,0.283,0.413,0.575,54.4,54.5,10.7,16.7,0.576,28.7,35.7,0.152,0.413,19.9,27.6,0.308
6.0,6.0,2023-11-25,N,Western Michigan,REG (Non-Conf),L,66.0,72.0,,24.0,53.0,0.453,8.0,24.0,0.333,16.0,29.0,0.552,0.528,10.0,14.0,0.714,6.0,21.0,27.0,17.0,4.0,4.0,10.0,17.0,27.0,51.0,0.529,7.0,13.0,0.538,20.0,38.0,0.526,0.598,11.0,18.0,0.611,6.0,24.0,30.0,15.0,7.0,1.0,11.0,13.0,103.0,112.3,64.1,0.264,0.453,0.553,47.4,70.8,6.2,10.5,0.528,14.4,20.0,0.189,0.598,15.6,22.2,0.216
7.0,7.0,2023-12-01,@,Georgia,REG (Non-Conf),L,69.0,80.0,,27.0,67.0,0.403,10.0,23.0,0.435,17.0,44.0,0.386,0.478,5.0,10.0,0.5,5.0,18.0,23.0,20.0,8.0,1.0,7.0,28.0,21.0,40.0,0.525,8.0,15.0,0.533,13.0,25.0,0.52,0.625,30.0,42.0,0.714,4.0,30.0,34.0,10.0,4.0,5.0,14.0,14.0,96.0,111.3,71.9,0.149,0.343,0.481,40.4,74.1,11.1,4.0,0.478,8.9,14.3,0.075,0.625,18.9,18.2,0.75
8.0,8.0,2023-12-06,,South Alabama,REG (Non-Conf),L,62.0,83.0,,24.0,62.0,0.387,2.0,14.0,0.143,22.0,48.0,0.458,0.403,12.0,22.0,0.545,16.0,27.0,43.0,10.0,2.0,7.0,14.0,13.0,33.0,69.0,0.478,7.0,19.0,0.368,26.0,50.0,0.52,0.529,10.0,12.0,0.833,7.0,27.0,34.0,13.0,10.0,1.0,4.0,14.0,87.2,116.8,71.1,0.355,0.226,0.428,55.8,41.7,2.8,14.0,0.403,16.2,37.2,0.194,0.529,5.1,20.6,0.145
9.0,9.0,2023-12-09,,Georgia State,REG (Non-Conf),W,64.0,60.0,,26.0,53.0,0.491,5.0,17.0,0.294,21.0,36.0,0.583,0.538,7.0,9.0,0.778,8.0,25.0,33.0,14.0,4.0,3.0,12.0,14.0,24.0,55.0,0.436,5.0,16.0,0.313,19.0,39.0,0.487,0.482,7.0,9.0,0.778,6.0,17.0,23.0,10.0,7.0,3.0,5.0,11.0,107.1,100.4,59.8,0.17,0.321,0.559,58.9,53.8,6.7,7.7,0.538,17.3,32.0,0.132,0.482,7.8,19.4,0.127
10.0,10.0,2023-12-16,,Florida Gulf Coast,REG (Non-Conf),W,70.0,65.0,,24.0,57.0,0.421,10.0,24.0,0.417,14.0,33.0,0.424,0.509,12.0,15.0,0.8,11.0,19.0,30.0,16.0,9.0,1.0,9.0,17.0,24.0,46.0,0.522,7.0,16.0,0.438,17.0,30.0,0.567,0.598,10.0,19.0,0.526,6.0,21.0,27.0,13.0,9.0,3.0,10.0,13.0,115.6,107.3,60.6,0.263,0.421,0.546,52.6,66.7,14.9,3.3,0.509,12.3,34.4,0.211,0.598,15.4,24.0,0.217
