Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2024-11-04,@,George Washington,REG (Non-Conf),L,59.0,76.0,,21.0,56.0,0.375,6.0,17.0,0.353,15.0,39.0,0.385,0.429,11.0,13.0,0.846,8.0,16.0,24.0,11.0,3.0,4.0,12.0,23.0,24.0,53.0,0.453,4.0,23.0,0.174,20.0,30.0,0.667,0.491,24.0,34.0,0.706,11.0,23.0,34.0,14.0,9.0,1.0,12.0,17.0,86.6,111.5,68.2,0.232,0.304,0.474,41.4,52.4,4.4,13.3,0.429,16.2,25.8,0.196,0.491,14.8,40.7,0.453
2.0,2.0,2024-11-06,@,Morgan State,REG (Non-Conf),W,78.0,73.0,,26.0,59.0,0.441,5.0,17.0,0.294,21.0,42.0,0.5,0.483,21.0,25.0,0.84,14.0,15.0,29.0,13.0,10.0,2.0,14.0,17.0,26.0,53.0,0.491,3.0,8.0,0.375,23.0,45.0,0.511,0.519,18.0,24.0,0.75,11.0,18.0,29.0,9.0,6.0,3.0,18.0,26.0,109.6,102.6,71.1,0.424,0.288,0.55,50.0,50.0,14.1,4.4,0.483,16.5,43.8,0.356,0.519,21.8,42.3,0.34
3.0,3.0,2024-11-09,,Houghton,REG (Non-Conf),W,88.0,62.0,,31.0,58.0,0.534,8.0,17.0,0.471,23.0,41.0,0.561,0.603,18.0,21.0,0.857,8.0,18.0,26.0,22.0,14.0,3.0,12.0,16.0,22.0,48.0,0.458,5.0,17.0,0.294,17.0,31.0,0.548,0.51,13.0,15.0,0.867,8.0,16.0,24.0,11.0,6.0,1.0,22.0,15.0,124.7,87.9,70.6,0.362,0.293,0.647,52.0,71.0,19.8,9.7,0.603,15.0,33.3,0.31,0.51,28.5,30.8,0.271
4.0,4.0,2024-11-13,,Canisius,REG (Non-Conf),W,62.0,52.0,,22.0,56.0,0.393,6.0,23.0,0.261,16.0,33.0,0.485,0.446,12.0,18.0,0.667,8.0,20.0,28.0,15.0,7.0,2.0,6.0,11.0,17.0,45.0,0.378,8.0,23.0,0.348,9.0,22.0,0.409,0.467,10.0,12.0,0.833,8.0,24.0,32.0,7.0,5.0,5.0,14.0,17.0,104.0,87.2,59.6,0.321,0.411,0.48,46.7,68.2,11.7,9.1,0.446,8.5,25.0,0.214,0.467,21.6,28.6,0.222
5.0,5.0,2024-11-16,@,Columbia,REG (Non-Conf),L,63.0,77.0,,21.0,51.0,0.412,8.0,20.0,0.4,13.0,31.0,0.419,0.49,13.0,18.0,0.722,6.0,15.0,21.0,16.0,5.0,3.0,10.0,15.0,30.0,56.0,0.536,9.0,20.0,0.45,21.0,36.0,0.583,0.616,8.0,13.0,0.615,10.0,25.0,35.0,21.0,4.0,1.0,12.0,13.0,98.6,120.6,63.9,0.353,0.392,0.529,37.5,76.2,7.8,8.3,0.49,14.4,19.4,0.255,0.616,16.2,40.0,0.143
6.0,6.0,2024-11-19,,Mt. Aloysius,REG (Non-Conf),W,98.0,45.0,,38.0,78.0,0.487,5.0,29.0,0.172,33.0,49.0,0.673,0.519,17.0,25.0,0.68,20.0,29.0,49.0,18.0,14.0,4.0,8.0,20.0,12.0,45.0,0.267,3.0,17.0,0.176,9.0,28.0,0.321,0.3,18.0,25.0,0.72,3.0,21.0,24.0,4.0,5.0,0.0,24.0,23.0,125.8,57.8,77.9,0.321,0.372,0.545,67.1,47.4,18.0,14.3,0.519,8.2,48.8,0.218,0.3,29.7,9.4,0.4
7.0,7.0,2024-11-24,@,Air Force,REG (Non-Conf),L,48.0,82.0,,17.0,51.0,0.333,4.0,21.0,0.19,13.0,30.0,0.433,0.373,10.0,14.0,0.714,5.0,13.0,18.0,9.0,7.0,5.0,6.0,13.0,31.0,48.0,0.646,15.0,21.0,0.714,16.0,27.0,0.593,0.802,5.0,9.0,0.556,4.0,29.0,33.0,26.0,4.0,2.0,11.0,15.0,81.4,139.1,59.0,0.275,0.412,0.416,35.3,52.9,11.9,18.5,0.373,9.4,14.7,0.196,0.802,17.4,23.5,0.104
8.0,8.0,2024-11-27,@,California,REG (Non-Conf),L,55.0,81.0,,20.0,53.0,0.377,3.0,13.0,0.231,17.0,40.0,0.425,0.406,12.0,16.0,0.75,4.0,17.0,21.0,7.0,5.0,1.0,10.0,16.0,29.0,53.0,0.547,11.0,21.0,0.524,18.0,32.0,0.563,0.651,12.0,18.0,0.667,6.0,28.0,34.0,14.0,4.0,6.0,13.0,14.0,81.4,119.9,67.6,0.302,0.245,0.454,38.2,35.0,7.4,3.1,0.406,14.2,12.5,0.226,0.651,17.4,26.1,0.226
9.0,9.0,2024-11-30,@,Sacramento State,REG (Non-Conf),W,66.0,60.0,,22.0,47.0,0.468,10.0,25.0,0.4,12.0,22.0,0.545,0.574,12.0,16.0,0.75,6.0,21.0,27.0,16.0,9.0,0.0,13.0,20.0,19.0,47.0,0.404,8.0,22.0,0.364,11.0,25.0,0.44,0.489,14.0,20.0,0.7,10.0,22.0,32.0,12.0,7.0,1.0,15.0,20.0,107.2,97.5,61.6,0.34,0.532,0.604,45.8,72.7,14.6,0.0,0.574,19.2,21.4,0.255,0.489,21.0,32.3,0.298
10.0,10.0,2024-12-01,@,San Francisco,REG (Non-Conf),L,59.0,87.0,,25.0,53.0,0.472,6.0,13.0,0.462,19.0,40.0,0.475,0.528,3.0,3.0,1.0,2.0,18.0,20.0,10.0,8.0,0.0,10.0,18.0,32.0,55.0,0.582,6.0,18.0,0.333,26.0,37.0,0.703,0.636,17.0,31.0,0.548,13.0,24.0,37.0,19.0,9.0,5.0,10.0,12.0,91.4,134.7,64.6,0.057,0.245,0.542,35.1,40.0,12.4,0.0,0.528,15.5,7.7,0.057,0.636,12.5,41.9,0.309
