Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Vermont,REG (Non-Conf),L,55.0,67.0,,22.0,52.0,0.423,4.0,19.0,0.211,18.0,33.0,0.545,0.462,7.0,13.0,0.538,9.0,18.0,27.0,6.0,5.0,2.0,10.0,15.0,25.0,53.0,0.472,7.0,25.0,0.28,18.0,28.0,0.643,0.538,10.0,13.0,0.769,11.0,22.0,33.0,13.0,4.0,1.0,7.0,13.0,96.2,117.2,57.2,0.25,0.365,0.473,45.0,27.3,8.7,7.1,0.462,14.7,29.0,0.135,0.538,10.6,37.9,0.189
2.0,2.0,2023-11-09,,Worcester St.,REG (Non-Conf),W,93.0,72.0,,35.0,74.0,0.473,6.0,30.0,0.2,29.0,44.0,0.659,0.514,17.0,26.0,0.654,22.0,26.0,48.0,19.0,18.0,7.0,13.0,12.0,27.0,70.0,0.386,10.0,27.0,0.37,17.0,43.0,0.395,0.457,8.0,13.0,0.615,16.0,22.0,38.0,18.0,10.0,3.0,23.0,20.0,115.9,89.7,80.3,0.351,0.405,0.539,55.8,54.3,22.4,16.3,0.514,13.1,50.0,0.23,0.457,23.2,38.1,0.114
3.0,3.0,2023-11-12,@,Maine,REG (Non-Conf),W,71.0,65.0,,23.0,45.0,0.511,4.0,17.0,0.235,19.0,28.0,0.679,0.556,21.0,32.0,0.656,6.0,22.0,28.0,8.0,10.0,2.0,15.0,15.0,22.0,55.0,0.4,7.0,22.0,0.318,15.0,33.0,0.455,0.464,14.0,18.0,0.778,10.0,18.0,28.0,14.0,12.0,2.0,15.0,22.0,103.1,94.4,68.9,0.711,0.378,0.59,50.0,34.8,14.5,6.1,0.556,19.9,25.0,0.467,0.464,19.1,31.3,0.255
4.0,4.0,2023-11-15,@,Ohio State,REG (Non-Conf),L,52.0,76.0,,20.0,50.0,0.4,9.0,25.0,0.36,11.0,25.0,0.44,0.49,3.0,5.0,0.6,2.0,20.0,22.0,8.0,6.0,5.0,18.0,22.0,26.0,58.0,0.448,8.0,13.0,0.615,18.0,45.0,0.4,0.517,16.0,23.0,0.696,14.0,25.0,39.0,18.0,9.0,2.0,12.0,8.0,76.9,112.3,67.7,0.1,0.5,0.496,36.1,40.0,8.9,11.1,0.49,25.6,7.4,0.06,0.517,14.8,41.2,0.276
5.0,5.0,2023-11-22,N,North Carolina A&T,REG (Non-Conf),W,96.0,73.0,,34.0,61.0,0.557,6.0,19.0,0.316,28.0,42.0,0.667,0.607,22.0,29.0,0.759,6.0,34.0,40.0,15.0,9.0,6.0,9.0,19.0,25.0,61.0,0.41,7.0,22.0,0.318,18.0,39.0,0.462,0.467,16.0,22.0,0.727,4.0,18.0,22.0,12.0,6.0,0.0,11.0,15.0,122.9,93.5,78.1,0.475,0.311,0.642,64.5,44.1,11.5,15.4,0.607,10.7,25.0,0.361,0.467,13.3,10.5,0.262
6.0,6.0,2023-11-24,@,Samford,REG (Non-Conf),L,71.0,79.0,,24.0,53.0,0.453,8.0,23.0,0.348,16.0,30.0,0.533,0.528,15.0,17.0,0.882,6.0,18.0,24.0,13.0,12.0,8.0,15.0,17.0,27.0,60.0,0.45,12.0,22.0,0.545,15.0,38.0,0.395,0.55,13.0,17.0,0.765,13.0,22.0,35.0,18.0,9.0,6.0,19.0,18.0,98.5,109.6,72.1,0.321,0.434,0.581,40.7,54.2,16.6,21.1,0.528,19.7,21.4,0.283,0.55,21.8,41.9,0.217
7.0,7.0,2023-11-25,N,Alabama State,REG (Non-Conf),L,60.0,66.0,OT,18.0,56.0,0.321,5.0,29.0,0.172,13.0,27.0,0.481,0.366,19.0,24.0,0.792,7.0,30.0,37.0,11.0,9.0,0.0,16.0,20.0,20.0,63.0,0.317,4.0,20.0,0.2,16.0,43.0,0.372,0.349,22.0,26.0,0.846,9.0,31.0,40.0,11.0,7.0,2.0,12.0,21.0,77.5,85.3,68.8,0.429,0.518,0.445,48.1,61.1,11.6,0.0,0.366,19.2,18.4,0.339,0.349,13.7,23.1,0.349
8.0,8.0,2023-11-29,@,Georgetown,REG (Non-Conf),L,67.0,69.0,,24.0,55.0,0.436,4.0,15.0,0.267,20.0,40.0,0.5,0.473,15.0,21.0,0.714,7.0,19.0,26.0,12.0,14.0,2.0,12.0,25.0,18.0,50.0,0.36,5.0,13.0,0.385,13.0,37.0,0.351,0.41,28.0,42.0,0.667,15.0,22.0,37.0,14.0,5.0,8.0,18.0,21.0,93.8,96.6,71.5,0.382,0.273,0.516,41.3,50.0,19.6,5.4,0.473,15.6,24.1,0.273,0.41,20.5,44.1,0.56
9.0,9.0,2023-12-02,,UMass Lowell,REG (Non-Conf),W,74.0,68.0,,22.0,54.0,0.407,6.0,19.0,0.316,16.0,35.0,0.457,0.463,24.0,29.0,0.828,8.0,24.0,32.0,14.0,11.0,4.0,12.0,15.0,26.0,56.0,0.464,3.0,11.0,0.273,23.0,45.0,0.511,0.491,13.0,19.0,0.684,9.0,20.0,29.0,12.0,8.0,6.0,16.0,18.0,102.9,94.6,71.9,0.537,0.352,0.546,52.5,63.6,15.3,8.9,0.463,15.0,28.6,0.444,0.491,19.7,27.3,0.232
10.0,10.0,2023-12-05,@,Florida,REG (Non-Conf),L,57.0,77.0,,20.0,60.0,0.333,3.0,24.0,0.125,17.0,36.0,0.472,0.358,14.0,18.0,0.778,9.0,21.0,30.0,6.0,8.0,4.0,13.0,19.0,27.0,68.0,0.397,6.0,17.0,0.353,21.0,51.0,0.412,0.441,17.0,28.0,0.607,22.0,32.0,54.0,14.0,7.0,3.0,13.0,14.0,78.7,106.3,72.4,0.3,0.4,0.416,35.7,30.0,11.0,7.8,0.358,15.9,22.0,0.233,0.441,13.8,51.2,0.25
11.0,11.0,2023-12-09,,Felician,REG (Non-Conf),W,89.0,85.0,,34.0,55.0,0.618,9.0,22.0,0.409,25.0,33.0,0.758,0.7,12.0,16.0,0.75,2.0,23.0,25.0,23.0,10.0,0.0,13.0,12.0,36.0,65.0,0.554,8.0,22.0,0.364,28.0,43.0,0.651,0.615,5.0,5.0,1.0,5.0,19.0,24.0,21.0,5.0,0.0,14.0,16.0,118.7,113.4,75.0,0.291,0.4,0.711,51.0,67.6,13.3,0.0,0.7,17.2,9.5,0.218,0.615,17.2,17.9,0.077
12.0,12.0,2023-12-19,@,Cincinnati,REG (Non-Conf),L,49.0,65.0,,18.0,53.0,0.34,9.0,27.0,0.333,9.0,26.0,0.346,0.425,4.0,6.0,0.667,5.0,17.0,22.0,8.0,8.0,3.0,17.0,15.0,24.0,55.0,0.436,5.0,12.0,0.417,19.0,43.0,0.442,0.482,12.0,19.0,0.632,12.0,30.0,42.0,16.0,8.0,5.0,18.0,7.0,71.1,94.3,68.9,0.113,0.509,0.439,34.4,44.4,11.6,7.0,0.425,23.3,14.3,0.075,0.482,21.9,41.4,0.218
13.0,13.0,2023-12-22,,Bucknell,REG (Non-Conf),W,68.0,52.0,,26.0,57.0,0.456,9.0,30.0,0.3,17.0,27.0,0.63,0.535,7.0,9.0,0.778,5.0,14.0,19.0,15.0,11.0,1.0,7.0,9.0,22.0,54.0,0.407,2.0,17.0,0.118,20.0,37.0,0.541,0.426,6.0,7.0,0.857,13.0,22.0,35.0,6.0,4.0,2.0,18.0,12.0,108.3,82.8,62.8,0.158,0.526,0.555,35.2,57.7,17.5,2.7,0.535,10.3,18.5,0.123,0.426,23.9,48.1,0.111
14.0,14.0,2023-12-30,@,Boston University,REG (Non-Conf),L,63.0,74.0,,20.0,51.0,0.392,9.0,23.0,0.391,11.0,28.0,0.393,0.48,14.0,18.0,0.778,2.0,19.0,21.0,10.0,11.0,2.0,11.0,18.0,28.0,54.0,0.519,8.0,18.0,0.444,20.0,36.0,0.556,0.593,10.0,18.0,0.556,11.0,26.0,37.0,16.0,5.0,2.0,17.0,16.0,91.9,108.0,68.6,0.353,0.451,0.529,36.2,50.0,16.0,5.6,0.48,15.6,7.1,0.275,0.593,21.4,36.7,0.185
15.0,15.0,2024-01-04,,FDU,REG (Conf),W,60.0,56.0,,23.0,50.0,0.46,5.0,20.0,0.25,18.0,30.0,0.6,0.51,9.0,17.0,0.529,4.0,23.0,27.0,13.0,8.0,4.0,16.0,14.0,19.0,58.0,0.328,7.0,23.0,0.304,12.0,35.0,0.343,0.388,11.0,15.0,0.733,13.0,28.0,41.0,12.0,8.0,1.0,18.0,18.0,85.6,79.9,70.1,0.34,0.4,0.517,39.7,56.5,11.4,11.4,0.51,21.6,12.5,0.18,0.388,21.7,36.1,0.19
