Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Evansville,REG (Non-Conf),L,64.0,72.0,,25.0,52.0,0.481,10.0,20.0,0.5,15.0,32.0,0.469,0.577,4.0,11.0,0.364,5.0,28.0,33.0,15.0,7.0,1.0,19.0,25.0,23.0,51.0,0.451,5.0,15.0,0.333,18.0,36.0,0.5,0.5,21.0,30.0,0.7,5.0,25.0,30.0,10.0,11.0,4.0,13.0,16.0,88.6,99.7,72.2,0.212,0.385,0.559,52.4,60.0,9.7,2.8,0.577,24.9,16.7,0.077,0.5,16.6,15.2,0.412
2.0,2.0,2023-11-11,,Texas State,REG (Non-Conf),L,65.0,75.0,,20.0,48.0,0.417,5.0,18.0,0.278,15.0,30.0,0.5,0.469,20.0,28.0,0.714,6.0,19.0,25.0,10.0,8.0,5.0,14.0,18.0,29.0,63.0,0.46,6.0,15.0,0.4,23.0,48.0,0.479,0.508,11.0,21.0,0.524,15.0,22.0,37.0,14.0,9.0,4.0,15.0,27.0,91.4,105.4,71.1,0.583,0.375,0.53,40.3,50.0,11.2,10.4,0.469,18.6,21.4,0.417,0.508,17.1,44.1,0.175
3.0,3.0,2023-11-17,,Coppin State,REG (Non-Conf),W,76.0,48.0,,27.0,51.0,0.529,12.0,29.0,0.414,15.0,22.0,0.682,0.647,10.0,16.0,0.625,7.0,26.0,33.0,21.0,8.0,3.0,14.0,14.0,19.0,52.0,0.365,2.0,16.0,0.125,17.0,36.0,0.472,0.385,8.0,16.0,0.5,8.0,19.0,27.0,4.0,9.0,1.0,18.0,20.0,112.4,71.0,67.6,0.314,0.569,0.648,55.0,77.8,11.8,8.3,0.647,19.3,26.9,0.196,0.385,23.2,23.5,0.154
4.0,4.0,2023-11-19,,Eastern Illinois,REG (Non-Conf),W,76.0,64.0,,19.0,41.0,0.463,7.0,17.0,0.412,12.0,24.0,0.5,0.549,31.0,39.0,0.795,4.0,23.0,27.0,9.0,8.0,5.0,13.0,13.0,25.0,62.0,0.403,4.0,18.0,0.222,21.0,44.0,0.477,0.435,10.0,11.0,0.909,10.0,20.0,30.0,8.0,7.0,3.0,16.0,29.0,107.2,90.3,70.9,0.951,0.415,0.638,47.4,47.4,11.3,11.4,0.549,17.9,16.7,0.756,0.435,19.2,30.3,0.161
5.0,5.0,2023-11-25,@,St. Bonaventure,REG (Non-Conf),L,60.0,90.0,,22.0,56.0,0.393,7.0,27.0,0.259,15.0,29.0,0.517,0.455,9.0,10.0,0.9,5.0,14.0,19.0,13.0,0.0,1.0,10.0,11.0,36.0,65.0,0.554,11.0,25.0,0.44,25.0,40.0,0.625,0.638,7.0,8.0,0.875,13.0,27.0,40.0,20.0,4.0,6.0,9.0,14.0,91.9,137.9,65.3,0.179,0.482,0.494,32.2,59.1,0.0,2.5,0.455,14.1,15.6,0.161,0.638,11.6,48.1,0.108
6.0,6.0,2023-11-28,,Spalding,REG (Non-Conf),W,82.0,43.0,,27.0,63.0,0.429,7.0,23.0,0.304,20.0,40.0,0.5,0.484,21.0,32.0,0.656,17.0,35.0,52.0,18.0,6.0,3.0,10.0,19.0,15.0,54.0,0.278,4.0,16.0,0.25,11.0,38.0,0.289,0.315,9.0,13.0,0.692,3.0,24.0,27.0,4.0,4.0,4.0,11.0,21.0,117.7,61.7,70.0,0.508,0.365,0.524,65.8,66.7,8.6,7.9,0.484,11.3,41.5,0.333,0.315,15.5,7.9,0.167
7.0,7.0,2023-12-02,@,Marshall,REG (Non-Conf),W,79.0,74.0,,26.0,60.0,0.433,13.0,26.0,0.5,13.0,34.0,0.382,0.542,14.0,21.0,0.667,4.0,24.0,28.0,20.0,9.0,3.0,10.0,24.0,23.0,64.0,0.359,8.0,27.0,0.296,15.0,37.0,0.405,0.422,20.0,27.0,0.741,14.0,30.0,44.0,11.0,3.0,8.0,15.0,19.0,102.7,96.2,76.9,0.35,0.433,0.564,38.9,76.9,11.7,8.1,0.542,12.5,11.8,0.233,0.422,16.3,36.8,0.313
8.0,8.0,2023-12-06,@,Ohio State,REG (Non-Conf),L,64.0,84.0,,24.0,55.0,0.436,7.0,12.0,0.583,17.0,43.0,0.395,0.5,9.0,11.0,0.818,10.0,14.0,24.0,9.0,5.0,2.0,15.0,19.0,28.0,62.0,0.452,9.0,23.0,0.391,19.0,39.0,0.487,0.524,19.0,25.0,0.76,17.0,20.0,37.0,19.0,5.0,4.0,9.0,14.0,97.6,128.1,65.6,0.2,0.218,0.531,39.3,37.5,7.6,5.1,0.5,19.9,33.3,0.164,0.524,10.9,54.8,0.306
9.0,9.0,2023-12-09,@,Davidson,REG (Non-Conf),L,61.0,79.0,,19.0,51.0,0.373,9.0,28.0,0.321,10.0,23.0,0.435,0.461,14.0,16.0,0.875,3.0,19.0,22.0,13.0,4.0,0.0,11.0,16.0,30.0,62.0,0.484,5.0,24.0,0.208,25.0,38.0,0.658,0.524,14.0,14.0,1.0,12.0,29.0,41.0,12.0,8.0,2.0,8.0,13.0,93.0,120.4,65.6,0.314,0.549,0.52,34.9,68.4,6.1,0.0,0.461,15.8,9.4,0.275,0.524,10.4,38.7,0.226
10.0,10.0,2023-12-19,@,Wright State,REG (Non-Conf),L,82.0,92.0,,31.0,63.0,0.492,11.0,25.0,0.44,20.0,38.0,0.526,0.579,9.0,11.0,0.818,6.0,18.0,24.0,18.0,4.0,1.0,13.0,17.0,38.0,57.0,0.667,2.0,9.0,0.222,36.0,48.0,0.75,0.684,14.0,17.0,0.824,3.0,22.0,25.0,17.0,9.0,3.0,12.0,13.0,109.8,123.2,74.7,0.175,0.397,0.601,49.0,58.1,5.4,2.1,0.579,16.0,21.4,0.143,0.684,15.6,14.3,0.246
