Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,NJIT,REG (Non-Conf),W,101.0,60.0,,39.0,72.0,0.542,12.0,28.0,0.429,27.0,44.0,0.614,0.625,11.0,17.0,0.647,11.0,33.0,44.0,23.0,10.0,7.0,9.0,12.0,23.0,68.0,0.338,9.0,30.0,0.3,14.0,38.0,0.368,0.404,5.0,11.0,0.455,9.0,22.0,31.0,12.0,6.0,2.0,16.0,13.0,127.6,75.8,79.2,0.236,0.389,0.631,58.7,59.0,12.6,18.4,0.625,10.1,33.3,0.153,0.404,17.9,21.4,0.074
2.0,2.0,2023-11-10,,UCF,REG (Non-Conf),W,88.0,72.0,,26.0,51.0,0.51,10.0,21.0,0.476,16.0,30.0,0.533,0.608,26.0,30.0,0.867,3.0,26.0,29.0,13.0,14.0,11.0,18.0,16.0,30.0,73.0,0.411,5.0,20.0,0.25,25.0,53.0,0.472,0.445,7.0,11.0,0.636,12.0,18.0,30.0,6.0,7.0,2.0,18.0,24.0,107.0,87.6,82.2,0.588,0.412,0.674,49.2,50.0,17.0,20.8,0.608,21.6,14.3,0.51,0.445,18.7,31.6,0.096
3.0,3.0,2023-11-13,,Florida International,REG (Non-Conf),W,86.0,80.0,,31.0,53.0,0.585,13.0,21.0,0.619,18.0,32.0,0.563,0.708,11.0,14.0,0.786,6.0,25.0,31.0,20.0,8.0,5.0,14.0,9.0,32.0,71.0,0.451,11.0,33.0,0.333,21.0,38.0,0.553,0.528,5.0,8.0,0.625,15.0,16.0,31.0,17.0,7.0,4.0,9.0,15.0,126.1,117.3,68.2,0.264,0.396,0.721,50.0,64.5,11.7,13.2,0.708,19.0,27.3,0.208,0.528,10.7,37.5,0.07
4.0,4.0,2023-11-17,N,Georgia,REG (Non-Conf),W,79.0,68.0,,27.0,60.0,0.45,7.0,24.0,0.292,20.0,36.0,0.556,0.508,18.0,19.0,0.947,7.0,28.0,35.0,11.0,5.0,1.0,12.0,19.0,22.0,60.0,0.367,9.0,31.0,0.29,13.0,29.0,0.448,0.442,15.0,22.0,0.682,9.0,24.0,33.0,12.0,4.0,2.0,15.0,20.0,105.0,90.4,75.2,0.317,0.4,0.572,51.5,40.7,6.6,3.4,0.508,14.8,22.6,0.3,0.442,17.6,24.3,0.25
5.0,5.0,2023-11-19,N,Kansas State,REG (Non-Conf),W,91.0,83.0,,32.0,60.0,0.533,12.0,24.0,0.5,20.0,36.0,0.556,0.633,15.0,18.0,0.833,2.0,23.0,25.0,13.0,6.0,2.0,8.0,19.0,33.0,67.0,0.493,4.0,28.0,0.143,29.0,39.0,0.744,0.522,13.0,17.0,0.765,12.0,21.0,33.0,13.0,3.0,5.0,12.0,18.0,121.6,110.9,74.8,0.3,0.4,0.664,43.1,40.6,8.0,5.1,0.633,10.5,8.7,0.25,0.522,13.8,34.3,0.194
6.0,6.0,2023-11-28,@,Kentucky,REG (Non-Conf),L,73.0,95.0,,26.0,59.0,0.441,5.0,19.0,0.263,21.0,40.0,0.525,0.483,16.0,21.0,0.762,10.0,22.0,32.0,8.0,5.0,1.0,15.0,15.0,37.0,62.0,0.597,9.0,21.0,0.429,28.0,41.0,0.683,0.669,12.0,17.0,0.706,6.0,23.0,29.0,26.0,9.0,5.0,7.0,18.0,100.7,131.0,72.5,0.356,0.322,0.529,52.5,30.8,6.9,2.4,0.483,17.9,30.3,0.271,0.669,9.1,21.4,0.194
7.0,7.0,2023-12-02,,Notre Dame,REG (Conf),W,62.0,49.0,,25.0,54.0,0.463,7.0,18.0,0.389,18.0,36.0,0.5,0.528,5.0,8.0,0.625,3.0,30.0,33.0,12.0,8.0,1.0,13.0,9.0,18.0,63.0,0.286,6.0,32.0,0.188,12.0,31.0,0.387,0.333,7.0,9.0,0.778,12.0,23.0,35.0,11.0,8.0,3.0,13.0,11.0,91.1,72.0,68.0,0.148,0.333,0.536,48.5,48.0,11.8,3.2,0.528,18.4,11.5,0.093,0.333,16.2,28.6,0.111
8.0,8.0,2023-12-06,,LIU,REG (Non-Conf),W,97.0,49.0,,37.0,65.0,0.569,11.0,26.0,0.423,26.0,39.0,0.667,0.654,12.0,19.0,0.632,10.0,33.0,43.0,19.0,8.0,4.0,12.0,10.0,19.0,62.0,0.306,3.0,23.0,0.13,16.0,39.0,0.41,0.331,8.0,11.0,0.727,10.0,22.0,32.0,12.0,10.0,3.0,16.0,15.0,130.0,65.7,74.6,0.292,0.4,0.655,57.3,51.4,10.7,10.3,0.654,13.9,31.3,0.185,0.331,19.2,23.3,0.129
9.0,9.0,2023-12-10,N,Colorado,REG (Non-Conf),L,63.0,90.0,,22.0,49.0,0.449,6.0,15.0,0.4,16.0,34.0,0.471,0.51,13.0,15.0,0.867,5.0,13.0,18.0,11.0,9.0,5.0,19.0,12.0,37.0,63.0,0.587,7.0,20.0,0.35,30.0,43.0,0.698,0.643,9.0,11.0,0.818,8.0,20.0,28.0,28.0,11.0,1.0,13.0,13.0,87.9,125.6,71.7,0.306,0.306,0.561,39.1,50.0,12.6,11.6,0.51,25.3,20.0,0.265,0.643,16.0,38.1,0.143
10.0,10.0,2023-12-16,,La Salle,REG (Non-Conf),W,84.0,77.0,,31.0,60.0,0.517,4.0,15.0,0.267,27.0,45.0,0.6,0.55,18.0,21.0,0.857,12.0,23.0,35.0,17.0,4.0,4.0,10.0,8.0,30.0,64.0,0.469,11.0,30.0,0.367,19.0,34.0,0.559,0.555,6.0,7.0,0.857,5.0,17.0,22.0,20.0,7.0,2.0,8.0,17.0,121.5,111.4,69.2,0.35,0.25,0.6,61.4,54.8,5.8,11.8,0.55,12.5,41.4,0.3,0.555,10.6,17.9,0.094
