Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,James Madison,REG (Non-Conf),L,76.0,79.0,OT,26.0,72.0,0.361,1.0,20.0,0.05,25.0,52.0,0.481,0.368,23.0,37.0,0.622,14.0,29.0,43.0,13.0,8.0,5.0,11.0,21.0,25.0,68.0,0.368,8.0,29.0,0.276,17.0,39.0,0.436,0.426,21.0,28.0,0.75,10.0,35.0,45.0,14.0,5.0,4.0,15.0,32.0,87.9,91.4,76.8,0.514,0.278,0.424,48.9,50.0,9.3,12.8,0.368,10.9,28.6,0.319,0.426,15.6,25.6,0.309
2.0,2.0,2023-11-09,,Southern Indiana,REG (Non-Conf),W,74.0,51.0,,25.0,52.0,0.481,1.0,11.0,0.091,24.0,41.0,0.585,0.49,23.0,28.0,0.821,6.0,28.0,34.0,21.0,8.0,4.0,11.0,14.0,19.0,60.0,0.317,8.0,27.0,0.296,11.0,33.0,0.333,0.383,5.0,11.0,0.455,11.0,20.0,31.0,11.0,7.0,0.0,15.0,21.0,106.1,73.1,69.8,0.538,0.212,0.567,52.3,84.0,11.5,12.1,0.49,14.4,23.1,0.442,0.383,18.7,28.2,0.083
3.0,3.0,2023-11-14,N,Duke,REG (Non-Conf),L,65.0,74.0,,26.0,63.0,0.413,6.0,19.0,0.316,20.0,44.0,0.455,0.46,7.0,12.0,0.583,10.0,19.0,29.0,12.0,5.0,6.0,12.0,23.0,22.0,49.0,0.449,6.0,22.0,0.273,16.0,27.0,0.593,0.51,24.0,30.0,0.8,8.0,25.0,33.0,17.0,6.0,5.0,13.0,16.0,93.6,106.5,69.5,0.19,0.302,0.473,46.8,46.2,7.2,22.2,0.46,14.9,28.6,0.111,0.51,17.0,29.6,0.49
4.0,4.0,2023-11-17,,Butler,REG (Non-Conf),W,74.0,54.0,,28.0,59.0,0.475,7.0,20.0,0.35,21.0,39.0,0.538,0.534,11.0,15.0,0.733,10.0,29.0,39.0,15.0,9.0,3.0,10.0,19.0,15.0,52.0,0.288,7.0,25.0,0.28,8.0,27.0,0.296,0.356,17.0,24.0,0.708,8.0,21.0,29.0,8.0,4.0,3.0,12.0,17.0,110.8,80.9,66.8,0.254,0.339,0.56,57.4,53.6,13.5,11.1,0.534,13.1,32.3,0.186,0.356,15.9,21.6,0.327
5.0,5.0,2023-11-19,,Alcorn State,REG (Non-Conf),W,81.0,49.0,,30.0,57.0,0.526,10.0,25.0,0.4,20.0,32.0,0.625,0.614,11.0,21.0,0.524,9.0,27.0,36.0,24.0,7.0,9.0,9.0,18.0,16.0,61.0,0.262,5.0,18.0,0.278,11.0,43.0,0.256,0.303,12.0,20.0,0.6,12.0,24.0,36.0,9.0,5.0,1.0,11.0,17.0,118.7,71.8,68.2,0.368,0.439,0.605,50.0,80.0,10.3,20.9,0.614,11.8,27.3,0.193,0.303,13.5,30.8,0.197
6.0,6.0,2023-11-23,N,Arizona,REG (Non-Conf),L,68.0,74.0,,26.0,64.0,0.406,5.0,17.0,0.294,21.0,47.0,0.447,0.445,11.0,14.0,0.786,9.0,23.0,32.0,10.0,6.0,2.0,9.0,17.0,27.0,59.0,0.458,5.0,19.0,0.263,22.0,40.0,0.55,0.5,15.0,20.0,0.75,9.0,22.0,31.0,13.0,8.0,5.0,10.0,18.0,97.0,105.6,70.1,0.219,0.266,0.481,50.8,38.5,8.6,5.0,0.445,11.3,29.0,0.172,0.5,12.7,28.1,0.254
7.0,7.0,2023-11-28,,Georgia Southern,REG (Non-Conf),W,86.0,55.0,,31.0,60.0,0.517,5.0,18.0,0.278,26.0,42.0,0.619,0.558,19.0,30.0,0.633,14.0,30.0,44.0,23.0,8.0,4.0,15.0,12.0,22.0,55.0,0.4,6.0,25.0,0.24,16.0,30.0,0.533,0.455,5.0,9.0,0.556,3.0,20.0,23.0,8.0,10.0,5.0,20.0,24.0,113.5,72.6,75.8,0.5,0.3,0.579,65.7,74.2,10.6,13.3,0.558,16.8,41.2,0.317,0.455,25.2,9.1,0.091
8.0,8.0,2023-12-05,,Wisconsin,REG (Conf),L,57.0,70.0,,23.0,51.0,0.451,6.0,19.0,0.316,17.0,32.0,0.531,0.51,5.0,7.0,0.714,5.0,17.0,22.0,15.0,5.0,5.0,7.0,14.0,23.0,51.0,0.451,10.0,23.0,0.435,13.0,28.0,0.464,0.549,14.0,14.0,1.0,11.0,24.0,35.0,17.0,5.0,2.0,10.0,12.0,100.9,123.9,56.5,0.137,0.373,0.525,38.6,65.2,8.9,17.9,0.51,11.4,17.2,0.098,0.549,14.8,39.3,0.275
9.0,9.0,2023-12-10,@,Nebraska,REG (Conf),L,70.0,77.0,,27.0,61.0,0.443,8.0,17.0,0.471,19.0,44.0,0.432,0.508,8.0,9.0,0.889,6.0,21.0,27.0,14.0,5.0,2.0,9.0,13.0,27.0,54.0,0.5,10.0,23.0,0.435,17.0,31.0,0.548,0.593,13.0,15.0,0.867,4.0,24.0,28.0,16.0,5.0,4.0,8.0,11.0,104.9,115.4,66.7,0.148,0.279,0.536,49.1,51.9,7.5,6.5,0.508,12.1,20.0,0.131,0.593,11.6,16.0,0.241
10.0,10.0,2023-12-16,N,Baylor,REG (Non-Conf),W,88.0,64.0,,31.0,49.0,0.633,8.0,12.0,0.667,23.0,37.0,0.622,0.714,18.0,28.0,0.643,7.0,20.0,27.0,18.0,15.0,6.0,14.0,21.0,23.0,48.0,0.479,6.0,19.0,0.316,17.0,29.0,0.586,0.542,12.0,19.0,0.632,4.0,10.0,14.0,13.0,8.0,0.0,18.0,24.0,125.4,91.2,70.2,0.571,0.245,0.706,65.9,58.1,21.4,20.7,0.714,18.3,41.2,0.367,0.542,24.0,16.7,0.25
