Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,UNC Asheville,REG (Non-Conf),W,99.0,74.0,,38.0,67.0,0.567,12.0,26.0,0.462,26.0,41.0,0.634,0.657,11.0,15.0,0.733,10.0,27.0,37.0,20.0,3.0,3.0,8.0,23.0,22.0,55.0,0.4,10.0,25.0,0.4,12.0,30.0,0.4,0.491,20.0,28.0,0.714,10.0,19.0,29.0,13.0,1.0,2.0,13.0,18.0,138.1,103.2,71.7,0.224,0.388,0.668,56.1,52.6,4.2,10.0,0.657,9.7,34.5,0.164,0.491,16.0,27.0,0.364
2.0,2.0,2023-11-10,,Youngstown State,REG (Non-Conf),W,92.0,62.0,,35.0,66.0,0.53,9.0,26.0,0.346,26.0,40.0,0.65,0.598,13.0,16.0,0.813,6.0,27.0,33.0,16.0,2.0,3.0,10.0,12.0,24.0,68.0,0.353,7.0,23.0,0.304,17.0,45.0,0.378,0.404,7.0,10.0,0.7,7.0,19.0,26.0,8.0,5.0,2.0,12.0,17.0,118.4,79.8,77.7,0.242,0.394,0.625,55.9,45.7,2.6,6.7,0.598,12.0,24.0,0.197,0.404,14.2,20.6,0.103
3.0,3.0,2023-11-13,@,St. John's (NY),REG (Non-Conf),W,89.0,73.0,,32.0,62.0,0.516,11.0,26.0,0.423,21.0,36.0,0.583,0.605,14.0,23.0,0.609,10.0,23.0,33.0,17.0,8.0,6.0,12.0,18.0,27.0,75.0,0.36,9.0,27.0,0.333,18.0,48.0,0.375,0.42,10.0,17.0,0.588,19.0,18.0,37.0,11.0,8.0,4.0,16.0,16.0,114.8,94.2,77.5,0.371,0.419,0.61,47.1,53.1,10.3,12.5,0.605,14.1,35.7,0.226,0.42,16.1,45.2,0.133
4.0,4.0,2023-11-17,,Long Beach State,REG (Non-Conf),L,86.0,94.0,,31.0,66.0,0.47,9.0,28.0,0.321,22.0,38.0,0.579,0.538,15.0,25.0,0.6,13.0,21.0,34.0,17.0,4.0,1.0,15.0,18.0,37.0,66.0,0.561,8.0,17.0,0.471,29.0,49.0,0.592,0.621,12.0,17.0,0.706,11.0,17.0,28.0,12.0,10.0,7.0,12.0,17.0,111.0,121.3,77.5,0.379,0.424,0.552,54.8,54.8,5.2,2.0,0.538,16.2,43.3,0.227,0.621,13.9,34.4,0.182
5.0,5.0,2023-11-22,N,Memphis,REG (Non-Conf),L,67.0,71.0,,24.0,61.0,0.393,8.0,24.0,0.333,16.0,37.0,0.432,0.459,11.0,17.0,0.647,16.0,29.0,45.0,12.0,5.0,5.0,18.0,19.0,25.0,57.0,0.439,10.0,24.0,0.417,15.0,33.0,0.455,0.526,11.0,16.0,0.688,6.0,20.0,26.0,11.0,9.0,8.0,11.0,19.0,95.3,100.9,70.3,0.279,0.393,0.485,63.4,50.0,7.1,15.2,0.459,20.7,44.4,0.18,0.526,14.6,17.1,0.193
6.0,6.0,2023-11-23,N,Stanford,REG (Non-Conf),W,83.0,78.0,,32.0,54.0,0.593,8.0,18.0,0.444,24.0,36.0,0.667,0.667,11.0,16.0,0.688,5.0,22.0,27.0,14.0,9.0,4.0,13.0,10.0,31.0,62.0,0.5,12.0,27.0,0.444,19.0,35.0,0.543,0.597,4.0,4.0,1.0,3.0,18.0,21.0,20.0,9.0,3.0,13.0,17.0,115.7,108.7,71.8,0.296,0.333,0.674,56.3,43.8,12.5,11.4,0.667,17.4,21.7,0.204,0.597,16.9,12.0,0.065
7.0,7.0,2023-11-24,N,Texas Tech,REG (Non-Conf),L,57.0,73.0,,22.0,54.0,0.407,6.0,20.0,0.3,16.0,34.0,0.471,0.463,7.0,14.0,0.5,7.0,20.0,27.0,8.0,4.0,5.0,8.0,14.0,25.0,58.0,0.431,5.0,21.0,0.238,20.0,37.0,0.541,0.474,18.0,21.0,0.857,12.0,26.0,38.0,11.0,3.0,2.0,9.0,12.0,90.0,115.3,63.3,0.259,0.37,0.47,41.5,36.4,6.3,13.5,0.463,11.7,21.2,0.13,0.474,11.7,37.5,0.31
8.0,8.0,2023-12-02,@,Oregon,REG (Non-Conf),L,83.0,86.0,OT,29.0,60.0,0.483,13.0,31.0,0.419,16.0,29.0,0.552,0.592,12.0,18.0,0.667,10.0,18.0,28.0,11.0,4.0,4.0,16.0,17.0,34.0,67.0,0.507,10.0,16.0,0.625,24.0,51.0,0.471,0.582,8.0,12.0,0.667,10.0,17.0,27.0,19.0,8.0,3.0,9.0,15.0,113.5,117.6,65.0,0.3,0.517,0.605,50.9,37.9,5.5,7.8,0.592,18.9,37.0,0.2,0.582,11.0,35.7,0.119
9.0,9.0,2023-12-05,,Indiana,REG (Conf),L,75.0,78.0,,26.0,55.0,0.473,4.0,17.0,0.235,22.0,38.0,0.579,0.509,19.0,24.0,0.792,5.0,21.0,26.0,8.0,4.0,2.0,14.0,21.0,30.0,58.0,0.517,3.0,9.0,0.333,27.0,49.0,0.551,0.543,15.0,21.0,0.714,8.0,20.0,28.0,7.0,8.0,4.0,13.0,19.0,101.1,105.1,74.2,0.436,0.309,0.565,48.1,30.8,5.4,4.1,0.509,17.4,20.0,0.345,0.543,16.1,27.6,0.259
10.0,10.0,2023-12-10,@,Iowa,REG (Conf),W,90.0,80.0,,29.0,60.0,0.483,9.0,24.0,0.375,20.0,36.0,0.556,0.558,23.0,28.0,0.821,11.0,26.0,37.0,17.0,5.0,6.0,12.0,16.0,28.0,64.0,0.438,5.0,20.0,0.25,23.0,44.0,0.523,0.477,19.0,25.0,0.76,7.0,20.0,27.0,16.0,9.0,3.0,9.0,15.0,118.3,105.1,76.1,0.467,0.4,0.614,57.8,58.6,6.6,13.6,0.558,14.1,35.5,0.383,0.477,10.6,21.2,0.297
