Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Northern Kentucky,REG (Non-Conf),W,74.0,57.0,,25.0,59.0,0.424,10.0,27.0,0.37,15.0,32.0,0.469,0.508,14.0,17.0,0.824,9.0,19.0,28.0,12.0,10.0,4.0,11.0,18.0,22.0,51.0,0.431,3.0,14.0,0.214,19.0,37.0,0.514,0.461,10.0,17.0,0.588,9.0,21.0,30.0,9.0,7.0,3.0,18.0,20.0,107.9,83.1,68.6,0.288,0.458,0.552,48.3,48.0,14.6,10.8,0.508,14.1,30.0,0.237,0.461,23.4,32.1,0.196
2.0,2.0,2023-11-09,,Stephen F. Austin,REG (Non-Conf),W,67.0,62.0,OT,20.0,56.0,0.357,4.0,14.0,0.286,16.0,42.0,0.381,0.393,23.0,33.0,0.697,13.0,22.0,35.0,5.0,11.0,4.0,17.0,13.0,25.0,54.0,0.463,5.0,14.0,0.357,20.0,40.0,0.5,0.509,7.0,8.0,0.875,3.0,23.0,26.0,13.0,9.0,4.0,20.0,27.0,89.1,82.4,66.9,0.589,0.25,0.467,57.4,25.0,14.6,10.0,0.393,19.2,36.1,0.411,0.509,25.7,12.0,0.13
3.0,3.0,2023-11-13,,Western Carolina,REG (Non-Conf),L,64.0,66.0,,24.0,58.0,0.414,3.0,13.0,0.231,21.0,45.0,0.467,0.44,13.0,25.0,0.52,11.0,24.0,35.0,3.0,1.0,4.0,7.0,20.0,24.0,58.0,0.414,2.0,10.0,0.2,22.0,48.0,0.458,0.431,16.0,22.0,0.727,8.0,30.0,38.0,9.0,3.0,2.0,4.0,21.0,98.2,101.3,65.2,0.431,0.224,0.458,47.9,12.5,1.5,8.3,0.44,9.1,26.8,0.224,0.431,5.5,25.0,0.276
4.0,4.0,2023-11-18,,Milligan,REG (Non-Conf),W,88.0,62.0,,32.0,64.0,0.5,8.0,24.0,0.333,24.0,40.0,0.6,0.563,16.0,21.0,0.762,16.0,29.0,45.0,16.0,9.0,5.0,17.0,15.0,24.0,62.0,0.387,5.0,26.0,0.192,19.0,36.0,0.528,0.427,9.0,16.0,0.563,8.0,15.0,23.0,10.0,9.0,2.0,13.0,19.0,117.7,82.9,74.8,0.328,0.375,0.595,66.2,50.0,12.0,13.9,0.563,18.7,51.6,0.25,0.427,15.7,21.6,0.145
5.0,5.0,2023-11-21,,UAB,REG (Non-Conf),L,57.0,58.0,,23.0,59.0,0.39,4.0,21.0,0.19,19.0,38.0,0.5,0.424,7.0,14.0,0.5,9.0,23.0,32.0,11.0,4.0,9.0,8.0,16.0,22.0,53.0,0.415,1.0,11.0,0.091,21.0,42.0,0.5,0.425,13.0,20.0,0.65,10.0,26.0,36.0,7.0,5.0,7.0,8.0,14.0,91.1,92.7,62.6,0.237,0.356,0.434,47.1,47.8,6.4,21.4,0.424,10.9,25.7,0.119,0.425,11.3,30.3,0.245
6.0,6.0,2023-11-24,N,Illinois–Chicago,REG (Non-Conf),L,40.0,70.0,,15.0,52.0,0.288,4.0,20.0,0.2,11.0,32.0,0.344,0.327,6.0,9.0,0.667,9.0,15.0,24.0,5.0,6.0,1.0,20.0,9.0,30.0,57.0,0.526,7.0,19.0,0.368,23.0,38.0,0.605,0.588,3.0,6.0,0.5,9.0,22.0,31.0,13.0,10.0,8.0,12.0,16.0,61.5,107.6,65.1,0.173,0.385,0.355,43.6,33.3,9.2,2.6,0.327,26.2,29.0,0.115,0.588,16.7,37.5,0.053
7.0,7.0,2023-11-25,N,Ohio,REG (Non-Conf),L,68.0,80.0,,23.0,52.0,0.442,6.0,26.0,0.231,17.0,26.0,0.654,0.5,16.0,20.0,0.8,10.0,14.0,24.0,10.0,4.0,3.0,13.0,13.0,32.0,54.0,0.593,9.0,22.0,0.409,23.0,32.0,0.719,0.676,7.0,10.0,0.7,5.0,17.0,22.0,16.0,3.0,0.0,10.0,19.0,106.0,124.8,64.1,0.385,0.5,0.553,52.2,43.5,6.2,9.4,0.5,17.4,37.0,0.308,0.676,14.5,26.3,0.13
8.0,8.0,2023-11-26,N,Kansas City,REG (Non-Conf),W,63.0,59.0,,20.0,46.0,0.435,6.0,20.0,0.3,14.0,26.0,0.538,0.5,17.0,24.0,0.708,6.0,17.0,23.0,9.0,7.0,6.0,13.0,12.0,23.0,52.0,0.442,7.0,19.0,0.368,16.0,33.0,0.485,0.51,6.0,11.0,0.545,7.0,21.0,28.0,12.0,6.0,5.0,12.0,22.0,99.5,93.2,63.3,0.522,0.435,0.549,45.1,45.0,11.1,18.2,0.5,18.5,22.2,0.37,0.51,17.3,29.2,0.115
9.0,9.0,2023-12-02,,Wofford,REG (Non-Conf),L,64.0,74.0,OT,24.0,63.0,0.381,7.0,29.0,0.241,17.0,34.0,0.5,0.437,9.0,12.0,0.75,10.0,23.0,33.0,11.0,6.0,4.0,13.0,17.0,29.0,58.0,0.5,5.0,15.0,0.333,24.0,43.0,0.558,0.543,11.0,20.0,0.55,6.0,27.0,33.0,14.0,4.0,3.0,13.0,14.0,87.6,101.2,65.0,0.19,0.46,0.466,50.0,45.8,8.2,9.3,0.437,15.9,27.0,0.143,0.543,16.1,20.7,0.19
10.0,10.0,2023-12-05,,Missouri State,REG (Non-Conf),W,77.0,73.0,OT,28.0,72.0,0.389,12.0,36.0,0.333,16.0,36.0,0.444,0.472,9.0,17.0,0.529,12.0,23.0,35.0,13.0,7.0,6.0,6.0,14.0,24.0,59.0,0.407,8.0,26.0,0.308,16.0,33.0,0.485,0.475,17.0,19.0,0.895,7.0,30.0,37.0,7.0,2.0,2.0,11.0,18.0,105.4,99.9,64.9,0.236,0.5,0.481,48.6,46.4,9.6,18.2,0.472,7.0,28.6,0.125,0.475,13.9,23.3,0.288
11.0,11.0,2023-12-09,,Belmont,REG (Non-Conf),L,65.0,75.0,,22.0,55.0,0.4,7.0,23.0,0.304,15.0,32.0,0.469,0.464,14.0,23.0,0.609,8.0,19.0,27.0,12.0,6.0,5.0,12.0,14.0,29.0,54.0,0.537,6.0,12.0,0.5,23.0,42.0,0.548,0.593,11.0,16.0,0.688,5.0,23.0,28.0,13.0,9.0,1.0,9.0,18.0,95.9,110.7,67.8,0.418,0.418,0.493,49.1,54.5,8.9,11.9,0.464,15.4,25.8,0.255,0.593,12.7,20.8,0.204
12.0,12.0,2023-12-19,@,St. Mary's (CA),REG (Non-Conf),L,34.0,71.0,,12.0,43.0,0.279,3.0,11.0,0.273,9.0,32.0,0.281,0.314,7.0,16.0,0.438,4.0,14.0,18.0,6.0,4.0,7.0,17.0,12.0,28.0,67.0,0.418,5.0,20.0,0.25,23.0,47.0,0.489,0.455,10.0,12.0,0.833,17.0,24.0,41.0,13.0,9.0,3.0,9.0,12.0,53.0,110.7,64.2,0.372,0.256,0.336,30.5,50.0,6.2,14.9,0.314,25.1,14.3,0.163,0.455,11.0,54.8,0.149
13.0,13.0,2023-12-22,@,Southern Utah,REG (Non-Conf),L,63.0,69.0,,29.0,57.0,0.509,4.0,17.0,0.235,25.0,40.0,0.625,0.544,1.0,1.0,1.0,9.0,29.0,38.0,13.0,1.0,4.0,16.0,20.0,26.0,69.0,0.377,6.0,23.0,0.261,20.0,46.0,0.435,0.42,11.0,17.0,0.647,11.0,17.0,28.0,10.0,5.0,6.0,3.0,9.0,94.3,103.3,66.8,0.018,0.298,0.548,57.6,44.8,1.5,8.7,0.544,21.8,34.6,0.018,0.42,3.7,27.5,0.159
14.0,14.0,2023-12-30,@,Murray State,REG (Non-Conf),L,54.0,75.0,,20.0,52.0,0.385,5.0,24.0,0.208,15.0,28.0,0.536,0.433,9.0,17.0,0.529,8.0,24.0,32.0,10.0,4.0,2.0,17.0,14.0,26.0,60.0,0.433,8.0,19.0,0.421,18.0,41.0,0.439,0.5,15.0,19.0,0.789,8.0,27.0,35.0,13.0,10.0,2.0,9.0,15.0,77.6,107.8,69.6,0.327,0.462,0.449,47.8,50.0,5.8,4.9,0.433,22.1,22.9,0.173,0.5,11.5,25.0,0.25
15.0,15.0,2024-01-03,,Reinhardt,REG (Non-Conf),W,84.0,47.0,,33.0,66.0,0.5,9.0,29.0,0.31,24.0,37.0,0.649,0.568,9.0,13.0,0.692,12.0,26.0,38.0,17.0,12.0,5.0,10.0,17.0,16.0,53.0,0.302,5.0,19.0,0.263,11.0,34.0,0.324,0.349,10.0,16.0,0.625,10.0,22.0,32.0,9.0,3.0,2.0,21.0,13.0,118.5,66.3,70.9,0.197,0.439,0.582,54.3,51.5,16.9,14.7,0.568,12.2,35.3,0.136,0.349,25.7,27.8,0.189
16.0,16.0,2024-01-11,,Louisiana Tech,REG (Conf),L,52.0,60.0,,21.0,54.0,0.389,5.0,22.0,0.227,16.0,32.0,0.5,0.435,5.0,7.0,0.714,6.0,23.0,29.0,4.0,7.0,5.0,18.0,18.0,19.0,52.0,0.365,8.0,19.0,0.421,11.0,33.0,0.333,0.442,14.0,18.0,0.778,10.0,19.0,29.0,8.0,11.0,4.0,12.0,9.0,78.9,91.0,65.9,0.13,0.407,0.454,50.0,19.0,10.6,15.2,0.435,23.9,24.0,0.093,0.442,16.5,30.3,0.269
17.0,17.0,2024-01-13,,Sam Houston State,REG (Conf),L,51.0,60.0,,16.0,50.0,0.32,6.0,23.0,0.261,10.0,27.0,0.37,0.38,13.0,18.0,0.722,8.0,24.0,32.0,5.0,4.0,5.0,10.0,16.0,21.0,60.0,0.35,3.0,18.0,0.167,18.0,42.0,0.429,0.375,15.0,16.0,0.938,16.0,25.0,41.0,2.0,3.0,2.0,11.0,17.0,82.8,97.4,61.6,0.36,0.46,0.436,43.8,31.3,6.5,11.9,0.38,14.6,24.2,0.26,0.375,14.0,40.0,0.25
18.0,18.0,2024-01-18,@,UTEP,REG (Conf),L,59.0,73.0,,22.0,47.0,0.468,4.0,22.0,0.182,18.0,25.0,0.72,0.511,11.0,18.0,0.611,11.0,21.0,32.0,10.0,6.0,3.0,27.0,20.0,23.0,48.0,0.479,6.0,14.0,0.429,17.0,34.0,0.5,0.542,21.0,29.0,0.724,4.0,15.0,19.0,7.0,16.0,4.0,13.0,18.0,82.9,102.6,71.2,0.383,0.468,0.531,62.7,45.5,8.4,8.8,0.511,32.7,42.3,0.234,0.542,17.4,16.0,0.438
19.0,19.0,2024-01-20,@,New Mexico State,REG (Conf),L,62.0,73.0,,20.0,58.0,0.345,10.0,33.0,0.303,10.0,25.0,0.4,0.431,12.0,18.0,0.667,9.0,25.0,34.0,11.0,7.0,3.0,13.0,20.0,23.0,55.0,0.418,9.0,21.0,0.429,14.0,34.0,0.412,0.5,18.0,26.0,0.692,8.0,29.0,37.0,12.0,5.0,3.0,8.0,14.0,89.9,105.9,69.0,0.31,0.569,0.466,47.9,55.0,10.2,8.8,0.431,16.3,23.7,0.207,0.5,10.6,24.2,0.327
20.0,20.0,2024-01-24,,Jacksonville State,REG (Conf),W,75.0,67.0,,25.0,56.0,0.446,9.0,19.0,0.474,16.0,37.0,0.432,0.527,16.0,20.0,0.8,12.0,21.0,33.0,10.0,8.0,7.0,15.0,16.0,26.0,61.0,0.426,4.0,14.0,0.286,22.0,47.0,0.468,0.459,11.0,15.0,0.733,9.0,17.0,26.0,7.0,8.0,4.0,13.0,17.0,106.7,95.3,70.3,0.357,0.339,0.573,55.9,40.0,11.4,14.9,0.527,18.6,41.4,0.286,0.459,16.0,30.0,0.18
21.0,21.0,2024-01-27,,Florida International,REG (Conf),W,79.0,61.0,,25.0,53.0,0.472,10.0,22.0,0.455,15.0,31.0,0.484,0.566,19.0,22.0,0.864,11.0,22.0,33.0,14.0,6.0,4.0,16.0,12.0,24.0,58.0,0.414,7.0,23.0,0.304,17.0,35.0,0.486,0.474,6.0,8.0,0.75,12.0,17.0,29.0,12.0,9.0,3.0,15.0,19.0,118.6,91.6,66.6,0.415,0.415,0.623,53.2,56.0,9.0,11.4,0.566,20.1,39.3,0.358,0.474,19.5,35.3,0.103
22.0,22.0,2024-02-03,@,Western Kentucky,REG (Conf),L,65.0,88.0,,22.0,66.0,0.333,11.0,42.0,0.262,11.0,24.0,0.458,0.417,10.0,12.0,0.833,8.0,23.0,31.0,8.0,2.0,5.0,11.0,15.0,31.0,62.0,0.5,8.0,19.0,0.421,23.0,43.0,0.535,0.565,18.0,22.0,0.818,7.0,28.0,35.0,14.0,3.0,2.0,9.0,13.0,87.2,118.0,74.6,0.182,0.636,0.453,47.0,36.4,2.7,11.6,0.417,13.3,22.2,0.152,0.565,11.0,23.3,0.29
23.0,23.0,2024-02-08,@,Liberty,REG (Conf),L,53.0,88.0,,21.0,58.0,0.362,6.0,20.0,0.3,15.0,38.0,0.395,0.414,5.0,13.0,0.385,4.0,19.0,23.0,6.0,4.0,4.0,9.0,16.0,35.0,62.0,0.565,7.0,13.0,0.538,28.0,49.0,0.571,0.621,11.0,17.0,0.647,5.0,30.0,35.0,20.0,2.0,4.0,6.0,13.0,75.6,125.5,70.1,0.224,0.345,0.413,39.7,28.6,5.7,8.2,0.414,12.3,11.8,0.086,0.621,7.9,20.8,0.177
24.0,24.0,2024-02-10,@,Florida International,REG (Conf),W,68.0,66.0,,23.0,52.0,0.442,5.0,15.0,0.333,18.0,37.0,0.486,0.49,17.0,29.0,0.586,10.0,28.0,38.0,7.0,5.0,4.0,17.0,14.0,27.0,69.0,0.391,5.0,21.0,0.238,22.0,48.0,0.458,0.428,7.0,11.0,0.636,10.0,22.0,32.0,9.0,10.0,4.0,7.0,23.0,94.4,91.7,72.0,0.558,0.288,0.517,54.3,30.4,6.9,8.3,0.49,20.5,31.3,0.327,0.428,8.6,26.3,0.101
25.0,25.0,2024-02-15,,New Mexico State,REG (Conf),W,76.0,69.0,,24.0,52.0,0.462,9.0,27.0,0.333,15.0,25.0,0.6,0.548,19.0,23.0,0.826,6.0,24.0,30.0,9.0,4.0,2.0,7.0,10.0,30.0,63.0,0.476,3.0,13.0,0.231,27.0,50.0,0.54,0.5,6.0,11.0,0.545,10.0,21.0,31.0,8.0,3.0,4.0,7.0,21.0,117.7,106.9,64.6,0.442,0.519,0.604,49.2,37.5,6.2,4.0,0.548,10.0,22.2,0.365,0.5,9.3,29.4,0.095
