Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Wis.-Stout,REG (Non-Conf),W,91.0,73.0,,32.0,73.0,0.438,11.0,35.0,0.314,21.0,38.0,0.553,0.514,16.0,30.0,0.533,21.0,27.0,48.0,19.0,9.0,4.0,11.0,18.0,26.0,61.0,0.426,8.0,20.0,0.4,18.0,41.0,0.439,0.492,13.0,22.0,0.591,5.0,24.0,29.0,18.0,7.0,3.0,12.0,22.0,116.9,93.8,77.9,0.411,0.479,0.521,62.3,59.4,11.6,9.8,0.514,11.2,46.7,0.219,0.492,14.4,15.6,0.213
2.0,2.0,2023-11-11,@,Providence,REG (Non-Conf),L,69.0,79.0,,23.0,61.0,0.377,3.0,17.0,0.176,20.0,44.0,0.455,0.402,20.0,23.0,0.87,11.0,24.0,35.0,7.0,8.0,3.0,13.0,21.0,26.0,66.0,0.394,10.0,31.0,0.323,16.0,35.0,0.457,0.47,17.0,26.0,0.654,17.0,25.0,42.0,18.0,10.0,11.0,10.0,15.0,95.0,108.8,72.6,0.377,0.279,0.48,45.5,30.4,11.0,8.6,0.402,15.3,30.6,0.328,0.47,11.3,41.5,0.258
3.0,3.0,2023-11-14,@,Colorado,REG (Non-Conf),L,79.0,106.0,,27.0,73.0,0.37,11.0,34.0,0.324,16.0,39.0,0.41,0.445,14.0,18.0,0.778,16.0,16.0,32.0,12.0,6.0,2.0,12.0,19.0,37.0,63.0,0.587,13.0,20.0,0.65,24.0,43.0,0.558,0.69,19.0,24.0,0.792,8.0,29.0,37.0,25.0,7.0,5.0,11.0,14.0,102.0,136.8,77.5,0.247,0.466,0.484,46.4,44.4,7.7,4.7,0.445,12.8,35.6,0.192,0.69,12.9,33.3,0.302
4.0,4.0,2023-11-17,,Luther,REG (Non-Conf),W,85.0,56.0,,30.0,75.0,0.4,10.0,31.0,0.323,20.0,44.0,0.455,0.467,15.0,23.0,0.652,9.0,27.0,36.0,18.0,15.0,6.0,3.0,17.0,19.0,50.0,0.38,7.0,17.0,0.412,12.0,33.0,0.364,0.45,11.0,18.0,0.611,4.0,37.0,41.0,11.0,3.0,2.0,24.0,18.0,107.3,70.7,79.2,0.307,0.413,0.495,46.8,60.0,18.9,18.2,0.467,3.4,19.6,0.2,0.45,29.1,12.9,0.22
5.0,5.0,2023-11-20,N,Stetson,REG (Non-Conf),L,67.0,85.0,,25.0,70.0,0.357,10.0,34.0,0.294,15.0,36.0,0.417,0.429,7.0,12.0,0.583,15.0,14.0,29.0,11.0,6.0,5.0,7.0,13.0,33.0,60.0,0.55,10.0,24.0,0.417,23.0,36.0,0.639,0.633,9.0,9.0,1.0,10.0,28.0,38.0,22.0,6.0,4.0,11.0,15.0,100.8,127.8,66.5,0.171,0.486,0.443,43.3,44.0,9.0,13.9,0.429,8.5,34.9,0.1,0.633,14.6,41.7,0.15
6.0,6.0,2023-11-21,N,Siena,REG (Non-Conf),W,61.0,59.0,,21.0,59.0,0.356,8.0,28.0,0.286,13.0,31.0,0.419,0.424,11.0,15.0,0.733,11.0,19.0,30.0,10.0,10.0,3.0,9.0,14.0,24.0,57.0,0.421,5.0,18.0,0.278,19.0,39.0,0.487,0.465,6.0,15.0,0.4,13.0,27.0,40.0,11.0,4.0,5.0,15.0,17.0,93.7,90.6,65.1,0.254,0.475,0.461,42.9,47.6,15.4,7.7,0.424,12.0,28.9,0.186,0.465,19.0,40.6,0.105
7.0,7.0,2023-11-25,,Southern Mississippi,REG (Non-Conf),L,84.0,90.0,,28.0,61.0,0.459,11.0,31.0,0.355,17.0,30.0,0.567,0.549,17.0,21.0,0.81,12.0,18.0,30.0,16.0,5.0,5.0,12.0,16.0,31.0,61.0,0.508,12.0,23.0,0.522,19.0,38.0,0.5,0.607,16.0,20.0,0.8,13.0,20.0,33.0,15.0,10.0,8.0,12.0,17.0,119.6,128.1,70.2,0.344,0.508,0.592,47.6,57.1,7.1,13.2,0.549,14.5,37.5,0.279,0.607,14.5,41.9,0.262
8.0,8.0,2023-12-02,@,Green Bay,REG (Conf),L,58.0,70.0,,22.0,49.0,0.449,5.0,19.0,0.263,17.0,30.0,0.567,0.5,9.0,18.0,0.5,10.0,19.0,29.0,5.0,8.0,6.0,13.0,17.0,23.0,49.0,0.469,12.0,26.0,0.462,11.0,23.0,0.478,0.592,12.0,15.0,0.8,7.0,21.0,28.0,16.0,5.0,2.0,13.0,16.0,94.6,114.1,61.3,0.367,0.388,0.504,50.9,22.7,13.0,26.1,0.5,18.4,32.3,0.184,0.592,18.8,26.9,0.245
9.0,9.0,2023-12-06,@,St. Thomas,REG (Non-Conf),L,71.0,75.0,,25.0,58.0,0.431,9.0,26.0,0.346,16.0,32.0,0.5,0.509,12.0,18.0,0.667,12.0,17.0,29.0,17.0,4.0,4.0,11.0,26.0,22.0,54.0,0.407,7.0,29.0,0.241,15.0,25.0,0.6,0.472,24.0,30.0,0.8,10.0,20.0,30.0,9.0,6.0,5.0,7.0,15.0,108.6,114.7,65.4,0.31,0.448,0.533,49.2,68.0,6.1,16.0,0.509,14.2,37.5,0.207,0.472,9.3,37.0,0.444
10.0,10.0,2023-12-09,@,UC Davis,REG (Non-Conf),W,81.0,79.0,,31.0,53.0,0.585,6.0,19.0,0.316,25.0,34.0,0.735,0.642,13.0,17.0,0.765,4.0,23.0,27.0,13.0,3.0,3.0,16.0,23.0,26.0,58.0,0.448,3.0,18.0,0.167,23.0,40.0,0.575,0.474,24.0,31.0,0.774,9.0,14.0,23.0,11.0,8.0,4.0,12.0,17.0,108.9,106.2,74.4,0.321,0.358,0.663,54.0,41.9,4.0,7.5,0.642,20.8,22.2,0.245,0.474,14.2,28.1,0.414
11.0,11.0,2023-12-13,,Longwood,REG (Non-Conf),L,67.0,80.0,,26.0,63.0,0.413,8.0,26.0,0.308,18.0,37.0,0.486,0.476,7.0,10.0,0.7,10.0,17.0,27.0,12.0,6.0,4.0,12.0,18.0,31.0,60.0,0.517,7.0,13.0,0.538,24.0,47.0,0.511,0.575,11.0,19.0,0.579,12.0,22.0,34.0,18.0,8.0,4.0,9.0,14.0,98.7,117.8,67.9,0.159,0.413,0.494,44.3,46.2,8.8,8.5,0.476,15.0,31.3,0.111,0.575,11.5,41.4,0.183
12.0,12.0,2023-12-22,,Chattanooga,REG (Non-Conf),W,85.0,83.0,OT,24.0,67.0,0.358,11.0,34.0,0.324,13.0,33.0,0.394,0.44,26.0,37.0,0.703,14.0,30.0,44.0,14.0,3.0,6.0,11.0,13.0,31.0,75.0,0.413,11.0,36.0,0.306,20.0,39.0,0.513,0.487,10.0,13.0,0.769,10.0,31.0,41.0,16.0,7.0,7.0,6.0,25.0,107.1,104.6,70.6,0.552,0.507,0.503,51.8,58.3,3.8,15.4,0.44,11.5,31.1,0.388,0.487,6.9,25.0,0.133
13.0,13.0,2023-12-29,,Robert Morris,REG (Conf),W,78.0,75.0,,26.0,55.0,0.473,5.0,18.0,0.278,21.0,37.0,0.568,0.518,21.0,30.0,0.7,10.0,23.0,33.0,7.0,7.0,8.0,12.0,17.0,26.0,66.0,0.394,8.0,25.0,0.32,18.0,41.0,0.439,0.455,15.0,17.0,0.882,14.0,21.0,35.0,12.0,7.0,2.0,15.0,22.0,106.6,102.5,73.2,0.545,0.327,0.563,48.5,26.9,9.6,19.5,0.518,14.8,32.3,0.382,0.455,16.8,37.8,0.227
