Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Bethune-Cookman,REG (Non-Conf),W,80.0,60.0,,24.0,46.0,0.522,5.0,17.0,0.294,19.0,29.0,0.655,0.576,27.0,35.0,0.771,7.0,26.0,33.0,17.0,9.0,4.0,17.0,16.0,23.0,70.0,0.329,4.0,18.0,0.222,19.0,52.0,0.365,0.357,10.0,14.0,0.714,18.0,15.0,33.0,9.0,13.0,3.0,13.0,29.0,110.9,83.2,72.1,0.761,0.37,0.639,50.0,70.8,12.5,7.7,0.576,21.4,31.8,0.587,0.357,14.5,40.9,0.143
2.0,2.0,2023-11-10,,UTSA,REG (Non-Conf),W,102.0,76.0,,30.0,55.0,0.545,14.0,29.0,0.483,16.0,26.0,0.615,0.673,28.0,34.0,0.824,6.0,33.0,39.0,21.0,7.0,6.0,11.0,19.0,29.0,71.0,0.408,9.0,22.0,0.409,20.0,49.0,0.408,0.472,9.0,16.0,0.563,8.0,18.0,26.0,14.0,7.0,1.0,10.0,22.0,130.1,97.0,78.4,0.618,0.527,0.717,60.0,70.0,8.9,12.2,0.673,13.4,25.0,0.509,0.472,11.3,19.5,0.127
3.0,3.0,2023-11-16,,Missouri,REG (Non-Conf),L,68.0,70.0,,24.0,58.0,0.414,8.0,23.0,0.348,16.0,35.0,0.457,0.483,12.0,17.0,0.706,14.0,28.0,42.0,16.0,3.0,7.0,15.0,13.0,28.0,63.0,0.444,8.0,23.0,0.348,20.0,40.0,0.5,0.508,6.0,8.0,0.75,6.0,18.0,24.0,14.0,10.0,7.0,7.0,14.0,100.8,103.8,67.4,0.293,0.397,0.515,63.6,66.7,4.4,17.5,0.483,18.5,43.8,0.207,0.508,9.5,17.6,0.095
4.0,4.0,2023-11-18,,USC Upstate,REG (Non-Conf),W,67.0,53.0,,23.0,58.0,0.397,5.0,23.0,0.217,18.0,35.0,0.514,0.44,16.0,19.0,0.842,5.0,32.0,37.0,16.0,2.0,8.0,10.0,14.0,21.0,62.0,0.339,6.0,21.0,0.286,15.0,41.0,0.366,0.387,5.0,11.0,0.455,6.0,26.0,32.0,12.0,7.0,3.0,9.0,17.0,94.2,74.5,71.1,0.328,0.397,0.5,53.6,69.6,2.8,19.5,0.44,13.0,16.1,0.276,0.387,11.8,15.8,0.081
5.0,5.0,2023-11-21,,Arkansas–Pine Bluff,REG (Non-Conf),W,86.0,67.0,,31.0,69.0,0.449,11.0,36.0,0.306,20.0,33.0,0.606,0.529,13.0,18.0,0.722,12.0,29.0,41.0,24.0,9.0,5.0,14.0,18.0,21.0,58.0,0.362,8.0,23.0,0.348,13.0,35.0,0.371,0.431,17.0,21.0,0.81,7.0,21.0,28.0,11.0,11.0,3.0,14.0,20.0,111.3,86.7,77.3,0.261,0.522,0.554,59.4,77.4,11.6,14.3,0.529,15.3,36.4,0.188,0.431,17.1,19.4,0.293
6.0,6.0,2023-11-26,N,San Francisco,REG (Non-Conf),L,58.0,76.0,,22.0,50.0,0.44,4.0,15.0,0.267,18.0,35.0,0.514,0.48,10.0,15.0,0.667,9.0,20.0,29.0,11.0,3.0,1.0,17.0,10.0,33.0,63.0,0.524,4.0,14.0,0.286,29.0,49.0,0.592,0.556,6.0,8.0,0.75,11.0,17.0,28.0,13.0,14.0,3.0,5.0,14.0,92.1,120.7,63.0,0.3,0.3,0.508,50.9,50.0,4.8,2.0,0.48,22.9,34.6,0.2,0.556,7.0,35.5,0.095
7.0,7.0,2023-11-30,,New Orleans,REG (Non-Conf),W,97.0,64.0,,38.0,64.0,0.594,8.0,22.0,0.364,30.0,42.0,0.714,0.656,13.0,23.0,0.565,9.0,29.0,38.0,27.0,5.0,6.0,11.0,22.0,22.0,61.0,0.361,1.0,11.0,0.091,21.0,50.0,0.42,0.369,19.0,23.0,0.826,9.0,18.0,27.0,9.0,8.0,3.0,10.0,19.0,129.5,85.4,74.9,0.359,0.344,0.647,58.5,71.1,6.7,12.0,0.656,12.8,33.3,0.203,0.369,12.2,23.7,0.311
8.0,8.0,2023-12-03,@,Ohio State,REG (Conf),L,74.0,84.0,,28.0,58.0,0.483,4.0,14.0,0.286,24.0,44.0,0.545,0.517,14.0,20.0,0.7,9.0,16.0,25.0,13.0,9.0,2.0,13.0,22.0,26.0,52.0,0.5,9.0,17.0,0.529,17.0,35.0,0.486,0.587,23.0,28.0,0.821,10.0,22.0,32.0,11.0,8.0,7.0,14.0,18.0,105.1,119.3,70.4,0.345,0.241,0.548,43.9,46.4,12.8,5.7,0.517,16.1,29.0,0.241,0.587,17.7,38.5,0.442
9.0,9.0,2023-12-06,,Nebraska,REG (Conf),W,76.0,65.0,,25.0,53.0,0.472,8.0,25.0,0.32,17.0,28.0,0.607,0.547,18.0,29.0,0.621,10.0,18.0,28.0,18.0,10.0,7.0,16.0,9.0,24.0,53.0,0.453,5.0,18.0,0.278,19.0,35.0,0.543,0.5,12.0,15.0,0.8,9.0,19.0,28.0,15.0,7.0,1.0,18.0,21.0,107.1,91.6,71.0,0.547,0.472,0.569,50.0,72.0,14.1,20.0,0.547,19.3,34.5,0.34,0.5,23.0,33.3,0.226
10.0,10.0,2023-12-09,,Florida Gulf Coast,REG (Non-Conf),W,77.0,57.0,,31.0,68.0,0.456,10.0,28.0,0.357,21.0,40.0,0.525,0.529,5.0,5.0,1.0,9.0,25.0,34.0,23.0,7.0,4.0,6.0,12.0,20.0,50.0,0.4,6.0,10.0,0.6,14.0,40.0,0.35,0.46,11.0,15.0,0.733,7.0,22.0,29.0,11.0,3.0,1.0,14.0,9.0,117.1,86.7,65.8,0.074,0.412,0.547,54.0,74.2,10.6,10.0,0.529,7.9,29.0,0.074,0.46,19.7,21.9,0.22
11.0,11.0,2023-12-12,,IUPUI,REG (Non-Conf),W,101.0,65.0,,42.0,67.0,0.627,14.0,28.0,0.5,28.0,39.0,0.718,0.731,3.0,5.0,0.6,7.0,30.0,37.0,31.0,7.0,5.0,9.0,15.0,27.0,64.0,0.422,3.0,13.0,0.231,24.0,51.0,0.471,0.445,8.0,14.0,0.571,5.0,16.0,21.0,14.0,6.0,1.0,10.0,9.0,137.4,88.4,73.5,0.075,0.418,0.728,63.8,73.8,9.5,9.8,0.731,11.5,30.4,0.045,0.445,12.4,14.3,0.125
12.0,12.0,2023-12-21,,Ball State,REG (Non-Conf),W,80.0,63.0,,30.0,57.0,0.526,8.0,18.0,0.444,22.0,39.0,0.564,0.596,12.0,22.0,0.545,8.0,23.0,31.0,22.0,7.0,3.0,6.0,15.0,24.0,53.0,0.453,8.0,21.0,0.381,16.0,32.0,0.5,0.528,7.0,11.0,0.636,6.0,19.0,25.0,11.0,2.0,1.0,14.0,16.0,121.5,95.7,65.8,0.386,0.316,0.593,55.4,73.3,10.6,9.4,0.596,8.2,29.6,0.211,0.528,19.4,20.7,0.132
13.0,13.0,2023-12-29,,Maine,REG (Non-Conf),W,80.0,62.0,,29.0,57.0,0.509,11.0,24.0,0.458,18.0,33.0,0.545,0.605,11.0,19.0,0.579,6.0,24.0,30.0,23.0,8.0,5.0,10.0,13.0,26.0,59.0,0.441,5.0,19.0,0.263,21.0,40.0,0.525,0.483,5.0,6.0,0.833,6.0,22.0,28.0,16.0,4.0,2.0,13.0,19.0,115.2,89.3,69.4,0.333,0.421,0.606,51.7,79.3,11.5,12.5,0.605,13.2,21.4,0.193,0.483,17.4,20.0,0.085
14.0,14.0,2024-01-04,@,Michigan,REG (Conf),W,73.0,71.0,,29.0,61.0,0.475,10.0,24.0,0.417,19.0,37.0,0.514,0.557,5.0,9.0,0.556,12.0,19.0,31.0,17.0,7.0,6.0,9.0,18.0,24.0,58.0,0.414,6.0,19.0,0.316,18.0,39.0,0.462,0.466,17.0,22.0,0.773,11.0,22.0,33.0,9.0,5.0,5.0,9.0,14.0,113.4,110.3,64.4,0.148,0.393,0.559,48.4,58.6,10.9,15.4,0.557,12.1,35.3,0.082,0.466,11.6,36.7,0.293
15.0,15.0,2024-01-07,,Maryland,REG (Conf),W,65.0,62.0,,24.0,59.0,0.407,6.0,23.0,0.261,18.0,36.0,0.5,0.458,11.0,18.0,0.611,9.0,18.0,27.0,18.0,11.0,6.0,10.0,19.0,19.0,50.0,0.38,4.0,12.0,0.333,15.0,38.0,0.395,0.42,20.0,24.0,0.833,9.0,23.0,32.0,10.0,6.0,6.0,17.0,20.0,94.2,89.9,69.0,0.305,0.39,0.481,45.8,75.0,15.9,15.8,0.458,12.9,28.1,0.186,0.42,21.7,33.3,0.4
16.0,16.0,2024-01-12,@,Indiana,REG (Conf),L,62.0,74.0,,23.0,59.0,0.39,3.0,20.0,0.15,20.0,39.0,0.513,0.415,13.0,24.0,0.542,12.0,28.0,40.0,9.0,7.0,7.0,13.0,22.0,26.0,60.0,0.433,6.0,14.0,0.429,20.0,46.0,0.435,0.483,16.0,27.0,0.593,12.0,26.0,38.0,17.0,6.0,2.0,9.0,18.0,87.8,104.8,70.6,0.407,0.339,0.44,51.3,39.1,9.9,15.2,0.415,15.6,31.6,0.22,0.483,11.0,30.0,0.267
17.0,17.0,2024-01-15,,Iowa,REG (Conf),L,77.0,86.0,,28.0,58.0,0.483,5.0,29.0,0.172,23.0,29.0,0.793,0.526,16.0,24.0,0.667,6.0,21.0,27.0,20.0,8.0,2.0,11.0,16.0,35.0,65.0,0.538,3.0,13.0,0.231,32.0,52.0,0.615,0.562,13.0,16.0,0.813,8.0,27.0,35.0,23.0,9.0,2.0,10.0,19.0,103.4,115.4,74.5,0.414,0.5,0.555,43.5,71.4,10.7,3.8,0.526,13.7,18.2,0.276,0.562,12.1,27.6,0.2
18.0,18.0,2024-01-18,@,Michigan State,REG (Conf),L,66.0,76.0,,21.0,49.0,0.429,7.0,20.0,0.35,14.0,29.0,0.483,0.5,17.0,26.0,0.654,8.0,27.0,35.0,13.0,3.0,1.0,19.0,24.0,29.0,65.0,0.446,3.0,12.0,0.25,26.0,53.0,0.491,0.469,15.0,23.0,0.652,10.0,21.0,31.0,20.0,9.0,1.0,4.0,16.0,92.8,106.8,71.1,0.531,0.408,0.538,53.0,61.9,4.2,1.9,0.5,23.6,27.6,0.347,0.469,5.0,27.0,0.231
19.0,19.0,2024-01-23,,Wisconsin,REG (Conf),L,59.0,61.0,,22.0,58.0,0.379,10.0,24.0,0.417,12.0,34.0,0.353,0.466,5.0,13.0,0.385,7.0,21.0,28.0,15.0,5.0,7.0,9.0,14.0,23.0,54.0,0.426,7.0,17.0,0.412,16.0,37.0,0.432,0.491,8.0,10.0,0.8,5.0,24.0,29.0,14.0,5.0,5.0,10.0,13.0,90.8,93.9,65.0,0.224,0.414,0.46,49.1,68.2,7.7,18.9,0.466,12.3,22.6,0.086,0.491,14.5,19.2,0.148
20.0,20.0,2024-01-27,@,Penn State,REG (Conf),W,83.0,74.0,,28.0,52.0,0.538,4.0,14.0,0.286,24.0,38.0,0.632,0.577,23.0,26.0,0.885,7.0,24.0,31.0,18.0,3.0,4.0,11.0,16.0,28.0,62.0,0.452,5.0,19.0,0.263,23.0,43.0,0.535,0.492,13.0,18.0,0.722,7.0,14.0,21.0,14.0,9.0,4.0,7.0,20.0,119.5,106.6,69.5,0.5,0.269,0.645,59.6,64.3,4.3,9.3,0.577,14.6,33.3,0.442,0.492,9.0,22.6,0.21
21.0,21.0,2024-02-03,,Northwestern,REG (Conf),W,75.0,66.0,OT,26.0,56.0,0.464,7.0,23.0,0.304,19.0,33.0,0.576,0.527,16.0,21.0,0.762,6.0,25.0,31.0,19.0,8.0,6.0,12.0,19.0,21.0,55.0,0.382,11.0,23.0,0.478,10.0,32.0,0.313,0.482,13.0,20.0,0.65,8.0,25.0,33.0,13.0,6.0,6.0,17.0,22.0,103.1,90.7,64.7,0.375,0.411,0.568,48.4,73.1,11.0,18.8,0.527,15.4,19.4,0.286,0.482,20.9,24.2,0.236
22.0,22.0,2024-02-06,,Michigan State,REG (Conf),W,59.0,56.0,,19.0,44.0,0.432,9.0,23.0,0.391,10.0,21.0,0.476,0.534,12.0,19.0,0.632,3.0,23.0,26.0,11.0,3.0,2.0,11.0,12.0,21.0,47.0,0.447,7.0,18.0,0.389,14.0,29.0,0.483,0.521,7.0,17.0,0.412,2.0,23.0,25.0,16.0,6.0,2.0,8.0,13.0,96.6,91.7,61.1,0.432,0.523,0.556,51.0,57.9,4.9,6.9,0.534,17.2,11.5,0.273,0.521,12.7,8.0,0.149
23.0,23.0,2024-02-11,@,Iowa,REG (Conf),L,85.0,90.0,,30.0,64.0,0.469,12.0,26.0,0.462,18.0,38.0,0.474,0.563,13.0,19.0,0.684,11.0,22.0,33.0,21.0,7.0,4.0,10.0,22.0,31.0,65.0,0.477,5.0,15.0,0.333,26.0,50.0,0.52,0.515,23.0,28.0,0.821,11.0,25.0,36.0,14.0,7.0,6.0,7.0,11.0,116.2,123.0,73.2,0.297,0.406,0.582,47.8,70.0,9.6,8.0,0.563,12.0,30.6,0.203,0.515,8.2,33.3,0.354
24.0,24.0,2024-02-15,@,Purdue,REG (Conf),L,76.0,84.0,,26.0,59.0,0.441,12.0,25.0,0.48,14.0,34.0,0.412,0.542,12.0,16.0,0.75,7.0,18.0,25.0,19.0,5.0,3.0,5.0,20.0,28.0,59.0,0.475,9.0,19.0,0.474,19.0,40.0,0.475,0.551,19.0,32.0,0.594,15.0,27.0,42.0,21.0,5.0,1.0,9.0,13.0,114.5,126.5,66.4,0.271,0.424,0.571,37.3,73.1,7.5,7.5,0.542,7.0,20.6,0.203,0.551,10.8,45.5,0.322
25.0,25.0,2024-02-18,,Rutgers,REG (Conf),W,81.0,70.0,,25.0,49.0,0.51,8.0,16.0,0.5,17.0,33.0,0.515,0.592,23.0,34.0,0.676,9.0,25.0,34.0,20.0,4.0,8.0,13.0,19.0,24.0,62.0,0.387,4.0,19.0,0.211,20.0,43.0,0.465,0.419,18.0,22.0,0.818,10.0,19.0,29.0,16.0,10.0,5.0,7.0,21.0,116.9,101.0,69.3,0.694,0.327,0.622,54.0,80.0,5.8,18.6,0.592,16.6,32.1,0.469,0.419,8.8,28.6,0.29
26.0,26.0,2024-02-22,,Ohio State,REG (Conf),W,88.0,79.0,,28.0,56.0,0.5,8.0,19.0,0.421,20.0,37.0,0.541,0.571,24.0,31.0,0.774,10.0,18.0,28.0,17.0,6.0,3.0,8.0,17.0,29.0,57.0,0.509,7.0,22.0,0.318,22.0,35.0,0.629,0.57,14.0,18.0,0.778,7.0,16.0,23.0,12.0,5.0,4.0,9.0,23.0,129.2,115.9,68.1,0.554,0.339,0.622,54.9,60.7,8.8,8.6,0.571,10.2,38.5,0.429,0.57,12.1,28.0,0.246
