Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Louisiana State,REG (Non-Conf),L,60.0,106.0,,21.0,55.0,0.382,6.0,15.0,0.4,15.0,40.0,0.375,0.436,12.0,23.0,0.522,12.0,17.0,29.0,5.0,7.0,2.0,18.0,22.0,34.0,59.0,0.576,14.0,26.0,0.538,20.0,33.0,0.606,0.695,24.0,34.0,0.706,12.0,26.0,38.0,19.0,12.0,5.0,12.0,21.0,81.6,144.1,73.5,0.418,0.273,0.455,43.3,23.8,9.5,6.1,0.436,21.4,31.6,0.218,0.695,13.8,41.4,0.407
2.0,2.0,2023-11-10,@,Oklahoma,REG (Non-Conf),L,43.0,82.0,,17.0,53.0,0.321,1.0,8.0,0.125,16.0,45.0,0.356,0.33,8.0,14.0,0.571,4.0,16.0,20.0,6.0,7.0,2.0,11.0,16.0,29.0,63.0,0.46,9.0,31.0,0.29,20.0,32.0,0.625,0.532,15.0,20.0,0.75,18.0,31.0,49.0,17.0,6.0,4.0,11.0,14.0,65.1,124.1,66.1,0.264,0.151,0.36,29.0,35.3,10.6,6.3,0.33,15.6,11.4,0.151,0.532,13.2,52.9,0.238
3.0,3.0,2023-11-14,@,Connecticut,REG (Non-Conf),L,53.0,87.0,,19.0,59.0,0.322,1.0,9.0,0.111,18.0,50.0,0.36,0.331,14.0,21.0,0.667,11.0,13.0,24.0,7.0,7.0,1.0,11.0,26.0,29.0,53.0,0.547,11.0,28.0,0.393,18.0,25.0,0.72,0.651,18.0,30.0,0.6,12.0,24.0,36.0,20.0,4.0,3.0,12.0,20.0,77.8,127.7,68.1,0.356,0.153,0.384,40.0,36.8,10.3,4.0,0.331,13.8,31.4,0.237,0.651,15.1,48.0,0.34
4.0,4.0,2023-11-17,@,TCU,REG (Non-Conf),L,52.0,86.0,,20.0,52.0,0.385,3.0,11.0,0.273,17.0,41.0,0.415,0.413,9.0,15.0,0.6,8.0,17.0,25.0,7.0,6.0,1.0,19.0,19.0,30.0,56.0,0.536,6.0,17.0,0.353,24.0,39.0,0.615,0.589,20.0,30.0,0.667,10.0,23.0,33.0,21.0,15.0,4.0,10.0,16.0,74.1,122.5,70.2,0.288,0.212,0.44,43.1,35.0,8.5,2.6,0.413,24.3,25.8,0.173,0.589,12.5,37.0,0.357
5.0,5.0,2023-11-20,@,Santa Clara,REG (Non-Conf),L,39.0,81.0,,15.0,59.0,0.254,3.0,12.0,0.25,12.0,47.0,0.255,0.28,6.0,10.0,0.6,9.0,18.0,27.0,6.0,3.0,1.0,9.0,15.0,32.0,67.0,0.478,6.0,26.0,0.231,26.0,41.0,0.634,0.522,11.0,15.0,0.733,14.0,31.0,45.0,20.0,5.0,5.0,6.0,12.0,60.1,124.7,64.9,0.169,0.203,0.306,37.5,40.0,4.6,2.4,0.28,12.4,22.5,0.102,0.522,7.5,43.8,0.164
6.0,6.0,2023-11-24,@,Cal State Northridge,REG (Non-Conf),L,48.0,84.0,,15.0,42.0,0.357,7.0,18.0,0.389,8.0,24.0,0.333,0.44,11.0,18.0,0.611,1.0,15.0,16.0,11.0,4.0,1.0,20.0,27.0,26.0,58.0,0.448,3.0,16.0,0.188,23.0,42.0,0.548,0.474,29.0,37.0,0.784,14.0,26.0,40.0,17.0,12.0,1.0,13.0,23.0,66.6,116.6,72.1,0.429,0.429,0.475,28.6,73.3,5.6,2.4,0.44,28.3,3.7,0.262,0.474,14.7,48.3,0.5
7.0,7.0,2023-11-26,@,Pacific,REG (Non-Conf),L,65.0,68.0,OT,23.0,48.0,0.479,3.0,13.0,0.231,20.0,35.0,0.571,0.51,16.0,22.0,0.727,3.0,26.0,29.0,10.0,11.0,2.0,16.0,20.0,23.0,57.0,0.404,9.0,31.0,0.29,14.0,26.0,0.538,0.482,13.0,21.0,0.619,6.0,23.0,29.0,20.0,8.0,0.0,16.0,20.0,87.6,91.6,66.0,0.458,0.271,0.556,50.0,43.5,14.8,7.7,0.51,21.5,11.5,0.333,0.482,19.3,18.8,0.228
8.0,8.0,2023-12-02,@,North Texas,REG (Non-Conf),L,48.0,79.0,,18.0,52.0,0.346,3.0,8.0,0.375,15.0,44.0,0.341,0.375,9.0,13.0,0.692,9.0,17.0,26.0,5.0,5.0,0.0,13.0,13.0,29.0,54.0,0.537,10.0,23.0,0.435,19.0,31.0,0.613,0.63,11.0,14.0,0.786,11.0,22.0,33.0,13.0,7.0,2.0,8.0,17.0,80.1,131.9,59.9,0.25,0.154,0.413,44.1,27.8,8.3,0.0,0.375,18.3,29.0,0.173,0.63,11.7,39.3,0.204
9.0,9.0,2023-12-05,@,Liberty,REG (Non-Conf),L,39.0,74.0,,17.0,45.0,0.378,3.0,15.0,0.2,14.0,30.0,0.467,0.411,2.0,8.0,0.25,6.0,17.0,23.0,6.0,4.0,3.0,11.0,17.0,27.0,56.0,0.482,7.0,27.0,0.259,20.0,29.0,0.69,0.545,13.0,15.0,0.867,10.0,22.0,32.0,10.0,5.0,1.0,5.0,10.0,69.7,132.2,56.0,0.178,0.333,0.4,41.8,35.3,7.1,10.3,0.411,18.4,21.4,0.044,0.545,7.3,37.0,0.232
10.0,10.0,2023-12-11,@,Gonzaga,REG (Non-Conf),L,40.0,78.0,,16.0,55.0,0.291,4.0,15.0,0.267,12.0,40.0,0.3,0.327,4.0,10.0,0.4,13.0,20.0,33.0,8.0,7.0,1.0,16.0,19.0,27.0,57.0,0.474,5.0,24.0,0.208,22.0,33.0,0.667,0.518,19.0,28.0,0.679,13.0,27.0,40.0,21.0,11.0,6.0,8.0,14.0,62.5,121.8,64.0,0.182,0.273,0.335,45.2,50.0,10.9,3.0,0.327,21.1,32.5,0.073,0.518,10.2,39.4,0.333
