Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-08,N,Arizona State,REG (Non-Conf),W,71.0,56.0,,22.0,55.0,0.4,10.0,26.0,0.385,12.0,29.0,0.414,0.491,17.0,22.0,0.773,10.0,32.0,42.0,11.0,7.0,3.0,14.0,18.0,17.0,53.0,0.321,5.0,21.0,0.238,12.0,32.0,0.375,0.368,17.0,26.0,0.654,6.0,21.0,27.0,11.0,7.0,1.0,10.0,19.0,102.3,80.7,69.4,0.4,0.473,0.542,60.9,50.0,10.1,9.4,0.491,17.6,32.3,0.309,0.368,13.3,15.8,0.321
2.0,2.0,2023-11-11,,UT Martin,REG (Non-Conf),W,87.0,63.0,,27.0,66.0,0.409,13.0,39.0,0.333,14.0,27.0,0.519,0.508,20.0,26.0,0.769,11.0,31.0,42.0,17.0,7.0,9.0,9.0,18.0,21.0,63.0,0.333,3.0,25.0,0.12,18.0,38.0,0.474,0.357,18.0,25.0,0.72,11.0,25.0,36.0,10.0,9.0,2.0,10.0,18.0,115.8,83.9,75.1,0.394,0.591,0.555,53.8,63.0,9.3,23.7,0.508,10.3,30.6,0.303,0.357,11.8,26.2,0.286
3.0,3.0,2023-11-14,,North Alabama,REG (Non-Conf),W,81.0,54.0,,32.0,68.0,0.471,7.0,26.0,0.269,25.0,42.0,0.595,0.522,10.0,15.0,0.667,8.0,31.0,39.0,18.0,12.0,4.0,15.0,17.0,21.0,62.0,0.339,4.0,14.0,0.286,17.0,48.0,0.354,0.371,8.0,13.0,0.615,6.0,25.0,31.0,7.0,9.0,3.0,20.0,13.0,98.6,65.7,82.2,0.221,0.382,0.539,55.7,56.3,14.6,8.3,0.522,16.6,24.2,0.147,0.371,22.7,16.2,0.129
4.0,4.0,2023-11-18,N,Washington State,REG (Non-Conf),W,76.0,64.0,,25.0,57.0,0.439,5.0,19.0,0.263,20.0,38.0,0.526,0.482,21.0,25.0,0.84,5.0,28.0,33.0,7.0,10.0,2.0,8.0,13.0,24.0,59.0,0.407,7.0,23.0,0.304,17.0,36.0,0.472,0.466,9.0,12.0,0.75,7.0,23.0,30.0,14.0,4.0,4.0,12.0,19.0,107.4,90.4,70.8,0.439,0.333,0.552,52.4,28.0,14.1,5.6,0.482,10.4,17.9,0.368,0.466,15.6,20.0,0.153
5.0,5.0,2023-11-19,N,Northwestern,REG (Non-Conf),W,66.0,57.0,,23.0,49.0,0.469,8.0,23.0,0.348,15.0,26.0,0.577,0.551,12.0,17.0,0.706,8.0,28.0,36.0,15.0,3.0,5.0,15.0,12.0,23.0,61.0,0.377,6.0,26.0,0.231,17.0,35.0,0.486,0.426,5.0,7.0,0.714,6.0,19.0,25.0,9.0,9.0,3.0,8.0,19.0,101.2,87.4,65.2,0.347,0.469,0.578,59.0,65.2,4.6,14.3,0.551,20.8,29.6,0.245,0.426,11.1,17.6,0.082
6.0,6.0,2023-11-24,,Nicholls State,REG (Non-Conf),W,74.0,61.0,,26.0,61.0,0.426,5.0,23.0,0.217,21.0,38.0,0.553,0.467,17.0,27.0,0.63,17.0,28.0,45.0,18.0,9.0,2.0,17.0,16.0,21.0,54.0,0.389,6.0,20.0,0.3,15.0,34.0,0.441,0.444,13.0,20.0,0.65,8.0,20.0,28.0,8.0,14.0,3.0,14.0,20.0,103.3,85.1,71.7,0.443,0.377,0.501,61.6,69.2,12.6,5.9,0.467,18.7,45.9,0.279,0.444,18.1,22.2,0.241
7.0,7.0,2023-11-28,@,Georgia Tech,REG (Non-Conf),L,59.0,67.0,,20.0,65.0,0.308,7.0,30.0,0.233,13.0,35.0,0.371,0.362,12.0,16.0,0.75,13.0,26.0,39.0,5.0,8.0,2.0,11.0,19.0,21.0,61.0,0.344,8.0,27.0,0.296,13.0,34.0,0.382,0.41,17.0,23.0,0.739,11.0,31.0,42.0,8.0,7.0,5.0,11.0,20.0,82.8,94.0,71.3,0.246,0.462,0.406,48.1,25.0,11.2,5.9,0.362,13.2,29.5,0.185,0.41,13.3,29.7,0.279
8.0,8.0,2023-12-03,,Southern,REG (Non-Conf),L,59.0,60.0,,21.0,52.0,0.404,7.0,26.0,0.269,14.0,26.0,0.538,0.471,10.0,16.0,0.625,10.0,22.0,32.0,17.0,12.0,1.0,16.0,17.0,21.0,49.0,0.429,6.0,21.0,0.286,15.0,28.0,0.536,0.49,12.0,19.0,0.632,10.0,20.0,30.0,7.0,10.0,2.0,17.0,16.0,90.3,91.9,65.3,0.308,0.5,0.495,51.6,81.0,18.4,3.6,0.471,21.2,33.3,0.192,0.49,22.7,31.3,0.245
9.0,9.0,2023-12-09,N,Tulane,REG (Non-Conf),W,106.0,76.0,,41.0,70.0,0.586,13.0,28.0,0.464,28.0,42.0,0.667,0.679,11.0,18.0,0.611,12.0,30.0,42.0,31.0,11.0,2.0,13.0,23.0,24.0,57.0,0.421,5.0,24.0,0.208,19.0,33.0,0.576,0.465,23.0,34.0,0.676,7.0,17.0,24.0,14.0,10.0,1.0,14.0,17.0,132.7,95.2,79.9,0.257,0.4,0.675,63.6,75.6,13.8,6.1,0.679,14.2,41.4,0.157,0.465,16.1,18.9,0.404
10.0,10.0,2023-12-13,,Murray State,REG (Non-Conf),W,85.0,81.0,,27.0,46.0,0.587,7.0,20.0,0.35,20.0,26.0,0.769,0.663,24.0,34.0,0.706,7.0,22.0,29.0,19.0,5.0,5.0,10.0,15.0,28.0,55.0,0.509,12.0,23.0,0.522,16.0,32.0,0.5,0.618,13.0,17.0,0.765,6.0,13.0,19.0,18.0,3.0,0.0,8.0,20.0,130.5,124.4,65.1,0.739,0.435,0.684,60.4,70.4,7.7,15.6,0.663,13.9,35.0,0.522,0.618,11.3,21.4,0.236
