Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,West Virginia,REG (Non-Conf),L,59.0,67.0,,23.0,65.0,0.354,9.0,29.0,0.31,14.0,36.0,0.389,0.423,4.0,7.0,0.571,10.0,28.0,38.0,14.0,4.0,6.0,4.0,17.0,22.0,63.0,0.349,7.0,21.0,0.333,15.0,42.0,0.357,0.405,16.0,20.0,0.8,13.0,25.0,38.0,13.0,2.0,6.0,6.0,12.0,92.3,104.8,63.9,0.108,0.446,0.432,50.0,60.9,6.3,14.3,0.423,5.5,28.6,0.062,0.405,7.6,31.7,0.254
2.0,2.0,2023-11-13,,Oral Roberts,REG (Non-Conf),W,84.0,69.0,,30.0,63.0,0.476,9.0,24.0,0.375,21.0,39.0,0.538,0.548,15.0,23.0,0.652,5.0,36.0,41.0,18.0,7.0,8.0,11.0,12.0,28.0,72.0,0.389,5.0,25.0,0.2,23.0,47.0,0.489,0.424,8.0,9.0,0.889,7.0,27.0,34.0,10.0,8.0,4.0,10.0,19.0,105.5,86.7,79.6,0.365,0.381,0.568,54.7,60.0,8.8,17.0,0.548,13.0,15.6,0.238,0.424,11.6,16.3,0.111
3.0,3.0,2023-11-17,N,Florida Gulf Coast,REG (Non-Conf),W,70.0,61.0,,25.0,46.0,0.543,12.0,25.0,0.48,13.0,21.0,0.619,0.674,8.0,11.0,0.727,5.0,18.0,23.0,11.0,3.0,0.0,14.0,18.0,23.0,55.0,0.418,4.0,19.0,0.211,19.0,36.0,0.528,0.455,11.0,17.0,0.647,11.0,13.0,24.0,7.0,5.0,0.0,10.0,9.0,114.5,99.8,61.2,0.239,0.543,0.683,48.9,44.0,4.9,0.0,0.674,21.5,27.8,0.174,0.455,13.7,37.9,0.2
4.0,4.0,2023-11-19,N,Kent State,REG (Non-Conf),W,56.0,52.0,,18.0,54.0,0.333,7.0,22.0,0.318,11.0,32.0,0.344,0.398,13.0,23.0,0.565,14.0,34.0,48.0,13.0,5.0,5.0,19.0,18.0,22.0,67.0,0.328,3.0,22.0,0.136,19.0,45.0,0.422,0.351,5.0,12.0,0.417,10.0,19.0,29.0,8.0,8.0,4.0,9.0,23.0,79.1,73.4,70.8,0.426,0.407,0.431,62.3,72.2,7.1,11.1,0.398,22.6,42.4,0.241,0.351,11.0,22.7,0.075
5.0,5.0,2023-11-20,N,Abilene Christian,REG (Non-Conf),W,87.0,69.0,,30.0,52.0,0.577,7.0,18.0,0.389,23.0,34.0,0.676,0.644,20.0,27.0,0.741,8.0,31.0,39.0,16.0,5.0,3.0,15.0,18.0,25.0,59.0,0.424,7.0,16.0,0.438,18.0,43.0,0.419,0.483,12.0,19.0,0.632,5.0,16.0,21.0,12.0,11.0,2.0,12.0,22.0,118.5,94.0,73.4,0.519,0.346,0.671,65.0,53.3,6.8,7.0,0.644,18.8,33.3,0.385,0.483,15.0,13.9,0.203
6.0,6.0,2023-11-25,,South Carolina State,REG (Non-Conf),W,92.0,74.0,,24.0,41.0,0.585,10.0,22.0,0.455,14.0,19.0,0.737,0.707,34.0,43.0,0.791,8.0,27.0,35.0,18.0,2.0,4.0,21.0,19.0,25.0,68.0,0.368,7.0,22.0,0.318,18.0,46.0,0.391,0.419,17.0,17.0,1.0,6.0,12.0,18.0,11.0,6.0,0.0,8.0,31.0,120.7,97.0,76.3,1.049,0.537,0.749,66.0,75.0,2.6,8.7,0.707,25.5,40.0,0.829,0.419,9.5,18.2,0.25
7.0,7.0,2023-11-29,,Evansville,REG (Conf),W,90.0,78.0,,28.0,59.0,0.475,9.0,23.0,0.391,19.0,36.0,0.528,0.551,25.0,32.0,0.781,11.0,29.0,40.0,15.0,9.0,6.0,14.0,14.0,29.0,68.0,0.426,10.0,30.0,0.333,19.0,38.0,0.5,0.5,10.0,14.0,0.714,9.0,21.0,30.0,16.0,9.0,3.0,13.0,20.0,115.5,100.1,77.9,0.542,0.39,0.606,57.1,53.6,11.5,15.8,0.551,15.9,34.4,0.424,0.5,14.8,23.7,0.147
8.0,8.0,2023-12-02,@,Drake,REG (Conf),L,57.0,74.0,,22.0,62.0,0.355,5.0,22.0,0.227,17.0,40.0,0.425,0.395,8.0,11.0,0.727,12.0,28.0,40.0,6.0,2.0,4.0,14.0,6.0,32.0,74.0,0.432,6.0,27.0,0.222,26.0,47.0,0.553,0.473,4.0,5.0,0.8,8.0,24.0,32.0,15.0,9.0,3.0,3.0,9.0,81.1,105.3,70.3,0.177,0.355,0.424,55.6,27.3,2.8,8.5,0.395,17.2,33.3,0.129,0.473,3.8,22.2,0.054
9.0,9.0,2023-12-05,@,Middle Tennessee,REG (Non-Conf),L,73.0,77.0,OT,24.0,59.0,0.407,8.0,26.0,0.308,16.0,33.0,0.485,0.475,17.0,19.0,0.895,7.0,30.0,37.0,7.0,2.0,2.0,11.0,18.0,28.0,72.0,0.389,12.0,36.0,0.333,16.0,36.0,0.444,0.472,9.0,17.0,0.529,12.0,23.0,35.0,13.0,7.0,6.0,6.0,14.0,99.9,105.4,64.9,0.322,0.441,0.537,51.4,29.2,2.7,5.6,0.475,13.9,23.3,0.288,0.472,7.0,28.6,0.125
10.0,10.0,2023-12-09,,Sam Houston State,REG (Non-Conf),W,69.0,60.0,,21.0,50.0,0.42,5.0,26.0,0.192,16.0,24.0,0.667,0.47,22.0,29.0,0.759,5.0,31.0,36.0,8.0,5.0,14.0,13.0,15.0,21.0,71.0,0.296,5.0,19.0,0.263,16.0,52.0,0.308,0.331,13.0,19.0,0.684,12.0,23.0,35.0,8.0,6.0,0.0,10.0,22.0,92.1,80.1,74.9,0.58,0.52,0.541,50.7,38.1,6.7,26.9,0.47,16.9,17.9,0.44,0.331,11.1,27.9,0.183
