Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Arkansas–Pine Bluff,REG (Non-Conf),W,101.0,79.0,,36.0,64.0,0.563,12.0,30.0,0.4,24.0,34.0,0.706,0.656,17.0,19.0,0.895,8.0,26.0,34.0,19.0,7.0,9.0,13.0,26.0,23.0,57.0,0.404,8.0,29.0,0.276,15.0,28.0,0.536,0.474,25.0,31.0,0.806,8.0,15.0,23.0,8.0,9.0,2.0,16.0,18.0,128.1,100.2,78.9,0.297,0.469,0.692,59.6,52.8,8.9,32.1,0.656,15.1,34.8,0.266,0.474,18.2,23.5,0.439
2.0,2.0,2023-11-10,,Memphis,REG (Non-Conf),L,55.0,70.0,,18.0,57.0,0.316,6.0,30.0,0.2,12.0,27.0,0.444,0.368,13.0,17.0,0.765,4.0,29.0,33.0,8.0,9.0,4.0,11.0,17.0,27.0,63.0,0.429,7.0,20.0,0.35,20.0,43.0,0.465,0.484,9.0,16.0,0.563,10.0,33.0,43.0,16.0,7.0,6.0,10.0,20.0,77.1,98.1,71.3,0.298,0.526,0.423,43.4,44.4,12.6,9.3,0.368,14.5,10.8,0.228,0.484,12.4,25.6,0.143
3.0,3.0,2023-11-13,,SIU Edwardsville,REG (Non-Conf),W,68.0,50.0,,23.0,53.0,0.434,11.0,29.0,0.379,12.0,24.0,0.5,0.538,11.0,14.0,0.786,4.0,27.0,31.0,16.0,7.0,8.0,8.0,19.0,14.0,50.0,0.28,4.0,15.0,0.267,10.0,35.0,0.286,0.32,18.0,25.0,0.72,6.0,23.0,29.0,7.0,5.0,4.0,10.0,15.0,105.0,77.2,64.8,0.264,0.547,0.57,51.7,69.6,10.8,22.9,0.538,11.8,14.8,0.208,0.32,13.9,18.2,0.36
4.0,4.0,2023-11-16,@,Minnesota,REG (Non-Conf),W,70.0,68.0,,28.0,63.0,0.444,8.0,23.0,0.348,20.0,40.0,0.5,0.508,6.0,8.0,0.75,6.0,18.0,24.0,14.0,10.0,7.0,7.0,14.0,24.0,58.0,0.414,8.0,23.0,0.348,16.0,35.0,0.457,0.483,12.0,17.0,0.706,14.0,28.0,42.0,16.0,3.0,7.0,15.0,13.0,103.8,100.8,67.4,0.127,0.365,0.524,36.4,50.0,14.8,20.0,0.508,9.5,17.6,0.095,0.483,18.5,43.8,0.207
5.0,5.0,2023-11-19,,Jackson State,REG (Non-Conf),L,72.0,73.0,,27.0,55.0,0.491,11.0,29.0,0.379,16.0,26.0,0.615,0.591,7.0,11.0,0.636,7.0,26.0,33.0,19.0,7.0,7.0,18.0,17.0,28.0,62.0,0.452,6.0,18.0,0.333,22.0,44.0,0.5,0.5,11.0,16.0,0.688,6.0,20.0,26.0,13.0,12.0,0.0,13.0,17.0,97.4,98.8,73.9,0.2,0.527,0.598,55.9,70.4,9.5,15.9,0.591,23.0,25.9,0.127,0.5,15.7,18.8,0.177
6.0,6.0,2023-11-22,,South Carolina State,REG (Non-Conf),W,82.0,59.0,,31.0,58.0,0.534,9.0,24.0,0.375,22.0,34.0,0.647,0.612,11.0,13.0,0.846,11.0,19.0,30.0,16.0,11.0,12.0,13.0,10.0,26.0,55.0,0.473,2.0,10.0,0.2,24.0,45.0,0.533,0.491,5.0,8.0,0.625,8.0,16.0,24.0,13.0,9.0,1.0,14.0,14.0,125.2,90.1,65.5,0.224,0.414,0.639,55.6,51.6,16.8,26.7,0.612,16.8,40.7,0.19,0.491,19.2,29.6,0.091
7.0,7.0,2023-11-25,,Loyola (MD),REG (Non-Conf),W,78.0,70.0,,26.0,58.0,0.448,11.0,28.0,0.393,15.0,30.0,0.5,0.543,15.0,24.0,0.625,8.0,22.0,30.0,10.0,14.0,3.0,9.0,16.0,25.0,56.0,0.446,10.0,30.0,0.333,15.0,26.0,0.577,0.536,10.0,17.0,0.588,10.0,27.0,37.0,16.0,2.0,1.0,18.0,20.0,109.5,98.3,71.2,0.414,0.483,0.562,44.8,38.5,19.7,11.5,0.543,11.5,22.9,0.259,0.536,21.9,31.3,0.179
8.0,8.0,2023-11-28,@,Pittsburgh,REG (Non-Conf),W,71.0,64.0,,27.0,60.0,0.45,8.0,22.0,0.364,19.0,38.0,0.5,0.517,9.0,14.0,0.643,10.0,25.0,35.0,14.0,6.0,4.0,7.0,20.0,16.0,47.0,0.34,7.0,25.0,0.28,9.0,22.0,0.409,0.415,25.0,31.0,0.806,9.0,24.0,33.0,8.0,4.0,3.0,11.0,14.0,111.5,100.5,63.7,0.233,0.367,0.533,51.5,51.9,9.4,18.2,0.517,9.5,29.4,0.15,0.415,15.1,26.5,0.532
9.0,9.0,2023-12-03,,Wichita State,REG (Non-Conf),W,82.0,72.0,,24.0,60.0,0.4,11.0,33.0,0.333,13.0,27.0,0.481,0.492,23.0,25.0,0.92,7.0,23.0,30.0,15.0,13.0,6.0,9.0,18.0,26.0,68.0,0.382,8.0,28.0,0.286,18.0,40.0,0.45,0.441,12.0,13.0,0.923,16.0,30.0,46.0,9.0,6.0,1.0,18.0,20.0,109.3,96.0,75.0,0.417,0.55,0.57,39.5,62.5,17.3,15.0,0.492,11.1,18.9,0.383,0.441,19.5,41.0,0.176
10.0,10.0,2023-12-09,@,Kansas,REG (Non-Conf),L,64.0,73.0,,24.0,58.0,0.414,7.0,21.0,0.333,17.0,37.0,0.459,0.474,9.0,13.0,0.692,5.0,18.0,23.0,11.0,8.0,5.0,12.0,19.0,25.0,56.0,0.446,3.0,10.0,0.3,22.0,46.0,0.478,0.473,20.0,23.0,0.87,11.0,24.0,35.0,16.0,6.0,4.0,16.0,16.0,89.4,102.0,71.6,0.224,0.362,0.499,39.7,45.8,11.2,10.9,0.474,15.8,17.2,0.155,0.473,19.3,37.9,0.357
11.0,11.0,2023-12-17,N,Seton Hall,REG (Non-Conf),L,87.0,93.0,,28.0,62.0,0.452,12.0,24.0,0.5,16.0,38.0,0.421,0.548,19.0,22.0,0.864,10.0,14.0,24.0,14.0,3.0,3.0,12.0,21.0,33.0,56.0,0.589,10.0,23.0,0.435,23.0,33.0,0.697,0.679,17.0,23.0,0.739,12.0,18.0,30.0,16.0,5.0,4.0,14.0,18.0,121.4,129.7,71.7,0.355,0.387,0.6,44.4,50.0,4.2,9.1,0.548,14.2,35.7,0.306,0.679,17.3,46.2,0.304
12.0,12.0,2023-12-22,N,Illinois,REG (Non-Conf),L,73.0,97.0,,29.0,74.0,0.392,6.0,27.0,0.222,23.0,47.0,0.489,0.432,9.0,16.0,0.563,8.0,22.0,30.0,6.0,8.0,4.0,6.0,23.0,32.0,65.0,0.492,11.0,33.0,0.333,21.0,32.0,0.656,0.577,22.0,31.0,0.71,15.0,32.0,47.0,17.0,5.0,4.0,10.0,14.0,94.6,125.7,77.2,0.216,0.365,0.447,39.0,20.7,10.4,12.5,0.432,6.8,20.0,0.122,0.577,11.1,40.5,0.338
13.0,13.0,2023-12-30,,Central Arkansas,REG (Non-Conf),W,92.0,59.0,,36.0,67.0,0.537,6.0,24.0,0.25,30.0,43.0,0.698,0.582,14.0,17.0,0.824,19.0,22.0,41.0,18.0,13.0,6.0,15.0,19.0,19.0,53.0,0.358,9.0,28.0,0.321,10.0,25.0,0.4,0.443,12.0,16.0,0.75,5.0,11.0,16.0,11.0,8.0,4.0,20.0,17.0,125.4,80.4,73.3,0.254,0.358,0.613,71.9,50.0,17.7,24.0,0.582,16.7,63.3,0.209,0.443,24.8,18.5,0.226
14.0,14.0,2024-01-06,,Georgia,REG (Conf),L,68.0,75.0,,28.0,63.0,0.444,6.0,19.0,0.316,22.0,44.0,0.5,0.492,6.0,7.0,0.857,7.0,21.0,28.0,14.0,5.0,7.0,8.0,18.0,24.0,51.0,0.471,12.0,28.0,0.429,12.0,23.0,0.522,0.588,15.0,21.0,0.714,7.0,23.0,30.0,12.0,4.0,1.0,11.0,10.0,102.8,113.4,66.2,0.111,0.302,0.513,48.3,50.0,7.6,30.4,0.492,10.8,23.3,0.095,0.588,15.3,25.0,0.294
15.0,15.0,2024-01-09,@,Kentucky,REG (Conf),L,77.0,90.0,,26.0,61.0,0.426,8.0,28.0,0.286,18.0,33.0,0.545,0.492,17.0,22.0,0.773,4.0,19.0,23.0,14.0,6.0,6.0,11.0,22.0,28.0,56.0,0.5,7.0,23.0,0.304,21.0,33.0,0.636,0.563,27.0,32.0,0.844,4.0,30.0,34.0,14.0,6.0,3.0,12.0,17.0,97.7,114.2,78.8,0.361,0.459,0.539,40.4,53.8,7.6,18.2,0.492,13.3,11.8,0.279,0.563,14.4,17.4,0.482
16.0,16.0,2024-01-13,,South Carolina,REG (Conf),L,69.0,71.0,OT,26.0,62.0,0.419,5.0,22.0,0.227,21.0,40.0,0.525,0.46,12.0,18.0,0.667,9.0,19.0,28.0,13.0,11.0,3.0,7.0,16.0,24.0,59.0,0.407,7.0,24.0,0.292,17.0,35.0,0.486,0.466,16.0,18.0,0.889,12.0,27.0,39.0,12.0,2.0,0.0,16.0,17.0,98.5,101.4,62.3,0.29,0.355,0.489,41.8,50.0,15.7,8.6,0.46,9.0,25.0,0.194,0.466,19.2,38.7,0.271
17.0,17.0,2024-01-16,@,Alabama,REG (Conf),L,75.0,93.0,,26.0,53.0,0.491,8.0,21.0,0.381,18.0,32.0,0.563,0.566,15.0,20.0,0.75,6.0,15.0,21.0,10.0,9.0,0.0,10.0,22.0,30.0,57.0,0.526,13.0,27.0,0.481,17.0,30.0,0.567,0.64,20.0,21.0,0.952,11.0,23.0,34.0,18.0,6.0,3.0,13.0,16.0,110.7,137.3,67.7,0.377,0.396,0.6,38.2,38.5,13.3,0.0,0.566,13.8,20.7,0.283,0.64,16.3,42.3,0.351
18.0,18.0,2024-01-20,,Florida,REG (Conf),L,67.0,79.0,,23.0,53.0,0.434,3.0,16.0,0.188,20.0,37.0,0.541,0.462,18.0,21.0,0.857,2.0,20.0,22.0,10.0,8.0,3.0,5.0,20.0,25.0,56.0,0.446,9.0,22.0,0.409,16.0,34.0,0.471,0.527,20.0,29.0,0.69,11.0,27.0,38.0,12.0,4.0,3.0,8.0,16.0,100.9,119.0,66.4,0.396,0.302,0.532,36.7,43.5,12.1,8.8,0.462,7.4,6.9,0.34,0.527,10.3,35.5,0.357
19.0,19.0,2024-01-23,@,Texas A&M,REG (Conf),L,57.0,63.0,,21.0,54.0,0.389,8.0,29.0,0.276,13.0,25.0,0.52,0.463,7.0,10.0,0.7,8.0,25.0,33.0,14.0,4.0,3.0,13.0,26.0,15.0,52.0,0.288,6.0,27.0,0.222,9.0,25.0,0.36,0.346,27.0,37.0,0.73,13.0,26.0,39.0,12.0,7.0,1.0,8.0,16.0,88.8,98.2,64.2,0.185,0.537,0.485,45.8,66.7,6.2,12.0,0.463,18.1,23.5,0.13,0.346,10.3,34.2,0.519
20.0,20.0,2024-01-27,@,South Carolina,REG (Conf),L,64.0,72.0,,24.0,51.0,0.471,2.0,8.0,0.25,22.0,43.0,0.512,0.49,14.0,17.0,0.824,5.0,23.0,28.0,10.0,5.0,4.0,10.0,18.0,23.0,52.0,0.442,10.0,25.0,0.4,13.0,27.0,0.481,0.538,16.0,24.0,0.667,4.0,22.0,26.0,16.0,8.0,4.0,9.0,17.0,96.6,108.7,66.2,0.333,0.157,0.542,51.9,41.7,7.5,14.8,0.49,14.5,18.5,0.275,0.538,12.4,14.8,0.308
21.0,21.0,2024-01-31,,Arkansas,REG (Conf),L,84.0,91.0,,27.0,59.0,0.458,10.0,20.0,0.5,17.0,39.0,0.436,0.542,20.0,22.0,0.909,10.0,15.0,25.0,13.0,9.0,4.0,17.0,23.0,33.0,61.0,0.541,4.0,6.0,0.667,29.0,55.0,0.527,0.574,21.0,26.0,0.808,11.0,22.0,33.0,14.0,10.0,6.0,15.0,21.0,109.2,118.3,76.9,0.373,0.339,0.605,43.1,48.1,11.7,7.3,0.542,19.7,31.3,0.339,0.574,17.0,42.3,0.344
22.0,22.0,2024-02-03,@,Vanderbilt,REG (Conf),L,61.0,68.0,,22.0,59.0,0.373,7.0,26.0,0.269,15.0,33.0,0.455,0.432,10.0,11.0,0.909,9.0,20.0,29.0,14.0,6.0,2.0,7.0,19.0,24.0,60.0,0.4,5.0,22.0,0.227,19.0,38.0,0.5,0.442,15.0,20.0,0.75,15.0,23.0,38.0,8.0,4.0,3.0,7.0,12.0,98.6,109.9,61.9,0.186,0.441,0.475,43.3,63.6,9.7,5.3,0.432,9.8,28.1,0.169,0.442,9.2,42.9,0.25
23.0,23.0,2024-02-07,,Texas A&M,REG (Conf),L,60.0,79.0,,22.0,48.0,0.458,7.0,20.0,0.35,15.0,28.0,0.536,0.531,9.0,13.0,0.692,4.0,15.0,19.0,11.0,5.0,6.0,12.0,18.0,30.0,63.0,0.476,4.0,17.0,0.235,26.0,46.0,0.565,0.508,15.0,19.0,0.789,14.0,24.0,38.0,11.0,8.0,3.0,7.0,16.0,94.3,124.2,63.6,0.271,0.417,0.554,33.3,50.0,7.9,13.0,0.531,18.1,14.3,0.188,0.508,8.9,48.3,0.238
