Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,George Mason,REG (Non-Conf),L,61.0,72.0,,22.0,65.0,0.338,9.0,25.0,0.36,13.0,40.0,0.325,0.408,8.0,12.0,0.667,10.0,18.0,28.0,10.0,9.0,4.0,12.0,21.0,23.0,49.0,0.469,9.0,20.0,0.45,14.0,29.0,0.483,0.561,17.0,25.0,0.68,8.0,32.0,40.0,13.0,5.0,7.0,16.0,14.0,86.2,101.7,70.8,0.185,0.385,0.431,41.2,45.5,12.7,13.8,0.408,14.5,23.8,0.123,0.561,20.8,30.8,0.347
2.0,2.0,2023-11-10,@,West Virginia,REG (Non-Conf),W,73.0,65.0,,25.0,55.0,0.455,10.0,23.0,0.435,15.0,32.0,0.469,0.545,13.0,18.0,0.722,9.0,25.0,34.0,12.0,8.0,5.0,11.0,21.0,21.0,67.0,0.313,7.0,32.0,0.219,14.0,35.0,0.4,0.366,16.0,23.0,0.696,17.0,17.0,34.0,10.0,4.0,2.0,9.0,16.0,107.8,96.0,67.7,0.327,0.418,0.574,50.0,48.0,11.8,14.3,0.545,14.8,34.6,0.236,0.366,10.4,40.5,0.239
3.0,3.0,2023-11-18,,Princeton,REG (Non-Conf),L,57.0,82.0,,20.0,57.0,0.351,5.0,17.0,0.294,15.0,40.0,0.375,0.395,12.0,15.0,0.8,10.0,25.0,35.0,10.0,4.0,5.0,12.0,20.0,26.0,64.0,0.406,11.0,34.0,0.324,15.0,30.0,0.5,0.492,19.0,23.0,0.826,11.0,28.0,39.0,9.0,8.0,2.0,8.0,13.0,82.6,118.8,69.0,0.263,0.298,0.444,47.3,50.0,5.8,16.7,0.395,15.8,26.3,0.211,0.492,9.6,30.6,0.297
4.0,4.0,2023-11-21,,Lehigh,REG (Non-Conf),W,88.0,79.0,,29.0,55.0,0.527,12.0,21.0,0.571,17.0,34.0,0.5,0.636,18.0,26.0,0.692,9.0,23.0,32.0,14.0,4.0,2.0,16.0,19.0,28.0,62.0,0.452,8.0,21.0,0.381,20.0,41.0,0.488,0.516,15.0,21.0,0.714,11.0,15.0,26.0,13.0,7.0,5.0,13.0,21.0,118.7,106.5,74.2,0.473,0.382,0.653,55.2,48.3,5.4,4.9,0.636,19.2,37.5,0.327,0.516,15.3,32.4,0.242
5.0,5.0,2023-11-24,N,Belmont,REG (Non-Conf),W,93.0,84.0,,30.0,59.0,0.508,9.0,21.0,0.429,21.0,38.0,0.553,0.585,24.0,31.0,0.774,13.0,22.0,35.0,17.0,6.0,1.0,13.0,14.0,34.0,62.0,0.548,10.0,26.0,0.385,24.0,36.0,0.667,0.629,6.0,10.0,0.6,6.0,17.0,23.0,24.0,9.0,3.0,12.0,23.0,127.0,114.7,73.2,0.525,0.356,0.631,60.3,56.7,8.2,2.8,0.585,15.0,43.3,0.407,0.629,15.2,21.4,0.097
6.0,6.0,2023-11-25,N,Lafayette,REG (Non-Conf),W,63.0,53.0,,19.0,52.0,0.365,4.0,13.0,0.308,15.0,39.0,0.385,0.404,21.0,31.0,0.677,12.0,25.0,37.0,8.0,15.0,5.0,17.0,17.0,17.0,54.0,0.315,7.0,28.0,0.25,10.0,26.0,0.385,0.38,12.0,17.0,0.706,10.0,22.0,32.0,10.0,6.0,7.0,22.0,23.0,86.4,72.7,72.9,0.596,0.25,0.472,53.6,42.1,20.6,19.2,0.404,20.3,35.3,0.404,0.38,26.2,28.6,0.222
7.0,7.0,2023-11-26,@,Pennsylvania,REG (Non-Conf),L,61.0,76.0,,25.0,56.0,0.446,5.0,18.0,0.278,20.0,38.0,0.526,0.491,6.0,10.0,0.6,6.0,20.0,26.0,14.0,3.0,2.0,9.0,10.0,30.0,60.0,0.5,12.0,25.0,0.48,18.0,35.0,0.514,0.6,4.0,9.0,0.444,8.0,22.0,30.0,18.0,6.0,2.0,7.0,9.0,96.0,119.7,63.5,0.179,0.321,0.502,46.4,56.0,4.7,5.7,0.491,12.9,21.4,0.107,0.6,9.8,28.6,0.067
8.0,8.0,2023-11-29,@,Cornell,REG (Non-Conf),L,87.0,91.0,,32.0,61.0,0.525,9.0,26.0,0.346,23.0,35.0,0.657,0.598,14.0,22.0,0.636,7.0,19.0,26.0,16.0,10.0,1.0,9.0,19.0,34.0,59.0,0.576,11.0,31.0,0.355,23.0,28.0,0.821,0.669,12.0,19.0,0.632,7.0,22.0,29.0,25.0,9.0,1.0,12.0,19.0,118.8,124.3,73.2,0.361,0.426,0.609,47.3,50.0,13.7,3.6,0.598,11.2,24.1,0.23,0.669,15.0,26.9,0.203
9.0,9.0,2023-12-09,,Northern Illinois,REG (Non-Conf),W,74.0,71.0,,28.0,68.0,0.412,8.0,19.0,0.421,20.0,49.0,0.408,0.471,10.0,15.0,0.667,12.0,21.0,33.0,11.0,7.0,0.0,10.0,22.0,23.0,50.0,0.46,5.0,20.0,0.25,18.0,30.0,0.6,0.51,20.0,31.0,0.645,11.0,23.0,34.0,8.0,5.0,9.0,15.0,17.0,104.3,100.1,70.9,0.221,0.279,0.493,49.3,39.3,9.9,0.0,0.471,11.7,34.3,0.147,0.51,18.8,34.4,0.4
10.0,10.0,2023-12-12,@,Seton Hall,REG (Non-Conf),L,61.0,70.0,,20.0,56.0,0.357,8.0,22.0,0.364,12.0,34.0,0.353,0.429,13.0,19.0,0.684,8.0,17.0,25.0,12.0,12.0,2.0,10.0,23.0,22.0,47.0,0.468,4.0,16.0,0.25,18.0,31.0,0.581,0.511,22.0,32.0,0.688,11.0,28.0,39.0,11.0,8.0,5.0,16.0,18.0,90.9,104.3,67.1,0.339,0.393,0.469,39.1,60.0,17.9,6.5,0.429,13.3,22.2,0.232,0.511,20.5,39.3,0.468
11.0,11.0,2023-12-16,,Rider,REG (Non-Conf),W,77.0,71.0,,28.0,55.0,0.509,11.0,21.0,0.524,17.0,34.0,0.5,0.609,10.0,16.0,0.625,6.0,19.0,25.0,19.0,10.0,5.0,7.0,12.0,25.0,55.0,0.455,8.0,20.0,0.4,17.0,35.0,0.486,0.527,13.0,18.0,0.722,10.0,19.0,29.0,13.0,5.0,4.0,14.0,14.0,117.4,108.3,64.0,0.291,0.382,0.615,46.3,67.9,15.2,14.3,0.609,10.1,24.0,0.182,0.527,18.1,34.5,0.236
