Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Northwest Indian,REG (Non-Conf),W,103.0,63.0,,41.0,74.0,0.554,15.0,34.0,0.441,26.0,40.0,0.65,0.655,6.0,10.0,0.6,7.0,24.0,31.0,22.0,16.0,4.0,7.0,14.0,23.0,54.0,0.426,7.0,12.0,0.583,16.0,42.0,0.381,0.491,10.0,16.0,0.625,7.0,24.0,31.0,11.0,4.0,0.0,24.0,15.0,130.9,80.1,78.7,0.135,0.459,0.654,50.0,53.7,20.3,9.5,0.655,8.2,22.6,0.081,0.491,28.0,22.6,0.185
2.0,2.0,2023-11-11,@,Seattle,REG (Non-Conf),L,68.0,71.0,,25.0,55.0,0.455,9.0,26.0,0.346,16.0,29.0,0.552,0.536,9.0,12.0,0.75,4.0,23.0,27.0,10.0,7.0,1.0,12.0,24.0,26.0,56.0,0.464,2.0,20.0,0.1,24.0,36.0,0.667,0.482,17.0,25.0,0.68,9.0,25.0,34.0,15.0,2.0,3.0,15.0,19.0,95.4,99.6,71.3,0.218,0.473,0.56,44.3,40.0,9.8,2.8,0.536,16.5,13.8,0.164,0.482,18.1,28.1,0.304
3.0,3.0,2023-11-16,@,California,REG (Non-Conf),W,63.0,60.0,,25.0,58.0,0.431,4.0,24.0,0.167,21.0,34.0,0.618,0.466,9.0,11.0,0.818,5.0,17.0,22.0,8.0,9.0,4.0,8.0,19.0,20.0,48.0,0.417,3.0,18.0,0.167,17.0,30.0,0.567,0.448,17.0,21.0,0.81,7.0,26.0,33.0,5.0,5.0,4.0,14.0,14.0,96.0,91.5,65.6,0.19,0.414,0.498,40.0,32.0,13.7,13.3,0.466,11.2,16.1,0.155,0.448,19.5,29.2,0.354
4.0,4.0,2023-11-20,,Green Bay,REG (Non-Conf),L,53.0,54.0,OT,17.0,62.0,0.274,7.0,35.0,0.2,10.0,27.0,0.37,0.331,12.0,14.0,0.857,8.0,21.0,29.0,9.0,11.0,2.0,8.0,17.0,22.0,47.0,0.468,3.0,16.0,0.188,19.0,31.0,0.613,0.5,7.0,14.0,0.5,8.0,34.0,42.0,10.0,5.0,3.0,20.0,18.0,78.9,80.4,59.7,0.226,0.565,0.386,40.8,52.9,16.4,6.5,0.331,10.4,19.0,0.194,0.5,27.2,27.6,0.149
5.0,5.0,2023-11-22,,UC Riverside,REG (Non-Conf),W,69.0,68.0,,24.0,50.0,0.48,7.0,17.0,0.412,17.0,33.0,0.515,0.55,14.0,19.0,0.737,4.0,21.0,25.0,13.0,8.0,4.0,8.0,14.0,25.0,60.0,0.417,10.0,22.0,0.455,15.0,38.0,0.395,0.5,8.0,13.0,0.615,14.0,23.0,37.0,15.0,4.0,1.0,14.0,21.0,106.8,105.3,64.6,0.38,0.34,0.584,40.3,54.2,12.4,10.5,0.55,11.9,14.8,0.28,0.5,17.5,40.0,0.133
6.0,6.0,2023-11-26,,Long Beach State,REG (Non-Conf),L,69.0,75.0,,27.0,53.0,0.509,13.0,30.0,0.433,14.0,23.0,0.609,0.632,2.0,4.0,0.5,2.0,28.0,30.0,15.0,3.0,3.0,15.0,19.0,29.0,61.0,0.475,2.0,13.0,0.154,27.0,48.0,0.563,0.492,15.0,20.0,0.75,6.0,22.0,28.0,13.0,10.0,2.0,4.0,12.0,101.2,110.0,68.2,0.075,0.566,0.628,51.7,55.6,4.4,6.3,0.632,21.5,8.3,0.038,0.492,5.4,17.6,0.246
7.0,7.0,2023-11-30,,Rocky Mountain,REG (Non-Conf),L,62.0,70.0,,25.0,65.0,0.385,7.0,31.0,0.226,18.0,34.0,0.529,0.438,5.0,10.0,0.5,8.0,22.0,30.0,13.0,6.0,2.0,7.0,15.0,30.0,60.0,0.5,8.0,19.0,0.421,22.0,41.0,0.537,0.567,2.0,5.0,0.4,8.0,31.0,39.0,14.0,6.0,0.0,17.0,14.0,88.5,99.9,70.1,0.154,0.477,0.444,43.5,52.0,8.6,4.9,0.438,9.1,20.5,0.077,0.567,21.4,26.7,0.033
8.0,8.0,2023-12-05,@,Washington,REG (Non-Conf),L,61.0,85.0,,21.0,54.0,0.389,9.0,31.0,0.29,12.0,23.0,0.522,0.472,10.0,14.0,0.714,7.0,18.0,25.0,10.0,11.0,3.0,17.0,17.0,32.0,61.0,0.525,8.0,16.0,0.5,24.0,45.0,0.533,0.59,13.0,22.0,0.591,12.0,28.0,40.0,17.0,5.0,3.0,15.0,17.0,84.1,117.2,72.6,0.259,0.574,0.503,38.5,47.6,15.2,6.7,0.472,21.9,20.0,0.185,0.59,17.4,40.0,0.213
9.0,9.0,2023-12-16,,Nelson AIC,REG (Non-Conf),W,106.0,81.0,,33.0,63.0,0.524,20.0,43.0,0.465,13.0,20.0,0.65,0.683,20.0,23.0,0.87,9.0,28.0,37.0,22.0,13.0,4.0,17.0,17.0,29.0,61.0,0.475,6.0,17.0,0.353,23.0,44.0,0.523,0.525,17.0,23.0,0.739,4.0,22.0,26.0,10.0,11.0,2.0,17.0,18.0,127.1,97.1,83.4,0.365,0.683,0.717,58.7,66.7,15.6,9.1,0.683,18.7,29.0,0.317,0.525,19.1,12.5,0.279
10.0,10.0,2023-12-19,,Southern Utah,REG (Non-Conf),W,89.0,88.0,OT,30.0,64.0,0.469,9.0,21.0,0.429,21.0,43.0,0.488,0.539,20.0,25.0,0.8,8.0,30.0,38.0,15.0,6.0,0.0,13.0,25.0,25.0,72.0,0.347,5.0,27.0,0.185,20.0,45.0,0.444,0.382,33.0,39.0,0.846,16.0,22.0,38.0,8.0,9.0,2.0,7.0,21.0,109.6,108.4,72.2,0.391,0.328,0.586,50.0,50.0,7.4,0.0,0.539,14.6,26.7,0.313,0.382,7.2,34.8,0.458
11.0,11.0,2023-12-22,@,Cal State Northridge,REG (Non-Conf),L,70.0,82.0,,23.0,58.0,0.397,7.0,29.0,0.241,16.0,29.0,0.552,0.457,17.0,25.0,0.68,6.0,21.0,27.0,12.0,4.0,1.0,12.0,21.0,31.0,65.0,0.477,8.0,21.0,0.381,23.0,44.0,0.523,0.538,12.0,25.0,0.48,10.0,29.0,39.0,16.0,8.0,4.0,9.0,23.0,92.3,108.1,75.9,0.431,0.5,0.501,40.9,52.2,5.3,2.3,0.457,14.7,17.1,0.293,0.538,10.5,32.3,0.185
12.0,12.0,2023-12-28,@,Idaho State,REG (Conf),W,74.0,66.0,,25.0,51.0,0.49,5.0,17.0,0.294,20.0,34.0,0.588,0.539,19.0,22.0,0.864,4.0,18.0,22.0,6.0,6.0,0.0,7.0,20.0,23.0,48.0,0.479,6.0,17.0,0.353,17.0,31.0,0.548,0.542,14.0,20.0,0.7,7.0,20.0,27.0,14.0,4.0,3.0,13.0,19.0,115.7,103.2,64.0,0.431,0.333,0.602,44.9,24.0,9.4,0.0,0.539,10.2,16.7,0.373,0.542,18.4,28.0,0.292
13.0,13.0,2023-12-30,@,Weber State,REG (Conf),L,64.0,86.0,,24.0,59.0,0.407,8.0,22.0,0.364,16.0,37.0,0.432,0.475,8.0,14.0,0.571,6.0,19.0,25.0,17.0,8.0,2.0,9.0,26.0,28.0,49.0,0.571,6.0,14.0,0.429,22.0,35.0,0.629,0.633,24.0,35.0,0.686,8.0,32.0,40.0,16.0,5.0,2.0,10.0,16.0,93.9,126.2,68.1,0.237,0.373,0.487,38.5,70.8,11.7,5.7,0.475,12.1,15.8,0.136,0.633,13.2,29.6,0.49
14.0,14.0,2024-01-03,,Oral Roberts,REG (Non-Conf),L,76.0,82.0,,26.0,57.0,0.456,11.0,26.0,0.423,15.0,31.0,0.484,0.553,13.0,16.0,0.813,5.0,23.0,28.0,14.0,9.0,3.0,15.0,19.0,26.0,50.0,0.52,7.0,14.0,0.5,19.0,36.0,0.528,0.59,23.0,27.0,0.852,1.0,27.0,28.0,9.0,8.0,3.0,13.0,20.0,101.7,109.8,74.7,0.281,0.456,0.588,50.0,53.8,12.0,8.3,0.553,18.8,15.6,0.228,0.59,17.1,4.2,0.46
15.0,15.0,2024-01-06,@,South Dakota State,REG (Non-Conf),L,61.0,89.0,,21.0,56.0,0.375,8.0,31.0,0.258,13.0,25.0,0.52,0.446,11.0,14.0,0.786,5.0,19.0,24.0,11.0,9.0,1.0,15.0,20.0,36.0,52.0,0.692,8.0,19.0,0.421,28.0,33.0,0.848,0.769,9.0,17.0,0.529,2.0,28.0,30.0,19.0,6.0,0.0,16.0,15.0,83.1,121.3,73.4,0.25,0.554,0.487,44.4,52.4,12.3,3.0,0.446,19.3,15.2,0.196,0.769,21.0,9.5,0.173
16.0,16.0,2024-01-11,,Northern Arizona,REG (Conf),W,79.0,50.0,,26.0,47.0,0.553,8.0,20.0,0.4,18.0,27.0,0.667,0.638,19.0,23.0,0.826,4.0,30.0,34.0,13.0,11.0,1.0,13.0,19.0,15.0,51.0,0.294,4.0,24.0,0.167,11.0,27.0,0.407,0.333,16.0,19.0,0.842,5.0,17.0,22.0,8.0,5.0,0.0,16.0,19.0,114.5,72.5,69.0,0.489,0.426,0.682,60.7,50.0,15.9,3.7,0.638,18.3,19.0,0.404,0.333,21.0,14.3,0.314
17.0,17.0,2024-01-13,,Northern Colorado,REG (Conf),W,90.0,81.0,,33.0,58.0,0.569,6.0,15.0,0.4,27.0,43.0,0.628,0.621,18.0,24.0,0.75,6.0,25.0,31.0,13.0,10.0,0.0,12.0,15.0,31.0,63.0,0.492,7.0,22.0,0.318,24.0,41.0,0.585,0.548,12.0,16.0,0.75,5.0,19.0,24.0,17.0,4.0,3.0,11.0,17.0,118.4,106.6,76.0,0.414,0.259,0.648,56.4,39.4,13.2,0.0,0.621,14.7,24.0,0.31,0.548,13.5,16.7,0.19
18.0,18.0,2024-01-20,,Montana,REG (Conf),L,77.0,87.0,,31.0,56.0,0.554,5.0,14.0,0.357,26.0,42.0,0.619,0.598,10.0,15.0,0.667,4.0,17.0,21.0,12.0,7.0,4.0,10.0,17.0,32.0,52.0,0.615,9.0,14.0,0.643,23.0,38.0,0.605,0.702,14.0,17.0,0.824,3.0,23.0,26.0,13.0,5.0,2.0,11.0,16.0,112.2,126.8,68.6,0.268,0.25,0.61,44.7,38.7,10.2,10.5,0.598,13.7,14.8,0.179,0.702,15.5,15.0,0.269
