Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Northwest Indian,REG (Non-Conf),W,107.0,59.0,,41.0,65.0,0.631,7.0,19.0,0.368,34.0,46.0,0.739,0.685,18.0,24.0,0.75,11.0,38.0,49.0,21.0,9.0,4.0,15.0,16.0,20.0,66.0,0.303,8.0,27.0,0.296,12.0,39.0,0.308,0.364,11.0,14.0,0.786,5.0,15.0,20.0,7.0,8.0,1.0,15.0,17.0,131.2,72.4,81.5,0.369,0.292,0.7,71.0,51.2,11.0,10.3,0.685,16.4,42.3,0.277,0.364,17.1,11.6,0.167
2.0,2.0,2023-11-10,@,Oregon,REG (Non-Conf),L,61.0,75.0,,22.0,58.0,0.379,5.0,20.0,0.25,17.0,38.0,0.447,0.422,12.0,14.0,0.857,1.0,28.0,29.0,8.0,1.0,1.0,6.0,23.0,26.0,63.0,0.413,7.0,23.0,0.304,19.0,40.0,0.475,0.468,16.0,28.0,0.571,11.0,32.0,43.0,13.0,5.0,5.0,2.0,13.0,89.1,109.5,68.5,0.241,0.345,0.472,40.3,36.4,1.5,2.5,0.422,8.5,3.0,0.207,0.468,2.6,28.2,0.254
3.0,3.0,2023-11-12,,UC Davis,REG (Non-Conf),W,78.0,65.0,,28.0,56.0,0.5,7.0,18.0,0.389,21.0,38.0,0.553,0.563,15.0,19.0,0.789,9.0,15.0,24.0,12.0,7.0,3.0,10.0,11.0,26.0,52.0,0.5,6.0,20.0,0.3,20.0,32.0,0.625,0.558,7.0,11.0,0.636,10.0,21.0,31.0,10.0,5.0,5.0,18.0,18.0,118.9,99.0,65.6,0.339,0.321,0.6,43.6,42.9,10.7,9.4,0.563,13.3,30.0,0.268,0.558,23.9,40.0,0.135
4.0,4.0,2023-11-16,,North Dakota State,REG (Non-Conf),L,69.0,78.0,,27.0,63.0,0.429,3.0,14.0,0.214,24.0,49.0,0.49,0.452,12.0,17.0,0.706,11.0,25.0,36.0,15.0,1.0,3.0,7.0,21.0,25.0,54.0,0.463,9.0,23.0,0.391,16.0,31.0,0.516,0.546,19.0,23.0,0.826,5.0,26.0,31.0,13.0,6.0,2.0,5.0,19.0,104.5,118.2,66.0,0.27,0.222,0.485,53.7,55.6,1.5,9.7,0.452,9.0,29.7,0.19,0.546,7.2,16.7,0.352
5.0,5.0,2023-11-24,@,Houston,REG (Non-Conf),L,44.0,79.0,,14.0,43.0,0.326,3.0,17.0,0.176,11.0,26.0,0.423,0.36,13.0,19.0,0.684,4.0,22.0,26.0,7.0,2.0,1.0,13.0,20.0,27.0,58.0,0.466,7.0,24.0,0.292,20.0,34.0,0.588,0.526,18.0,30.0,0.6,15.0,27.0,42.0,12.0,9.0,4.0,3.0,17.0,72.6,130.3,60.6,0.442,0.395,0.423,38.2,50.0,3.3,2.9,0.36,20.0,12.9,0.302,0.526,4.0,40.5,0.31
6.0,6.0,2023-11-29,@,Nevada,REG (Non-Conf),L,66.0,77.0,,24.0,69.0,0.348,5.0,27.0,0.185,19.0,42.0,0.452,0.384,13.0,18.0,0.722,14.0,27.0,41.0,16.0,4.0,4.0,10.0,24.0,21.0,51.0,0.412,5.0,15.0,0.333,16.0,36.0,0.444,0.461,30.0,38.0,0.789,6.0,31.0,37.0,10.0,4.0,3.0,10.0,19.0,90.0,105.0,73.3,0.261,0.391,0.426,52.6,66.7,5.5,11.1,0.384,11.4,31.1,0.188,0.461,12.7,18.2,0.588
7.0,7.0,2023-12-02,,San Jose State,REG (Non-Conf),W,75.0,58.0,,31.0,64.0,0.484,8.0,22.0,0.364,23.0,42.0,0.548,0.547,5.0,5.0,1.0,7.0,24.0,31.0,18.0,6.0,3.0,11.0,20.0,22.0,50.0,0.44,5.0,17.0,0.294,17.0,33.0,0.515,0.49,9.0,14.0,0.643,3.0,22.0,25.0,9.0,5.0,3.0,16.0,10.0,107.1,82.8,70.0,0.078,0.344,0.565,55.4,58.1,8.6,9.1,0.547,14.2,24.1,0.078,0.49,22.0,11.1,0.18
8.0,8.0,2023-12-05,,Montana St.–Northern,REG (Non-Conf),W,91.0,67.0,,35.0,62.0,0.565,8.0,19.0,0.421,27.0,43.0,0.628,0.629,13.0,19.0,0.684,10.0,27.0,37.0,27.0,3.0,4.0,11.0,13.0,24.0,57.0,0.421,7.0,21.0,0.333,17.0,36.0,0.472,0.482,12.0,16.0,0.75,6.0,22.0,28.0,13.0,7.0,2.0,9.0,15.0,130.3,96.0,69.8,0.306,0.306,0.641,56.9,77.1,4.3,11.1,0.629,13.4,31.3,0.21,0.482,12.2,18.2,0.211
9.0,9.0,2023-12-09,,Montana Tech,REG (Non-Conf),W,88.0,67.0,,32.0,72.0,0.444,9.0,31.0,0.29,23.0,41.0,0.561,0.507,15.0,19.0,0.789,10.0,28.0,38.0,22.0,10.0,2.0,11.0,18.0,22.0,64.0,0.344,4.0,22.0,0.182,18.0,42.0,0.429,0.375,19.0,24.0,0.792,9.0,25.0,34.0,10.0,5.0,3.0,14.0,18.0,108.4,82.5,81.2,0.264,0.431,0.543,52.8,68.8,12.3,4.8,0.507,12.0,28.6,0.208,0.375,15.7,24.3,0.297
10.0,10.0,2023-12-17,@,San Jose State,REG (Non-Conf),W,86.0,75.0,,28.0,58.0,0.483,7.0,23.0,0.304,21.0,35.0,0.6,0.543,23.0,27.0,0.852,10.0,31.0,41.0,16.0,4.0,2.0,9.0,12.0,29.0,65.0,0.446,11.0,26.0,0.423,18.0,39.0,0.462,0.531,6.0,9.0,0.667,5.0,18.0,23.0,16.0,7.0,1.0,5.0,20.0,123.7,107.8,69.6,0.466,0.397,0.607,64.1,57.1,5.8,5.1,0.543,11.3,35.7,0.397,0.531,6.7,13.9,0.092
