Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Alabama,REG (Non-Conf),L,73.0,105.0,,27.0,63.0,0.429,7.0,23.0,0.304,20.0,40.0,0.5,0.484,12.0,19.0,0.632,12.0,15.0,27.0,7.0,6.0,3.0,14.0,25.0,32.0,57.0,0.561,10.0,23.0,0.435,22.0,34.0,0.647,0.649,31.0,38.0,0.816,12.0,24.0,36.0,17.0,13.0,4.0,13.0,17.0,97.3,139.9,75.0,0.302,0.365,0.507,42.9,25.9,8.0,8.8,0.484,16.3,33.3,0.19,0.649,14.8,44.4,0.544
2.0,2.0,2023-11-08,,Shawnee St,REG (Non-Conf),W,96.0,40.0,,35.0,62.0,0.565,9.0,24.0,0.375,26.0,38.0,0.684,0.637,17.0,24.0,0.708,13.0,34.0,47.0,23.0,13.0,6.0,11.0,9.0,15.0,59.0,0.254,8.0,27.0,0.296,7.0,32.0,0.219,0.322,2.0,3.0,0.667,6.0,11.0,17.0,6.0,5.0,2.0,18.0,18.0,133.5,55.6,71.9,0.387,0.387,0.654,73.4,65.7,18.1,18.8,0.637,13.0,54.2,0.274,0.322,23.0,15.0,0.034
3.0,3.0,2023-11-10,@,Purdue,REG (Non-Conf),L,57.0,87.0,,23.0,67.0,0.343,7.0,31.0,0.226,16.0,36.0,0.444,0.396,4.0,6.0,0.667,10.0,18.0,28.0,14.0,3.0,2.0,9.0,21.0,30.0,55.0,0.545,8.0,23.0,0.348,22.0,32.0,0.688,0.618,19.0,24.0,0.792,7.0,30.0,37.0,19.0,5.0,6.0,8.0,12.0,83.7,127.7,68.1,0.09,0.463,0.408,43.1,60.9,4.4,6.3,0.396,11.4,25.0,0.06,0.618,10.8,28.0,0.345
4.0,4.0,2023-11-14,,Mercer,REG (Non-Conf),W,74.0,66.0,,22.0,42.0,0.524,8.0,19.0,0.421,14.0,23.0,0.609,0.619,22.0,25.0,0.88,8.0,24.0,32.0,12.0,7.0,6.0,25.0,21.0,24.0,54.0,0.444,5.0,13.0,0.385,19.0,41.0,0.463,0.491,13.0,19.0,0.684,8.0,10.0,18.0,9.0,13.0,1.0,14.0,20.0,105.8,94.4,70.0,0.595,0.452,0.687,64.0,54.5,10.0,14.6,0.619,31.7,44.4,0.524,0.491,18.2,25.0,0.241
5.0,5.0,2023-11-17,@,Penn State,REG (Non-Conf),L,51.0,74.0,,16.0,42.0,0.381,4.0,18.0,0.222,12.0,24.0,0.5,0.429,15.0,24.0,0.625,2.0,36.0,38.0,7.0,3.0,4.0,27.0,27.0,19.0,64.0,0.297,6.0,25.0,0.24,13.0,39.0,0.333,0.344,30.0,38.0,0.789,12.0,23.0,35.0,10.0,14.0,3.0,8.0,20.0,65.2,94.6,78.2,0.571,0.429,0.478,52.1,43.8,3.8,10.3,0.429,33.6,8.0,0.357,0.344,8.9,25.0,0.469
6.0,6.0,2023-11-20,@,Bellarmine,REG (Non-Conf),W,64.0,51.0,,25.0,59.0,0.424,9.0,26.0,0.346,16.0,33.0,0.485,0.5,5.0,7.0,0.714,11.0,28.0,39.0,14.0,5.0,6.0,7.0,15.0,18.0,52.0,0.346,5.0,21.0,0.238,13.0,31.0,0.419,0.394,10.0,13.0,0.769,4.0,18.0,22.0,9.0,4.0,1.0,8.0,12.0,106.2,84.6,60.3,0.119,0.441,0.513,63.9,56.0,8.3,19.4,0.5,10.1,37.9,0.085,0.394,12.1,12.5,0.192
7.0,7.0,2023-11-22,,Midway,REG (Non-Conf),W,94.0,53.0,,35.0,70.0,0.5,15.0,33.0,0.455,20.0,37.0,0.541,0.607,9.0,20.0,0.45,24.0,27.0,51.0,25.0,4.0,5.0,4.0,7.0,22.0,55.0,0.4,6.0,20.0,0.3,16.0,35.0,0.457,0.455,3.0,3.0,1.0,4.0,16.0,20.0,8.0,1.0,0.0,8.0,19.0,156.8,88.4,60.0,0.286,0.471,0.591,71.8,71.4,6.7,14.3,0.607,4.8,60.0,0.129,0.455,12.4,12.9,0.055
8.0,8.0,2023-11-29,@,Austin Peay,REG (Non-Conf),W,61.0,50.0,,21.0,41.0,0.512,7.0,21.0,0.333,14.0,20.0,0.7,0.598,12.0,19.0,0.632,8.0,29.0,37.0,11.0,3.0,1.0,18.0,12.0,19.0,50.0,0.38,6.0,17.0,0.353,13.0,33.0,0.394,0.44,6.0,11.0,0.545,4.0,13.0,17.0,7.0,7.0,3.0,9.0,20.0,101.5,83.2,60.1,0.463,0.512,0.61,68.5,52.4,5.0,3.0,0.598,26.5,38.1,0.293,0.44,14.0,12.1,0.12
9.0,9.0,2023-12-03,,Chattanooga,REG (Non-Conf),W,87.0,80.0,,34.0,59.0,0.576,10.0,23.0,0.435,24.0,36.0,0.667,0.661,9.0,16.0,0.563,9.0,22.0,31.0,22.0,4.0,6.0,8.0,17.0,27.0,59.0,0.458,11.0,32.0,0.344,16.0,27.0,0.593,0.551,15.0,16.0,0.938,5.0,18.0,23.0,14.0,4.0,0.0,10.0,19.0,126.8,116.6,68.6,0.271,0.39,0.653,57.4,64.7,5.8,22.2,0.661,10.7,33.3,0.153,0.551,13.1,18.5,0.254
10.0,10.0,2023-12-10,@,North Alabama,REG (Non-Conf),W,86.0,77.0,,30.0,60.0,0.5,11.0,23.0,0.478,19.0,37.0,0.514,0.592,15.0,17.0,0.882,10.0,24.0,34.0,13.0,3.0,8.0,6.0,17.0,26.0,67.0,0.388,6.0,23.0,0.261,20.0,44.0,0.455,0.433,19.0,26.0,0.731,14.0,20.0,34.0,8.0,2.0,1.0,5.0,15.0,128.0,114.6,67.2,0.283,0.383,0.632,50.0,43.3,4.5,18.2,0.592,8.1,33.3,0.25,0.433,5.9,36.8,0.284
