Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Arizona,REG (Non-Conf),L,59.0,122.0,,22.0,56.0,0.393,7.0,22.0,0.318,15.0,34.0,0.441,0.455,8.0,15.0,0.533,6.0,17.0,23.0,10.0,3.0,6.0,25.0,25.0,42.0,76.0,0.553,12.0,27.0,0.444,30.0,49.0,0.612,0.632,26.0,32.0,0.813,20.0,27.0,47.0,26.0,16.0,7.0,7.0,16.0,73.6,152.2,80.2,0.268,0.393,0.467,32.9,45.5,3.7,12.2,0.455,28.4,18.2,0.143,0.632,7.1,54.1,0.342
2.0,2.0,2023-11-09,,Cheyney,REG (Non-Conf),W,100.0,52.0,,39.0,69.0,0.565,9.0,22.0,0.409,30.0,47.0,0.638,0.63,13.0,18.0,0.722,15.0,37.0,52.0,23.0,6.0,9.0,17.0,16.0,21.0,68.0,0.309,6.0,20.0,0.3,15.0,48.0,0.313,0.353,4.0,14.0,0.286,8.0,14.0,22.0,4.0,8.0,5.0,17.0,13.0,122.5,63.7,81.6,0.261,0.319,0.645,70.3,59.0,7.4,18.8,0.63,18.0,51.7,0.188,0.353,18.5,17.8,0.059
3.0,3.0,2023-11-12,,Penn St. Wilkes-Barre,REG (Non-Conf),W,78.0,60.0,,28.0,58.0,0.483,7.0,23.0,0.304,21.0,35.0,0.6,0.543,15.0,19.0,0.789,9.0,30.0,39.0,17.0,10.0,1.0,17.0,14.0,24.0,67.0,0.358,4.0,14.0,0.286,20.0,53.0,0.377,0.388,8.0,10.0,0.8,10.0,18.0,28.0,10.0,8.0,4.0,15.0,14.0,102.8,79.1,75.9,0.328,0.397,0.582,58.2,60.7,13.2,1.9,0.543,20.2,33.3,0.259,0.388,17.3,25.0,0.119
4.0,4.0,2023-11-15,@,Fresno State,REG (Non-Conf),L,68.0,87.0,,25.0,67.0,0.373,6.0,18.0,0.333,19.0,49.0,0.388,0.418,12.0,17.0,0.706,8.0,22.0,30.0,4.0,6.0,3.0,9.0,13.0,35.0,65.0,0.538,9.0,20.0,0.45,26.0,45.0,0.578,0.608,8.0,16.0,0.5,10.0,32.0,42.0,14.0,6.0,3.0,14.0,14.0,89.1,114.0,76.3,0.254,0.269,0.453,41.7,16.0,7.9,6.7,0.418,10.7,20.0,0.179,0.608,16.2,31.3,0.123
5.0,5.0,2023-11-18,@,Brigham Young,REG (Non-Conf),L,50.0,93.0,,22.0,63.0,0.349,3.0,14.0,0.214,19.0,49.0,0.388,0.373,3.0,5.0,0.6,8.0,12.0,20.0,8.0,7.0,2.0,13.0,15.0,33.0,59.0,0.559,10.0,29.0,0.345,23.0,30.0,0.767,0.644,17.0,19.0,0.895,9.0,29.0,38.0,24.0,8.0,5.0,10.0,13.0,71.7,133.4,69.7,0.079,0.222,0.382,34.5,36.4,10.0,6.7,0.373,16.6,21.6,0.048,0.644,12.8,42.9,0.288
6.0,6.0,2023-11-21,N,Radford,REG (Non-Conf),L,72.0,82.0,,25.0,62.0,0.403,6.0,20.0,0.3,19.0,42.0,0.452,0.452,16.0,19.0,0.842,9.0,23.0,32.0,7.0,4.0,2.0,11.0,19.0,30.0,60.0,0.5,11.0,17.0,0.647,19.0,43.0,0.442,0.592,11.0,18.0,0.611,9.0,27.0,36.0,11.0,6.0,3.0,11.0,16.0,100.3,114.2,71.8,0.306,0.323,0.507,47.1,28.0,5.6,4.7,0.452,13.4,25.0,0.258,0.592,13.8,28.1,0.183
7.0,7.0,2023-11-22,N,Chicago State,REG (Non-Conf),L,83.0,84.0,,35.0,65.0,0.538,6.0,17.0,0.353,29.0,48.0,0.604,0.585,7.0,13.0,0.538,10.0,19.0,29.0,11.0,9.0,1.0,19.0,25.0,27.0,53.0,0.509,3.0,13.0,0.231,24.0,40.0,0.6,0.538,27.0,39.0,0.692,7.0,21.0,28.0,10.0,13.0,1.0,18.0,11.0,102.0,103.3,81.4,0.2,0.262,0.583,50.9,31.4,11.1,2.5,0.585,21.1,32.3,0.108,0.538,20.1,26.9,0.509
8.0,8.0,2023-11-26,@,Towson,REG (Non-Conf),L,58.0,67.0,,21.0,54.0,0.389,5.0,15.0,0.333,16.0,39.0,0.41,0.435,11.0,15.0,0.733,6.0,17.0,23.0,11.0,8.0,3.0,8.0,15.0,25.0,60.0,0.417,5.0,16.0,0.313,20.0,44.0,0.455,0.458,12.0,20.0,0.6,21.0,24.0,45.0,10.0,6.0,7.0,14.0,17.0,92.3,106.7,62.8,0.278,0.278,0.474,33.8,52.4,12.7,6.8,0.435,11.6,20.0,0.204,0.458,16.8,55.3,0.2
9.0,9.0,2023-11-29,@,High Point,REG (Non-Conf),L,59.0,77.0,,24.0,62.0,0.387,5.0,19.0,0.263,19.0,43.0,0.442,0.427,6.0,10.0,0.6,10.0,22.0,32.0,12.0,6.0,2.0,14.0,19.0,26.0,54.0,0.481,10.0,30.0,0.333,16.0,24.0,0.667,0.574,15.0,23.0,0.652,8.0,28.0,36.0,15.0,8.0,3.0,12.0,14.0,84.5,110.3,69.8,0.161,0.306,0.442,47.1,50.0,8.6,8.3,0.427,17.3,26.3,0.097,0.574,15.6,26.7,0.278
10.0,10.0,2023-12-03,,Longwood,REG (Non-Conf),L,54.0,88.0,,23.0,53.0,0.434,4.0,14.0,0.286,19.0,39.0,0.487,0.472,4.0,12.0,0.333,5.0,20.0,25.0,13.0,5.0,1.0,15.0,23.0,32.0,62.0,0.516,4.0,13.0,0.308,28.0,49.0,0.571,0.548,20.0,29.0,0.69,15.0,26.0,41.0,13.0,10.0,1.0,8.0,19.0,78.6,128.0,68.7,0.226,0.264,0.46,37.9,56.5,7.3,2.0,0.472,20.4,16.1,0.075,0.548,9.5,42.9,0.323
11.0,11.0,2023-12-06,,UMBC,REG (Non-Conf),W,92.0,80.0,,31.0,68.0,0.456,8.0,19.0,0.421,23.0,49.0,0.469,0.515,22.0,26.0,0.846,10.0,28.0,38.0,16.0,8.0,4.0,10.0,20.0,29.0,65.0,0.446,7.0,21.0,0.333,22.0,44.0,0.5,0.5,15.0,22.0,0.682,8.0,27.0,35.0,14.0,6.0,4.0,14.0,15.0,113.7,98.9,80.9,0.382,0.279,0.572,52.1,51.6,9.9,9.1,0.515,11.1,27.0,0.324,0.5,15.7,22.2,0.231
12.0,12.0,2023-12-09,,VU Lynchburg,REG (Non-Conf),W,120.0,50.0,,54.0,85.0,0.635,7.0,16.0,0.438,47.0,69.0,0.681,0.676,5.0,7.0,0.714,19.0,49.0,68.0,29.0,2.0,8.0,11.0,7.0,19.0,79.0,0.241,7.0,31.0,0.226,12.0,48.0,0.25,0.285,5.0,8.0,0.625,5.0,10.0,15.0,9.0,7.0,0.0,4.0,8.0,148.0,61.7,81.1,0.082,0.188,0.679,81.9,53.7,2.5,16.7,0.676,11.1,65.5,0.059,0.285,4.6,9.3,0.063
13.0,13.0,2023-12-18,@,Campbell,REG (Non-Conf),L,76.0,83.0,,30.0,61.0,0.492,3.0,15.0,0.2,27.0,46.0,0.587,0.516,13.0,16.0,0.813,8.0,16.0,24.0,12.0,5.0,1.0,9.0,25.0,28.0,53.0,0.528,7.0,19.0,0.368,21.0,34.0,0.618,0.594,20.0,28.0,0.714,7.0,19.0,26.0,14.0,7.0,4.0,12.0,18.0,107.9,117.8,70.5,0.262,0.246,0.554,48.0,40.0,7.1,2.9,0.516,11.6,29.6,0.213,0.594,15.3,30.4,0.377
14.0,14.0,2023-12-22,,James Madison,REG (Non-Conf),L,75.0,89.0,,31.0,65.0,0.477,3.0,14.0,0.214,28.0,51.0,0.549,0.5,10.0,12.0,0.833,6.0,23.0,29.0,13.0,4.0,1.0,12.0,19.0,29.0,65.0,0.446,9.0,30.0,0.3,20.0,35.0,0.571,0.515,22.0,29.0,0.759,9.0,26.0,35.0,14.0,6.0,2.0,9.0,15.0,96.5,114.5,77.7,0.185,0.215,0.53,45.3,41.9,5.1,2.9,0.5,14.5,18.8,0.154,0.515,10.3,28.1,0.338
15.0,15.0,2023-12-27,@,Virginia,REG (Non-Conf),L,44.0,79.0,,15.0,44.0,0.341,5.0,12.0,0.417,10.0,32.0,0.313,0.398,9.0,15.0,0.6,7.0,22.0,29.0,5.0,4.0,2.0,18.0,10.0,32.0,68.0,0.471,10.0,23.0,0.435,22.0,45.0,0.489,0.544,5.0,11.0,0.455,14.0,22.0,36.0,22.0,13.0,7.0,5.0,9.0,69.6,125.0,63.2,0.341,0.273,0.43,44.6,33.3,6.3,4.4,0.398,26.0,24.1,0.205,0.544,6.4,38.9,0.074
16.0,16.0,2023-12-31,@,NJIT,REG (Non-Conf),L,53.0,69.0,,20.0,66.0,0.303,1.0,17.0,0.059,19.0,49.0,0.388,0.311,12.0,18.0,0.667,17.0,25.0,42.0,9.0,6.0,4.0,16.0,21.0,22.0,57.0,0.386,4.0,24.0,0.167,18.0,33.0,0.545,0.421,21.0,30.0,0.7,9.0,29.0,38.0,10.0,10.0,14.0,9.0,17.0,73.2,95.3,72.4,0.273,0.258,0.355,52.5,45.0,8.3,12.1,0.311,17.7,37.0,0.182,0.421,11.2,26.5,0.368
17.0,17.0,2024-01-06,@,Maryland Eastern Shore,REG (Conf),L,74.0,75.0,,27.0,56.0,0.482,9.0,19.0,0.474,18.0,37.0,0.486,0.563,11.0,14.0,0.786,9.0,20.0,29.0,12.0,5.0,2.0,19.0,20.0,27.0,59.0,0.458,4.0,16.0,0.25,23.0,43.0,0.535,0.492,17.0,21.0,0.81,10.0,20.0,30.0,11.0,4.0,1.0,13.0,14.0,102.3,103.7,72.3,0.25,0.339,0.591,49.2,44.4,6.9,4.7,0.563,23.3,31.0,0.196,0.492,15.9,33.3,0.288
18.0,18.0,2024-01-08,,Delaware State,REG (Conf),L,66.0,78.0,,23.0,60.0,0.383,8.0,21.0,0.381,15.0,39.0,0.385,0.45,12.0,18.0,0.667,8.0,19.0,27.0,17.0,8.0,5.0,16.0,21.0,28.0,67.0,0.418,4.0,16.0,0.25,24.0,51.0,0.471,0.448,18.0,24.0,0.75,14.0,30.0,44.0,12.0,9.0,2.0,14.0,14.0,85.2,100.7,77.5,0.3,0.35,0.481,38.0,73.9,10.3,9.8,0.45,18.9,21.1,0.2,0.448,15.2,42.4,0.269
19.0,19.0,2024-01-20,@,Coppin State,REG (Conf),W,89.0,86.0,OT,27.0,60.0,0.45,3.0,15.0,0.2,24.0,45.0,0.533,0.475,32.0,36.0,0.889,11.0,16.0,27.0,11.0,14.0,3.0,17.0,33.0,25.0,50.0,0.5,6.0,17.0,0.353,19.0,33.0,0.576,0.56,30.0,40.0,0.75,9.0,17.0,26.0,7.0,10.0,5.0,23.0,28.0,107.2,103.6,73.8,0.6,0.25,0.577,50.9,40.7,16.9,9.1,0.475,18.1,39.3,0.533,0.56,25.0,36.0,0.6
20.0,20.0,2024-01-27,,Howard,REG (Conf),W,85.0,79.0,,31.0,57.0,0.544,6.0,19.0,0.316,25.0,38.0,0.658,0.596,17.0,22.0,0.773,8.0,19.0,27.0,12.0,7.0,4.0,17.0,21.0,26.0,51.0,0.51,6.0,20.0,0.3,20.0,31.0,0.645,0.569,21.0,33.0,0.636,9.0,15.0,24.0,13.0,8.0,1.0,17.0,21.0,112.5,104.5,75.6,0.386,0.333,0.63,52.9,38.7,9.3,12.9,0.596,20.1,34.8,0.298,0.569,20.3,32.1,0.412
21.0,21.0,2024-01-29,@,Norfolk State,REG (Conf),L,73.0,83.0,,25.0,51.0,0.49,6.0,16.0,0.375,19.0,35.0,0.543,0.549,17.0,20.0,0.85,4.0,18.0,22.0,17.0,8.0,5.0,16.0,20.0,30.0,60.0,0.5,9.0,17.0,0.529,21.0,43.0,0.488,0.575,14.0,19.0,0.737,13.0,19.0,32.0,17.0,8.0,4.0,17.0,16.0,100.3,114.1,72.8,0.392,0.314,0.603,40.7,68.0,11.0,11.6,0.549,20.9,17.4,0.333,0.575,19.8,41.9,0.233
22.0,22.0,2024-02-03,@,South Carolina State,REG (Conf),W,72.0,70.0,,27.0,56.0,0.482,1.0,12.0,0.083,26.0,44.0,0.591,0.491,17.0,23.0,0.739,9.0,20.0,29.0,12.0,6.0,3.0,10.0,20.0,25.0,60.0,0.417,4.0,13.0,0.308,21.0,47.0,0.447,0.45,16.0,27.0,0.593,19.0,19.0,38.0,12.0,4.0,4.0,11.0,20.0,108.5,105.5,66.4,0.411,0.214,0.538,43.3,44.4,9.0,6.4,0.491,13.0,32.1,0.304,0.45,13.1,48.7,0.267
23.0,23.0,2024-02-05,@,North Carolina Central,REG (Conf),W,79.0,72.0,OT,32.0,77.0,0.416,7.0,21.0,0.333,25.0,56.0,0.446,0.461,8.0,12.0,0.667,14.0,31.0,45.0,12.0,3.0,7.0,6.0,17.0,27.0,68.0,0.397,7.0,20.0,0.35,20.0,48.0,0.417,0.449,11.0,20.0,0.55,12.0,30.0,42.0,14.0,3.0,3.0,10.0,14.0,105.2,95.9,66.8,0.156,0.273,0.478,51.7,37.5,4.0,14.6,0.461,6.8,31.8,0.104,0.449,11.4,27.9,0.162
