Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,@,Maryland,REG (Non-Conf),L,53.0,68.0,,21.0,59.0,0.356,2.0,12.0,0.167,19.0,47.0,0.404,0.373,9.0,12.0,0.75,12.0,18.0,30.0,7.0,6.0,3.0,13.0,21.0,24.0,49.0,0.49,3.0,16.0,0.188,21.0,33.0,0.636,0.52,17.0,25.0,0.68,9.0,22.0,31.0,6.0,8.0,6.0,15.0,17.0,80.0,102.6,66.3,0.203,0.203,0.41,49.2,33.3,9.1,9.1,0.373,16.7,35.3,0.153,0.52,19.8,33.3,0.347
2.0,2.0,2023-11-11,,Coppin State,REG (Non-Conf),W,74.0,60.0,,25.0,53.0,0.472,8.0,24.0,0.333,17.0,29.0,0.586,0.547,16.0,18.0,0.889,12.0,31.0,43.0,16.0,4.0,3.0,21.0,18.0,20.0,59.0,0.339,4.0,21.0,0.19,16.0,38.0,0.421,0.373,16.0,21.0,0.762,7.0,13.0,20.0,6.0,15.0,1.0,9.0,18.0,104.6,84.8,70.8,0.34,0.453,0.601,68.3,64.0,5.7,7.9,0.547,25.4,48.0,0.302,0.373,11.5,18.4,0.271
3.0,3.0,2023-11-18,@,Georgetown,REG (Non-Conf),L,72.0,83.0,,30.0,69.0,0.435,3.0,15.0,0.2,27.0,54.0,0.5,0.457,9.0,16.0,0.563,9.0,15.0,24.0,14.0,13.0,5.0,10.0,16.0,30.0,59.0,0.508,8.0,22.0,0.364,22.0,37.0,0.595,0.576,15.0,22.0,0.682,9.0,30.0,39.0,17.0,7.0,4.0,19.0,12.0,91.7,105.7,78.5,0.232,0.217,0.47,38.1,46.7,16.6,13.5,0.457,11.5,23.1,0.13,0.576,21.5,37.5,0.254
4.0,4.0,2023-11-22,@,American,REG (Non-Conf),L,65.0,68.0,,25.0,59.0,0.424,4.0,18.0,0.222,21.0,41.0,0.512,0.458,11.0,17.0,0.647,11.0,22.0,33.0,9.0,5.0,5.0,14.0,19.0,23.0,58.0,0.397,11.0,28.0,0.393,12.0,30.0,0.4,0.491,11.0,17.0,0.647,12.0,20.0,32.0,14.0,9.0,2.0,12.0,18.0,95.5,99.9,68.1,0.288,0.305,0.485,50.8,36.0,7.3,16.7,0.458,17.3,35.5,0.186,0.491,15.4,35.3,0.19
5.0,5.0,2023-11-25,,Howard,REG (Non-Conf),L,83.0,87.0,2OT,28.0,64.0,0.438,7.0,20.0,0.35,21.0,44.0,0.477,0.492,20.0,27.0,0.741,8.0,20.0,28.0,14.0,11.0,1.0,15.0,20.0,29.0,64.0,0.453,6.0,22.0,0.273,23.0,42.0,0.548,0.5,23.0,25.0,0.92,12.0,30.0,42.0,15.0,9.0,3.0,19.0,23.0,99.6,104.4,66.7,0.422,0.313,0.54,40.0,50.0,13.2,2.4,0.492,16.3,21.1,0.313,0.5,20.0,37.5,0.359
6.0,6.0,2023-12-01,@,Manhattan,REG (Conf),L,74.0,75.0,OT,31.0,68.0,0.456,5.0,21.0,0.238,26.0,47.0,0.553,0.493,7.0,12.0,0.583,13.0,26.0,39.0,18.0,10.0,3.0,16.0,12.0,27.0,60.0,0.45,9.0,19.0,0.474,18.0,41.0,0.439,0.525,12.0,14.0,0.857,5.0,19.0,24.0,23.0,11.0,2.0,14.0,8.0,97.1,98.5,67.7,0.176,0.309,0.502,61.9,58.1,13.1,7.3,0.493,17.8,40.6,0.103,0.525,17.4,16.1,0.2
7.0,7.0,2023-12-03,,Siena,REG (Conf),W,80.0,48.0,,29.0,53.0,0.547,10.0,18.0,0.556,19.0,35.0,0.543,0.642,12.0,14.0,0.857,8.0,24.0,32.0,19.0,9.0,6.0,20.0,15.0,20.0,56.0,0.357,2.0,15.0,0.133,18.0,41.0,0.439,0.375,6.0,11.0,0.545,9.0,14.0,23.0,5.0,10.0,3.0,18.0,15.0,112.8,67.7,70.9,0.264,0.34,0.671,58.2,65.5,12.7,14.6,0.642,25.1,36.4,0.226,0.375,22.7,27.3,0.107
8.0,8.0,2023-12-05,@,Ole Miss,REG (Non-Conf),L,68.0,77.0,,29.0,70.0,0.414,5.0,25.0,0.2,24.0,45.0,0.533,0.45,5.0,8.0,0.625,11.0,21.0,32.0,12.0,9.0,5.0,12.0,16.0,26.0,54.0,0.481,5.0,15.0,0.333,21.0,39.0,0.538,0.528,20.0,25.0,0.8,7.0,26.0,33.0,16.0,11.0,7.0,12.0,11.0,93.4,105.7,72.8,0.114,0.357,0.461,49.2,41.4,12.4,12.8,0.45,14.0,29.7,0.071,0.528,15.4,25.0,0.37
9.0,9.0,2023-12-09,@,Loyola (MD),REG (Non-Conf),W,77.0,64.0,,26.0,51.0,0.51,8.0,17.0,0.471,18.0,34.0,0.529,0.588,17.0,23.0,0.739,5.0,19.0,24.0,16.0,12.0,5.0,13.0,21.0,22.0,48.0,0.458,5.0,15.0,0.333,17.0,33.0,0.515,0.51,15.0,20.0,0.75,8.0,21.0,29.0,12.0,7.0,4.0,20.0,20.0,110.5,91.8,69.7,0.451,0.333,0.622,45.3,61.5,17.2,15.2,0.588,17.4,19.2,0.333,0.51,25.8,29.6,0.313
10.0,10.0,2023-12-15,@,Saint Francis (PA),REG (Non-Conf),W,72.0,65.0,,28.0,58.0,0.483,8.0,21.0,0.381,20.0,37.0,0.541,0.552,8.0,17.0,0.471,15.0,25.0,40.0,12.0,7.0,7.0,18.0,13.0,21.0,55.0,0.382,10.0,22.0,0.455,11.0,33.0,0.333,0.473,13.0,21.0,0.619,9.0,15.0,24.0,14.0,9.0,3.0,13.0,15.0,104.3,94.2,69.0,0.293,0.362,0.545,62.5,42.9,10.1,21.2,0.552,21.4,50.0,0.138,0.473,16.7,26.5,0.236
11.0,11.0,2023-12-20,@,Georgia,REG (Non-Conf),L,82.0,94.0,,33.0,59.0,0.559,3.0,15.0,0.2,30.0,44.0,0.682,0.585,13.0,16.0,0.813,6.0,24.0,30.0,18.0,9.0,3.0,15.0,21.0,30.0,58.0,0.517,7.0,19.0,0.368,23.0,39.0,0.59,0.578,27.0,33.0,0.818,8.0,21.0,29.0,17.0,11.0,2.0,11.0,14.0,107.7,123.5,76.1,0.271,0.254,0.616,50.8,54.5,11.8,7.7,0.585,18.4,22.2,0.22,0.578,13.0,25.0,0.466
12.0,12.0,2023-12-23,,LIU,REG (Non-Conf),W,87.0,59.0,,31.0,59.0,0.525,10.0,24.0,0.417,21.0,35.0,0.6,0.61,15.0,23.0,0.652,6.0,32.0,38.0,22.0,7.0,5.0,9.0,19.0,18.0,52.0,0.346,1.0,11.0,0.091,17.0,41.0,0.415,0.356,22.0,27.0,0.815,4.0,20.0,24.0,7.0,5.0,0.0,13.0,16.0,118.6,80.4,73.4,0.39,0.407,0.622,61.3,71.0,9.5,12.2,0.61,11.4,23.1,0.254,0.356,16.7,11.1,0.423
13.0,13.0,2023-12-30,@,Delaware State,REG (Non-Conf),L,73.0,77.0,,28.0,62.0,0.452,10.0,26.0,0.385,18.0,36.0,0.5,0.532,7.0,13.0,0.538,9.0,24.0,33.0,9.0,4.0,2.0,9.0,16.0,27.0,61.0,0.443,4.0,13.0,0.308,23.0,48.0,0.479,0.475,19.0,21.0,0.905,6.0,25.0,31.0,12.0,5.0,1.0,8.0,14.0,103.4,109.1,70.6,0.21,0.419,0.535,51.6,32.1,5.7,4.2,0.532,11.7,26.5,0.113,0.475,10.1,20.0,0.311
14.0,14.0,2024-01-05,,Canisius,REG (Conf),W,74.0,69.0,,30.0,59.0,0.508,8.0,25.0,0.32,22.0,34.0,0.647,0.576,6.0,8.0,0.75,10.0,21.0,31.0,17.0,5.0,1.0,15.0,14.0,26.0,68.0,0.382,6.0,23.0,0.261,20.0,45.0,0.444,0.426,11.0,16.0,0.688,17.0,21.0,38.0,8.0,8.0,2.0,12.0,14.0,106.9,99.7,69.2,0.136,0.424,0.589,44.9,56.7,7.2,2.2,0.576,19.3,32.3,0.102,0.426,13.7,44.7,0.162
