Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Midway,REG (Non-Conf),W,91.0,58.0,,33.0,66.0,0.5,11.0,25.0,0.44,22.0,41.0,0.537,0.583,14.0,21.0,0.667,14.0,31.0,45.0,20.0,7.0,1.0,12.0,12.0,24.0,62.0,0.387,6.0,21.0,0.286,18.0,41.0,0.439,0.435,4.0,7.0,0.571,7.0,20.0,27.0,13.0,6.0,3.0,12.0,17.0,126.1,80.4,72.2,0.318,0.379,0.599,62.5,60.6,9.7,2.4,0.583,13.6,41.2,0.212,0.435,15.5,18.4,0.065
2.0,2.0,2023-11-10,,Tennessee Tech,REG (Non-Conf),W,78.0,72.0,,29.0,57.0,0.509,5.0,15.0,0.333,24.0,42.0,0.571,0.553,15.0,22.0,0.682,10.0,26.0,36.0,12.0,3.0,5.0,11.0,10.0,32.0,63.0,0.508,6.0,18.0,0.333,26.0,45.0,0.578,0.556,2.0,5.0,0.4,4.0,22.0,26.0,11.0,4.0,3.0,8.0,21.0,113.2,104.5,68.9,0.386,0.263,0.578,58.1,41.4,4.4,11.1,0.553,14.0,31.3,0.263,0.556,10.9,13.3,0.032
3.0,3.0,2023-11-14,,Western Kentucky,REG (Non-Conf),L,81.0,86.0,,25.0,61.0,0.41,8.0,23.0,0.348,17.0,38.0,0.447,0.475,23.0,32.0,0.719,11.0,18.0,29.0,15.0,5.0,3.0,11.0,18.0,30.0,57.0,0.526,8.0,16.0,0.5,22.0,41.0,0.537,0.596,18.0,21.0,0.857,6.0,21.0,27.0,10.0,7.0,3.0,15.0,24.0,106.5,113.0,76.1,0.525,0.377,0.531,51.8,60.0,6.6,7.3,0.475,12.6,34.4,0.377,0.596,18.3,25.0,0.316
4.0,4.0,2023-11-20,N,UNC Wilmington,REG (Non-Conf),L,81.0,83.0,OT,31.0,68.0,0.456,9.0,25.0,0.36,22.0,43.0,0.512,0.522,10.0,16.0,0.625,8.0,27.0,35.0,15.0,4.0,3.0,7.0,20.0,32.0,66.0,0.485,6.0,17.0,0.353,26.0,49.0,0.531,0.53,13.0,18.0,0.722,7.0,24.0,31.0,7.0,2.0,3.0,7.0,15.0,108.6,111.3,66.3,0.235,0.368,0.536,53.0,48.4,5.4,6.1,0.522,8.5,25.0,0.147,0.53,8.6,20.6,0.197
5.0,5.0,2023-11-22,N,Appalachian State,REG (Non-Conf),L,57.0,67.0,,22.0,58.0,0.379,3.0,18.0,0.167,19.0,40.0,0.475,0.405,10.0,16.0,0.625,7.0,26.0,33.0,6.0,5.0,2.0,10.0,17.0,24.0,61.0,0.393,7.0,26.0,0.269,17.0,35.0,0.486,0.451,12.0,16.0,0.75,9.0,28.0,37.0,13.0,5.0,7.0,10.0,14.0,82.5,97.0,69.1,0.276,0.31,0.434,47.1,27.3,7.2,5.7,0.405,13.2,20.0,0.172,0.451,12.7,25.7,0.197
6.0,6.0,2023-11-29,,Bradley,REG (Conf),W,79.0,72.0,,27.0,51.0,0.529,5.0,20.0,0.25,22.0,31.0,0.71,0.578,20.0,26.0,0.769,6.0,23.0,29.0,11.0,4.0,3.0,8.0,17.0,28.0,61.0,0.459,7.0,21.0,0.333,21.0,40.0,0.525,0.516,9.0,17.0,0.529,12.0,19.0,31.0,12.0,7.0,1.0,8.0,19.0,121.1,110.4,65.2,0.51,0.392,0.624,48.3,40.7,6.1,7.5,0.578,11.2,24.0,0.392,0.516,10.4,34.3,0.148
7.0,7.0,2023-12-03,@,Illinois State,REG (Conf),L,72.0,76.0,,26.0,57.0,0.456,10.0,27.0,0.37,16.0,30.0,0.533,0.544,10.0,15.0,0.667,7.0,16.0,23.0,14.0,7.0,3.0,8.0,15.0,28.0,57.0,0.491,9.0,24.0,0.375,19.0,33.0,0.576,0.57,11.0,11.0,1.0,6.0,19.0,25.0,18.0,5.0,4.0,10.0,15.0,109.6,115.7,65.7,0.263,0.474,0.561,47.9,53.8,10.7,9.1,0.544,11.1,26.9,0.175,0.57,13.8,27.3,0.193
8.0,8.0,2023-12-09,@,Austin Peay,REG (Non-Conf),L,49.0,53.0,,19.0,51.0,0.373,7.0,25.0,0.28,12.0,26.0,0.462,0.441,4.0,8.0,0.5,6.0,28.0,34.0,11.0,1.0,2.0,10.0,14.0,20.0,59.0,0.339,5.0,21.0,0.238,15.0,38.0,0.395,0.381,8.0,10.0,0.8,11.0,23.0,34.0,6.0,4.0,3.0,3.0,9.0,85.6,92.5,57.3,0.157,0.49,0.447,50.0,57.9,1.7,5.3,0.441,15.4,20.7,0.078,0.381,4.5,28.2,0.136
9.0,9.0,2023-12-13,@,Mississippi State,REG (Non-Conf),L,81.0,85.0,,28.0,55.0,0.509,12.0,23.0,0.522,16.0,32.0,0.5,0.618,13.0,17.0,0.765,6.0,13.0,19.0,18.0,3.0,0.0,8.0,20.0,27.0,46.0,0.587,7.0,20.0,0.35,20.0,26.0,0.769,0.663,24.0,34.0,0.706,7.0,22.0,29.0,19.0,5.0,5.0,10.0,15.0,124.4,130.5,65.1,0.309,0.418,0.642,39.6,64.3,4.6,0.0,0.618,11.3,21.4,0.236,0.663,13.9,35.0,0.522
10.0,10.0,2023-12-16,,Southeastern Louisiana,REG (Non-Conf),L,55.0,61.0,,15.0,47.0,0.319,6.0,29.0,0.207,9.0,18.0,0.5,0.383,19.0,23.0,0.826,9.0,12.0,21.0,8.0,6.0,1.0,5.0,13.0,21.0,46.0,0.457,8.0,23.0,0.348,13.0,23.0,0.565,0.543,11.0,13.0,0.846,8.0,22.0,30.0,10.0,3.0,0.0,10.0,19.0,101.8,112.9,54.1,0.489,0.617,0.475,41.2,53.3,11.1,4.3,0.383,7.9,29.0,0.404,0.543,16.1,40.0,0.239
