Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Blue Mountain,REG (Non-Conf),W,93.0,60.0,,33.0,69.0,0.478,11.0,23.0,0.478,22.0,46.0,0.478,0.558,16.0,23.0,0.696,15.0,31.0,46.0,16.0,8.0,3.0,8.0,17.0,20.0,63.0,0.317,6.0,24.0,0.25,14.0,39.0,0.359,0.365,14.0,19.0,0.737,7.0,19.0,26.0,12.0,5.0,0.0,12.0,19.0,124.0,80.0,75.0,0.333,0.333,0.582,63.9,48.5,10.7,7.7,0.558,9.1,44.1,0.232,0.365,14.3,18.4,0.222
2.0,2.0,2023-11-09,,Alabama A&M,REG (Non-Conf),W,83.0,67.0,,26.0,54.0,0.481,8.0,23.0,0.348,18.0,31.0,0.581,0.556,23.0,27.0,0.852,6.0,26.0,32.0,14.0,8.0,2.0,16.0,27.0,20.0,56.0,0.357,4.0,14.0,0.286,16.0,42.0,0.381,0.393,23.0,36.0,0.639,12.0,22.0,34.0,9.0,9.0,2.0,17.0,20.0,107.1,86.5,77.5,0.5,0.426,0.621,48.5,53.8,10.3,4.8,0.556,19.3,21.4,0.426,0.393,18.9,31.6,0.411
3.0,3.0,2023-11-14,@,Mississippi State,REG (Non-Conf),L,54.0,81.0,,21.0,62.0,0.339,4.0,14.0,0.286,17.0,48.0,0.354,0.371,8.0,13.0,0.615,6.0,25.0,31.0,7.0,9.0,3.0,20.0,13.0,32.0,68.0,0.471,7.0,26.0,0.269,25.0,42.0,0.595,0.522,10.0,15.0,0.667,8.0,31.0,39.0,18.0,12.0,4.0,15.0,17.0,65.7,98.6,82.2,0.21,0.226,0.396,44.3,33.3,11.0,7.1,0.371,22.7,16.2,0.129,0.522,16.6,24.2,0.147
4.0,4.0,2023-11-18,,Jacksonville State,REG (Non-Conf),W,61.0,59.0,,17.0,41.0,0.415,2.0,9.0,0.222,15.0,32.0,0.469,0.439,25.0,31.0,0.806,2.0,24.0,26.0,8.0,6.0,0.0,20.0,22.0,22.0,49.0,0.449,3.0,12.0,0.25,19.0,37.0,0.514,0.48,12.0,21.0,0.571,4.0,23.0,27.0,11.0,8.0,3.0,19.0,23.0,82.6,79.9,73.9,0.756,0.22,0.547,49.1,47.1,8.1,0.0,0.439,26.4,8.0,0.61,0.48,24.4,14.3,0.245
5.0,5.0,2023-11-22,@,UT Martin,REG (Non-Conf),L,103.0,105.0,2OT,36.0,79.0,0.456,15.0,37.0,0.405,21.0,42.0,0.5,0.551,16.0,21.0,0.762,9.0,24.0,33.0,17.0,9.0,3.0,12.0,30.0,35.0,72.0,0.486,11.0,24.0,0.458,24.0,48.0,0.5,0.563,24.0,36.0,0.667,14.0,37.0,51.0,17.0,10.0,6.0,14.0,21.0,113.8,116.0,72.4,0.266,0.468,0.579,39.3,47.2,9.9,6.3,0.551,11.9,19.6,0.203,0.563,13.6,36.8,0.333
6.0,6.0,2023-11-26,@,Western Carolina,REG (Non-Conf),L,63.0,81.0,,24.0,62.0,0.387,6.0,16.0,0.375,18.0,46.0,0.391,0.435,9.0,13.0,0.692,5.0,15.0,20.0,5.0,3.0,3.0,9.0,15.0,32.0,60.0,0.533,9.0,20.0,0.45,23.0,40.0,0.575,0.608,8.0,11.0,0.727,8.0,30.0,38.0,14.0,0.0,1.0,12.0,16.0,89.1,114.6,70.7,0.21,0.258,0.462,34.5,20.8,4.2,7.5,0.435,11.7,14.3,0.145,0.608,15.5,34.8,0.133
7.0,7.0,2023-11-30,,Tennessee Tech,REG (Non-Conf),W,86.0,71.0,,30.0,57.0,0.526,8.0,18.0,0.444,22.0,39.0,0.564,0.596,18.0,22.0,0.818,7.0,27.0,34.0,17.0,6.0,8.0,5.0,17.0,23.0,53.0,0.434,8.0,23.0,0.348,15.0,30.0,0.5,0.509,17.0,21.0,0.81,4.0,20.0,24.0,11.0,2.0,2.0,11.0,15.0,127.0,104.9,67.7,0.386,0.316,0.638,58.6,56.7,8.9,26.7,0.596,6.9,25.9,0.316,0.509,14.9,12.9,0.321
8.0,8.0,2023-12-02,@,Kansas State,REG (Non-Conf),L,74.0,75.0,OT,21.0,60.0,0.35,10.0,28.0,0.357,11.0,32.0,0.344,0.433,22.0,28.0,0.786,15.0,28.0,43.0,13.0,7.0,2.0,17.0,28.0,19.0,54.0,0.352,3.0,18.0,0.167,16.0,36.0,0.444,0.38,34.0,48.0,0.708,10.0,23.0,33.0,13.0,7.0,3.0,9.0,22.0,97.9,99.3,67.2,0.467,0.467,0.505,56.6,61.9,9.3,5.6,0.433,18.8,39.5,0.367,0.38,10.5,26.3,0.63
9.0,9.0,2023-12-07,,Rust,REG (Non-Conf),W,109.0,65.0,,40.0,66.0,0.606,14.0,35.0,0.4,26.0,31.0,0.839,0.712,15.0,20.0,0.75,10.0,30.0,40.0,25.0,10.0,6.0,11.0,14.0,22.0,61.0,0.361,6.0,18.0,0.333,16.0,43.0,0.372,0.41,15.0,17.0,0.882,6.0,17.0,23.0,11.0,9.0,2.0,14.0,20.0,142.0,84.6,76.8,0.303,0.53,0.722,63.5,62.5,13.0,14.0,0.712,12.7,37.0,0.227,0.41,16.9,16.7,0.246
10.0,10.0,2023-12-10,,Morehead State,REG (Non-Conf),L,77.0,86.0,,26.0,67.0,0.388,6.0,23.0,0.261,20.0,44.0,0.455,0.433,19.0,26.0,0.731,14.0,20.0,34.0,8.0,2.0,1.0,5.0,15.0,30.0,60.0,0.5,11.0,23.0,0.478,19.0,37.0,0.514,0.592,15.0,17.0,0.882,10.0,24.0,34.0,13.0,3.0,8.0,6.0,17.0,114.6,128.0,67.2,0.388,0.343,0.485,50.0,30.8,3.0,2.7,0.433,5.9,36.8,0.284,0.592,8.1,33.3,0.25
