Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Connecticut,REG (Non-Conf),L,52.0,95.0,,20.0,59.0,0.339,3.0,15.0,0.2,17.0,44.0,0.386,0.364,9.0,16.0,0.563,6.0,16.0,22.0,8.0,4.0,4.0,10.0,24.0,32.0,57.0,0.561,7.0,25.0,0.28,25.0,32.0,0.781,0.623,24.0,37.0,0.649,11.0,33.0,44.0,15.0,5.0,10.0,8.0,19.0,73.1,133.6,71.1,0.271,0.254,0.39,33.3,40.0,5.6,12.5,0.364,13.1,15.4,0.153,0.623,9.7,40.7,0.421
2.0,2.0,2023-11-12,@,Grand Canyon,REG (Non-Conf),L,55.0,89.0,,22.0,56.0,0.393,5.0,18.0,0.278,17.0,38.0,0.447,0.438,6.0,11.0,0.545,4.0,18.0,22.0,13.0,6.0,2.0,16.0,21.0,31.0,55.0,0.564,6.0,17.0,0.353,25.0,38.0,0.658,0.618,21.0,28.0,0.75,9.0,27.0,36.0,10.0,10.0,5.0,13.0,15.0,75.6,122.3,72.8,0.196,0.321,0.449,37.9,59.1,8.2,5.3,0.438,20.7,12.9,0.107,0.618,16.0,33.3,0.382
3.0,3.0,2023-11-15,@,Seattle,REG (Non-Conf),W,62.0,60.0,,25.0,59.0,0.424,4.0,23.0,0.174,21.0,36.0,0.583,0.458,8.0,13.0,0.615,6.0,25.0,31.0,18.0,7.0,3.0,15.0,21.0,18.0,51.0,0.353,3.0,16.0,0.188,15.0,35.0,0.429,0.382,21.0,24.0,0.875,6.0,25.0,31.0,8.0,7.0,2.0,18.0,19.0,83.5,80.8,74.3,0.22,0.39,0.476,50.0,72.0,9.4,8.6,0.458,18.7,19.4,0.136,0.382,22.4,19.4,0.412
4.0,4.0,2023-11-17,N,Purdue Fort Wayne,REG (Non-Conf),L,67.0,77.0,,27.0,59.0,0.458,8.0,28.0,0.286,19.0,31.0,0.613,0.525,5.0,10.0,0.5,6.0,28.0,34.0,19.0,12.0,5.0,22.0,21.0,27.0,58.0,0.466,7.0,24.0,0.292,20.0,34.0,0.588,0.526,16.0,26.0,0.615,9.0,25.0,34.0,10.0,14.0,1.0,19.0,16.0,83.7,96.2,80.1,0.169,0.475,0.525,50.0,70.4,15.0,14.7,0.525,25.7,19.4,0.085,0.526,21.3,24.3,0.276
5.0,5.0,2023-11-18,N,VMI,REG (Non-Conf),W,78.0,69.0,,28.0,60.0,0.467,6.0,23.0,0.261,22.0,37.0,0.595,0.517,16.0,27.0,0.593,9.0,21.0,30.0,13.0,5.0,4.0,10.0,19.0,29.0,63.0,0.46,3.0,19.0,0.158,26.0,44.0,0.591,0.484,8.0,12.0,0.667,14.0,25.0,39.0,8.0,6.0,0.0,14.0,23.0,109.5,96.8,71.3,0.45,0.383,0.536,43.5,46.4,7.0,9.1,0.517,12.1,26.5,0.267,0.484,16.9,40.0,0.127
6.0,6.0,2023-11-22,@,Hawaii,REG (Non-Conf),L,61.0,70.0,,23.0,55.0,0.418,6.0,17.0,0.353,17.0,38.0,0.447,0.473,9.0,18.0,0.5,10.0,19.0,29.0,12.0,10.0,4.0,17.0,21.0,22.0,56.0,0.393,5.0,24.0,0.208,17.0,32.0,0.531,0.438,21.0,27.0,0.778,6.0,22.0,28.0,8.0,5.0,2.0,14.0,15.0,82.8,95.0,73.7,0.327,0.309,0.48,50.9,52.2,13.6,12.5,0.473,21.1,31.3,0.164,0.438,16.9,24.0,0.375
7.0,7.0,2023-11-29,@,UC Santa Barbara,REG (Non-Conf),L,59.0,70.0,,22.0,57.0,0.386,7.0,26.0,0.269,15.0,31.0,0.484,0.447,8.0,11.0,0.727,4.0,19.0,23.0,11.0,6.0,1.0,9.0,17.0,25.0,53.0,0.472,5.0,15.0,0.333,20.0,38.0,0.526,0.519,15.0,21.0,0.714,8.0,28.0,36.0,11.0,7.0,2.0,14.0,12.0,86.6,102.8,68.1,0.193,0.456,0.474,39.0,50.0,8.8,2.6,0.447,12.6,12.5,0.14,0.519,18.2,29.6,0.283
8.0,8.0,2023-12-02,,Pacific,REG (Non-Conf),W,78.0,58.0,,29.0,56.0,0.518,12.0,23.0,0.522,17.0,33.0,0.515,0.625,8.0,13.0,0.615,9.0,25.0,34.0,16.0,5.0,3.0,9.0,20.0,20.0,52.0,0.385,4.0,18.0,0.222,16.0,34.0,0.471,0.423,14.0,18.0,0.778,6.0,16.0,22.0,9.0,5.0,0.0,12.0,16.0,121.2,90.1,64.4,0.232,0.411,0.627,60.7,55.2,7.8,8.8,0.625,12.6,36.0,0.143,0.423,16.5,19.4,0.269
9.0,9.0,2023-12-06,@,Abilene Christian,REG (Non-Conf),W,78.0,76.0,,28.0,57.0,0.491,6.0,18.0,0.333,22.0,39.0,0.564,0.544,16.0,20.0,0.8,10.0,31.0,41.0,13.0,5.0,4.0,21.0,26.0,23.0,60.0,0.383,5.0,19.0,0.263,18.0,41.0,0.439,0.425,25.0,31.0,0.806,9.0,19.0,28.0,9.0,12.0,1.0,10.0,18.0,101.8,99.2,76.6,0.351,0.316,0.586,59.4,46.4,6.5,9.8,0.544,24.0,34.5,0.281,0.425,11.8,22.5,0.417
10.0,10.0,2023-12-09,@,Incarnate Word,REG (Non-Conf),W,76.0,75.0,,28.0,59.0,0.475,9.0,24.0,0.375,19.0,35.0,0.543,0.551,11.0,13.0,0.846,2.0,20.0,22.0,15.0,6.0,1.0,6.0,18.0,24.0,50.0,0.48,8.0,22.0,0.364,16.0,28.0,0.571,0.56,19.0,26.0,0.731,5.0,24.0,29.0,11.0,5.0,0.0,12.0,14.0,109.7,108.3,69.3,0.22,0.407,0.583,43.1,53.6,8.7,3.6,0.551,8.4,7.7,0.186,0.56,16.1,20.0,0.38
