Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Radford,REG (Non-Conf),W,86.0,70.0,,32.0,61.0,0.525,7.0,20.0,0.35,25.0,41.0,0.61,0.582,15.0,23.0,0.652,11.0,25.0,36.0,18.0,4.0,5.0,11.0,11.0,28.0,66.0,0.424,5.0,21.0,0.238,23.0,45.0,0.511,0.462,9.0,10.0,0.9,6.0,21.0,27.0,5.0,8.0,3.0,10.0,21.0,117.3,95.4,73.3,0.377,0.328,0.598,57.1,56.3,5.5,11.1,0.582,13.3,34.4,0.246,0.462,12.4,19.4,0.136
2.0,2.0,2023-11-12,,Lehigh,REG (Non-Conf),W,90.0,68.0,,31.0,67.0,0.463,5.0,17.0,0.294,26.0,50.0,0.52,0.5,23.0,28.0,0.821,15.0,35.0,50.0,11.0,9.0,3.0,10.0,8.0,26.0,71.0,0.366,13.0,33.0,0.394,13.0,38.0,0.342,0.458,3.0,4.0,0.75,7.0,21.0,28.0,15.0,7.0,3.0,11.0,22.0,118.3,89.4,76.1,0.418,0.254,0.56,64.1,35.5,11.8,7.9,0.5,11.1,41.7,0.343,0.458,13.1,16.7,0.042
3.0,3.0,2023-11-17,,UC Riverside,REG (Non-Conf),W,77.0,52.0,,28.0,61.0,0.459,6.0,21.0,0.286,22.0,40.0,0.55,0.508,15.0,21.0,0.714,10.0,26.0,36.0,14.0,9.0,8.0,9.0,13.0,19.0,62.0,0.306,9.0,30.0,0.3,10.0,32.0,0.313,0.379,5.0,9.0,0.556,9.0,23.0,32.0,15.0,7.0,1.0,15.0,20.0,108.3,73.1,71.1,0.344,0.344,0.542,52.9,50.0,12.7,25.0,0.508,11.3,30.3,0.246,0.379,18.5,25.7,0.081
4.0,4.0,2023-11-22,N,Northern Iowa,REG (Non-Conf),W,91.0,69.0,,26.0,61.0,0.426,12.0,26.0,0.462,14.0,35.0,0.4,0.525,27.0,31.0,0.871,10.0,22.0,32.0,14.0,4.0,9.0,9.0,18.0,24.0,53.0,0.453,6.0,17.0,0.353,18.0,36.0,0.5,0.509,15.0,22.0,0.682,4.0,25.0,29.0,12.0,6.0,1.0,13.0,22.0,123.7,93.8,73.6,0.508,0.426,0.601,52.5,53.8,5.4,25.0,0.525,10.6,28.6,0.443,0.509,17.0,15.4,0.283
5.0,5.0,2023-11-23,N,Villanova,REG (Non-Conf),L,81.0,83.0,OT,28.0,65.0,0.431,9.0,24.0,0.375,19.0,41.0,0.463,0.5,16.0,23.0,0.696,9.0,28.0,37.0,13.0,3.0,4.0,13.0,30.0,23.0,60.0,0.383,5.0,22.0,0.227,18.0,38.0,0.474,0.425,32.0,36.0,0.889,7.0,25.0,32.0,5.0,4.0,1.0,9.0,22.0,101.9,104.4,70.7,0.354,0.369,0.533,53.6,46.4,3.8,10.5,0.5,14.6,26.5,0.246,0.425,10.5,20.0,0.533
6.0,6.0,2023-11-24,N,Arkansas,REG (Non-Conf),W,87.0,72.0,,28.0,57.0,0.491,6.0,14.0,0.429,22.0,43.0,0.512,0.544,25.0,35.0,0.714,9.0,23.0,32.0,11.0,3.0,0.0,9.0,24.0,26.0,55.0,0.473,5.0,17.0,0.294,21.0,38.0,0.553,0.518,15.0,20.0,0.75,3.0,19.0,22.0,6.0,4.0,6.0,11.0,27.0,119.1,98.5,73.1,0.614,0.246,0.591,59.3,39.3,4.1,0.0,0.544,10.9,32.1,0.439,0.518,14.6,11.5,0.273
7.0,7.0,2023-11-29,,Tennessee,REG (Non-Conf),W,100.0,92.0,,28.0,61.0,0.459,12.0,28.0,0.429,16.0,33.0,0.485,0.557,32.0,38.0,0.842,11.0,21.0,32.0,19.0,6.0,1.0,8.0,18.0,35.0,63.0,0.556,9.0,28.0,0.321,26.0,35.0,0.743,0.627,13.0,16.0,0.813,6.0,22.0,28.0,13.0,5.0,7.0,12.0,24.0,131.0,120.5,76.3,0.623,0.459,0.633,53.3,67.9,7.9,2.9,0.557,9.2,33.3,0.525,0.627,14.5,22.2,0.206
8.0,8.0,2023-12-02,,Florida State,REG (Conf),W,78.0,70.0,,24.0,57.0,0.421,5.0,22.0,0.227,19.0,35.0,0.543,0.465,25.0,31.0,0.806,9.0,27.0,36.0,13.0,7.0,8.0,11.0,13.0,27.0,67.0,0.403,12.0,28.0,0.429,15.0,39.0,0.385,0.493,4.0,8.0,0.5,9.0,21.0,30.0,12.0,6.0,3.0,10.0,19.0,107.2,96.2,72.8,0.544,0.386,0.544,54.5,54.2,9.6,20.5,0.465,13.3,30.0,0.439,0.493,12.4,25.0,0.06
9.0,9.0,2023-12-05,N,Connecticut,REG (Non-Conf),L,76.0,87.0,,28.0,63.0,0.444,7.0,20.0,0.35,21.0,43.0,0.488,0.5,13.0,22.0,0.591,8.0,21.0,29.0,18.0,3.0,1.0,7.0,13.0,34.0,66.0,0.515,10.0,31.0,0.323,24.0,35.0,0.686,0.591,9.0,16.0,0.563,8.0,31.0,39.0,25.0,5.0,4.0,6.0,18.0,105.5,120.8,72.0,0.349,0.317,0.517,42.6,64.3,4.2,2.9,0.5,8.7,20.5,0.206,0.591,7.5,27.6,0.136
10.0,10.0,2023-12-16,N,Kentucky,REG (Non-Conf),L,83.0,87.0,,27.0,57.0,0.474,8.0,24.0,0.333,19.0,33.0,0.576,0.544,21.0,27.0,0.778,5.0,25.0,30.0,12.0,7.0,5.0,17.0,22.0,30.0,72.0,0.417,8.0,23.0,0.348,22.0,49.0,0.449,0.472,19.0,26.0,0.731,13.0,22.0,35.0,15.0,7.0,9.0,13.0,19.0,99.9,104.7,83.1,0.474,0.421,0.594,46.2,44.4,8.4,10.2,0.544,19.6,18.5,0.368,0.472,13.4,34.2,0.264
11.0,11.0,2023-12-20,N,Oklahoma,REG (Non-Conf),W,81.0,69.0,,26.0,60.0,0.433,9.0,22.0,0.409,17.0,38.0,0.447,0.508,20.0,26.0,0.769,7.0,27.0,34.0,9.0,10.0,6.0,9.0,18.0,23.0,57.0,0.404,7.0,23.0,0.304,16.0,34.0,0.471,0.465,16.0,24.0,0.667,8.0,26.0,34.0,6.0,3.0,2.0,18.0,20.0,106.1,90.3,76.4,0.433,0.367,0.56,50.0,34.6,13.1,17.6,0.508,11.1,21.2,0.333,0.465,20.8,22.9,0.281
