Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Colorado Col.,REG (Non-Conf),W,87.0,58.0,,27.0,62.0,0.435,9.0,23.0,0.391,18.0,39.0,0.462,0.508,24.0,39.0,0.615,11.0,33.0,44.0,10.0,8.0,1.0,7.0,14.0,23.0,65.0,0.354,6.0,32.0,0.188,17.0,33.0,0.515,0.4,6.0,10.0,0.6,10.0,29.0,39.0,9.0,6.0,4.0,18.0,28.0,112.8,75.2,77.1,0.629,0.371,0.54,53.0,37.0,10.4,3.0,0.508,8.0,27.5,0.387,0.4,20.5,23.3,0.092
2.0,2.0,2023-11-08,,N New Mexico,REG (Non-Conf),W,81.0,60.0,,26.0,57.0,0.456,8.0,32.0,0.25,18.0,25.0,0.72,0.526,21.0,21.0,1.0,10.0,28.0,38.0,17.0,8.0,2.0,9.0,15.0,20.0,53.0,0.377,11.0,25.0,0.44,9.0,28.0,0.321,0.481,9.0,13.0,0.692,6.0,20.0,26.0,8.0,7.0,1.0,12.0,20.0,123.5,91.5,65.6,0.368,0.561,0.605,59.4,65.4,12.2,7.1,0.526,11.8,33.3,0.368,0.481,16.9,17.6,0.17
3.0,3.0,2023-11-14,,Colorado State,REG (Non-Conf),L,64.0,83.0,,24.0,65.0,0.369,7.0,27.0,0.259,17.0,38.0,0.447,0.423,9.0,18.0,0.5,10.0,26.0,36.0,10.0,3.0,3.0,10.0,16.0,29.0,61.0,0.475,10.0,26.0,0.385,19.0,35.0,0.543,0.557,15.0,20.0,0.75,8.0,34.0,42.0,16.0,4.0,4.0,10.0,16.0,87.6,113.7,73.0,0.277,0.415,0.435,46.2,41.7,4.1,8.6,0.423,12.0,22.7,0.138,0.557,12.4,23.5,0.246
4.0,4.0,2023-11-18,@,New Mexico State,REG (Non-Conf),L,71.0,76.0,,23.0,53.0,0.434,7.0,25.0,0.28,16.0,28.0,0.571,0.5,18.0,28.0,0.643,7.0,26.0,33.0,10.0,10.0,2.0,17.0,23.0,21.0,54.0,0.389,9.0,23.0,0.391,12.0,31.0,0.387,0.472,25.0,34.0,0.735,7.0,26.0,33.0,11.0,15.0,4.0,14.0,23.0,92.5,99.1,76.7,0.528,0.472,0.535,50.0,43.5,13.0,6.5,0.5,20.4,21.2,0.34,0.472,16.6,21.2,0.463
5.0,5.0,2023-11-21,N,Chicago State,REG (Non-Conf),W,78.0,77.0,OT,31.0,66.0,0.47,8.0,27.0,0.296,23.0,39.0,0.59,0.53,8.0,10.0,0.8,14.0,19.0,33.0,10.0,6.0,5.0,20.0,18.0,29.0,57.0,0.509,7.0,18.0,0.389,22.0,39.0,0.564,0.57,12.0,19.0,0.632,8.0,20.0,28.0,8.0,12.0,5.0,16.0,15.0,103.5,102.1,67.0,0.152,0.409,0.551,54.1,32.3,8.0,12.8,0.53,22.0,41.2,0.121,0.57,19.5,29.6,0.211
6.0,6.0,2023-11-22,N,Radford,REG (Non-Conf),L,68.0,79.0,,23.0,58.0,0.397,12.0,31.0,0.387,11.0,27.0,0.407,0.5,10.0,14.0,0.714,5.0,23.0,28.0,14.0,3.0,0.0,12.0,17.0,29.0,62.0,0.468,7.0,20.0,0.35,22.0,42.0,0.524,0.524,14.0,17.0,0.824,8.0,28.0,36.0,11.0,9.0,2.0,9.0,13.0,95.3,110.7,71.4,0.241,0.534,0.526,43.8,60.9,4.2,0.0,0.5,15.7,15.2,0.172,0.524,11.4,25.8,0.226
7.0,7.0,2023-11-29,@,San Diego,REG (Non-Conf),L,72.0,74.0,,25.0,65.0,0.385,10.0,29.0,0.345,15.0,36.0,0.417,0.462,12.0,15.0,0.8,8.0,24.0,32.0,16.0,7.0,1.0,10.0,13.0,27.0,59.0,0.458,6.0,18.0,0.333,21.0,41.0,0.512,0.508,14.0,20.0,0.7,10.0,27.0,37.0,14.0,8.0,3.0,16.0,17.0,96.9,99.6,74.3,0.231,0.446,0.499,46.4,64.0,9.4,2.4,0.462,12.2,22.9,0.185,0.508,18.9,29.4,0.237
8.0,8.0,2023-12-02,,Cal State Northridge,REG (Non-Conf),W,75.0,71.0,,26.0,66.0,0.394,9.0,31.0,0.29,17.0,35.0,0.486,0.462,14.0,23.0,0.609,7.0,29.0,36.0,16.0,13.0,3.0,13.0,15.0,27.0,65.0,0.415,7.0,21.0,0.333,20.0,44.0,0.455,0.469,10.0,14.0,0.714,7.0,33.0,40.0,8.0,9.0,5.0,19.0,23.0,90.0,85.2,83.3,0.348,0.47,0.487,47.4,61.5,15.6,6.8,0.462,14.5,17.5,0.212,0.469,21.0,19.4,0.154
9.0,9.0,2023-12-11,@,Texas A&M–Commerce,REG (Non-Conf),L,99.0,101.0,2OT,33.0,64.0,0.516,10.0,27.0,0.37,23.0,37.0,0.622,0.594,23.0,29.0,0.793,7.0,32.0,39.0,19.0,6.0,3.0,13.0,19.0,32.0,73.0,0.438,16.0,40.0,0.4,16.0,33.0,0.485,0.548,21.0,26.0,0.808,9.0,26.0,35.0,21.0,5.0,5.0,12.0,20.0,115.0,117.4,68.9,0.453,0.422,0.636,52.7,57.6,7.0,9.1,0.594,14.3,21.2,0.359,0.548,12.3,22.0,0.288
10.0,10.0,2023-12-15,@,Colorado,REG (Non-Conf),L,68.0,90.0,,25.0,60.0,0.417,3.0,21.0,0.143,22.0,39.0,0.564,0.442,15.0,20.0,0.75,7.0,24.0,31.0,10.0,9.0,0.0,15.0,14.0,35.0,71.0,0.493,9.0,27.0,0.333,26.0,44.0,0.591,0.556,11.0,13.0,0.846,11.0,30.0,41.0,23.0,9.0,0.0,12.0,14.0,87.4,115.6,77.8,0.333,0.35,0.489,43.1,40.0,11.6,0.0,0.442,17.8,18.9,0.25,0.556,13.5,31.4,0.155
