Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Western Michigan,REG (Non-Conf),W,80.0,76.0,OT,27.0,70.0,0.386,11.0,27.0,0.407,16.0,43.0,0.372,0.464,15.0,26.0,0.577,24.0,27.0,51.0,13.0,7.0,1.0,17.0,13.0,29.0,68.0,0.426,12.0,29.0,0.414,17.0,39.0,0.436,0.515,6.0,12.0,0.5,11.0,23.0,34.0,13.0,7.0,2.0,14.0,22.0,105.2,100.0,67.6,0.371,0.386,0.486,60.0,48.1,9.2,2.6,0.464,17.1,51.1,0.214,0.515,16.0,28.9,0.088
2.0,2.0,2023-11-08,,Mount Marty,REG (Non-Conf),W,93.0,66.0,,37.0,73.0,0.507,7.0,22.0,0.318,30.0,51.0,0.588,0.555,12.0,19.0,0.632,11.0,32.0,43.0,11.0,7.0,2.0,3.0,8.0,28.0,60.0,0.467,5.0,13.0,0.385,23.0,47.0,0.489,0.508,5.0,9.0,0.556,1.0,23.0,24.0,10.0,2.0,2.0,10.0,15.0,126.3,89.6,73.7,0.26,0.301,0.567,64.2,29.7,9.5,4.3,0.555,3.5,32.4,0.164,0.508,13.5,3.0,0.083
3.0,3.0,2023-11-11,@,Creighton,REG (Non-Conf),L,60.0,89.0,,25.0,60.0,0.417,6.0,14.0,0.429,19.0,46.0,0.413,0.467,4.0,4.0,1.0,6.0,16.0,22.0,9.0,8.0,0.0,10.0,12.0,33.0,54.0,0.611,12.0,28.0,0.429,21.0,26.0,0.808,0.722,11.0,16.0,0.688,7.0,28.0,35.0,18.0,7.0,6.0,12.0,4.0,90.6,134.3,66.3,0.067,0.233,0.485,38.6,36.0,12.1,0.0,0.467,13.9,17.6,0.067,0.722,16.3,30.4,0.204
4.0,4.0,2023-11-14,N,UC Davis,REG (Non-Conf),L,53.0,68.0,,19.0,48.0,0.396,6.0,14.0,0.429,13.0,34.0,0.382,0.458,9.0,11.0,0.818,7.0,16.0,23.0,11.0,4.0,2.0,14.0,15.0,23.0,57.0,0.404,9.0,20.0,0.45,14.0,37.0,0.378,0.482,13.0,18.0,0.722,15.0,18.0,33.0,11.0,2.0,8.0,10.0,14.0,87.8,112.6,60.4,0.229,0.292,0.498,41.1,57.9,6.6,5.4,0.458,20.8,28.0,0.188,0.482,13.2,48.4,0.228
5.0,5.0,2023-11-16,@,Montana,REG (Non-Conf),W,78.0,69.0,,25.0,54.0,0.463,9.0,23.0,0.391,16.0,31.0,0.516,0.546,19.0,23.0,0.826,5.0,26.0,31.0,13.0,6.0,2.0,5.0,19.0,27.0,63.0,0.429,3.0,14.0,0.214,24.0,49.0,0.49,0.452,12.0,17.0,0.706,11.0,25.0,36.0,15.0,1.0,3.0,7.0,21.0,118.2,104.5,66.0,0.426,0.426,0.601,46.3,52.0,9.1,4.1,0.546,7.2,16.7,0.352,0.452,9.0,29.7,0.19
6.0,6.0,2023-11-20,,Wis.-Stout,REG (Non-Conf),W,101.0,72.0,,38.0,66.0,0.576,10.0,28.0,0.357,28.0,38.0,0.737,0.652,15.0,22.0,0.682,9.0,33.0,42.0,15.0,3.0,2.0,9.0,11.0,30.0,76.0,0.395,6.0,16.0,0.375,24.0,60.0,0.4,0.434,6.0,13.0,0.462,14.0,20.0,34.0,14.0,4.0,3.0,9.0,19.0,131.5,93.7,76.8,0.333,0.424,0.661,55.3,39.5,3.9,3.3,0.652,10.5,31.0,0.227,0.434,9.9,29.8,0.079
7.0,7.0,2023-11-25,@,Grand Canyon,REG (Non-Conf),L,71.0,86.0,,25.0,54.0,0.463,5.0,16.0,0.313,20.0,38.0,0.526,0.509,16.0,22.0,0.727,7.0,23.0,30.0,6.0,2.0,3.0,15.0,16.0,34.0,69.0,0.493,5.0,12.0,0.417,29.0,57.0,0.509,0.529,13.0,20.0,0.65,13.0,21.0,34.0,12.0,6.0,7.0,4.0,15.0,100.0,121.2,71.0,0.407,0.296,0.551,46.9,24.0,2.8,5.3,0.509,18.9,25.0,0.296,0.529,4.8,36.1,0.188
8.0,8.0,2023-11-27,@,San Jose State,REG (Non-Conf),L,65.0,78.0,,22.0,56.0,0.393,5.0,19.0,0.263,17.0,37.0,0.459,0.438,16.0,22.0,0.727,6.0,24.0,30.0,8.0,3.0,0.0,8.0,18.0,26.0,55.0,0.473,11.0,24.0,0.458,15.0,31.0,0.484,0.573,15.0,20.0,0.75,6.0,28.0,34.0,14.0,5.0,6.0,8.0,16.0,96.3,115.6,67.5,0.393,0.339,0.489,46.9,36.4,4.4,0.0,0.438,10.7,17.6,0.286,0.573,11.0,20.0,0.273
9.0,9.0,2023-12-04,,San Jose State,REG (Non-Conf),W,83.0,78.0,OT,27.0,57.0,0.474,12.0,24.0,0.5,15.0,33.0,0.455,0.579,17.0,32.0,0.531,9.0,27.0,36.0,17.0,3.0,5.0,10.0,17.0,31.0,69.0,0.449,5.0,23.0,0.217,26.0,46.0,0.565,0.486,11.0,15.0,0.733,4.0,27.0,31.0,10.0,5.0,5.0,7.0,26.0,109.0,102.4,67.7,0.561,0.421,0.575,53.7,63.0,3.9,10.9,0.579,12.2,25.0,0.298,0.486,8.4,12.9,0.159
10.0,10.0,2023-12-07,,Portland,REG (Non-Conf),W,78.0,67.0,,28.0,59.0,0.475,12.0,33.0,0.364,16.0,26.0,0.615,0.576,10.0,13.0,0.769,5.0,24.0,29.0,15.0,2.0,3.0,5.0,17.0,25.0,57.0,0.439,5.0,12.0,0.417,20.0,45.0,0.444,0.482,12.0,16.0,0.75,6.0,24.0,30.0,9.0,4.0,2.0,9.0,14.0,117.5,100.9,66.4,0.22,0.559,0.598,49.2,53.6,3.0,6.7,0.576,7.1,17.2,0.169,0.482,12.2,20.0,0.211
