Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Marquette,REG (Non-Conf),L,70.0,92.0,,26.0,70.0,0.371,7.0,26.0,0.269,19.0,44.0,0.432,0.421,11.0,16.0,0.688,16.0,22.0,38.0,10.0,6.0,4.0,14.0,13.0,35.0,67.0,0.522,9.0,25.0,0.36,26.0,42.0,0.619,0.59,13.0,21.0,0.619,11.0,26.0,37.0,20.0,8.0,2.0,8.0,15.0,93.6,123.0,74.8,0.229,0.371,0.451,50.7,38.5,8.0,9.5,0.421,15.3,38.1,0.157,0.59,9.4,33.3,0.194
2.0,2.0,2023-11-11,,Appalachian State,REG (Non-Conf),W,91.0,78.0,,29.0,58.0,0.5,9.0,23.0,0.391,20.0,35.0,0.571,0.578,24.0,29.0,0.828,6.0,27.0,33.0,15.0,3.0,3.0,14.0,14.0,32.0,77.0,0.416,5.0,19.0,0.263,27.0,58.0,0.466,0.448,9.0,16.0,0.563,18.0,22.0,40.0,10.0,7.0,2.0,12.0,22.0,114.9,98.5,79.2,0.5,0.397,0.634,45.2,51.7,3.8,5.2,0.578,16.3,21.4,0.414,0.448,12.4,40.0,0.117
3.0,3.0,2023-11-13,,Illinois Tech,REG (Non-Conf),W,107.0,55.0,,43.0,75.0,0.573,8.0,22.0,0.364,35.0,53.0,0.66,0.627,13.0,29.0,0.448,19.0,28.0,47.0,18.0,17.0,6.0,12.0,16.0,16.0,56.0,0.286,10.0,28.0,0.357,6.0,28.0,0.214,0.375,13.0,18.0,0.722,7.0,19.0,26.0,10.0,3.0,3.0,26.0,24.0,129.4,66.5,82.7,0.387,0.293,0.603,64.4,41.9,20.6,21.4,0.627,11.9,50.0,0.173,0.375,28.7,20.0,0.232
4.0,4.0,2023-11-17,@,Georgia State,REG (Non-Conf),W,70.0,64.0,,26.0,57.0,0.456,4.0,20.0,0.2,22.0,37.0,0.595,0.491,14.0,24.0,0.583,8.0,31.0,39.0,12.0,4.0,12.0,10.0,18.0,23.0,76.0,0.303,4.0,18.0,0.222,19.0,58.0,0.328,0.329,14.0,18.0,0.778,13.0,24.0,37.0,14.0,5.0,1.0,6.0,22.0,94.6,86.5,74.0,0.421,0.351,0.512,51.3,46.2,5.4,20.7,0.491,12.8,25.0,0.246,0.329,6.6,29.5,0.184
5.0,5.0,2023-11-18,N,Little Rock,REG (Non-Conf),W,98.0,93.0,,28.0,48.0,0.583,9.0,16.0,0.563,19.0,32.0,0.594,0.677,33.0,44.0,0.75,4.0,28.0,32.0,15.0,1.0,3.0,15.0,17.0,34.0,75.0,0.453,9.0,32.0,0.281,25.0,43.0,0.581,0.513,16.0,24.0,0.667,11.0,16.0,27.0,22.0,8.0,3.0,4.0,29.0,123.0,116.8,79.7,0.917,0.333,0.711,54.2,53.6,1.3,7.0,0.677,17.9,20.0,0.688,0.513,4.4,28.2,0.213
6.0,6.0,2023-11-25,@,DePaul,REG (Non-Conf),W,89.0,79.0,,28.0,58.0,0.483,10.0,22.0,0.455,18.0,36.0,0.5,0.569,23.0,35.0,0.657,9.0,30.0,39.0,12.0,6.0,5.0,8.0,21.0,29.0,66.0,0.439,6.0,20.0,0.3,23.0,46.0,0.5,0.485,15.0,22.0,0.682,7.0,24.0,31.0,17.0,3.0,1.0,8.0,25.0,117.8,104.6,75.5,0.603,0.379,0.596,55.7,42.9,7.9,10.9,0.569,9.7,27.3,0.397,0.485,9.5,18.9,0.227
7.0,7.0,2023-11-27,@,Northwestern,REG (Non-Conf),L,67.0,89.0,,27.0,57.0,0.474,7.0,18.0,0.389,20.0,39.0,0.513,0.535,6.0,12.0,0.5,7.0,18.0,25.0,13.0,6.0,4.0,11.0,17.0,34.0,56.0,0.607,9.0,19.0,0.474,25.0,37.0,0.676,0.688,12.0,16.0,0.75,4.0,27.0,31.0,22.0,7.0,0.0,7.0,14.0,100.5,133.5,66.7,0.211,0.316,0.534,44.6,48.1,9.0,10.8,0.535,14.9,20.6,0.105,0.688,9.9,18.2,0.214
8.0,8.0,2023-12-05,,Indiana State,REG (Non-Conf),L,67.0,90.0,,25.0,64.0,0.391,7.0,27.0,0.259,18.0,37.0,0.486,0.445,10.0,18.0,0.556,7.0,17.0,24.0,5.0,6.0,4.0,8.0,14.0,33.0,63.0,0.524,11.0,27.0,0.407,22.0,36.0,0.611,0.611,13.0,13.0,1.0,9.0,33.0,42.0,15.0,6.0,0.0,13.0,19.0,91.3,122.7,73.4,0.281,0.422,0.462,36.4,20.0,8.2,11.1,0.445,9.9,17.5,0.156,0.611,15.8,34.6,0.206
9.0,9.0,2023-12-09,@,Monmouth,REG (Non-Conf),L,71.0,74.0,,23.0,50.0,0.46,5.0,20.0,0.25,18.0,30.0,0.6,0.51,20.0,31.0,0.645,11.0,23.0,34.0,8.0,5.0,9.0,15.0,17.0,28.0,68.0,0.412,8.0,19.0,0.421,20.0,49.0,0.408,0.471,10.0,15.0,0.667,12.0,21.0,33.0,11.0,7.0,0.0,10.0,22.0,100.1,104.3,70.9,0.62,0.4,0.548,50.7,34.8,7.0,18.4,0.51,18.8,34.4,0.4,0.471,11.7,34.3,0.147
10.0,10.0,2023-12-18,,Calumet College,REG (Non-Conf),W,92.0,48.0,,34.0,60.0,0.567,6.0,23.0,0.261,28.0,37.0,0.757,0.617,18.0,26.0,0.692,9.0,36.0,45.0,12.0,13.0,8.0,14.0,20.0,15.0,68.0,0.221,4.0,17.0,0.235,11.0,51.0,0.216,0.25,14.0,22.0,0.636,15.0,16.0,31.0,7.0,7.0,2.0,19.0,20.0,115.1,60.1,79.9,0.433,0.383,0.636,59.2,35.3,16.3,15.7,0.617,16.2,36.0,0.3,0.25,19.5,29.4,0.206
11.0,11.0,2023-12-21,,Northern Iowa,REG (Non-Conf),L,63.0,76.0,,23.0,56.0,0.411,8.0,25.0,0.32,15.0,31.0,0.484,0.482,9.0,13.0,0.692,8.0,20.0,28.0,7.0,5.0,5.0,13.0,20.0,24.0,49.0,0.49,8.0,17.0,0.471,16.0,32.0,0.5,0.571,20.0,26.0,0.769,4.0,20.0,24.0,14.0,8.0,1.0,10.0,16.0,93.7,113.0,67.3,0.232,0.446,0.507,53.8,30.4,7.4,15.6,0.482,17.3,28.6,0.161,0.571,14.0,16.7,0.408
12.0,12.0,2023-12-29,@,Iowa,REG (Non-Conf),L,74.0,103.0,,27.0,58.0,0.466,11.0,18.0,0.611,16.0,40.0,0.4,0.56,9.0,16.0,0.563,3.0,29.0,32.0,11.0,7.0,7.0,21.0,13.0,42.0,84.0,0.5,8.0,25.0,0.32,34.0,59.0,0.576,0.548,11.0,15.0,0.733,11.0,27.0,38.0,23.0,15.0,9.0,7.0,14.0,86.7,120.7,85.4,0.276,0.31,0.564,45.7,40.7,8.2,11.9,0.56,24.2,10.0,0.155,0.548,7.1,27.5,0.131
13.0,13.0,2024-01-02,,Akron,REG (Conf),L,51.0,73.0,,17.0,53.0,0.321,4.0,22.0,0.182,13.0,31.0,0.419,0.358,13.0,16.0,0.813,6.0,17.0,23.0,5.0,3.0,1.0,13.0,15.0,27.0,55.0,0.491,8.0,19.0,0.421,19.0,36.0,0.528,0.564,11.0,14.0,0.786,8.0,28.0,36.0,8.0,7.0,0.0,12.0,15.0,76.5,109.6,66.6,0.302,0.415,0.421,39.0,29.4,4.5,2.8,0.358,17.7,17.6,0.245,0.564,16.3,32.0,0.2
14.0,14.0,2024-01-06,@,Ohio,REG (Conf),L,66.0,78.0,,24.0,61.0,0.393,12.0,28.0,0.429,12.0,33.0,0.364,0.492,6.0,10.0,0.6,9.0,18.0,27.0,11.0,4.0,4.0,9.0,13.0,28.0,55.0,0.509,9.0,22.0,0.409,19.0,33.0,0.576,0.591,13.0,16.0,0.813,7.0,24.0,31.0,19.0,6.0,5.0,7.0,13.0,102.8,121.5,64.2,0.164,0.459,0.502,46.6,45.8,6.2,12.1,0.492,12.0,27.3,0.098,0.591,10.1,28.0,0.236
15.0,15.0,2024-01-09,@,Western Michigan,REG (Conf),L,90.0,95.0,OT,30.0,63.0,0.476,12.0,29.0,0.414,18.0,34.0,0.529,0.571,18.0,24.0,0.75,5.0,28.0,33.0,15.0,4.0,0.0,14.0,32.0,31.0,58.0,0.534,8.0,20.0,0.4,23.0,38.0,0.605,0.603,25.0,47.0,0.532,8.0,27.0,35.0,14.0,4.0,2.0,10.0,21.0,108.6,114.6,73.7,0.381,0.46,0.605,48.5,50.0,4.8,0.0,0.571,15.8,15.6,0.286,0.603,11.1,22.2,0.431
16.0,16.0,2024-01-13,,Bowling Green,REG (Conf),L,72.0,83.0,,23.0,54.0,0.426,7.0,23.0,0.304,16.0,31.0,0.516,0.491,19.0,28.0,0.679,4.0,21.0,25.0,6.0,6.0,7.0,9.0,24.0,28.0,60.0,0.467,3.0,15.0,0.2,25.0,45.0,0.556,0.492,24.0,33.0,0.727,9.0,27.0,36.0,6.0,7.0,0.0,10.0,22.0,96.7,111.4,74.5,0.519,0.426,0.535,41.0,26.1,8.1,15.6,0.491,11.8,12.9,0.352,0.492,11.7,30.0,0.4
17.0,17.0,2024-01-16,,Kent State,REG (Conf),L,76.0,83.0,,28.0,55.0,0.509,13.0,23.0,0.565,15.0,32.0,0.469,0.627,7.0,10.0,0.7,6.0,14.0,20.0,16.0,4.0,4.0,14.0,15.0,32.0,53.0,0.604,11.0,23.0,0.478,21.0,30.0,0.7,0.708,8.0,14.0,0.571,6.0,18.0,24.0,12.0,7.0,5.0,13.0,15.0,113.1,123.5,67.2,0.182,0.418,0.636,45.5,57.1,6.0,13.3,0.627,19.0,25.0,0.127,0.708,17.9,30.0,0.151
18.0,18.0,2024-01-23,,Toledo,REG (Conf),L,73.0,89.0,,29.0,60.0,0.483,6.0,25.0,0.24,23.0,35.0,0.657,0.533,9.0,13.0,0.692,10.0,20.0,30.0,8.0,3.0,7.0,13.0,22.0,30.0,62.0,0.484,8.0,18.0,0.444,22.0,44.0,0.5,0.548,21.0,30.0,0.7,14.0,19.0,33.0,12.0,9.0,1.0,8.0,17.0,104.7,127.7,69.7,0.217,0.417,0.552,47.6,27.6,4.3,15.9,0.533,16.4,34.5,0.15,0.548,9.5,41.2,0.339
19.0,19.0,2024-01-27,@,Ball State,REG (Conf),L,71.0,81.0,,29.0,66.0,0.439,4.0,18.0,0.222,25.0,48.0,0.521,0.47,9.0,13.0,0.692,7.0,21.0,28.0,6.0,4.0,6.0,6.0,22.0,25.0,53.0,0.472,8.0,17.0,0.471,17.0,36.0,0.472,0.547,23.0,26.0,0.885,6.0,31.0,37.0,16.0,4.0,5.0,11.0,15.0,100.3,114.5,70.8,0.197,0.273,0.492,43.1,20.7,5.7,16.7,0.47,7.7,18.4,0.136,0.547,14.4,22.2,0.434
20.0,20.0,2024-01-30,@,Central Michigan,REG (Conf),L,77.0,84.0,2OT,27.0,66.0,0.409,7.0,26.0,0.269,20.0,40.0,0.5,0.462,16.0,25.0,0.64,13.0,28.0,41.0,7.0,2.0,5.0,13.0,25.0,26.0,65.0,0.4,6.0,21.0,0.286,20.0,44.0,0.455,0.446,26.0,37.0,0.703,15.0,25.0,40.0,12.0,7.0,2.0,13.0,19.0,97.2,106.0,63.4,0.379,0.394,0.494,50.6,25.9,2.5,11.4,0.462,14.3,34.2,0.242,0.446,13.6,34.9,0.4
21.0,21.0,2024-02-03,,Eastern Michigan,REG (Conf),W,76.0,66.0,,21.0,54.0,0.389,4.0,18.0,0.222,17.0,36.0,0.472,0.426,30.0,35.0,0.857,13.0,25.0,38.0,10.0,9.0,7.0,10.0,17.0,24.0,59.0,0.407,5.0,18.0,0.278,19.0,41.0,0.463,0.449,13.0,17.0,0.765,10.0,18.0,28.0,7.0,7.0,2.0,13.0,25.0,110.4,95.9,68.9,0.648,0.333,0.538,57.6,47.6,13.1,17.1,0.426,12.4,41.9,0.556,0.449,16.2,28.6,0.22
22.0,22.0,2024-02-06,@,Miami (OH),REG (Conf),W,62.0,59.0,,22.0,61.0,0.361,5.0,22.0,0.227,17.0,39.0,0.436,0.402,13.0,15.0,0.867,10.0,30.0,40.0,7.0,8.0,3.0,14.0,16.0,19.0,54.0,0.352,10.0,27.0,0.37,9.0,27.0,0.333,0.444,11.0,16.0,0.688,6.0,23.0,29.0,15.0,7.0,6.0,13.0,15.0,88.1,83.9,70.4,0.246,0.361,0.455,58.0,31.8,11.4,11.1,0.402,17.0,30.3,0.213,0.444,17.4,16.7,0.204
23.0,23.0,2024-02-10,@,South Alabama,REG (Non-Conf),L,66.0,75.0,,24.0,54.0,0.444,7.0,26.0,0.269,17.0,28.0,0.607,0.509,11.0,16.0,0.688,7.0,25.0,32.0,12.0,2.0,6.0,15.0,10.0,28.0,62.0,0.452,13.0,27.0,0.481,15.0,35.0,0.429,0.556,6.0,11.0,0.545,9.0,19.0,28.0,17.0,10.0,2.0,6.0,14.0,98.6,112.1,66.9,0.296,0.481,0.536,53.3,50.0,3.0,17.1,0.509,19.6,26.9,0.204,0.556,8.2,26.5,0.097
