Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,@,North Texas,REG (Non-Conf),L,77.0,83.0,OT,31.0,68.0,0.456,8.0,23.0,0.348,23.0,45.0,0.511,0.515,7.0,12.0,0.583,13.0,21.0,34.0,11.0,8.0,1.0,13.0,22.0,27.0,57.0,0.474,11.0,22.0,0.5,16.0,35.0,0.457,0.57,18.0,22.0,0.818,9.0,23.0,32.0,11.0,9.0,3.0,13.0,14.0,106.1,114.4,64.5,0.176,0.338,0.522,51.5,35.5,11.0,2.9,0.515,15.0,36.1,0.103,0.57,16.2,30.0,0.316
2.0,2.0,2023-11-14,,Loras,REG (Non-Conf),W,90.0,50.0,,31.0,58.0,0.534,13.0,31.0,0.419,18.0,27.0,0.667,0.647,15.0,28.0,0.536,6.0,31.0,37.0,20.0,6.0,6.0,8.0,14.0,18.0,62.0,0.29,8.0,33.0,0.242,10.0,29.0,0.345,0.355,6.0,9.0,0.667,4.0,24.0,28.0,7.0,6.0,0.0,15.0,20.0,119.5,66.4,75.3,0.483,0.534,0.631,56.9,64.5,8.0,20.7,0.647,10.1,20.0,0.259,0.355,18.5,11.4,0.097
3.0,3.0,2023-11-19,@,South Florida,REG (Non-Conf),L,65.0,74.0,,22.0,56.0,0.393,5.0,28.0,0.179,17.0,28.0,0.607,0.438,16.0,21.0,0.762,10.0,22.0,32.0,14.0,6.0,1.0,10.0,20.0,26.0,55.0,0.473,7.0,21.0,0.333,19.0,34.0,0.559,0.536,15.0,18.0,0.833,6.0,21.0,27.0,14.0,3.0,3.0,10.0,22.0,97.4,110.8,66.8,0.375,0.5,0.493,54.2,63.6,9.0,2.9,0.438,13.2,32.3,0.286,0.536,13.6,21.4,0.273
4.0,4.0,2023-11-22,N,North Carolina,REG (Non-Conf),L,69.0,91.0,,24.0,53.0,0.453,6.0,17.0,0.353,18.0,36.0,0.5,0.509,15.0,22.0,0.682,4.0,25.0,29.0,12.0,6.0,1.0,13.0,22.0,26.0,61.0,0.426,12.0,26.0,0.462,14.0,35.0,0.4,0.525,27.0,31.0,0.871,10.0,22.0,32.0,14.0,4.0,9.0,9.0,18.0,93.8,123.7,73.6,0.415,0.321,0.544,47.5,50.0,8.2,2.9,0.509,17.0,15.4,0.283,0.525,10.6,28.6,0.443
5.0,5.0,2023-11-23,N,Texas Tech,REG (Non-Conf),L,70.0,72.0,,24.0,51.0,0.471,9.0,21.0,0.429,15.0,30.0,0.5,0.559,13.0,19.0,0.684,7.0,25.0,32.0,14.0,2.0,2.0,13.0,19.0,24.0,61.0,0.393,8.0,26.0,0.308,16.0,35.0,0.457,0.459,16.0,19.0,0.842,10.0,20.0,30.0,10.0,7.0,5.0,7.0,17.0,105.2,108.2,66.5,0.373,0.412,0.583,51.6,58.3,3.0,5.7,0.559,17.8,25.9,0.255,0.459,9.1,28.6,0.262
6.0,6.0,2023-11-24,N,Stanford,REG (Non-Conf),W,73.0,51.0,,31.0,68.0,0.456,6.0,19.0,0.316,25.0,49.0,0.51,0.5,5.0,7.0,0.714,9.0,26.0,35.0,10.0,7.0,0.0,6.0,14.0,19.0,52.0,0.365,5.0,26.0,0.192,14.0,26.0,0.538,0.413,8.0,13.0,0.615,3.0,28.0,31.0,12.0,5.0,3.0,13.0,12.0,107.0,74.7,68.3,0.103,0.279,0.512,53.0,32.3,10.3,0.0,0.5,7.8,24.3,0.074,0.413,18.3,10.3,0.154
7.0,7.0,2023-11-29,,Belmont,REG (Conf),L,70.0,90.0,,28.0,63.0,0.444,8.0,26.0,0.308,20.0,37.0,0.541,0.508,6.0,10.0,0.6,3.0,21.0,24.0,15.0,4.0,0.0,9.0,16.0,30.0,57.0,0.526,11.0,22.0,0.5,19.0,35.0,0.543,0.623,19.0,22.0,0.864,5.0,29.0,34.0,9.0,5.0,2.0,11.0,12.0,95.1,122.3,73.6,0.159,0.413,0.517,41.4,53.6,5.4,0.0,0.508,11.7,9.4,0.095,0.623,14.0,19.2,0.333
8.0,8.0,2023-12-02,@,Evansville,REG (Conf),L,89.0,91.0,OT,32.0,64.0,0.5,10.0,22.0,0.455,22.0,42.0,0.524,0.578,15.0,21.0,0.714,5.0,24.0,29.0,18.0,8.0,1.0,9.0,24.0,30.0,55.0,0.545,9.0,18.0,0.5,21.0,37.0,0.568,0.627,22.0,28.0,0.786,6.0,28.0,34.0,17.0,8.0,6.0,13.0,18.0,116.1,118.7,68.1,0.328,0.344,0.602,46.0,56.3,10.4,2.7,0.578,10.8,15.2,0.234,0.627,16.0,20.0,0.4
9.0,9.0,2023-12-06,,Richmond,REG (Non-Conf),W,78.0,73.0,,27.0,60.0,0.45,12.0,29.0,0.414,15.0,31.0,0.484,0.55,12.0,17.0,0.706,10.0,22.0,32.0,17.0,9.0,2.0,11.0,20.0,25.0,54.0,0.463,6.0,18.0,0.333,19.0,36.0,0.528,0.519,17.0,20.0,0.85,5.0,24.0,29.0,9.0,6.0,1.0,14.0,15.0,110.2,103.1,70.8,0.283,0.483,0.573,52.5,63.0,12.7,5.6,0.55,13.9,29.4,0.2,0.519,18.1,18.5,0.315
10.0,10.0,2023-12-09,@,Toledo,REG (Non-Conf),L,80.0,84.0,,29.0,56.0,0.518,9.0,21.0,0.429,20.0,35.0,0.571,0.598,13.0,16.0,0.813,5.0,26.0,31.0,12.0,4.0,3.0,11.0,20.0,28.0,59.0,0.475,8.0,20.0,0.4,20.0,39.0,0.513,0.542,20.0,26.0,0.769,5.0,25.0,30.0,11.0,9.0,4.0,6.0,13.0,112.7,118.4,71.0,0.286,0.375,0.629,50.8,41.4,5.6,7.7,0.598,14.7,16.7,0.232,0.542,7.8,16.1,0.339
11.0,11.0,2023-12-12,,Prairie View A&M,REG (Non-Conf),W,74.0,55.0,,21.0,41.0,0.512,8.0,25.0,0.32,13.0,16.0,0.813,0.61,24.0,34.0,0.706,7.0,28.0,35.0,11.0,6.0,4.0,16.0,19.0,21.0,56.0,0.375,4.0,18.0,0.222,17.0,38.0,0.447,0.411,9.0,16.0,0.563,10.0,16.0,26.0,5.0,8.0,0.0,13.0,25.0,111.5,82.9,66.4,0.829,0.61,0.647,57.4,52.4,9.0,10.5,0.61,21.9,30.4,0.585,0.411,17.0,26.3,0.161
12.0,12.0,2023-12-17,,Alcorn State,REG (Non-Conf),W,100.0,82.0,,34.0,60.0,0.567,14.0,29.0,0.483,20.0,31.0,0.645,0.683,18.0,21.0,0.857,6.0,19.0,25.0,21.0,5.0,3.0,9.0,17.0,30.0,56.0,0.536,7.0,13.0,0.538,23.0,43.0,0.535,0.598,15.0,22.0,0.682,6.0,19.0,25.0,13.0,8.0,2.0,10.0,15.0,139.4,114.3,71.7,0.35,0.483,0.715,50.0,61.8,7.0,7.0,0.683,11.4,24.0,0.3,0.598,13.1,24.0,0.268
13.0,13.0,2023-12-21,@,Northern Illinois,REG (Non-Conf),W,76.0,63.0,,24.0,49.0,0.49,8.0,17.0,0.471,16.0,32.0,0.5,0.571,20.0,26.0,0.769,4.0,20.0,24.0,14.0,8.0,1.0,10.0,16.0,23.0,56.0,0.411,8.0,25.0,0.32,15.0,31.0,0.484,0.482,9.0,13.0,0.692,8.0,20.0,28.0,7.0,5.0,5.0,13.0,20.0,113.0,93.7,67.3,0.531,0.347,0.619,46.2,58.3,11.9,3.2,0.571,14.0,16.7,0.408,0.482,17.3,28.6,0.161
14.0,14.0,2024-01-03,@,Missouri State,REG (Conf),W,64.0,62.0,,27.0,61.0,0.443,3.0,15.0,0.2,24.0,46.0,0.522,0.467,7.0,11.0,0.636,8.0,25.0,33.0,7.0,5.0,0.0,8.0,13.0,23.0,53.0,0.434,6.0,26.0,0.231,17.0,27.0,0.63,0.491,10.0,12.0,0.833,2.0,25.0,27.0,9.0,4.0,8.0,8.0,14.0,97.8,94.7,65.5,0.18,0.246,0.483,55.0,25.9,7.6,0.0,0.467,10.8,24.2,0.115,0.491,12.0,7.4,0.189
15.0,15.0,2024-01-07,,Indiana State,REG (Conf),L,66.0,77.0,,22.0,57.0,0.386,1.0,15.0,0.067,21.0,42.0,0.5,0.395,21.0,28.0,0.75,6.0,23.0,29.0,4.0,9.0,4.0,7.0,14.0,25.0,52.0,0.481,15.0,34.0,0.441,10.0,18.0,0.556,0.625,12.0,16.0,0.75,5.0,33.0,38.0,17.0,5.0,2.0,14.0,20.0,94.4,110.1,70.0,0.491,0.263,0.469,43.3,18.2,12.9,22.2,0.395,9.1,15.4,0.368,0.625,19.0,17.9,0.231
